,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,LBAHA,WHH,BWA,LBAHH,BWH,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
0,3.3,1.7,,,1.67,4.33,3.6,,4.5,4.5,,4.4,3.4,1.66,,1.66,4.75,,1.6,4.0,1.392,1.7,3.4,,,1.65,-0.5,2.0,3.3,,3.4,1.7,Roda JC,Vitesse,Roda JC_Vitesse_2004
1,3.3,1.9,,,1.91,3.4,3.35,,3.75,3.5,,3.5,3.25,1.9,,1.8,3.3,,1.95,3.4,1.69,1.9,3.25,,,1.6,-0.5,2.1,3.2,,3.25,1.9,AZ Alkmaar,Heerenveen,AZ Alkmaar_Heerenveen_2004
2,3.2,2.2,,,1.91,3.4,3.4,,3.2,3.25,,3.5,3.25,2.0,,2.0,3.4,,1.9,2.9,1.69,1.91,3.25,,,1.65,-0.5,2.0,3.0,,3.25,1.91,NAC Breda,Utrecht,NAC Breda_Utrecht_2004
3,3.2,2.1,,,2.25,2.75,3.25,,2.75,2.8,,2.9,3.25,2.2,,2.25,2.85,,2.2,3.0,1.52,2.2,3.2,,,1.71,-0.5,1.95,3.1,,3.2,2.2,Nijmegen,Willem II,Nijmegen_Willem II_2004
4,3.4,3.8,,,4.75,1.62,3.55,,1.5,1.57,,1.6,3.6,5.0,,6.0,1.65,,4.5,1.75,1.6,5.0,3.4,,,1.6,0.5,2.1,3.3,,3.5,2.06,Roosendaal,PSV Eindhoven,Roosendaal_PSV Eindhoven_2004
5,3.3,2.3,,,2.25,2.75,3.3,,2.8,2.8,,2.9,3.25,2.2,,2.15,3.0,,2.1,2.7,1.52,2.2,3.2,,,1.71,-0.5,1.95,3.0,,3.2,2.2,Den Bosch,Den Haag,Den Bosch_Den Haag_2004
6,6.0,1.2,,,1.17,11.0,5.25,,10.0,13.0,,11.0,5.5,1.16,,1.16,8.0,,1.25,10.0,3.67,1.2,5.5,,,,-0.5,,5.0,,5.5,1.2,Feyenoord,Graafschap,Feyenoord_Graafschap_2004
7,3.3,2.2,,,2.1,3.0,3.35,,3.25,3.0,,3.05,3.25,2.1,,1.95,3.2,,2.0,2.9,1.57,2.1,3.2,,,1.75,-0.5,1.9,3.0,,3.25,2.1,Groningen,Waalwijk,Groningen_Waalwijk_2004
8,3.5,3.8,,,4.33,1.67,3.45,,1.61,1.72,,1.7,3.5,4.0,,4.5,1.75,,4.0,1.75,1.7,4.3,3.4,,,1.65,0.5,2.0,3.3,,3.4,1.9,Twente,Ajax,Twente_Ajax_2004
9,3.4,1.8,,,1.8,3.8,3.3,,4.0,3.75,,3.9,3.3,1.8,,1.72,3.75,,1.8,3.8,1.77,1.83,3.25,,,1.65,-0.5,2.0,3.1,,3.25,1.83,Vitesse,Groningen,Vitesse_Groningen_2004
