,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SBH,SBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,LBH,GBD,VCH,GBA,B365D,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,BbAvAHA,SJH,GBH,BbAH,SBD,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,10.0,4.75,2.21,3.75,1.45,7.0,1.4,7.5,7.0,1.45,4.0,7.62,8.0,7.0,4.0,1.4,4.0,1.35,6.75,4.0,1.35,8,1.36,-1.0,2.33,1.36,1.75,6.75,1.57,16,1.4,5.4,1.65,4.0,2.09,1.4,1.4,4,4.0,1.68,7.0,3.8,3.75,4.06,2.38,AZ Alkmaar,Sparta,AZ Alkmaar_Sparta_2005
1,1.35,5.0,2.24,4.33,7.0,1.29,9.0,1.3,1.29,12.0,4.5,1.27,1.3,1.28,4.5,8.0,4.6,8.0,1.3,4.5,9.07,9,8.0,1.5,1.73,8.0,2.15,1.3,1.54,15,8.25,1.35,1.55,4.6,1.73,9.0,8.0,3,4.5,2.15,1.28,4.0,4.5,4.63,2.4,Heracles,PSV Eindhoven,Heracles_PSV Eindhoven_2005
2,3.75,3.5,2.0,3.3,1.9,3.0,2.1,3.2,3.0,2.1,3.3,3.25,3.3,3.0,3.25,2.1,3.3,1.9,3.2,3.2,1.99,9,2.1,-0.5,1.84,1.9,2.0,3.0,1.67,15,2.1,3.5,1.71,3.4,1.84,2.1,2.0,3,3.25,2.0,3.25,3.1,3.2,3.31,2.1,Roda JC,Twente,Roda JC_Twente_2005
3,3.35,3.6,2.1,3.2,2.2,3.2,2.2,3.0,2.88,2.45,3.3,2.91,2.8,3.2,3.2,2.0,3.3,2.2,3.0,3.2,2.19,9,2.0,-0.25,1.81,2.2,2.05,2.9,1.62,15,2.15,2.9,1.71,3.4,1.81,2.2,2.1,3,3.2,2.05,2.7,3.0,3.2,3.27,2.4,Vitesse,Heerenveen,Vitesse_Heerenveen_2005
4,4.0,3.6,2.09,3.3,1.85,3.6,1.85,3.75,3.75,1.91,3.35,3.73,3.3,3.5,3.25,1.83,3.4,1.8,3.6,3.4,1.83,9,1.83,-0.5,2.04,1.9,1.81,3.65,1.61,15,1.85,3.6,1.65,3.4,2.04,1.83,1.85,3,3.4,1.81,3.6,3.1,3.3,3.38,2.2,Willem II,Waalwijk,Willem II_Waalwijk_2005
5,7.6,4.33,2.1,3.75,1.4,7.0,1.44,6.5,7.0,1.55,4.4,6.65,8.0,6.0,4.0,1.36,3.7,1.4,6.5,3.75,1.4,5,1.44,-1.0,2.15,1.36,1.74,7.5,1.58,13,1.33,6.0,1.6,4.0,2.15,1.4,1.45,2,4.0,1.74,6.0,3.9,4.0,4.02,2.15,Feyenoord,NAC Breda,Feyenoord_NAC Breda_2005
6,5.5,3.6,1.99,3.4,1.65,4.33,1.67,4.75,4.5,1.67,3.6,4.7,4.33,4.33,3.5,1.67,3.5,1.65,4.5,3.4,1.63,6,1.66,-0.75,2.06,1.66,1.8,4.75,1.67,13,1.6,4.4,1.75,3.6,2.06,1.67,1.65,2,3.5,1.8,4.0,3.3,3.4,3.48,2.15,Groningen,Roosendaal,Groningen_Roosendaal_2005
7,3.3,3.5,1.95,3.2,2.2,3.0,2.1,3.2,3.0,2.2,3.35,3.05,2.8,3.0,3.25,2.1,3.3,2.1,3.2,3.4,2.09,7,2.0,-0.25,1.89,2.2,1.96,3.3,1.7,13,1.95,2.9,1.8,3.4,1.89,2.1,2.0,2,3.25,1.96,2.8,3.0,3.2,3.28,2.0,Nijmegen,Utrecht,Nijmegen_Utrecht_2005
8,4.0,3.5,1.97,3.4,2.0,3.5,1.95,3.6,3.75,2.0,3.2,3.41,3.25,3.75,3.4,1.91,3.2,2.0,3.45,3.5,1.92,25,1.9,-0.5,1.96,1.9,2.03,3.35,1.72,43,2.0,3.2,1.82,3.25,1.88,1.83,1.95,13,3.25,1.96,3.2,3.1,3.2,3.27,2.1,NAC Breda,Willem II,NAC Breda_Willem II_2005
9,4.5,3.5,1.92,3.4,1.75,3.75,1.75,4.2,4.25,1.9,3.3,4.05,3.6,4.0,3.4,1.8,3.3,1.8,4.5,3.4,1.75,22,1.72,-0.5,2.03,1.8,1.91,4.5,1.74,39,1.7,4.0,1.85,3.4,1.97,1.73,1.7,12,3.4,1.86,3.75,3.2,3.25,3.38,2.07,Den Haag,Heracles,Den Haag_Heracles_2005
