,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SBH,SBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,GBD,VCH,GBA,B365D,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,BbAvAHA,SJH,GBH,BbAH,SBD,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,1.86,3.68,2.01,3.5,3.6,1.67,4.2,1.75,1.73,5.0,3.55,1.75,1.7,1.73,3.6,3.5,4.33,3.4,4.75,1.7,3.6,4.47,23,4.75,0.5,1.86,4.5,2.09,1.65,1.75,1.67,31,4.7,1.8,1.85,3.5,1.83,4.75,4.5,12,3.4,2.05,1.67,4.75,3.3,3.4,3.49,2.06,Roda,Twente,Roda_Twente_2010
1,5.05,3.84,2.2,3.5,1.8,4.33,1.8,4.0,5.0,1.8,3.8,4.51,4.8,5.0,3.5,3.5,1.73,3.4,1.73,4.5,3.6,1.72,18,1.7,0.0,3.6,1.67,1.34,4.0,1.61,4.5,30,1.7,3.7,1.7,3.3,3.33,1.73,1.7,9,3.4,1.29,4.75,1.7,3.2,3.2,3.53,2.33,Graafschap,Excelsior,Graafschap_Excelsior_2010
2,1.87,3.83,2.2,3.5,3.4,1.73,4.33,1.7,1.8,4.8,3.5,1.78,1.7,1.75,3.75,3.4,4.0,3.4,4.4,1.75,3.5,4.3,18,4.75,0.5,1.87,4.5,2.09,1.75,1.6,1.73,31,4.05,1.85,1.67,3.5,1.84,4.0,4.25,12,3.5,2.03,1.73,4.5,3.3,3.4,3.47,2.3,Heerenveen,PSV Eindhoven,Heerenveen_PSV Eindhoven_2010
3,6.8,4.12,2.16,3.75,1.55,5.5,1.5,6.0,6.0,1.57,3.65,6.01,6.0,6.0,3.75,3.8,1.5,3.75,,5.25,3.8,1.52,17,1.57,-1.0,1.94,1.5,2.01,5.4,1.63,6.0,27,1.55,4.6,1.7,,1.9,1.57,1.55,9,3.75,1.97,,1.5,3.6,3.6,3.83,2.3,Heracles,Willem II,Heracles_Willem II_2010
4,4.26,3.65,2.02,3.5,2.0,3.6,1.9,3.6,4.0,2.0,3.35,3.8,3.75,3.9,3.6,3.4,1.83,3.3,1.83,3.5,3.5,1.9,21,1.91,-0.5,1.97,1.83,1.97,3.6,1.73,3.8,31,1.9,3.1,1.83,3.4,1.93,1.83,1.95,12,3.4,1.93,3.8,1.83,3.2,3.3,3.39,2.13,Nijmegen,VVV Venlo,Nijmegen_VVV Venlo_2010
5,5.0,3.74,1.93,3.6,1.7,4.5,1.6,4.75,4.75,1.84,3.5,4.55,4.2,4.75,3.6,3.4,1.62,3.4,1.73,4.5,3.6,1.73,25,1.75,-0.75,1.86,1.73,2.11,4.4,1.83,4.5,31,1.7,4.0,1.94,3.5,1.83,1.73,1.7,12,3.75,2.05,4.4,1.7,3.3,3.5,3.5,2.0,Feyenoord,Utrecht,Feyenoord_Utrecht_2010
6,1.74,4.0,2.46,3.5,4.2,1.57,5.0,1.6,1.53,5.8,3.75,1.64,1.67,1.62,4.0,3.6,5.0,3.75,4.75,1.55,3.7,5.01,17,5.75,0.75,1.98,4.8,1.99,1.58,1.49,1.67,31,4.9,1.65,1.65,3.8,1.93,6.0,5.25,10,3.6,1.94,1.62,4.5,3.4,3.5,3.66,2.5,Groningen,Ajax,Groningen_Ajax_2010
7,2.09,3.54,2.0,3.5,3.1,1.91,3.6,1.9,1.95,4.0,3.5,1.95,1.83,1.91,3.6,3.4,3.5,3.3,3.75,1.9,3.5,3.59,25,3.9,0.5,2.09,3.75,1.86,1.85,1.76,1.91,31,3.6,2.0,1.9,3.4,2.05,3.6,3.7,12,3.4,1.82,1.85,3.5,3.2,3.2,3.37,2.1,NAC Breda,AZ Alkmaar,NAC Breda_AZ Alkmaar_2010
8,4.0,3.56,2.11,3.4,1.85,3.6,1.85,3.75,3.6,2.08,3.4,3.64,3.5,3.9,3.4,3.4,1.83,3.4,1.91,3.75,3.5,1.95,17,1.91,-0.5,1.9,1.95,2.09,3.55,1.65,3.5,31,1.9,3.4,1.69,3.3,1.84,2.0,1.85,12,3.4,2.03,3.6,1.91,3.3,3.3,3.36,2.22,Vitesse,Den Haag,Vitesse_Den Haag_2010
9,19.0,8.0,1.94,6.5,1.2,12.0,1.14,15.0,15.0,1.2,6.5,14.54,15.0,17.0,6.5,6.5,1.17,7.0,1.14,12.0,7.0,1.15,21,1.15,-2.25,1.96,1.14,2.0,13.0,1.83,15.0,35,1.15,10.0,1.91,7.0,1.92,1.17,1.15,13,6.5,1.94,15.0,1.14,5.0,5.5,6.66,2.07,Ajax,Vitesse,Ajax_Vitesse_2010
10,5.87,4.08,2.09,3.6,1.6,5.0,1.6,5.25,5.5,1.65,3.5,5.34,5.0,5.5,3.6,3.5,1.57,3.6,1.57,5.0,3.8,1.6,24,1.6,0.0,4.44,1.62,1.25,5.25,1.69,5.0,36,1.58,4.6,1.8,3.8,3.89,1.62,1.6,11,3.5,1.21,5.5,1.62,3.4,3.5,3.66,2.2,AZ Alkmaar,Groningen,AZ Alkmaar_Groningen_2010
11,21.0,8.0,2.74,6.5,1.17,12.0,1.15,12.0,13.0,1.18,6.35,14.14,15.0,15.0,6.5,6.5,1.17,6.25,1.14,12.0,7.0,1.16,20,1.17,-2.0,2.1,1.14,1.88,12.0,1.4,15.0,35,1.16,11.0,1.45,7.0,2.03,1.18,1.17,13,6.75,1.83,15.0,1.14,5.5,5.5,6.4,3.05,PSV Eindhoven,Graafschap,PSV Eindhoven_Graafschap_2010
12,6.75,4.29,2.14,3.75,1.5,6.5,1.5,6.0,6.5,1.57,3.8,6.11,6.0,6.0,4.0,3.75,1.44,3.75,1.5,5.5,4.0,1.51,20,1.53,-1.0,2.0,1.5,1.96,6.75,1.63,6.0,36,1.45,5.0,1.7,3.8,1.95,1.5,1.55,13,3.75,1.91,6.5,1.5,3.7,3.6,3.84,2.3,Twente,Heerenveen,Twente_Heerenveen_2010
13,2.55,3.43,1.97,3.2,2.5,2.5,2.55,2.55,2.5,3.13,3.4,2.39,2.4,2.25,3.4,3.2,2.4,3.2,2.88,2.5,3.4,2.79,28,3.1,0.0,1.8,2.7,2.26,2.4,1.79,2.4,35,2.55,2.4,1.9,3.25,1.73,2.6,2.6,20,3.2,2.07,2.3,2.7,3.2,3.25,3.27,2.05,VVV Venlo,Heracles,VVV Venlo_Heracles_2010
14,3.3,3.52,1.97,3.3,2.4,2.6,2.2,3.0,2.8,2.4,3.3,2.97,2.8,3.2,3.4,3.2,2.38,3.25,2.2,2.9,3.3,2.27,27,2.25,0.0,2.33,2.3,1.75,3.0,1.79,2.75,35,2.15,2.5,1.89,3.25,2.19,2.38,2.25,16,3.2,1.63,3.1,2.38,3.2,3.2,3.27,2.07,Den Haag,Roda,Den Haag_Roda_2010
15,1.47,4.6,2.19,4.0,5.4,1.44,7.0,1.45,1.44,8.0,3.95,1.43,1.4,1.4,4.0,3.75,6.0,4.0,7.0,1.45,4.5,7.08,18,8.0,1.25,2.0,7.5,1.95,1.4,1.6,1.44,35,7.35,1.45,1.67,4.4,1.95,7.5,6.25,10,3.75,1.91,1.4,7.0,3.8,3.75,4.05,2.3,Excelsior,Feyenoord,Excelsior_Feyenoord_2010
16,5.5,3.82,1.86,3.6,1.8,4.0,1.7,4.5,4.6,1.83,3.6,4.63,4.5,5.5,3.6,3.4,1.73,3.5,1.67,4.33,3.5,1.71,27,1.67,-0.75,1.99,1.67,1.96,4.6,1.89,4.33,35,1.65,3.7,2.02,3.6,1.94,1.73,1.73,12,3.4,1.92,4.75,1.73,3.3,3.4,3.52,1.95,Utrecht,NAC Breda,Utrecht_NAC Breda_2010
17,2.69,3.4,1.87,3.3,2.5,2.5,2.6,2.5,2.5,2.9,3.3,2.53,2.4,2.5,3.4,3.2,2.38,3.2,2.62,2.55,3.25,2.64,23,2.8,0.0,1.92,2.7,2.04,2.45,1.87,2.5,36,2.55,2.4,2.01,3.2,1.82,2.63,2.55,21,3.2,1.96,2.5,2.6,3.2,3.3,3.22,1.95,Willem II,Nijmegen,Willem II_Nijmegen_2010
18,2.54,3.5,2.08,3.4,2.5,2.2,3.1,2.15,2.3,3.2,3.35,2.28,2.2,2.25,3.5,3.4,2.75,3.3,3.0,2.2,3.4,2.92,22,3.1,0.0,1.76,2.88,2.38,2.18,1.68,2.1,35,2.9,2.3,1.75,3.25,1.67,2.88,2.9,20,3.2,2.15,2.25,3.0,3.3,3.25,3.33,2.23,Excelsior,Nijmegen,Excelsior_Nijmegen_2010
19,19.0,8.0,1.99,6.5,1.2,10.0,1.15,13.0,15.0,1.2,6.75,14.59,19.0,13.0,8.0,6.0,1.17,6.0,1.17,12.0,6.5,1.16,22,1.2,-2.25,2.06,1.12,1.9,13.5,1.78,13.0,33,1.14,10.0,1.85,5.5,2.02,1.14,1.17,12,6.5,1.85,19.0,1.17,5.0,6.0,6.52,2.11,Ajax,Roda,Ajax_Roda_2010
20,7.8,4.73,2.45,4.0,1.45,6.0,1.44,6.5,7.5,1.5,3.85,6.69,7.5,7.0,4.5,4.33,1.44,3.85,1.4,5.75,4.33,1.43,20,1.44,0.0,5.5,1.4,1.2,6.5,1.5,6.5,34,1.45,5.4,1.55,4.5,4.93,1.4,1.5,11,4.0,1.15,6.5,1.4,3.8,3.75,4.2,2.65,Groningen,Graafschap,Groningen_Graafschap_2010
21,6.95,4.42,2.25,4.0,1.6,5.0,1.5,6.0,6.0,1.6,3.75,5.85,5.5,5.5,4.0,3.75,1.57,3.75,1.5,5.25,4.0,1.52,20,1.57,-1.0,2.1,1.5,1.85,5.2,1.58,5.5,34,1.55,4.6,1.7,4.0,2.06,1.53,1.55,11,3.75,1.82,5.5,1.53,3.4,3.5,3.92,2.42,Heerenveen,NAC Breda,Heerenveen_NAC Breda_2010
22,1.65,4.03,1.96,3.8,4.4,1.5,5.0,1.6,1.53,6.0,3.8,1.59,1.53,1.62,4.0,3.6,5.5,3.6,5.5,1.6,3.75,5.42,24,5.5,0.0,1.25,5.5,4.45,1.6,1.79,1.57,34,4.75,1.65,1.85,3.8,1.2,6.0,5.0,12,3.6,3.99,1.57,5.5,3.3,3.6,3.68,2.06,Vitesse,Twente,Vitesse_Twente_2010
23,2.69,3.5,1.99,3.4,2.5,2.25,2.7,2.4,2.3,2.88,3.3,2.5,2.5,2.5,3.5,3.2,2.62,3.1,2.62,2.6,3.3,2.66,23,2.75,0.0,1.94,2.5,2.1,2.45,1.76,2.5,32,2.55,2.4,1.88,3.2,1.84,2.88,2.55,21,3.2,1.94,2.5,2.6,3.2,3.3,3.25,2.1,Heracles,Feyenoord,Heracles_Feyenoord_2010
24,7.7,4.57,2.24,4.0,1.45,6.0,1.44,6.5,7.5,1.5,4.5,6.65,7.5,7.0,4.0,4.2,1.44,4.0,1.44,6.0,4.33,1.44,19,1.44,-1.0,2.19,1.4,1.79,6.0,1.58,6.0,33,1.4,5.4,1.65,4.2,2.13,1.44,1.45,11,4.0,1.76,6.5,1.44,3.8,3.75,4.12,2.35,PSV Eindhoven,AZ Alkmaar,PSV Eindhoven_AZ Alkmaar_2010
25,11.46,5.27,2.44,4.5,1.35,7.0,1.3,9.0,10.0,1.36,4.75,9.0,10.0,8.5,4.5,4.5,1.33,4.5,1.3,8.0,4.6,1.32,19,1.36,-1.5,1.98,1.3,1.94,8.25,1.5,8.0,33,1.3,7.0,1.56,4.75,1.93,1.33,1.33,12,4.5,1.9,9.0,1.33,4.0,4.33,4.61,2.65,Utrecht,Willem II,Utrecht_Willem II_2010
26,3.76,3.66,2.06,3.3,1.85,3.6,1.9,3.75,3.5,2.08,3.3,3.58,3.75,3.7,3.5,3.4,1.83,3.3,1.91,3.5,3.4,1.97,22,2.0,-0.5,1.86,1.91,2.08,3.5,1.7,3.75,33,1.95,3.4,1.78,3.4,1.83,2.0,1.95,12,3.25,2.04,3.6,1.83,3.3,3.3,3.35,2.16,VVV Venlo,Den Haag,VVV Venlo_Den Haag_2010
27,1.87,3.93,2.22,3.5,3.4,1.83,3.8,1.8,1.85,4.55,3.4,1.81,1.83,1.8,3.6,3.5,3.75,3.4,3.8,1.8,3.75,4.0,19,4.2,0.5,1.87,3.75,2.08,1.85,1.59,1.83,33,3.75,1.85,1.63,3.6,1.83,4.0,4.0,12,3.5,2.02,1.85,3.75,3.4,3.25,3.57,2.38,Willem II,Groningen,Willem II_Groningen_2010
28,4.99,3.76,1.95,3.5,1.75,4.0,1.8,4.0,4.0,1.85,3.3,4.28,4.33,4.5,3.5,3.4,1.73,3.4,1.75,3.75,3.5,1.78,25,1.8,-0.5,2.16,1.73,1.8,3.85,1.81,3.75,33,1.85,3.7,1.91,3.4,2.08,1.73,1.85,13,3.4,1.78,4.75,1.85,3.4,3.4,3.44,2.05,NAC Breda,VVV Venlo,NAC Breda_VVV Venlo_2010
29,2.63,3.54,2.31,3.25,2.5,2.5,2.5,2.5,2.4,2.87,3.35,2.49,2.38,2.5,3.5,3.3,2.38,3.25,2.75,2.5,3.3,2.65,19,2.75,0.0,1.91,2.7,2.12,2.45,1.55,2.5,33,2.5,2.4,1.65,3.4,1.82,2.63,2.55,23,3.3,1.98,2.38,2.5,3.3,3.3,3.29,2.5,Nijmegen,Heerenveen,Nijmegen_Heerenveen_2010
30,4.05,3.66,2.15,3.3,2.0,3.0,1.95,3.3,3.25,2.1,3.4,3.55,3.75,3.75,3.6,3.3,2.1,3.3,1.91,3.6,3.6,1.97,18,1.91,-0.5,1.94,1.91,2.05,3.25,1.63,3.4,32,2.0,3.0,1.7,3.4,1.87,2.05,1.95,12,3.5,1.97,3.8,2.0,3.3,3.2,3.4,2.28,Roda,Heracles,Roda_Heracles_2010
31,12.3,6.0,2.53,5.0,1.33,8.0,1.25,10.0,9.0,1.33,5.5,9.62,11.0,10.0,5.0,4.5,1.29,4.75,1.25,8.5,5.25,1.28,17,1.29,-1.5,2.25,1.25,1.78,10.0,1.46,10.0,32,1.22,7.0,1.5,5.5,2.14,1.29,1.3,12,5.0,1.74,11.0,1.29,4.5,4.5,5.05,2.73,AZ Alkmaar,Excelsior,AZ Alkmaar_Excelsior_2010
32,1.37,5.35,2.4,4.5,7.5,1.33,7.5,1.35,1.36,10.6,4.3,1.35,1.33,1.33,4.5,4.33,7.0,4.25,10.0,1.37,5.0,8.21,17,9.0,1.5,2.03,8.0,1.92,1.35,1.51,1.33,32,7.7,1.3,1.6,4.75,1.97,8.5,7.5,10,4.33,1.85,1.3,8.5,4.5,4.33,4.54,2.63,Den Haag,PSV Eindhoven,Den Haag_PSV Eindhoven_2010
33,8.11,4.71,2.29,4.0,1.45,7.0,1.4,6.75,7.5,1.47,4.0,7.03,7.5,8.0,4.5,4.0,1.33,4.2,1.4,7.0,4.5,1.42,17,1.4,-1.25,1.91,1.4,2.06,6.65,1.55,6.5,32,1.42,5.2,1.6,4.4,1.86,1.4,1.4,12,4.2,2.01,7.5,1.44,3.9,4.33,4.22,2.44,Feyenoord,Vitesse,Feyenoord_Vitesse_2010
34,1.33,5.8,2.88,5.0,7.5,1.29,8.5,1.3,1.25,12.05,5.25,1.29,1.25,1.29,5.5,4.5,8.0,4.75,11.0,1.33,5.25,9.35,17,10.0,1.5,1.76,11.0,2.23,1.25,1.36,1.3,31,9.25,1.3,1.42,4.75,1.75,11.0,7.5,12,4.6,2.13,1.29,9.0,4.5,4.5,4.96,3.1,Graafschap,Ajax,Graafschap_Ajax_2010
35,7.33,4.36,1.9,4.0,1.5,5.5,1.45,6.0,6.5,1.55,3.65,6.32,7.5,7.0,4.0,3.75,1.5,3.75,1.5,5.25,4.0,1.5,26,1.5,-1.0,2.08,1.4,1.89,5.5,1.86,5.5,32,1.55,5.0,1.97,3.8,2.02,1.5,1.55,13,4.1,1.85,7.0,1.53,3.7,3.6,3.89,2.0,Twente,Utrecht,Twente_Utrecht_2010
36,34.0,13.0,4.12,9.0,1.07,17.0,1.06,21.0,34.0,1.08,9.0,25.11,26.0,19.0,13.0,9.0,1.06,9.0,1.06,26.0,11.0,1.06,14,1.08,-2.75,2.54,1.06,1.63,23.0,1.2,26.0,24,1.06,16.0,1.25,10.0,2.45,1.04,1.05,11,9.0,1.58,34.0,1.06,8.0,8.0,9.99,4.65,Ajax,Willem II,Ajax_Willem II_2010
37,6.0,4.06,2.17,3.6,1.6,5.0,1.6,5.0,6.25,1.67,3.6,5.44,5.5,5.5,4.0,3.6,1.57,3.6,1.57,5.0,3.75,1.59,16,1.62,-0.75,2.14,1.57,1.84,5.25,1.62,5.4,27,1.55,4.6,1.67,3.8,2.07,1.5,1.6,9,3.6,1.8,5.5,1.62,3.4,3.5,3.7,2.3,AZ Alkmaar,Roda,AZ Alkmaar_Roda_2010
38,2.6,3.5,2.16,3.3,2.5,2.5,2.6,2.5,2.5,2.88,3.3,2.5,2.38,2.4,3.5,3.3,2.5,3.2,2.75,2.5,3.3,2.65,17,2.88,0.0,1.89,2.7,2.08,2.5,1.63,2.5,29,2.5,2.5,1.67,3.25,1.83,2.5,2.6,21,3.2,1.97,2.5,2.6,3.2,3.2,3.26,2.3,Excelsior,Heracles,Excelsior_Heracles_2010
39,8.5,5.04,1.85,4.0,1.45,7.0,1.4,6.75,8.5,1.45,4.5,6.83,7.5,6.5,4.5,4.0,1.4,4.5,1.4,6.0,4.5,1.42,19,1.44,-1.25,2.0,1.4,1.96,5.75,1.93,6.5,29,1.42,5.4,2.02,4.75,1.96,1.36,1.4,13,4.2,1.9,6.5,1.44,3.8,3.75,4.39,1.92,Heerenveen,Vitesse,Heerenveen_Vitesse_2010
40,16.5,7.2,2.8,6.0,1.15,12.0,1.18,13.0,13.0,1.2,6.0,13.7,15.0,13.0,7.0,6.0,1.17,5.5,1.17,12.0,6.5,1.17,16,1.2,-2.0,2.11,1.17,1.86,11.0,1.39,15.0,27,1.17,12.0,1.45,6.5,2.04,1.14,1.2,12,5.5,1.81,15.0,1.17,6.0,5.5,6.21,3.05,PSV Eindhoven,Nijmegen,PSV Eindhoven_Nijmegen_2010
41,1.42,4.7,2.05,4.2,7.0,1.36,7.5,1.4,1.36,9.0,4.2,1.38,1.36,1.36,4.5,4.0,7.0,4.2,8.5,1.35,4.5,8.08,24,9.0,1.25,1.96,8.0,2.05,1.35,1.73,1.4,27,7.95,1.37,1.8,4.5,1.9,8.0,8.0,13,4.0,1.96,1.36,8.0,4.0,4.0,4.27,2.22,VVV Venlo,Twente,VVV Venlo_Twente_2010
42,4.95,3.91,2.49,3.6,1.7,4.33,1.7,4.33,4.33,1.82,3.5,4.35,4.33,4.5,3.6,3.5,1.7,3.4,1.75,4.2,3.75,1.76,16,1.73,0.0,3.6,1.7,1.33,4.35,1.49,4.5,28,1.7,4.0,1.53,3.6,3.16,1.75,1.75,9,3.5,1.31,4.33,1.73,3.4,3.25,3.54,2.6,Den Haag,Graafschap,Den Haag_Graafschap_2010
43,3.82,3.5,1.92,3.4,1.9,3.2,2.0,3.4,2.88,2.2,3.3,3.43,3.3,3.5,3.5,3.3,2.0,3.25,2.05,3.25,3.3,2.05,25,2.1,0.0,2.65,2.0,1.57,3.35,1.84,3.2,28,2.0,3.3,1.95,3.25,2.44,2.2,2.05,10,3.25,1.49,3.5,2.1,3.3,3.2,3.28,2.01,Groningen,Utrecht,Groningen_Utrecht_2010
44,2.46,3.5,1.97,3.3,2.8,2.25,2.9,2.2,2.3,3.05,3.35,2.31,2.25,2.38,3.5,3.4,2.7,3.25,2.88,2.3,3.25,2.89,23,3.0,0.0,1.77,2.88,2.18,2.2,1.79,2.3,28,2.85,2.2,1.87,3.3,1.69,2.75,2.8,15,3.3,2.11,2.3,2.75,3.2,3.25,3.29,2.05,NAC Breda,Feyenoord,NAC Breda_Feyenoord_2010
45,2.42,3.54,2.47,3.4,3.5,1.91,3.6,1.9,1.95,3.4,3.4,2.17,1.91,2.0,3.6,3.5,3.25,3.4,3.5,1.9,3.6,3.11,17,3.5,0.0,1.73,3.6,2.5,1.95,1.49,2.0,31,3.4,1.85,1.5,3.4,1.63,3.5,3.6,15,3.4,2.26,2.05,3.6,3.2,3.4,3.38,2.63,Graafschap,Heerenveen,Graafschap_Heerenveen_2010
