,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,PSD,VCH,GBD,GBA,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,SJH,GBH,BbAH,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,2.7,3.69,2.14,3.4,2.7,2.5,2.63,2.75,3.4,2.58,2.62,2.63,3.25,3.4,2.5,3.72,2.62,3.4,2.55,3.25,2.66,2.59,32,2.63,0.0,1.96,2.4,1.97,2.55,1.69,2.6,38,2.55,2.3,1.76,3.4,2.65,1.92,2.6,2.55,20,1.93,2.62,2.5,3.2,3.2,3.33,2.28,Willem II,NAC Breda,Willem II_NAC Breda_2012
1,8.85,5.34,2.39,4.5,1.4,7.0,8.0,1.4,4.5,7.79,6.5,8.0,4.5,4.5,1.33,5.28,1.36,4.5,7.0,4.5,8.85,1.37,21,1.4,-1.25,2.11,1.4,1.88,7.0,1.53,8.0,38,1.4,6.5,1.62,5.2,1.38,2.06,1.4,1.4,19,1.8,8.5,1.36,4.0,4.33,4.59,2.56,Heracles,VVV Venlo,Heracles_VVV Venlo_2012
2,6.55,4.4,2.16,3.8,1.55,5.0,5.8,1.6,3.9,5.75,5.0,5.5,4.0,4.0,1.53,4.4,1.55,3.9,5.0,4.0,6.55,1.55,27,1.57,-0.75,2.31,1.6,1.74,5.0,1.67,5.25,38,1.6,4.8,1.79,4.3,1.54,2.24,1.57,1.6,17,1.67,6.25,1.57,3.7,3.75,3.9,2.25,Roda,Zwolle,Roda_Zwolle_2012
3,1.45,4.79,2.18,4.33,5.4,1.4,1.44,8.0,4.2,1.43,1.44,1.45,4.33,4.0,6.5,4.78,7.5,4.2,1.45,4.33,1.45,7.03,27,7.0,1.0,1.77,6.0,2.22,1.45,1.65,1.44,38,6.5,1.45,1.72,4.75,7.82,1.73,7.0,6.5,17,2.15,1.44,7.5,4.0,4.0,4.27,2.31,Waalwijk,PSV Eindhoven,Waalwijk_PSV Eindhoven_2012
4,6.0,4.32,2.34,3.8,1.65,4.5,5.25,1.67,3.9,5.12,4.4,5.0,3.8,3.8,1.6,4.29,1.65,3.9,4.75,4.0,5.5,1.61,22,1.62,-0.75,2.13,1.67,1.82,4.75,1.55,5.0,38,1.62,4.5,1.67,4.1,1.64,2.09,1.62,1.62,19,1.78,5.4,1.62,3.5,3.6,3.83,2.52,Ajax,AZ Alkmaar,Ajax_AZ Alkmaar_2012
5,4.75,4.06,2.46,3.8,1.7,4.33,4.33,1.81,3.8,4.38,4.2,4.75,3.6,3.6,1.67,3.99,1.78,3.8,4.2,4.0,4.5,1.74,21,1.67,-0.75,1.88,1.7,2.06,4.2,1.5,4.5,35,1.72,4.2,1.67,3.9,1.81,1.85,1.8,1.72,18,2.02,4.6,1.73,3.5,3.5,3.68,2.63,Heerenveen,Nijmegen,Heerenveen_Nijmegen_2012
6,10.5,5.67,2.51,5.0,1.25,8.0,8.5,1.35,5.25,8.96,9.0,10.0,5.0,5.0,1.29,5.67,1.33,5.25,9.25,5.5,9.8,1.3,20,1.29,-1.5,2.08,1.29,2.02,9.25,1.49,9.0,38,1.28,9.0,1.62,5.5,1.34,1.89,1.33,1.28,17,1.97,10.0,1.3,4.8,4.5,5.13,2.61,Twente,Groningen,Twente_Groningen_2012
7,2.09,3.72,2.22,3.6,3.5,1.91,1.95,3.9,3.6,1.99,2.0,2.0,3.6,3.4,3.25,3.69,3.6,3.6,1.91,3.6,2.09,3.52,24,3.5,0.25,1.79,3.2,2.16,1.91,1.6,2.05,38,3.6,1.9,1.7,3.6,3.6,1.76,3.6,3.6,17,2.12,2.05,3.4,3.3,3.4,3.44,2.36,Utrecht,Feyenoord,Utrecht_Feyenoord_2012
8,7.01,4.68,2.36,4.2,1.45,6.0,6.25,1.52,4.25,6.37,5.5,7.0,4.0,4.33,1.4,4.68,1.5,4.25,6.5,4.5,7.01,1.47,22,1.44,-1.25,1.8,1.5,2.18,6.5,1.54,6.5,38,1.45,5.5,1.67,4.6,1.5,1.76,1.5,1.45,19,2.12,6.5,1.44,4.0,4.0,4.2,2.46,Vitesse,Den Haag,Vitesse_Den Haag_2012
9,6.61,4.6,2.45,4.2,1.55,5.5,5.8,1.55,4.0,5.93,6.0,6.0,4.0,4.0,1.5,4.6,1.5,4.0,5.0,4.33,6.61,1.51,20,1.5,-1.0,2.07,1.44,1.9,5.0,1.52,5.4,36,1.53,5.0,1.57,4.5,1.51,2.02,1.53,1.53,18,1.84,6.5,1.53,3.6,3.8,4.12,2.61,Feyenoord,Heerenveen,Feyenoord_Heerenveen_2012
