,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,PSD,LBH,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,SJH,BbAH,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,4.0,4.05,2.13,3.4,2.0,3.4,3.75,2.1,3.4,3.6,3.6,3.6,3.5,3.76,2.0,2.0,3.6,3.94,1.94,40,1.95,-0.5,1.94,1.91,2.0,3.25,1.69,46,2.0,3.2,1.78,3.6,1.98,1.88,1.95,21,1.96,3.8,3.3,3.4,3.53,2.28,Zwolle,Utrecht,Zwolle_Utrecht_2014
1,1.83,3.92,2.13,3.5,4.0,1.72,1.73,4.7,3.6,1.77,1.83,1.8,3.75,3.92,4.2,4.4,3.75,1.83,4.14,43,4.2,0.75,2.07,4.2,1.88,1.8,1.69,47,3.75,1.75,1.76,3.9,4.34,2.01,4.0,19,1.84,1.8,3.4,3.75,3.69,2.32,Cambuur,Twente,Cambuur_Twente_2014
2,7.8,4.88,2.52,4.2,1.4,6.5,6.25,1.5,4.75,6.69,7.5,6.5,4.33,4.88,1.44,1.5,4.5,6.93,1.44,33,1.44,-1.0,2.19,1.44,1.8,5.5,1.49,47,1.42,6.5,1.56,4.5,1.47,2.13,1.44,20,1.74,7.0,4.0,4.33,4.37,2.68,Heerenveen,Dordrecht,Heerenveen_Dordrecht_2014
3,2.78,3.7,2.18,3.2,2.5,2.6,2.63,2.65,3.3,2.62,2.7,2.7,3.4,3.65,2.5,2.6,3.4,2.71,2.52,36,2.5,0.0,2.01,2.62,1.92,2.5,1.64,47,2.5,2.5,1.73,3.5,2.57,1.95,2.5,24,1.87,2.7,3.2,3.4,3.39,2.32,Heracles,AZ Alkmaar,Heracles_AZ Alkmaar_2014
4,3.7,3.67,2.04,3.3,2.2,3.2,3.25,2.2,3.4,3.29,3.4,3.25,3.5,3.63,2.1,2.1,3.5,3.56,2.08,44,2.1,-0.5,1.85,2.15,2.14,3.0,1.75,47,2.1,2.9,1.84,3.5,2.11,1.78,2.05,20,2.07,3.6,3.2,3.4,3.47,2.15,NAC Breda,Excelsior,NAC Breda_Excelsior_2014
5,6.5,4.5,2.4,3.75,1.5,6.0,5.5,1.6,3.75,5.75,6.0,6.0,4.0,4.44,1.5,1.55,4.33,5.96,1.54,35,1.5,-1.0,2.0,1.6,1.98,6.0,1.53,47,1.5,5.5,1.6,4.3,1.57,1.93,1.53,22,1.91,6.0,3.8,4.0,4.07,2.66,Ajax,Vitesse,Ajax_Vitesse_2014
6,1.93,4.02,2.3,4.0,4.5,1.72,1.8,4.5,3.6,1.81,1.7,1.75,3.75,3.93,4.33,4.1,4.0,1.85,4.04,36,4.2,0.5,1.89,4.5,2.07,1.7,1.58,46,4.25,1.65,1.65,4.0,4.19,1.84,4.0,17,2.0,1.83,3.5,3.6,3.72,2.44,Den Haag,Feyenoord,Den Haag_Feyenoord_2014
7,2.63,3.7,2.15,3.2,2.5,2.5,2.5,2.82,3.3,2.53,2.62,2.6,3.25,3.66,2.55,2.7,3.4,2.58,2.65,36,2.63,0.0,1.94,2.7,2.02,2.6,1.66,47,2.45,2.5,1.73,3.4,2.71,1.88,2.63,24,1.95,2.62,3.2,3.4,3.34,2.32,Go Ahead Eagles,Groningen,Go Ahead Eagles_Groningen_2014
8,1.65,4.37,2.34,3.75,4.8,1.57,1.62,5.8,3.75,1.6,1.62,1.57,4.0,4.35,5.0,5.25,4.33,1.64,5.07,36,5.0,1.0,2.13,5.5,1.86,1.53,1.56,47,5.5,1.6,1.65,4.3,5.29,2.05,5.0,24,1.8,1.62,3.6,4.0,4.05,2.5,Willem II,PSV Eindhoven,Willem II_PSV Eindhoven_2014
9,6.9,4.9,2.54,4.2,1.5,6.0,6.0,1.55,4.1,6.19,5.5,6.5,4.33,4.69,1.53,1.5,4.5,6.85,1.48,34,1.45,-1.0,2.13,1.5,1.85,6.0,1.48,50,1.45,5.2,1.53,4.6,1.49,2.06,1.5,23,1.79,6.5,4.0,4.0,4.37,2.82,Feyenoord,Heerenveen,Feyenoord_Heerenveen_2014
