,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,BbMxH,BWD,BbAvA,WHA,B365A,PSD,LBH,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,BbAH,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,2.6,3.62,2.05,3.3,2.6,2.5,2.8,3.3,2.51,2.5,2.5,3.62,2.7,2.75,3.3,2.57,2.68,43,2.75,0.0,1.89,2.6,2.06,2.55,1.73,55,2.6,2.5,1.84,3.6,2.78,1.84,30,1.97,2.45,3.2,3.4,3.4,2.19,Nijmegen,Zwolle,Nijmegen_Zwolle_2016
1,5.25,4.03,2.07,3.6,1.7,4.75,1.79,3.8,4.64,4.33,5.25,4.03,1.7,1.73,3.5,5.16,1.71,45,1.7,-0.75,1.98,1.73,1.98,4.75,1.72,56,1.65,4.4,1.79,3.9,1.71,1.9,30,1.93,4.6,3.5,3.8,3.76,2.2,Den Haag,Go Ahead Eagles,Den Haag_Go Ahead Eagles_2016
2,5.13,4.21,2.25,3.75,1.75,4.75,1.78,3.6,4.61,4.0,5.0,4.21,1.67,1.7,3.75,5.13,1.69,39,1.67,-0.75,2.02,1.75,1.95,5.0,1.6,56,1.65,4.3,1.63,4.1,1.69,1.94,30,1.89,4.6,3.4,3.8,3.88,2.43,Twente,Excelsior,Twente_Excelsior_2016
3,1.99,3.98,2.26,3.75,3.7,1.91,4.1,3.6,1.91,1.91,1.91,3.93,3.6,3.7,3.75,1.95,3.68,40,3.6,0.5,1.97,3.75,1.97,1.91,1.6,56,3.6,1.9,1.62,3.9,3.88,1.91,29,1.9,1.91,3.3,3.75,3.68,2.46,Utrecht,PSV Eindhoven,Utrecht_PSV Eindhoven_2016
4,2.37,3.6,2.01,3.3,2.9,2.25,3.2,3.4,2.24,2.2,2.2,3.59,3.1,3.1,3.4,2.3,3.07,44,3.2,0.25,2.01,3.0,1.92,2.1,1.76,56,3.2,2.2,1.84,3.5,3.2,1.95,30,1.88,2.25,3.3,3.4,3.41,2.11,Willem II,Vitesse,Willem II_Vitesse_2016
5,5.0,4.13,2.42,3.8,1.75,4.5,1.8,3.7,4.37,4.2,5.0,4.13,1.73,1.73,3.6,4.73,1.73,39,1.7,-0.75,1.97,1.7,1.98,4.75,1.52,56,1.67,4.0,1.57,4.1,1.75,1.9,29,1.92,4.4,3.6,3.8,3.87,2.59,AZ Alkmaar,Heerenveen,AZ Alkmaar_Heerenveen_2016
6,2.1,3.79,2.05,3.4,3.1,1.95,3.9,3.5,1.96,2.1,1.95,3.79,3.6,3.75,3.5,1.98,3.6,43,3.75,0.25,1.77,3.1,2.25,1.95,1.73,56,3.5,2.1,1.81,3.7,3.9,1.71,28,2.15,1.95,3.3,3.6,3.57,2.17,Groningen,Feyenoord,Groningen_Feyenoord_2016
7,3.25,3.57,2.0,3.3,2.3,3.1,2.4,3.3,3.03,2.75,3.0,3.57,2.25,2.3,3.4,3.22,2.27,43,2.3,-0.25,1.92,2.38,2.04,2.8,1.77,56,2.4,2.75,1.85,3.5,2.3,1.86,29,1.97,3.0,3.3,3.4,3.39,2.11,Roda,Heracles,Roda_Heracles_2016
8,1.68,4.34,2.13,3.8,4.6,1.62,5.52,4.2,1.61,1.62,1.57,4.34,5.0,5.25,4.0,1.64,5.09,39,5.5,1.0,2.12,4.8,1.85,1.53,1.67,56,5.25,1.6,1.73,4.2,5.39,2.03,31,1.79,1.62,3.9,4.0,4.04,2.24,Sparta Rotterdam,Ajax,Sparta Rotterdam_Ajax_2016
9,2.63,3.63,2.21,3.5,2.55,2.5,2.77,3.4,2.48,2.38,2.45,3.63,2.7,2.7,3.6,2.57,2.66,41,2.63,0.0,1.89,2.6,2.06,2.45,1.64,54,2.65,2.5,1.7,3.6,2.77,1.85,30,1.97,2.5,3.3,3.5,3.48,2.31,Heerenveen,Utrecht,Heerenveen_Utrecht_2016
10,13.0,7.0,2.54,6.0,1.25,12.0,1.27,5.75,11.37,11.0,10.0,6.56,1.25,1.22,7.0,11.97,1.23,34,1.22,-2.0,1.76,1.2,2.26,9.75,1.49,53,1.25,10.0,1.52,6.5,1.27,1.7,28,2.15,13.0,5.0,6.0,6.01,2.63,Ajax,Roda,Ajax_Roda_2016
11,2.82,3.5,1.92,3.25,2.5,2.7,2.78,3.3,2.68,2.6,2.7,3.22,2.62,2.63,3.4,2.82,2.62,40,2.5,0.0,1.99,2.5,1.96,2.75,1.85,53,2.4,2.6,1.94,3.4,2.78,1.92,29,1.89,2.7,3.2,3.1,3.23,2.03,Excelsior,Groningen,Excelsior_Groningen_2016
12,5.0,4.0,2.17,3.75,1.6,4.33,1.79,3.7,4.48,4.2,4.75,4.0,1.75,1.75,3.75,4.66,1.72,33,1.7,-0.75,1.93,1.7,2.06,4.75,1.65,53,1.67,5.0,1.68,4.0,1.79,1.87,26,1.96,4.4,3.6,3.8,3.82,2.28,Vitesse,Den Haag,Vitesse_Den Haag_2016
13,5.0,4.18,2.27,3.8,1.75,4.33,1.76,3.75,4.47,4.2,5.0,4.18,1.73,1.73,3.6,4.94,1.71,35,1.7,-0.75,1.98,1.7,1.97,4.1,1.6,53,1.75,4.1,1.66,4.1,1.71,1.91,27,1.91,4.5,3.6,4.0,3.9,2.35,Zwolle,Sparta Rotterdam,Zwolle_Sparta Rotterdam_2016
14,13.0,6.6,2.63,5.0,1.3,11.0,1.3,5.25,10.5,9.0,11.0,6.6,1.25,1.22,6.5,12.08,1.24,34,1.22,-1.75,2.01,1.29,1.94,9.5,1.45,53,1.28,8.0,1.5,6.5,1.26,1.94,25,1.89,13.0,5.0,6.0,6.02,2.75,Feyenoord,Twente,Feyenoord_Twente_2016
15,3.2,3.6,1.97,3.3,2.1,3.0,2.35,3.3,3.05,3.0,3.2,3.57,2.25,2.25,3.4,3.13,2.24,42,2.2,-0.25,1.92,2.2,2.04,2.9,1.8,53,2.3,3.1,1.9,3.5,2.35,1.87,25,1.96,3.1,3.3,3.4,3.43,2.07,Go Ahead Eagles,Nijmegen,Go Ahead Eagles_Nijmegen_2016
16,4.76,3.9,1.93,3.5,1.75,4.5,1.81,3.6,4.41,4.0,4.33,3.9,1.75,1.8,3.6,4.76,1.77,41,1.8,-0.75,1.88,1.8,2.06,4.4,1.84,53,1.75,4.0,1.92,3.75,1.79,1.83,27,2.0,4.5,3.6,3.6,3.65,2.02,Heracles,Willem II,Heracles_Willem II_2016
17,7.9,5.25,2.79,4.75,1.4,7.0,1.44,4.75,6.92,6.0,7.0,5.08,1.4,1.4,4.75,7.62,1.4,41,1.4,-1.5,1.82,1.4,2.17,7.25,1.4,53,1.36,7.0,1.45,5.0,1.43,1.76,30,2.06,7.5,4.1,4.75,4.85,3.0,PSV Eindhoven,AZ Alkmaar,PSV Eindhoven_AZ Alkmaar_2016
18,2.26,3.62,2.02,3.3,3.0,2.15,3.4,3.4,2.17,2.25,2.15,3.62,3.25,3.25,3.4,2.2,3.22,47,3.25,0.25,2.06,2.9,2.01,2.2,1.76,58,3.0,2.2,1.83,3.6,3.4,1.88,31,1.94,2.15,3.3,3.5,3.44,2.11,Excelsior,Den Haag,Excelsior_Den Haag_2016
19,12.5,6.0,2.44,5.5,1.22,11.0,1.36,6.0,10.65,9.5,12.0,5.95,1.29,1.25,5.5,11.8,1.27,40,1.25,-1.5,2.6,1.25,1.87,9.0,1.52,57,1.25,11.0,1.57,6.0,1.29,2.44,31,1.8,11.5,5.3,5.5,5.57,2.6,Ajax,Willem II,Ajax_Willem II_2016
20,2.71,3.67,2.1,3.4,2.55,2.5,2.7,3.4,2.57,2.45,2.55,3.59,2.6,2.63,3.4,2.68,2.61,43,2.63,0.0,1.95,2.6,1.99,2.55,1.69,57,2.55,2.55,1.76,3.5,2.68,1.9,31,1.92,2.6,3.3,3.5,3.41,2.23,Nijmegen,Heerenveen,Nijmegen_Heerenveen_2016
21,2.25,3.81,2.02,3.3,3.1,2.15,3.35,3.4,2.18,2.2,2.15,3.69,3.1,3.13,3.5,2.22,3.16,45,3.2,0.25,1.97,3.0,1.99,2.2,1.76,57,3.0,2.1,1.87,3.6,3.3,1.91,30,1.92,2.2,3.4,3.5,3.44,2.13,Roda,Vitesse,Roda_Vitesse_2016
22,1.59,4.88,2.51,4.2,7.0,1.55,7.0,4.25,1.51,1.53,1.5,4.88,5.25,6.0,4.33,1.56,5.63,40,6.0,1.0,1.92,5.0,2.06,1.48,1.49,57,5.75,1.4,1.53,4.6,5.54,1.83,31,1.98,1.5,4.2,4.33,4.42,2.66,Zwolle,PSV Eindhoven,Zwolle_PSV Eindhoven_2016
23,3.6,3.7,2.1,3.4,2.1,3.4,2.25,3.4,3.32,3.0,3.6,3.7,2.05,2.1,3.5,3.57,2.09,41,2.0,-0.25,2.08,2.15,1.94,3.2,1.69,57,2.1,3.1,1.77,3.7,2.11,2.0,30,1.83,3.3,3.4,3.5,3.5,2.25,Groningen,Twente,Groningen_Twente_2016
24,1.8,4.1,2.12,3.75,4.6,1.8,4.95,3.75,1.73,1.67,1.73,4.1,4.2,4.4,4.0,1.78,4.46,41,4.33,0.75,2.05,4.5,1.98,1.65,1.68,57,4.75,1.65,1.73,4.0,4.58,1.96,30,1.87,1.75,3.7,3.8,3.82,2.3,Heracles,Feyenoord,Heracles_Feyenoord_2016
25,5.07,4.06,2.15,3.6,1.75,4.33,1.77,3.6,4.61,4.33,4.5,4.06,1.73,1.73,3.75,5.07,1.71,40,1.73,-0.75,1.99,1.73,2.01,4.25,1.66,57,1.75,4.3,1.7,4.0,1.72,1.91,29,1.92,4.6,3.5,3.8,3.8,2.3,Sparta Rotterdam,Go Ahead Eagles,Sparta Rotterdam_Go Ahead Eagles_2016
26,3.0,3.8,2.32,3.5,2.4,2.8,2.4,3.4,2.85,2.7,2.9,3.77,2.3,2.38,3.5,2.95,2.31,40,2.3,-0.25,1.86,2.3,2.14,3.0,1.56,57,2.2,2.65,1.63,3.7,2.37,1.8,30,2.04,2.8,3.4,3.5,3.55,2.53,Utrecht,AZ Alkmaar,Utrecht_AZ Alkmaar_2016
27,3.9,3.79,2.19,3.5,1.9,3.6,2.05,3.6,3.62,3.4,3.75,3.79,1.95,2.0,3.6,3.75,1.95,39,1.91,-0.5,1.9,1.95,2.02,3.7,1.63,53,1.87,3.6,1.68,3.75,2.02,1.86,26,1.96,3.6,3.5,3.6,3.6,2.33,Vitesse,Utrecht,Vitesse_Utrecht_2016
28,18.0,8.21,2.87,6.5,1.15,15.0,1.24,6.25,15.22,15.0,15.0,8.21,1.18,1.15,6.5,15.38,1.16,38,1.18,-2.0,2.12,1.15,1.88,13.0,1.38,53,1.19,13.0,1.41,8.0,1.19,2.03,28,1.79,18.0,6.5,7.0,7.1,3.05,Feyenoord,Excelsior,Feyenoord_Excelsior_2016
29,3.81,3.84,2.21,3.6,2.0,3.6,2.07,3.4,3.5,3.2,3.6,3.84,1.95,2.0,3.5,3.81,1.99,37,2.0,-0.5,1.92,2.0,2.05,3.5,1.62,53,2.0,3.3,1.69,3.8,1.99,1.84,26,1.98,3.5,3.4,3.6,3.6,2.3,Heerenveen,Zwolle,Heerenveen_Zwolle_2016
30,4.1,4.01,2.28,3.75,1.75,3.8,1.94,3.7,3.78,4.0,3.6,4.01,1.85,1.9,3.75,3.96,1.86,37,1.91,-0.5,2.02,1.75,1.94,4.1,1.59,53,1.78,4.0,1.62,3.9,1.91,1.94,26,1.87,3.75,3.6,3.8,3.77,2.43,Twente,Sparta Rotterdam,Twente_Sparta Rotterdam_2016
