,WHD,IWH,MaxAHH,Avg>2.5,AvgA,BWD,Max<2.5,B365A,PSD,WHA,Max>2.5,VCH,AHh,B365D,PSA,P<2.5,B365<2.5,B365H,MaxAHA,AvgD,AvgAHA,WHH,BWA,PAHA,BWH,B365>2.5,IWA,MaxD,VCD,PSH,P>2.5,MaxA,PAHH,AvgH,B365AHH,B365AHA,Avg<2.5,MaxH,VCA,IWD,AvgAHH,HomeTeam,AwayTeam,idGame
0,3.6,2.45,1.95,1.66,2.63,3.6,2.28,2.7,3.57,2.55,1.71,2.5,0.0,3.5,2.68,2.24,2.2,2.45,2.02,3.51,1.95,2.55,2.75,1.95,2.45,1.65,2.55,3.75,3.6,2.64,1.68,2.78,1.92,2.51,1.91,1.99,2.2,2.64,2.6,3.3,1.88,Heerenveen,Willem II,Heerenveen_Willem II_2020
1,4.0,4.1,1.96,1.59,1.73,4.1,2.45,1.7,4.23,1.73,1.63,4.33,0.75,4.0,1.76,2.43,2.35,4.5,1.99,4.0,1.93,4.33,1.72,1.96,4.4,1.57,1.73,4.23,4.0,4.29,1.59,1.78,1.91,4.25,1.94,1.96,2.34,4.5,1.7,3.75,1.9,Zwolle,Feyenoord,Zwolle_Feyenoord_2020
2,3.7,1.83,1.92,1.7,3.92,3.75,2.25,3.8,3.74,4.0,1.76,1.83,-0.5,3.8,4.1,2.16,2.1,1.85,2.07,3.7,1.96,1.85,4.25,1.97,1.83,1.7,3.8,3.85,3.75,1.91,1.74,4.25,1.9,1.86,1.88,2.02,2.14,1.98,4.0,3.45,1.87,Twente,For Sittard,Twente_For Sittard_2020
3,3.6,1.9,1.94,1.84,3.94,3.6,2.03,4.0,3.7,4.0,1.89,1.87,-0.5,3.5,4.14,1.98,2.0,1.9,2.0,3.59,1.94,1.88,4.2,1.97,1.87,1.8,3.75,3.7,3.6,1.91,1.88,4.2,1.9,1.88,1.92,1.98,1.96,1.98,3.9,3.35,1.88,FC Emmen,VVV Venlo,FC Emmen_VVV Venlo_2020
4,3.8,1.73,2.05,1.7,4.39,3.9,2.23,4.5,4.01,4.5,1.76,1.73,-0.75,3.75,4.77,2.22,2.1,1.72,1.93,3.85,1.88,1.73,4.5,1.93,1.75,1.7,4.2,4.01,3.8,1.73,1.7,4.77,1.93,1.74,2.01,1.89,2.14,1.82,4.33,3.6,1.96,Heracles,Den Haag,Heracles_Den Haag_2020
5,6.5,8.75,2.07,1.3,1.25,6.5,3.7,1.22,6.61,1.25,1.33,10.0,1.75,7.0,1.28,3.59,3.5,10.0,1.88,6.39,1.83,10.0,1.26,1.85,9.75,1.3,1.25,7.0,6.5,9.63,1.32,1.29,2.03,9.51,2.06,1.84,3.47,10.5,1.22,6.0,2.02,Sparta Rotterdam,Ajax,Sparta Rotterdam_Ajax_2020
6,3.3,3.3,2.11,1.95,2.12,3.4,1.97,2.05,3.39,2.15,2.04,3.4,0.25,3.4,2.18,1.88,1.8,3.6,1.87,3.32,1.83,3.5,2.05,1.86,3.7,2.0,2.1,3.51,3.4,3.57,1.97,2.18,2.01,3.46,2.04,1.86,1.84,3.75,2.1,3.1,2.01,Groningen,PSV Eindhoven,Groningen_PSV Eindhoven_2020
7,4.2,4.4,1.87,1.5,1.65,4.2,2.63,1.61,4.19,1.63,1.55,4.8,1.0,4.2,1.68,2.62,2.5,4.75,2.17,4.1,2.1,4.8,1.67,2.12,4.75,1.5,1.65,4.33,4.1,4.78,1.51,1.74,1.77,4.64,1.78,2.13,2.54,4.95,1.62,3.85,1.76,Waalwijk,Vitesse,Waalwijk_Vitesse_2020
8,3.8,3.95,1.87,1.67,1.79,3.8,2.38,1.75,3.92,1.78,1.72,4.1,0.75,3.75,1.83,2.22,2.15,4.5,2.09,3.84,2.03,4.2,1.83,2.07,4.2,1.66,1.77,4.0,3.9,4.39,1.71,1.85,1.85,4.18,1.83,2.07,2.21,4.5,1.75,3.55,1.82,VVV Venlo,Utrecht,VVV Venlo_Utrecht_2020
9,5.0,1.35,2.11,1.51,7.77,5.25,2.75,8.0,5.3,8.5,1.55,1.36,-1.5,4.75,8.56,2.57,2.5,1.36,1.88,5.08,1.82,1.35,7.75,1.87,1.36,1.5,7.0,5.6,5.0,1.36,1.53,9.94,2.01,1.36,2.02,1.77,2.55,1.4,7.5,4.8,2.02,AZ Alkmaar,Zwolle,AZ Alkmaar_Zwolle_2020
10,4.0,1.67,1.94,1.57,4.51,4.1,2.5,5.0,4.11,4.5,1.61,1.67,-0.75,4.0,4.67,2.46,2.35,1.61,2.02,4.02,1.96,1.7,4.6,1.97,1.7,1.57,4.3,4.2,4.0,1.71,1.57,5.0,1.91,1.69,1.9,2.0,2.4,1.76,4.6,3.75,1.88,Vitesse,Sparta Rotterdam,Vitesse_Sparta Rotterdam_2020
11,7.0,1.17,1.96,1.4,14.1,7.5,3.1,13.0,7.67,17.0,1.44,1.17,-2.0,7.5,16.83,3.02,2.87,1.16,1.99,7.17,1.94,1.17,14.5,1.98,1.18,1.4,12.0,8.0,7.0,1.17,1.4,17.0,1.91,1.18,1.93,1.97,2.91,1.21,15.0,6.5,1.89,PSV Eindhoven,FC Emmen,PSV Eindhoven_FC Emmen_2020
12,3.6,3.15,2.08,1.63,2.08,3.75,2.37,2.05,3.78,2.1,1.67,3.13,0.25,3.5,2.09,2.31,2.25,3.4,1.92,3.66,1.83,3.25,2.1,1.82,3.25,1.61,2.05,3.8,3.7,3.37,1.64,2.19,2.06,3.25,2.04,1.86,2.28,3.4,2.1,3.4,2.01,For Sittard,Heerenveen,For Sittard_Heerenveen_2020
13,3.4,3.3,2.09,1.93,2.1,3.3,1.94,2.05,3.5,2.1,2.06,3.4,0.25,3.3,2.11,1.93,1.85,3.6,1.87,3.4,1.82,3.4,2.15,1.82,3.5,1.95,2.1,3.55,3.4,3.56,1.93,2.2,2.06,3.43,2.06,1.84,1.88,3.6,2.1,3.15,2.04,Den Haag,Groningen,Den Haag_Groningen_2020
14,5.0,1.4,1.94,1.47,6.79,5.0,2.79,7.0,4.93,7.0,1.5,1.4,-1.25,4.75,7.17,2.73,2.7,1.4,2.0,4.9,1.97,1.4,6.75,1.98,1.42,1.44,6.0,5.1,4.8,1.43,1.48,7.5,1.9,1.41,1.9,2.0,2.66,1.46,7.0,4.6,1.88,Feyenoord,Twente,Feyenoord_Twente_2020
15,3.5,2.1,1.91,1.83,3.26,3.5,2.04,3.5,3.53,3.2,1.9,2.1,-0.25,3.4,3.3,2.02,2.0,2.05,2.05,3.47,1.97,2.15,3.5,1.97,2.1,1.8,3.15,3.6,3.5,2.2,1.84,3.5,1.91,2.14,1.9,2.0,1.97,2.2,3.25,3.25,1.87,Willem II,Heracles,Willem II_Heracles_2020
16,13.0,1.07,1.91,1.16,30.56,13.0,5.57,26.0,14.98,41.0,1.18,1.05,-3.0,13.0,42.06,5.53,5.0,1.05,2.13,12.99,2.02,1.04,31.0,2.06,1.06,1.16,21.0,15.0,13.0,1.06,1.15,42.06,1.83,1.06,1.87,2.03,5.09,1.1,26.0,11.0,1.83,Ajax,Waalwijk,Ajax_Waalwijk_2020
17,3.4,2.25,2.02,2.14,3.16,3.5,1.81,3.1,3.53,3.1,2.24,2.25,-0.25,3.5,3.28,1.74,1.66,2.25,1.96,3.35,1.9,2.25,3.0,1.94,2.3,2.15,3.1,3.53,3.25,2.28,2.18,3.34,1.96,2.26,1.96,1.94,1.71,2.34,3.2,3.05,1.95,Twente,Groningen,Twente_Groningen_2020
18,3.7,2.1,1.98,1.69,3.15,3.7,2.25,3.1,3.84,3.1,1.76,2.15,-0.25,3.6,3.28,2.19,2.1,2.15,2.01,3.63,1.96,2.15,3.2,2.01,2.15,1.7,3.05,3.84,3.6,2.16,1.71,3.33,1.88,2.13,1.93,1.97,2.15,2.21,3.1,3.4,1.87,Zwolle,Sparta Rotterdam,Zwolle_Sparta Rotterdam_2020
19,4.5,5.0,2.08,1.5,1.51,4.6,2.66,1.5,4.7,1.5,1.54,5.75,1.0,4.5,1.53,2.64,2.5,6.5,1.89,4.52,1.83,5.8,1.53,1.83,5.5,1.5,1.5,4.8,4.5,6.08,1.5,1.57,2.07,5.62,2.04,1.86,2.55,6.5,1.5,4.2,2.02,For Sittard,AZ Alkmaar,For Sittard_AZ Alkmaar_2020
20,4.2,1.6,2.09,1.57,5.03,4.25,2.58,5.5,4.43,5.25,1.64,1.57,-1.0,4.0,5.27,2.48,2.35,1.6,1.89,4.2,1.83,1.6,5.25,1.86,1.6,1.57,4.7,4.5,4.2,1.63,1.57,5.5,2.03,1.6,2.05,1.85,2.38,1.67,5.25,3.9,2.01,Heerenveen,VVV Venlo,Heerenveen_VVV Venlo_2020
21,6.0,1.27,2.03,1.32,8.79,6.0,3.55,9.0,6.31,9.5,1.35,1.25,-1.75,5.5,9.79,3.45,3.4,1.28,1.95,6.03,1.89,1.27,8.75,1.92,1.3,1.33,7.75,6.76,6.0,1.3,1.33,10.49,1.97,1.28,1.98,1.92,3.34,1.33,9.5,5.75,1.95,Ajax,Vitesse,Ajax_Vitesse_2020
22,6.5,1.2,2.06,1.34,10.88,7.0,3.45,9.5,6.63,11.0,1.36,1.2,-2.0,6.0,11.32,3.4,3.4,1.22,1.93,6.51,1.84,1.22,12.0,1.85,1.22,1.33,10.0,7.0,6.5,1.25,1.33,13.0,2.02,1.22,2.02,1.88,3.23,1.26,12.0,6.25,2.0,Feyenoord,Den Haag,Feyenoord_Den Haag_2020
23,6.0,1.27,1.98,1.34,9.14,6.5,3.55,10.0,6.17,9.5,1.37,1.25,-1.75,6.5,9.99,3.35,3.1,1.25,1.97,6.01,1.91,1.27,10.0,1.93,1.26,1.36,8.0,6.5,6.0,1.3,1.34,10.0,1.96,1.28,1.96,1.94,3.21,1.33,9.5,5.75,1.93,Utrecht,Waalwijk,Utrecht_Waalwijk_2020
24,3.5,2.6,2.04,1.77,2.52,3.6,2.17,2.45,3.56,2.55,1.83,2.63,0.0,3.4,2.62,2.05,2.07,2.75,1.91,3.46,1.86,2.62,2.6,1.9,2.6,1.72,2.45,3.6,3.5,2.74,1.83,2.67,1.99,2.66,2.01,1.89,2.04,2.75,2.5,3.2,1.98,FC Emmen,Willem II,FC Emmen_Willem II_2020
25,4.0,3.95,1.92,1.58,1.75,4.0,2.48,1.75,4.18,1.75,1.62,4.1,0.75,3.8,1.76,2.41,2.35,4.2,2.07,3.97,1.98,4.2,1.75,1.97,4.33,1.57,1.73,4.2,3.9,4.48,1.6,1.85,1.92,4.18,1.9,2.0,2.35,4.48,1.75,3.7,1.86,Heracles,PSV Eindhoven,Heracles_PSV Eindhoven_2020
26,4.2,1.67,1.92,1.45,4.38,4.5,2.86,4.5,4.59,4.6,1.48,1.65,-0.75,4.5,4.48,2.82,2.7,1.61,2.07,4.32,2.0,1.65,4.33,2.02,1.67,1.44,4.3,4.59,4.2,1.69,1.46,4.8,1.88,1.67,1.85,2.05,2.7,1.74,4.5,4.0,1.84,Utrecht,Heerenveen,Utrecht_Heerenveen_2020
27,3.9,1.67,1.92,1.58,4.73,4.33,2.45,4.75,4.15,4.8,1.62,1.65,-0.75,4.2,5.02,2.42,2.35,1.61,2.06,4.02,1.99,1.67,5.0,2.02,1.62,1.57,4.6,4.33,4.1,1.69,1.6,5.02,1.87,1.66,1.88,2.02,2.36,1.75,4.6,3.75,1.85,Vitesse,Heracles,Vitesse_Heracles_2020
28,3.5,1.95,2.05,1.74,3.71,3.7,2.17,3.75,3.77,3.8,1.78,1.95,-0.5,3.6,3.98,2.14,2.07,1.9,1.98,3.6,1.89,1.95,3.9,1.94,1.91,1.72,3.65,3.8,3.6,1.95,1.75,3.98,1.94,1.94,1.99,1.91,2.09,2.05,3.6,3.4,1.96,VVV Venlo,Den Haag,VVV Venlo_Den Haag_2020
29,3.7,1.83,1.94,1.67,4.0,3.8,2.29,4.0,3.95,4.0,1.73,1.83,-0.5,3.75,4.28,2.26,2.2,1.83,2.08,3.77,2.0,1.85,4.1,2.07,1.85,1.65,3.95,3.95,3.8,1.84,1.68,4.28,1.83,1.83,1.88,2.02,2.19,1.94,3.9,3.55,1.84,Twente,FC Emmen,Twente_FC Emmen_2020
30,4.6,6.5,2.06,1.48,1.41,5.0,2.72,1.4,5.12,1.42,1.52,7.0,1.25,5.0,1.44,2.67,2.6,6.5,1.93,4.88,1.87,7.0,1.44,1.88,6.5,1.47,1.4,5.12,4.8,6.98,1.5,1.45,2.01,6.65,2.0,1.9,2.61,7.35,1.4,4.7,1.97,Groningen,Ajax,Groningen_Ajax_2020
31,3.9,4.5,2.04,1.6,1.67,4.2,2.41,1.66,4.2,1.67,1.64,4.75,0.75,4.0,1.7,2.36,2.3,5.0,1.9,4.04,1.86,4.8,1.67,1.88,4.75,1.6,1.67,4.2,4.0,4.86,1.63,1.73,2.0,4.62,2.01,1.89,2.31,5.0,1.65,3.85,1.98,Sparta Rotterdam,AZ Alkmaar,Sparta Rotterdam_AZ Alkmaar_2020
