,HTHG,Div,AwayTeam,FTR,HTAG,Date,HTR,HomeTeam,FTHG,FTAG,idGame
0,2,N1,PSV Eindhoven,D,1,2003-08-15,H,Roda JC,2,2,Roda JC_PSV Eindhoven_2003
1,0,N1,Roosendaal,H,1,2003-08-16,A,Twente,3,1,Twente_Roosendaal_2003
2,0,N1,Den Haag,H,0,2003-08-16,D,Waalwijk,1,0,Waalwijk_Den Haag_2003
3,1,N1,AZ Alkmaar,H,0,2003-08-16,H,Willem II,1,0,Willem II_AZ Alkmaar_2003
4,0,N1,Nijmegen,H,0,2003-08-17,D,Feyenoord,2,1,Feyenoord_Nijmegen_2003
5,1,N1,NAC Breda,H,0,2003-08-17,H,Groningen,1,0,Groningen_NAC Breda_2003
6,1,N1,Zwolle,H,0,2003-08-17,H,Utrecht,1,0,Utrecht_Zwolle_2003
7,1,N1,Ajax,A,1,2003-08-17,D,Vitesse,1,2,Vitesse_Ajax_2003
8,0,N1,Heerenveen,A,1,2003-08-17,A,Volendam,0,1,Volendam_Heerenveen_2003
9,1,N1,Twente,H,0,2003-08-22,H,AZ Alkmaar,3,0,AZ Alkmaar_Twente_2003
10,0,N1,Utrecht,D,1,2003-08-23,A,Den Haag,1,1,Den Haag_Utrecht_2003
11,1,N1,Feyenoord,H,0,2003-08-23,H,Heerenveen,1,0,Heerenveen_Feyenoord_2003
12,0,N1,Vitesse,H,0,2003-08-23,D,NAC Breda,2,0,NAC Breda_Vitesse_2003
13,4,N1,Willem II,H,1,2003-08-23,H,PSV Eindhoven,6,1,PSV Eindhoven_Willem II_2003
14,0,N1,Ajax,A,1,2003-08-23,A,Roosendaal,0,1,Roosendaal_Ajax_2003
15,0,N1,Roda JC,A,1,2003-08-24,A,Nijmegen,1,3,Nijmegen_Roda JC_2003
16,2,N1,Groningen,H,0,2003-08-24,H,Volendam,3,0,Volendam_Groningen_2003
17,0,N1,Waalwijk,A,2,2003-08-24,A,Zwolle,0,3,Zwolle_Waalwijk_2003
18,0,N1,AZ Alkmaar,A,1,2003-08-29,A,Vitesse,1,2,Vitesse_AZ Alkmaar_2003
19,2,N1,Heerenveen,H,0,2003-08-29,H,Willem II,2,0,Willem II_Heerenveen_2003
20,0,N1,Roosendaal,A,1,2003-08-30,A,Roda JC,0,2,Roda JC_Roosendaal_2003
21,0,N1,PSV Eindhoven,A,2,2003-08-30,A,Twente,0,2,Twente_PSV Eindhoven_2003
22,1,N1,Zwolle,H,0,2003-08-31,H,Ajax,1,0,Ajax_Zwolle_2003
23,0,N1,NAC Breda,H,1,2003-08-31,A,Feyenoord,2,1,Feyenoord_NAC Breda_2003
24,1,N1,Den Haag,H,0,2003-08-31,H,Groningen,2,0,Groningen_Den Haag_2003
25,0,N1,Nijmegen,A,1,2003-08-31,A,Utrecht,0,1,Utrecht_Nijmegen_2003
26,3,N1,Volendam,H,0,2003-08-31,H,Waalwijk,3,0,Waalwijk_Volendam_2003
27,1,N1,Volendam,D,1,2003-09-12,D,Den Haag,1,1,Den Haag_Volendam_2003
28,2,N1,Waalwijk,H,0,2003-09-13,H,Ajax,4,1,Ajax_Waalwijk_2003
29,1,N1,Groningen,H,0,2003-09-13,H,Heerenveen,1,0,Heerenveen_Groningen_2003
30,1,N1,Utrecht,H,0,2003-09-13,H,PSV Eindhoven,2,1,PSV Eindhoven_Utrecht_2003
31,0,N1,Vitesse,D,1,2003-09-13,A,Roosendaal,1,1,Roosendaal_Vitesse_2003
32,0,N1,Roda JC,D,0,2003-09-13,D,Zwolle,0,0,Zwolle_Roda JC_2003
33,2,N1,Feyenoord,D,1,2003-09-14,H,AZ Alkmaar,2,2,AZ Alkmaar_Feyenoord_2003
34,0,N1,Willem II,D,1,2003-09-14,A,NAC Breda,1,1,NAC Breda_Willem II_2003
35,0,N1,Twente,H,1,2003-09-14,A,Nijmegen,2,1,Nijmegen_Twente_2003
36,1,N1,Nijmegen,A,2,2003-09-19,A,Volendam,2,3,Volendam_Nijmegen_2003
37,2,N1,Heerenveen,H,1,2003-09-20,H,AZ Alkmaar,3,1,AZ Alkmaar_Heerenveen_2003
38,0,N1,Roosendaal,A,1,2003-09-20,A,Den Haag,1,2,Den Haag_Roosendaal_2003
39,1,N1,Waalwijk,H,0,2003-09-20,H,Twente,2,1,Twente_Waalwijk_2003
40,1,N1,Roda JC,D,1,2003-09-20,D,Vitesse,1,1,Vitesse_Roda JC_2003
41,1,N1,Zwolle,H,0,2003-09-20,H,Willem II,2,1,Willem II_Zwolle_2003
42,1,N1,PSV Eindhoven,A,1,2003-09-21,D,Feyenoord,1,3,Feyenoord_PSV Eindhoven_2003
43,1,N1,Utrecht,D,1,2003-09-21,D,Groningen,1,1,Groningen_Utrecht_2003
44,3,N1,Ajax,H,0,2003-09-21,H,NAC Breda,4,2,NAC Breda_Ajax_2003
45,2,N1,Twente,H,0,2003-09-27,H,Heerenveen,3,0,Heerenveen_Twente_2003
46,0,N1,AZ Alkmaar,A,0,2003-09-27,D,PSV Eindhoven,0,1,PSV Eindhoven_AZ Alkmaar_2003
47,0,N1,Volendam,D,1,2003-09-27,A,Roosendaal,1,1,Roosendaal_Volendam_2003
48,2,N1,Willem II,H,0,2003-09-28,H,Ajax,6,0,Ajax_Willem II_2003
49,1,N1,Den Haag,A,0,2003-09-28,H,Nijmegen,1,2,Nijmegen_Den Haag_2003
50,0,N1,Groningen,D,0,2003-09-28,D,Roda JC,0,0,Roda JC_Groningen_2003
51,1,N1,Vitesse,A,1,2003-09-28,D,Utrecht,1,3,Utrecht_Vitesse_2003
52,1,N1,NAC Breda,H,0,2003-09-28,H,Waalwijk,2,0,Waalwijk_NAC Breda_2003
53,0,N1,Feyenoord,A,0,2003-09-28,D,Zwolle,0,3,Zwolle_Feyenoord_2003
54,2,N1,Twente,A,3,2003-10-03,A,Vitesse,3,5,Vitesse_Twente_2003
55,1,N1,Nijmegen,H,0,2003-10-04,H,AZ Alkmaar,2,0,AZ Alkmaar_Nijmegen_2003
56,0,N1,PSV Eindhoven,A,1,2003-10-04,A,Den Haag,0,4,Den Haag_PSV Eindhoven_2003
57,1,N1,Waalwijk,H,0,2003-10-04,H,Heerenveen,1,0,Heerenveen_Waalwijk_2003
58,1,N1,Utrecht,A,0,2003-10-04,H,NAC Breda,1,2,NAC Breda_Utrecht_2003
59,0,N1,Roda JC,A,1,2003-10-04,A,Willem II,0,2,Willem II_Roda JC_2003
60,1,N1,Roosendaal,H,0,2003-10-05,H,Feyenoord,2,0,Feyenoord_Roosendaal_2003
61,1,N1,Ajax,A,1,2003-10-05,D,Groningen,1,3,Groningen_Ajax_2003
62,1,N1,Zwolle,D,2,2003-10-05,A,Volendam,2,2,Volendam_Zwolle_2003
63,3,N1,Volendam,H,1,2003-10-17,H,Ajax,5,1,Ajax_Volendam_2003
64,1,N1,Heerenveen,H,0,2003-10-18,H,PSV Eindhoven,2,0,PSV Eindhoven_Heerenveen_2003
65,0,N1,Willem II,D,0,2003-10-18,D,Roosendaal,0,0,Roosendaal_Willem II_2003
66,1,N1,Vitesse,D,0,2003-10-18,H,Waalwijk,2,2,Waalwijk_Vitesse_2003
67,0,N1,NAC Breda,A,2,2003-10-19,A,Nijmegen,0,3,Nijmegen_NAC Breda_2003
68,1,N1,Feyenoord,D,1,2003-10-19,D,Roda JC,1,1,Roda JC_Feyenoord_2003
69,3,N1,Groningen,H,2,2003-10-19,H,Twente,5,3,Twente_Groningen_2003
70,0,N1,AZ Alkmaar,A,3,2003-10-19,A,Utrecht,0,3,Utrecht_AZ Alkmaar_2003
71,1,N1,Den Haag,A,1,2003-10-19,D,Zwolle,1,2,Zwolle_Den Haag_2003
72,0,N1,Roda JC,H,1,2003-10-24,A,Volendam,2,1,Volendam_Roda JC_2003
