,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,2,Utrecht,11,0,0,3,0,0,1,1,12,A,16,2017-08-11,Den Haag,N1,8,6,8,17,A,5,Den Haag_Utrecht_2017
1,1,Ajax,15,2,0,1,0,0,0,1,16,H,29,2017-08-12,Heracles,N1,11,8,3,14,D,8,Heracles_Ajax_2017
2,0,AZ Alkmaar,10,3,0,2,1,0,1,3,16,H,15,2017-08-12,PSV Eindhoven,N1,8,9,10,25,D,7,PSV Eindhoven_AZ Alkmaar_2017
3,0,NAC Breda,7,4,0,1,3,0,0,1,12,H,5,2017-08-12,Vitesse,N1,4,6,9,16,H,3,Vitesse_NAC Breda_2017
4,0,Sparta Rotterdam,15,3,1,0,1,0,0,1,15,H,8,2017-08-12,VVV Venlo,N1,2,6,3,12,H,5,VVV Venlo_Sparta Rotterdam_2017
5,2,Twente,10,2,0,1,1,0,1,4,24,H,7,2017-08-13,Feyenoord,N1,3,7,4,15,D,1,Feyenoord_Twente_2017
6,1,Heerenveen,11,3,0,3,0,0,2,2,15,D,19,2017-08-13,Groningen,N1,8,5,6,16,A,6,Groningen_Heerenveen_2017
7,3,Excelsior,7,1,0,2,0,0,1,3,13,A,9,2017-08-13,Willem II,N1,3,2,8,9,A,1,Willem II_Excelsior_2017
8,0,Roda,8,4,0,2,1,0,1,1,9,H,10,2017-08-13,Zwolle,N1,6,10,7,29,D,2,Zwolle_Roda_2017
9,1,Vitesse,17,1,0,3,0,0,1,2,14,A,10,2017-08-18,Roda,N1,4,4,5,15,A,9,Roda_Vitesse_2017
10,2,Den Haag,12,2,1,0,1,0,0,3,11,H,6,2017-08-19,AZ Alkmaar,N1,1,9,8,32,H,8,AZ Alkmaar_Den Haag_2017
11,3,Heracles,15,1,0,1,0,0,1,0,13,D,7,2017-08-19,Heerenveen,N1,3,6,10,19,A,3,Heerenveen_Heracles_2017
12,2,VVV Venlo,7,1,0,2,0,0,2,2,5,A,9,2017-08-19,Twente,N1,5,4,3,11,A,6,Twente_VVV Venlo_2017
13,0,Groningen,9,3,0,1,1,0,0,3,11,H,7,2017-08-20,Ajax,N1,2,7,12,27,H,2,Ajax_Groningen_2017
14,1,Feyenoord,19,0,0,1,0,0,1,2,14,A,11,2017-08-20,Excelsior,N1,3,4,3,7,A,6,Excelsior_Feyenoord_2017
15,3,PSV Eindhoven,20,1,0,4,1,0,1,1,13,A,26,2017-08-20,NAC Breda,N1,9,4,6,9,D,8,NAC Breda_PSV Eindhoven_2017
16,4,Zwolle,0,1,0,1,1,0,1,3,5,D,12,2017-08-20,Sparta Rotterdam,N1,4,4,1,7,D,9,Sparta Rotterdam_Zwolle_2017
17,0,Willem II,12,2,0,0,2,0,0,2,13,H,4,2017-08-20,Utrecht,N1,1,5,3,9,H,4,Utrecht_Willem II_2017
18,4,Sparta Rotterdam,16,2,0,2,1,0,0,2,18,D,10,2017-08-25,NAC Breda,N1,3,7,9,11,H,6,NAC Breda_Sparta Rotterdam_2017
19,1,Heerenveen,9,1,0,2,0,0,0,2,18,A,16,2017-08-26,Den Haag,N1,9,1,5,13,D,7,Den Haag_Heerenveen_2017
20,1,Excelsior,10,2,1,2,1,0,1,2,17,D,11,2017-08-26,Heracles,N1,5,6,3,18,D,4,Heracles_Excelsior_2017
21,1,AZ Alkmaar,8,1,0,2,0,0,1,3,15,A,27,2017-08-26,Vitesse,N1,9,4,4,16,A,7,Vitesse_AZ Alkmaar_2017
22,2,Twente,12,2,0,0,1,0,0,3,12,H,10,2017-08-26,Zwolle,N1,3,4,4,16,H,5,Zwolle_Twente_2017
23,0,Willem II,9,5,0,0,4,0,0,1,10,H,4,2017-08-27,Feyenoord,N1,1,8,11,16,H,1,Feyenoord_Willem II_2017
24,2,Utrecht,16,2,0,1,2,0,0,3,12,H,30,2017-08-27,Groningen,N1,13,3,0,5,H,13,Groningen_Utrecht_2017
25,0,Roda,10,2,0,0,2,0,0,1,14,H,6,2017-08-27,PSV Eindhoven,N1,2,9,5,23,H,4,PSV Eindhoven_Roda_2017
26,2,Ajax,7,0,0,2,0,0,0,1,7,A,22,2017-08-27,VVV Venlo,N1,7,3,3,11,D,8,VVV Venlo_Ajax_2017
27,2,Zwolle,10,3,0,0,1,0,0,1,18,H,11,2017-09-09,Ajax,N1,3,8,5,21,H,4,Ajax_Zwolle_2017
28,2,Vitesse,10,0,0,3,0,0,1,1,10,A,12,2017-09-09,Excelsior,N1,4,1,5,7,A,5,Excelsior_Vitesse_2017
29,3,Feyenoord,15,2,0,4,0,0,3,2,10,A,19,2017-09-09,Heracles,N1,10,6,3,12,A,6,Heracles_Feyenoord_2017
30,1,Den Haag,17,1,0,2,0,0,1,1,18,A,12,2017-09-09,Willem II,N1,5,3,2,7,A,2,Willem II_Den Haag_2017
31,1,NAC Breda,16,2,0,1,0,0,0,1,17,H,12,2017-09-10,AZ Alkmaar,N1,3,6,7,16,D,5,AZ Alkmaar_NAC Breda_2017
32,2,VVV Venlo,9,1,0,1,1,0,0,2,11,D,18,2017-09-10,Groningen,N1,6,6,5,12,H,6,Groningen_VVV Venlo_2017
33,0,PSV Eindhoven,10,2,1,0,2,0,0,3,14,H,7,2017-09-10,Heerenveen,N1,3,3,8,19,H,4,Heerenveen_PSV Eindhoven_2017
