,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,17:45:00,2,Willem II,12,0,2,0,1,0,0,3,13,H,10,2020-09-12,Heerenveen,N1,5,7,3,13,H,10,Heerenveen_Willem II_2020
1,19:00:00,3,Feyenoord,15,0,0,2,0,0,1,1,11,A,13,2020-09-12,Zwolle,N1,6,5,3,17,A,3,Zwolle_Feyenoord_2020
2,20:00:00,1,For Sittard,9,0,2,0,1,0,0,0,13,H,2,2020-09-12,Twente,N1,0,5,7,14,H,2,Twente_For Sittard_2020
3,11:15:00,2,VVV Venlo,10,0,3,5,1,0,0,3,13,A,14,2020-09-13,FC Emmen,N1,7,5,7,15,H,3,FC Emmen_VVV Venlo_2020
4,13:30:00,1,Den Haag,5,1,2,0,0,0,0,3,15,H,8,2020-09-13,Heracles,N1,1,5,7,22,D,2,Heracles_Den Haag_2020
5,13:30:00,2,Ajax,13,1,0,1,0,0,1,3,13,A,9,2020-09-13,Sparta Rotterdam,N1,4,3,2,14,A,1,Sparta Rotterdam_Ajax_2020
6,15:45:00,4,PSV Eindhoven,12,0,1,3,0,0,1,2,10,A,16,2020-09-13,Groningen,N1,6,2,3,14,A,1,Groningen_PSV Eindhoven_2020
7,15:45:00,1,Vitesse,11,0,0,1,0,0,1,1,17,A,17,2020-09-13,Waalwijk,N1,6,3,0,7,A,6,Waalwijk_Vitesse_2020
8,19:00:00,2,Utrecht,15,0,1,1,1,0,0,1,7,D,26,2020-09-18,VVV Venlo,N1,8,3,5,9,H,12,VVV Venlo_Utrecht_2020
9,15:30:00,0,Zwolle,7,1,1,1,0,1,1,5,22,D,14,2020-09-19,AZ Alkmaar,N1,4,3,6,13,A,2,AZ Alkmaar_Zwolle_2020
10,17:45:00,2,Sparta Rotterdam,4,1,2,0,1,0,0,4,15,H,2,2020-09-19,Vitesse,N1,1,9,6,26,H,7,Vitesse_Sparta Rotterdam_2020
11,19:00:00,0,FC Emmen,8,0,2,1,1,0,0,3,12,H,7,2020-09-19,PSV Eindhoven,N1,2,5,7,21,H,5,PSV Eindhoven_FC Emmen_2020
12,20:00:00,4,Heerenveen,9,0,1,3,0,0,3,0,11,A,10,2020-09-19,For Sittard,N1,5,7,14,25,A,2,For Sittard_Heerenveen_2020
13,11:15:00,1,Groningen,12,0,0,1,0,0,1,1,11,A,13,2020-09-20,Den Haag,N1,6,0,3,6,A,8,Den Haag_Groningen_2020
14,13:30:00,2,Twente,7,0,1,1,1,0,1,2,20,D,10,2020-09-20,Feyenoord,N1,3,5,8,18,D,4,Feyenoord_Twente_2020
15,13:30:00,1,Heracles,10,0,4,0,0,0,0,0,8,H,7,2020-09-20,Willem II,N1,2,5,8,19,D,5,Willem II_Heracles_2020
16,15:45:00,1,Waalwijk,8,1,3,0,2,0,0,0,6,H,6,2020-09-20,Ajax,N1,3,10,4,23,H,3,Ajax_Waalwijk_2020
17,19:00:00,0,Groningen,11,0,3,1,2,0,0,1,4,H,11,2020-09-25,Twente,N1,5,7,1,7,H,3,Twente_Groningen_2020
18,15:30:00,1,Sparta Rotterdam,12,1,4,0,1,0,0,1,10,H,9,2020-09-26,Zwolle,N1,2,8,9,20,H,5,Zwolle_Sparta Rotterdam_2020
19,17:45:00,2,AZ Alkmaar,9,0,3,3,1,0,1,1,13,D,12,2020-09-26,For Sittard,N1,4,5,5,13,D,8,For Sittard_AZ Alkmaar_2020
20,19:00:00,1,VVV Venlo,12,2,1,0,1,0,0,1,10,H,13,2020-09-26,Heerenveen,N1,2,8,8,16,H,5,Heerenveen_VVV Venlo_2020
21,20:00:00,3,Vitesse,13,0,2,1,1,1,0,4,15,H,24,2020-09-26,Ajax,N1,5,4,7,18,H,4,Ajax_Vitesse_2020
22,11:15:00,2,Den Haag,10,0,4,2,1,0,1,1,11,H,11,2020-09-27,Feyenoord,N1,5,12,10,24,D,4,Feyenoord_Den Haag_2020
23,13:30:00,0,Waalwijk,7,0,3,1,1,0,0,0,14,H,12,2020-09-27,Utrecht,N1,4,7,6,12,H,1,Utrecht_Waalwijk_2020
24,15:45:00,1,Willem II,14,0,1,1,1,1,1,1,7,D,14,2020-09-27,FC Emmen,N1,2,2,2,10,D,8,FC Emmen_Willem II_2020
25,15:45:00,4,PSV Eindhoven,16,0,1,1,1,0,0,2,11,D,9,2020-09-27,Heracles,N1,2,2,4,9,H,2,Heracles_PSV Eindhoven_2020
26,19:00:00,1,Heerenveen,7,1,1,1,1,0,1,2,14,D,10,2020-10-02,Utrecht,N1,3,6,16,38,D,2,Utrecht_Heerenveen_2020
27,15:30:00,2,Heracles,9,0,3,0,2,0,0,1,9,H,3,2020-10-03,Vitesse,N1,0,7,7,15,H,4,Vitesse_Heracles_2020
28,19:00:00,2,Den Haag,12,0,1,2,1,0,1,1,7,A,15,2020-10-03,VVV Venlo,N1,5,3,4,10,D,1,VVV Venlo_Den Haag_2020
29,20:00:00,1,FC Emmen,10,0,1,1,0,0,0,1,10,D,7,2020-10-03,Twente,N1,2,7,2,17,D,1,Twente_FC Emmen_2020
30,11:15:00,0,Ajax,10,0,1,0,0,0,0,1,9,H,19,2020-10-04,Groningen,N1,3,3,1,11,D,11,Groningen_Ajax_2020
31,13:30:00,1,AZ Alkmaar,17,1,4,4,0,0,4,4,14,D,15,2020-10-04,Sparta Rotterdam,N1,6,7,5,17,A,6,Sparta Rotterdam_AZ Alkmaar_2020
32,13:30:00,1,Feyenoord,15,0,1,4,1,0,1,1,20,A,16,2020-10-04,Willem II,N1,8,3,1,6,D,4,Willem II_Feyenoord_2020
33,15:45:00,0,For Sittard,12,0,2,0,1,0,0,1,10,H,16,2020-10-04,PSV Eindhoven,N1,5,5,6,9,H,3,PSV Eindhoven_For Sittard_2020
34,17:45:00,1,Waalwijk,20,0,0,1,0,0,1,1,15,A,5,2020-10-17,Heracles,N1,1,6,6,24,A,2,Heracles_Waalwijk_2020
35,19:00:00,1,VVV Venlo,11,0,2,2,2,1,0,3,20,D,11,2020-10-17,AZ Alkmaar,N1,4,7,6,20,H,2,AZ Alkmaar_VVV Venlo_2020
36,20:00:00,3,Twente,10,0,0,3,0,0,1,1,7,A,16,2020-10-17,Willem II,N1,8,9,12,18,A,3,Willem II_Twente_2020
37,11:15:00,3,Sparta Rotterdam,10,0,1,1,1,0,0,1,18,D,11,2020-10-18,Feyenoord,N1,5,1,8,11,H,4,Feyenoord_Sparta Rotterdam_2020
38,13:30:00,1,Heerenveen,10,0,5,1,3,0,0,2,14,H,9,2020-10-18,Ajax,N1,5,5,5,16,H,9,Ajax_Heerenveen_2020
39,13:30:00,2,Vitesse,15,1,0,2,0,0,1,3,7,A,20,2020-10-18,Den Haag,N1,8,4,3,11,A,3,Den Haag_Vitesse_2020
40,15:45:00,5,Utrecht,15,0,0,0,0,0,0,0,6,D,14,2020-10-18,Groningen,N1,6,1,4,16,D,4,Groningen_Utrecht_2020
41,15:45:00,2,PSV Eindhoven,11,0,0,3,0,0,3,2,17,A,12,2020-10-18,Zwolle,N1,5,3,4,12,A,3,Zwolle_PSV Eindhoven_2020
42,19:00:00,2,For Sittard,8,0,2,2,0,0,2,1,15,D,15,2020-10-18,FC Emmen,N1,5,8,5,17,A,3,FC Emmen_For Sittard_2020
43,16:30:00,2,Zwolle,12,0,1,1,0,0,0,2,13,D,21,2020-10-21,Waalwijk,N1,6,3,9,11,D,5,Waalwijk_Zwolle_2020
44,15:30:00,1,Ajax,12,0,0,13,0,1,4,0,9,A,45,2020-10-24,VVV Venlo,N1,23,0,3,3,A,12,VVV Venlo_Ajax_2020
45,17:45:00,1,Twente,7,0,2,1,1,0,1,4,13,H,9,2020-10-24,Utrecht,N1,3,5,7,12,D,4,Utrecht_Twente_2020
46,19:00:00,3,Willem II,12,0,0,0,0,1,0,1,10,D,12,2020-10-24,Zwolle,N1,3,4,9,20,D,3,Zwolle_Willem II_2020
47,20:00:00,2,FC Emmen,6,2,4,0,2,0,0,3,7,H,9,2020-10-24,Heerenveen,N1,2,5,5,14,H,8,Heerenveen_FC Emmen_2020
48,11:15:00,1,Groningen,12,0,1,3,0,0,2,1,8,A,17,2020-10-25,For Sittard,N1,10,2,1,5,A,6,For Sittard_Groningen_2020
49,13:30:00,2,Heracles,13,0,1,1,0,1,0,3,12,D,19,2020-10-25,Sparta Rotterdam,N1,2,5,4,10,D,9,Sparta Rotterdam_Heracles_2020
50,13:30:00,3,PSV Eindhoven,13,0,2,1,1,0,0,0,13,H,12,2020-10-25,Vitesse,N1,4,5,4,7,H,5,Vitesse_PSV Eindhoven_2020
