year,team,type_rating,value_rating
2016,AZ Alkmaar,static_ft_total_g>35,382
2016,AZ Alkmaar,static_ft_total_g>35,382
2016,Ajax,static_ft_total_g>35,382
2016,Ajax,static_ft_total_g>35,382
2016,Ajax ,static_ft_total_g>35,205
2016,Ajax ,static_ft_total_g>35,205
2016,Cambuur,static_ft_total_g>35,205
2016,Cambuur,static_ft_total_g>35,205
2016,Den Bosch,static_ft_total_g>35,205
2016,Den Bosch,static_ft_total_g>35,205
2016,Den Haag,static_ft_total_g>35,264
2016,Den Haag,static_ft_total_g>35,264
2016,Dordrecht,static_ft_total_g>35,205
2016,Dordrecht,static_ft_total_g>35,205
2016,Excelsior,static_ft_total_g>35,382
2016,Excelsior,static_ft_total_g>35,382
2016,FC Emmen,static_ft_total_g>35,205
2016,FC Emmen,static_ft_total_g>35,205
2016,Feyenoord,static_ft_total_g>35,411
2016,Feyenoord,static_ft_total_g>35,411
2016,Feyenoord ,static_ft_total_g>35,205
2016,Feyenoord ,static_ft_total_g>35,205
2016,For Sittard,static_ft_total_g>35,205
2016,For Sittard,static_ft_total_g>35,205
2016,Go Ahead Eagles,static_ft_total_g>35,441
2016,Go Ahead Eagles,static_ft_total_g>35,441
2016,Graafschap,static_ft_total_g>35,205
2016,Graafschap,static_ft_total_g>35,205
2016,Graafschap ,static_ft_total_g>35,205
2016,Graafschap ,static_ft_total_g>35,205
2016,Groningen,static_ft_total_g>35,352
2016,Groningen,static_ft_total_g>35,352
2016,Groningen ,static_ft_total_g>35,205
2016,Groningen ,static_ft_total_g>35,205
2016,Heerenveen,static_ft_total_g>35,382
2016,Heerenveen,static_ft_total_g>35,382
2016,Heracles,static_ft_total_g>35,470
2016,Heracles,static_ft_total_g>35,470
2016,Heracles ,static_ft_total_g>35,205
2016,Heracles ,static_ft_total_g>35,205
2016,NAC Breda,static_ft_total_g>35,205
2016,NAC Breda,static_ft_total_g>35,205
2016,Nijmegen,static_ft_total_g>35,264
2016,Nijmegen,static_ft_total_g>35,264
2016,PSV Eindhoven,static_ft_total_g>35,352
2016,PSV Eindhoven,static_ft_total_g>35,352
2016,Roda,static_ft_total_g>35,264
2016,Roda,static_ft_total_g>35,264
2016,Roda ,static_ft_total_g>35,205
2016,Roda ,static_ft_total_g>35,205
2016,Roda JC,static_ft_total_g>35,205
2016,Roda JC,static_ft_total_g>35,205
2016,Roosendaal,static_ft_total_g>35,205
2016,Roosendaal,static_ft_total_g>35,205
2016,Sparta,static_ft_total_g>35,205
2016,Sparta,static_ft_total_g>35,205
2016,Sparta Rotterdam,static_ft_total_g>35,470
2016,Sparta Rotterdam,static_ft_total_g>35,470
2016,Twente,static_ft_total_g>35,264
2016,Twente,static_ft_total_g>35,264
2016,Utrecht,static_ft_total_g>35,235
2016,Utrecht,static_ft_total_g>35,235
2016,Utrecht ,static_ft_total_g>35,205
2016,Utrecht ,static_ft_total_g>35,205
2016,VVV Venlo,static_ft_total_g>35,205
2016,VVV Venlo,static_ft_total_g>35,205
2016,Vitesse,static_ft_total_g>35,294
2016,Vitesse,static_ft_total_g>35,294
2016,Vitesse ,static_ft_total_g>35,205
2016,Vitesse ,static_ft_total_g>35,205
2016,Volendam,static_ft_total_g>35,205
2016,Volendam,static_ft_total_g>35,205
2016,Waalwijk,static_ft_total_g>35,205
2016,Waalwijk,static_ft_total_g>35,205
2016,Willem II,static_ft_total_g>35,205
2016,Willem II,static_ft_total_g>35,205
2016,Willem II ,static_ft_total_g>35,205
2016,Willem II ,static_ft_total_g>35,205
2016,Zwolle,static_ft_total_g>35,411
2016,Zwolle,static_ft_total_g>35,411
2016,AZ Alkmaar,static_ft_away_g<35,764
2016,Ajax,static_ft_away_g<35,705
2016,Ajax ,static_ft_away_g<35,470
2016,Cambuur,static_ft_away_g<35,470
2016,Den Bosch,static_ft_away_g<35,470
2016,Den Haag,static_ft_away_g<35,647
2016,Dordrecht,static_ft_away_g<35,470
2016,Excelsior,static_ft_away_g<35,647
2016,FC Emmen,static_ft_away_g<35,470
2016,Feyenoord,static_ft_away_g<35,764
2016,Feyenoord ,static_ft_away_g<35,470
2016,For Sittard,static_ft_away_g<35,470
2016,Go Ahead Eagles,static_ft_away_g<35,705
2016,Graafschap,static_ft_away_g<35,470
