year,team,type_rating,value_rating
2007,AZ Alkmaar,static_ft_total_g>35,463.9
2008,AZ Alkmaar,static_ft_total_g>35,431.5
2009,AZ Alkmaar,static_ft_total_g>35,340.3
2010,AZ Alkmaar,static_ft_total_g>35,293.3
2011,AZ Alkmaar,static_ft_total_g>35,273.0
2012,AZ Alkmaar,static_ft_total_g>35,314.3
2013,AZ Alkmaar,static_ft_total_g>35,376.2
2014,AZ Alkmaar,static_ft_total_g>35,367.3
2015,AZ Alkmaar,static_ft_total_g>35,423.3
2016,AZ Alkmaar,static_ft_total_g>35,481.9
2017,AZ Alkmaar,static_ft_total_g>35,452.5
2018,AZ Alkmaar,static_ft_total_g>35,417.0
2019,AZ Alkmaar,static_ft_total_g>35,402.2
2020,AZ Alkmaar,static_ft_total_g>35,343.9
2007,Go Ahead Eagles,static_ft_total_g>35,205.2
2008,Go Ahead Eagles,static_ft_total_g>35,231.6
2009,Go Ahead Eagles,static_ft_total_g>35,211.1
2010,Go Ahead Eagles,static_ft_total_g>35,220.1
2011,Go Ahead Eagles,static_ft_total_g>35,249.7
2012,Go Ahead Eagles,static_ft_total_g>35,246.8
2013,Go Ahead Eagles,static_ft_total_g>35,234.8
2014,Go Ahead Eagles,static_ft_total_g>35,314.3
2015,Go Ahead Eagles,static_ft_total_g>35,326.0
2016,Go Ahead Eagles,static_ft_total_g>35,287.6
2017,Go Ahead Eagles,static_ft_total_g>35,346.6
2018,Go Ahead Eagles,static_ft_total_g>35,311.2
2019,Go Ahead Eagles,static_ft_total_g>35,269.9
2020,Go Ahead Eagles,static_ft_total_g>35,204.4
2007,Den Haag,static_ft_total_g>35,361.6
2008,Den Haag,static_ft_total_g>35,326.1
2009,Den Haag,static_ft_total_g>35,349.6
2010,Den Haag,static_ft_total_g>35,329.1
2011,Den Haag,static_ft_total_g>35,402.6
2012,Den Haag,static_ft_total_g>35,384.9
2013,Den Haag,static_ft_total_g>35,408.5
2014,Den Haag,static_ft_total_g>35,379.0
