Date,idGame,team,Round_as_Home,Round_as_Away,Round_as_Total,Round_by_Week_Total
2012-08-10,Willem II_NAC Breda_2012,NAC Breda,1,1,1,1
2012-08-10,Willem II_NAC Breda_2012,Willem II,1,1,1,1
2012-08-11,Roda_Zwolle_2012,Roda,1,1,1,1
2012-08-11,Heracles_VVV Venlo_2012,VVV Venlo,1,1,1,1
2012-08-11,Roda_Zwolle_2012,Zwolle,1,1,1,1
2012-08-11,Waalwijk_PSV Eindhoven_2012,Waalwijk,1,1,1,1
2012-08-11,Heracles_VVV Venlo_2012,Heracles,1,1,1,1
2012-08-11,Waalwijk_PSV Eindhoven_2012,PSV Eindhoven,1,1,1,1
2012-08-12,Ajax_AZ Alkmaar_2012,Ajax,1,1,1,1
2012-08-12,Twente_Groningen_2012,Twente,1,1,1,1
2012-08-12,Utrecht_Feyenoord_2012,Utrecht,1,1,1,1
2012-08-12,Vitesse_Den Haag_2012,Den Haag,1,1,1,1
2012-08-12,Utrecht_Feyenoord_2012,Feyenoord,1,1,1,1
2012-08-12,Vitesse_Den Haag_2012,Vitesse,1,1,1,1
2012-08-12,Heerenveen_Nijmegen_2012,Heerenveen,1,1,1,1
2012-08-12,Twente_Groningen_2012,Groningen,1,1,1,1
2012-08-12,Heerenveen_Nijmegen_2012,Nijmegen,1,1,1,1
2012-08-12,Ajax_AZ Alkmaar_2012,AZ Alkmaar,1,1,1,1
2012-08-18,Feyenoord_Heerenveen_2012,Feyenoord,1,1,2,2
2012-08-18,Zwolle_Vitesse_2012,Zwolle,1,1,2,2
2012-08-18,PSV Eindhoven_Roda_2012,PSV Eindhoven,1,1,2,2
2012-08-18,Feyenoord_Heerenveen_2012,Heerenveen,1,1,2,2
2012-08-18,PSV Eindhoven_Roda_2012,Roda,1,1,2,2
2012-08-18,VVV Venlo_Utrecht_2012,VVV Venlo,1,1,2,2
2012-08-18,NAC Breda_Twente_2012,Twente,1,1,2,2
2012-08-18,Zwolle_Vitesse_2012,Vitesse,1,1,2,2
2012-08-18,NAC Breda_Twente_2012,NAC Breda,1,1,2,2
2012-08-18,VVV Venlo_Utrecht_2012,Utrecht,1,1,2,2
2012-08-19,AZ Alkmaar_Heracles_2012,AZ Alkmaar,1,1,2,2
2012-08-19,Groningen_Willem II_2012,Groningen,1,1,2,2
2012-08-19,AZ Alkmaar_Heracles_2012,Heracles,1,1,2,2
2012-08-19,Den Haag_Waalwijk_2012,Den Haag,1,1,2,2
2012-08-19,Nijmegen_Ajax_2012,Ajax,1,1,2,2
2012-08-19,Den Haag_Waalwijk_2012,Waalwijk,1,1,2,2
2012-08-19,Groningen_Willem II_2012,Willem II,1,1,2,2
2012-08-19,Nijmegen_Ajax_2012,Nijmegen,1,1,2,2
2012-08-24,Waalwijk_Roda_2012,Roda,1,2,3,3
2012-08-24,Waalwijk_Roda_2012,Waalwijk,2,1,3,3
2012-08-25,Heracles_Feyenoord_2012,Feyenoord,1,2,3,3
2012-08-25,Utrecht_Zwolle_2012,Utrecht,2,1,3,3
2012-08-25,VVV Venlo_Den Haag_2012,Den Haag,1,2,3,3
2012-08-25,VVV Venlo_Den Haag_2012,VVV Venlo,2,1,3,3
2012-08-25,Ajax_NAC Breda_2012,NAC Breda,1,2,3,3
2012-08-25,Ajax_NAC Breda_2012,Ajax,2,1,3,3
2012-08-25,Heracles_Feyenoord_2012,Heracles,2,1,3,3
2012-08-25,Utrecht_Zwolle_2012,Zwolle,1,2,3,3
2012-08-26,Willem II_Vitesse_2012,Vitesse,1,2,3,3
2012-08-26,Groningen_PSV Eindhoven_2012,Groningen,2,1,3,3
2012-08-26,AZ Alkmaar_Heerenveen_2012,AZ Alkmaar,2,1,3,3
2012-08-26,Nijmegen_Twente_2012,Twente,1,2,3,3
2012-08-26,AZ Alkmaar_Heerenveen_2012,Heerenveen,1,2,3,3
2012-08-26,Willem II_Vitesse_2012,Willem II,2,1,3,3
2012-08-26,Nijmegen_Twente_2012,Nijmegen,2,1,3,3
2012-08-26,Groningen_PSV Eindhoven_2012,PSV Eindhoven,1,2,3,3
2012-08-31,Den Haag_Groningen_2012,Groningen,2,2,4,4
2012-08-31,Den Haag_Groningen_2012,Den Haag,2,2,4,4
2012-09-01,NAC Breda_Utrecht_2012,Utrecht,2,2,4,4
2012-09-01,Roda_Willem II_2012,Willem II,2,2,4,4
2012-09-01,Roda_Willem II_2012,Roda,2,2,4,4
2012-09-01,Waalwijk_Heracles_2012,Waalwijk,3,1,4,4
2012-09-01,Zwolle_Nijmegen_2012,Nijmegen,2,2,4,4
2012-09-01,Waalwijk_Heracles_2012,Heracles,2,2,4,4
2012-09-01,Zwolle_Nijmegen_2012,Zwolle,2,2,4,4
2012-09-01,NAC Breda_Utrecht_2012,NAC Breda,2,2,4,4
2012-09-02,Heerenveen_Ajax_2012,Ajax,2,2,4,4
2012-09-02,Vitesse_Feyenoord_2012,Vitesse,2,2,4,4
2012-09-02,Twente_VVV Venlo_2012,Twente,2,2,4,4
2012-09-02,PSV Eindhoven_AZ Alkmaar_2012,AZ Alkmaar,2,2,4,4
2012-09-02,Twente_VVV Venlo_2012,VVV Venlo,2,2,4,4
2012-09-02,PSV Eindhoven_AZ Alkmaar_2012,PSV Eindhoven,2,2,4,4
2012-09-02,Heerenveen_Ajax_2012,Heerenveen,2,2,4,4
2012-09-02,Vitesse_Feyenoord_2012,Feyenoord,1,3,4,4
2012-09-15,VVV Venlo_Nijmegen_2012,Nijmegen,2,3,5,6
2012-09-15,Ajax_Waalwijk_2012,Waalwijk,3,2,5,6
2012-09-15,Heerenveen_Den Haag_2012,Den Haag,2,3,5,6
2012-09-15,Willem II_Twente_2012,Twente,2,3,5,6
2012-09-15,VVV Venlo_Nijmegen_2012,VVV Venlo,3,2,5,6
2012-09-15,Feyenoord_Zwolle_2012,Feyenoord,2,3,5,6
2012-09-15,Willem II_Twente_2012,Willem II,3,2,5,6
2012-09-15,Heerenveen_Den Haag_2012,Heerenveen,3,2,5,6
2012-09-15,Ajax_Waalwijk_2012,Ajax,3,2,5,6
2012-09-15,Feyenoord_Zwolle_2012,Zwolle,2,3,5,6
2012-09-16,Heracles_NAC Breda_2012,Heracles,3,2,5,6
2012-09-16,Heracles_NAC Breda_2012,NAC Breda,2,3,5,6
2012-09-16,Groningen_Vitesse_2012,Groningen,3,2,5,6
2012-09-16,Utrecht_PSV Eindhoven_2012,PSV Eindhoven,2,3,5,6
2012-09-16,Utrecht_PSV Eindhoven_2012,Utrecht,3,2,5,6
2012-09-16,AZ Alkmaar_Roda_2012,Roda,2,3,5,6
2012-09-16,Groningen_Vitesse_2012,Vitesse,2,3,5,6
2012-09-16,AZ Alkmaar_Roda_2012,AZ Alkmaar,3,2,5,6
2012-09-21,Roda_Utrecht_2012,Utrecht,3,3,6,7
2012-09-21,Roda_Utrecht_2012,Roda,3,3,6,7
2012-09-22,Zwolle_Groningen_2012,Zwolle,3,3,6,7
2012-09-22,Waalwijk_VVV Venlo_2012,VVV Venlo,3,3,6,7
2012-09-22,Waalwijk_VVV Venlo_2012,Waalwijk,4,2,6,7
2012-09-22,Nijmegen_Willem II_2012,Nijmegen,3,3,6,7
2012-09-22,Nijmegen_Willem II_2012,Willem II,3,3,6,7
2012-09-22,Vitesse_Heracles_2012,Vitesse,3,3,6,7
2012-09-22,Vitesse_Heracles_2012,Heracles,3,3,6,7
2012-09-22,Zwolle_Groningen_2012,Groningen,3,3,6,7
2012-09-23,PSV Eindhoven_Feyenoord_2012,Feyenoord,2,4,6,7
2012-09-23,Twente_Heerenveen_2012,Twente,3,3,6,7
2012-09-23,Twente_Heerenveen_2012,Heerenveen,3,3,6,7
2012-09-23,PSV Eindhoven_Feyenoord_2012,PSV Eindhoven,3,3,6,7
2012-09-23,Den Haag_Ajax_2012,Den Haag,3,3,6,7
2012-09-23,Den Haag_Ajax_2012,Ajax,3,3,6,7
2012-09-23,NAC Breda_AZ Alkmaar_2012,AZ Alkmaar,3,3,6,7
2012-09-23,NAC Breda_AZ Alkmaar_2012,NAC Breda,3,3,6,7
2012-09-29,Utrecht_Vitesse_2012,Utrecht,4,3,7,8
2012-09-29,Ajax_Twente_2012,Twente,3,4,7,8
2012-09-29,Heracles_Den Haag_2012,Den Haag,3,4,7,8
2012-09-29,Heerenveen_NAC Breda_2012,Heerenveen,4,3,7,8
2012-09-29,Feyenoord_Nijmegen_2012,Nijmegen,3,4,7,8
2012-09-29,Ajax_Twente_2012,Ajax,4,3,7,8
2012-09-29,Feyenoord_Nijmegen_2012,Feyenoord,3,4,7,8
2012-09-29,Heracles_Den Haag_2012,Heracles,4,3,7,8
2012-09-29,Heerenveen_NAC Breda_2012,NAC Breda,3,4,7,8
2012-09-29,Utrecht_Vitesse_2012,Vitesse,3,4,7,8
2012-09-30,Willem II_Zwolle_2012,Willem II,4,3,7,8
2012-09-30,AZ Alkmaar_Waalwijk_2012,AZ Alkmaar,4,3,7,8
2012-09-30,VVV Venlo_PSV Eindhoven_2012,VVV Venlo,4,3,7,8
2012-09-30,Groningen_Roda_2012,Roda,3,4,7,8
2012-09-30,VVV Venlo_PSV Eindhoven_2012,PSV Eindhoven,3,4,7,8
2012-09-30,Groningen_Roda_2012,Groningen,4,3,7,8
2012-09-30,AZ Alkmaar_Waalwijk_2012,Waalwijk,4,3,7,8
2012-09-30,Willem II_Zwolle_2012,Zwolle,3,4,7,8
2012-10-05,Nijmegen_Den Haag_2012,Den Haag,3,5,8,9
2012-10-05,Nijmegen_Den Haag_2012,Nijmegen,4,4,8,9
2012-10-06,Zwolle_Heracles_2012,Zwolle,4,4,8,9
2012-10-06,Willem II_Waalwijk_2012,Waalwijk,4,4,8,9
2012-10-06,Vitesse_Heerenveen_2012,Vitesse,4,4,8,9
2012-10-06,Zwolle_Heracles_2012,Heracles,4,4,8,9
