Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH,Unnamed: 39,Unnamed: 40,Unnamed: 41
P1,2004-08-28,Belenenses,Maritimo,3,0,H,2,0,H,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.2,2.8,2.2,3.0,2.9,,,,2.25,3.2,2.75,2.15,3.2,2.9,2.1,1.6,2.25,1.49,-0.5,,,,,,
P1,2004-08-28,Sp Lisbon,Gil Vicente,3,2,H,2,0,H,1.25,4.5,10.0,1.35,4.0,8.0,1.35,4.0,8.0,1.3,4.2,8.0,,,,1.29,4.5,8.0,1.25,4.5,10.0,,,1.35,2.67,-0.5,,,,,,
P1,2004-08-29,Beira Mar,Benfica,2,3,A,0,2,A,4.33,3.4,1.66,4.5,3.5,1.65,4.5,3.3,1.7,4.4,3.3,1.65,,,,4.5,3.5,1.62,4.5,3.3,1.66,1.83,1.83,1.9,1.7,0.5,,,,,,
P1,2004-08-29,Boavista,Nacional,1,0,H,0,0,D,1.72,3.4,4.0,2.0,3.2,3.35,1.9,3.2,3.65,1.8,3.1,3.8,,,,1.91,3.2,3.5,1.8,3.3,3.75,2.0,1.65,1.9,1.71,-0.5,,,,,,
P1,2004-08-29,Estoril,Rio Ave,0,0,D,0,0,D,2.25,3.2,2.75,2.3,3.2,2.75,2.3,3.2,2.75,2.2,2.9,3.0,,,,2.25,3.2,2.75,2.15,3.2,2.9,1.85,1.79,2.3,1.48,-0.5,,,,,,
P1,2004-08-29,Moreirense,Guimaraes,0,0,D,0,0,D,1.9,3.2,3.5,1.85,3.25,3.75,1.85,3.25,3.75,2.0,3.1,3.2,,,,1.91,3.25,3.4,2.0,3.25,3.15,2.1,1.6,1.85,1.74,-0.5,,,,,,
P1,2004-08-29,Penafiel,Setubal,1,4,A,1,1,D,1.9,3.2,3.5,1.85,3.25,3.75,1.85,3.25,3.75,2.1,2.9,3.2,,,,1.91,3.25,3.4,1.95,3.25,3.3,1.85,1.79,1.85,1.74,-0.5,,,,,,
P1,2004-08-30,Academica,Sp Braga,2,2,D,1,2,A,2.3,3.25,2.62,2.3,3.2,2.75,2.3,3.2,2.75,2.4,2.9,2.7,,,,2.38,3.1,2.62,2.35,3.1,2.65,1.9,1.75,2.3,1.48,-0.5,,,,,,
P1,2004-09-05,Guimaraes,Academica,2,1,H,2,0,H,,,,1.8,3.4,3.8,1.8,3.25,4.0,1.8,3.1,3.8,,,,1.9,3.25,3.4,1.8,3.25,3.8,1.95,1.71,1.8,1.79,-0.5,,,,,,
P1,2004-09-10,Gil Vicente,Boavista,0,1,A,0,1,A,2.6,3.1,2.4,2.55,3.2,2.45,2.5,3.2,2.5,2.5,3.0,2.5,,,,2.5,3.1,2.5,2.5,3.1,2.5,2.0,1.65,1.9,1.9,0.0,,,,,,
P1,2004-09-11,Benfica,Moreirense,2,0,H,1,0,H,1.25,5.0,8.0,1.25,5.0,9.0,1.25,5.0,9.0,1.3,4.2,8.0,,,,1.3,4.33,8.0,1.22,5.0,9.5,1.65,2.0,1.95,1.85,-1.5,,,,,,
P1,2004-09-11,Leiria,Estoril,4,2,H,2,1,H,1.615,3.3,5.0,1.75,3.4,4.05,1.7,3.4,4.4,1.85,3.1,3.6,,,,1.66,3.4,4.33,1.61,3.5,4.5,1.9,1.75,2.0,1.8,-0.75,,,,,,
P1,2004-09-11,Maritimo,Penafiel,3,0,H,1,0,H,1.5,3.4,6.0,1.6,3.55,4.9,1.6,3.5,5.0,1.7,3.2,4.2,,,,1.57,3.5,5.0,1.57,3.5,5.0,1.9,1.75,1.75,2.08,-0.75,,,,,,
P1,2004-09-11,Sp Braga,Porto,1,1,D,0,1,A,4.0,3.4,1.727,4.05,3.4,1.75,4.0,3.3,1.8,3.5,3.1,1.9,,,,3.8,3.3,1.8,3.75,3.3,1.8,1.83,1.83,1.81,1.8,0.5,,,,,,
P1,2004-09-12,Nacional,Beira Mar,2,1,H,1,1,D,1.615,3.5,4.5,1.65,3.5,4.55,1.65,3.5,4.6,1.7,3.2,4.2,,,,,,,1.72,3.4,4.0,1.75,1.9,1.9,1.9,-0.75,,,,,,
P1,2004-09-12,Setubal,Sp Lisbon,2,0,H,0,0,D,4.0,3.2,1.8,3.65,3.35,1.85,3.75,3.3,1.85,3.5,3.1,1.9,,,,3.8,3.3,1.8,3.75,3.3,1.8,1.79,1.85,1.76,1.85,0.5,,,,,,
P1,2004-09-13,Rio Ave,Belenenses,3,3,D,2,0,H,1.8,3.2,4.0,2.0,3.25,3.3,1.9,3.25,3.6,2.0,3.0,3.3,,,,1.9,3.25,3.4,1.83,3.4,3.5,1.9,1.75,1.9,1.71,-0.5,,,,,,
P1,2004-09-17,Boavista,Setubal,1,1,D,1,0,H,1.61,3.5,4.5,1.6,3.55,4.9,1.6,3.55,4.9,1.65,3.3,4.4,,,,1.62,3.4,4.75,1.6,3.2,5.25,2.0,1.65,1.9,1.9,-0.75,,,,,,
