,WHD,IWH,SBH,SBA,WHA,B365A,GBA,B365D,B365H,WHH,IWA,GBAHA,GBH,SBD,GB>2.5,GBAH,GB<2.5,IWD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
0,3.3,3.4,3.75,1.83,1.83,1.9,1.85,3.25,3.4,3.6,1.9,1.8,3.75,3.3,1.71,0.25,1.95,3.2,3.25,2.0,Academica,Sp Lisbon,Academica_Sp Lisbon_2003
1,3.3,2.3,2.75,2.25,2.1,2.25,2.4,3.2,2.75,2.87,2.7,1.75,2.7,3.25,1.9,-0.25,1.75,3.0,3.15,2.05,Boavista,Benfica,Boavista_Benfica_2003
2,3.5,1.8,1.72,4.2,4.1,4.333,4.5,3.4,1.667,1.65,3.6,1.8,1.7,3.4,1.79,-0.75,1.85,3.3,3.4,2.0,Gil Vicente,Alverca,Gil Vicente_Alverca_2003
3,3.6,1.65,1.53,5.5,4.65,5.0,5.25,3.5,1.571,1.55,4.4,1.75,1.6,3.5,1.79,-1.0,1.85,3.3,3.5,2.05,Maritimo,Beira Mar,Maritimo_Beira Mar_2003
4,3.5,1.8,1.75,4.0,4.1,3.75,3.9,3.3,1.8,1.65,3.6,2.0,1.85,3.4,1.75,-0.5,1.9,3.3,3.25,1.8,Moreirense,Rio Ave,Moreirense_Rio Ave_2003
5,3.25,2.1,2.0,3.25,3.15,3.2,3.45,3.2,2.0,1.95,3.1,1.85,2.0,3.25,1.95,-0.5,1.71,3.0,3.2,1.95,Nacional,Pacos Ferreira,Nacional_Pacos Ferreira_2003
6,5.0,1.2,1.2,10.0,11.0,11.0,11.0,5.5,1.167,1.2,10.0,1.9,1.2,5.5,1.6,-1.75,2.1,5.0,5.5,1.9,Porto,Sp Braga,Porto_Sp Braga_2003
7,3.5,2.0,1.66,4.5,4.1,4.0,4.0,3.4,1.727,1.65,3.3,,1.8,3.4,1.83,,1.83,3.0,3.35,,Guimaraes,Leiria,Guimaraes_Leiria_2003
8,3.1,2.2,2.2,2.8,3.2,2.75,2.85,3.2,2.25,2.0,3.0,1.85,2.2,3.2,1.9,-0.25,1.75,2.9,3.2,1.95,Alverca,Maritimo,Alverca_Maritimo_2003
9,4.0,1.45,1.4,7.0,7.0,7.0,7.0,3.75,1.4,1.36,5.4,1.95,1.4,3.75,1.6,-1.0,2.1,3.8,3.7,1.85,Benfica,Guimaraes,Benfica_Guimaraes_2003
10,3.4,1.7,1.7,4.2,4.6,4.0,4.5,3.4,1.727,1.6,4.2,1.8,1.7,3.4,1.75,-0.75,1.95,3.2,3.3,2.0,Leiria,Academica,Leiria_Academica_2003
11,3.75,1.35,1.36,7.0,7.0,7.0,7.0,4.0,1.364,1.4,7.0,1.8,1.35,4.0,1.6,-1.5,2.1,4.0,4.2,2.0,Sp Lisbon,Belenenses,Sp Lisbon_Belenenses_2003
12,,5.4,5.5,1.5,,,1.35,,,,1.45,,6.5,3.6,1.71,,1.95,3.8,3.7,,Est Amadora,Porto,Est Amadora_Porto_2003
13,3.4,1.75,1.72,4.0,4.6,4.0,4.1,3.4,1.727,1.6,4.0,2.08,1.75,3.4,1.83,-0.5,1.83,3.2,3.3,1.75,Pacos Ferreira,Moreirense,Pacos Ferreira_Moreirense_2003
14,3.05,2.2,2.1,3.0,3.0,3.0,3.0,3.2,2.1,2.1,3.0,1.95,2.1,3.2,1.75,-0.25,1.9,2.9,3.25,1.85,Rio Ave,Gil Vicente,Rio Ave_Gil Vicente_2003
15,,1.8,1.83,3.75,,3.75,3.9,3.2,1.833,,3.8,2.0,1.85,3.2,1.83,-0.5,1.83,3.1,3.2,1.8,Sp Braga,Nacional,Sp Braga_Nacional_2003
