,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,WHA,B365A,LBH,GBA,B365D,B365H,WHH,BWA,BWH,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
0,3.2,2.2,,,2.25,2.75,3.2,2.9,2.75,,2.8,3.2,2.25,2.15,2.8,2.25,2.9,1.49,2.25,3.2,,,2.1,-0.5,1.6,3.0,,3.2,2.25,Belenenses,Maritimo,Belenenses_Maritimo_2004
1,4.5,1.3,,,1.29,8.0,4.0,10.0,10.0,,8.0,4.5,1.25,1.25,8.0,1.35,8.0,2.67,1.35,4.5,,,,-0.5,,4.2,,4.0,1.35,Sp Lisbon,Gil Vicente,Sp Lisbon_Gil Vicente_2004
2,3.3,4.4,,,4.5,1.62,3.5,1.66,1.66,,1.7,3.4,4.33,4.5,1.65,4.5,1.65,1.7,4.5,3.5,,,1.83,0.5,1.83,3.3,,3.3,1.9,Beira Mar,Benfica,Beira Mar_Benfica_2004
3,3.3,1.8,,,1.91,3.5,3.2,3.75,4.0,,3.65,3.4,1.72,1.8,3.35,2.0,3.8,1.71,1.9,3.2,,,2.0,-0.5,1.65,3.1,,3.2,1.9,Boavista,Nacional,Boavista_Nacional_2004
4,3.2,2.2,,,2.25,2.75,3.2,2.9,2.75,,2.75,3.2,2.25,2.15,2.75,2.3,3.0,1.48,2.3,3.2,,,1.85,-0.5,1.79,2.9,,3.2,2.3,Estoril,Rio Ave,Estoril_Rio Ave_2004
5,3.25,2.0,,,1.91,3.4,3.25,3.15,3.5,,3.75,3.2,1.9,2.0,3.75,1.85,3.2,1.74,1.85,3.25,,,2.1,-0.5,1.6,3.1,,3.25,1.85,Moreirense,Guimaraes,Moreirense_Guimaraes_2004
6,3.25,2.1,,,1.91,3.4,3.25,3.3,3.5,,3.75,3.2,1.9,1.95,3.75,1.85,3.2,1.74,1.85,3.25,,,1.85,-0.5,1.79,2.9,,3.25,1.85,Penafiel,Setubal,Penafiel_Setubal_2004
7,3.1,2.4,,,2.38,2.62,3.2,2.65,2.62,,2.75,3.25,2.3,2.35,2.75,2.3,2.7,1.48,2.3,3.1,,,1.9,-0.5,1.75,2.9,,3.2,2.3,Academica,Sp Braga,Academica_Sp Braga_2004
8,3.25,1.8,,,1.9,3.4,3.4,3.8,,,4.0,,,1.8,3.8,1.8,3.8,1.79,1.8,3.25,,,1.95,-0.5,1.71,3.1,,3.25,1.8,Guimaraes,Academica,Guimaraes_Academica_2004
9,3.1,2.5,,,2.5,2.5,3.2,2.5,2.4,,2.5,3.1,2.6,2.5,2.45,2.55,2.5,1.9,2.5,3.1,,,2.0,0.0,1.65,3.0,,3.2,1.9,Gil Vicente,Boavista,Gil Vicente_Boavista_2004
10,5.0,1.3,,,1.3,8.0,5.0,9.5,8.0,,9.0,5.0,1.25,1.22,9.0,1.25,8.0,1.85,1.25,4.33,,,1.65,-1.5,2.0,4.2,,5.0,1.95,Benfica,Moreirense,Benfica_Moreirense_2004
11,3.5,1.85,,,1.66,4.33,3.4,4.5,5.0,,4.4,3.3,1.615,1.61,4.05,1.75,3.6,1.8,1.7,3.4,,,1.9,-0.75,1.75,3.1,,3.4,2.0,Leiria,Estoril,Leiria_Estoril_2004
12,3.5,1.7,,,1.57,5.0,3.55,5.0,6.0,,5.0,3.4,1.5,1.57,4.9,1.6,4.2,2.08,1.6,3.5,,,1.9,-0.75,1.75,3.2,,3.5,1.75,Maritimo,Penafiel,Maritimo_Penafiel_2004
13,3.3,3.5,,,3.8,1.8,3.4,1.8,1.727,,1.8,3.4,4.0,3.75,1.75,4.05,1.9,1.8,4.0,3.3,,,1.83,0.5,1.83,3.1,,3.3,1.81,Sp Braga,Porto,Sp Braga_Porto_2004
14,3.4,1.7,,,,,3.5,4.0,4.5,,4.6,3.5,1.615,1.72,4.55,1.65,4.2,1.9,1.65,,,,1.75,-0.75,1.9,3.2,,3.5,1.9,Nacional,Beira Mar,Nacional_Beira Mar_2004
15,3.3,3.5,,,3.8,1.8,3.35,1.8,1.8,,1.85,3.2,4.0,3.75,1.85,3.65,1.9,1.85,3.75,3.3,,,1.79,0.5,1.85,3.1,,3.3,1.76,Setubal,Sp Lisbon,Setubal_Sp Lisbon_2004
16,3.4,2.0,,,1.9,3.4,3.25,3.5,4.0,,3.6,3.2,1.8,1.83,3.3,2.0,3.3,1.71,1.9,3.25,,,1.9,-0.5,1.75,3.0,,3.25,1.9,Rio Ave,Belenenses,Rio Ave_Belenenses_2004
17,3.2,1.65,,,1.62,4.75,3.55,5.25,4.5,,4.9,3.5,1.61,1.6,4.9,1.6,4.4,1.9,1.6,3.4,,,2.0,-0.75,1.65,3.3,,3.55,1.9,Boavista,Setubal,Boavista_Setubal_2004
18,6.0,1.2,,,1.17,12.0,6.0,12.0,11.0,,13.0,5.5,1.16,1.14,13.0,1.15,10.0,,1.17,5.5,,,1.55,,2.2,5.0,,5.5,,Porto,Estoril,Porto_Estoril_2004
19,3.4,4.4,,,4.33,1.67,3.45,1.66,1.72,,1.75,3.4,4.0,4.33,1.7,4.3,1.65,1.95,4.3,3.4,,,1.83,0.75,1.83,3.3,,3.25,1.85,Academica,Benfica,Academica_Benfica_2004
20,3.1,2.0,,,2.0,3.2,3.3,3.6,3.5,,3.65,3.2,1.9,1.9,3.55,1.9,3.2,1.71,1.9,3.2,,,1.95,-0.5,1.71,3.1,,3.2,1.9,Beira Mar,Gil Vicente,Beira Mar_Gil Vicente_2004
21,3.0,1.9,,,2.2,2.75,3.3,3.4,3.0,,3.1,3.2,2.1,2.0,3.55,1.9,3.5,1.57,2.1,3.25,,,1.9,-0.5,1.75,3.1,,3.2,2.1,Belenenses,Leiria,Belenenses_Leiria_2004
22,3.0,2.0,,,2.2,2.88,3.25,2.85,3.0,,3.1,3.0,2.2,2.25,3.3,2.0,3.2,1.95,2.2,3.1,,,1.9,-0.25,1.75,3.1,,3.0,1.85,Moreirense,Nacional,Moreirense_Nacional_2004
23,2.9,2.4,,,2.5,2.5,3.15,2.5,2.5,,2.5,3.1,2.5,2.62,2.55,2.5,2.7,2.0,2.5,3.1,,,1.95,0.0,1.71,2.9,,3.2,1.8,Penafiel,Rio Ave,Penafiel_Rio Ave_2004
24,4.0,1.33,,,1.36,8.0,4.5,8.0,7.0,,7.0,4.33,1.33,1.33,8.25,1.3,7.5,1.84,1.35,3.75,,,1.75,-1.5,1.9,4.0,,4.35,1.96,Sp Lisbon,Maritimo,Sp Lisbon_Maritimo_2004
25,3.25,1.9,,,1.83,3.75,3.35,3.75,3.75,,4.0,3.2,1.83,1.8,3.65,1.85,3.5,1.75,1.85,3.2,,,1.95,-0.5,1.66,3.1,,3.1,1.85,Sp Braga,Guimaraes,Sp Braga_Guimaraes_2004
26,4.5,1.3,,,1.29,8.0,5.0,8.0,8.0,,9.0,5.0,1.25,1.28,9.0,1.25,8.0,1.95,1.25,4.5,,,1.66,-1.5,1.95,4.2,,5.0,1.85,Porto,Leiria,Porto_Leiria_2004
27,3.3,1.8,,,1.85,3.6,3.4,3.75,3.75,,3.75,3.2,1.83,1.8,3.8,1.8,3.8,1.84,1.85,3.25,,,1.95,-0.5,1.71,3.1,,3.3,1.75,Setubal,Beira Mar,Setubal_Beira Mar_2004
28,3.3,3.6,,,3.6,1.85,3.35,1.83,1.9,,1.9,3.2,3.5,3.6,1.85,3.65,1.85,1.9,3.6,3.25,,,1.95,0.5,1.71,3.1,,3.25,1.71,Guimaraes,Porto,Guimaraes_Porto_2004
29,3.2,2.1,,,2.25,2.8,3.2,3.0,2.75,,3.0,3.2,2.25,2.1,2.9,2.2,3.3,1.85,2.2,3.1,,,2.1,-0.25,1.6,2.8,,3.1,1.95,Maritimo,Boavista,Maritimo_Boavista_2004
30,3.75,1.35,,,1.4,7.0,4.0,7.0,7.0,,6.8,4.33,1.33,1.4,6.75,1.4,7.0,1.9,1.4,3.75,,,,-1.25,,4.0,,4.0,1.9,Benfica,Sp Braga,Benfica_Sp Braga_2004
31,3.1,1.85,,,2.2,2.8,3.25,2.87,2.8,,3.0,3.2,2.2,2.2,2.95,2.15,3.6,1.95,2.2,3.2,,,1.95,-0.25,1.71,3.1,,3.1,1.85,Gil Vicente,Moreirense,Gil Vicente_Moreirense_2004
32,3.4,1.6,,,1.62,4.75,3.65,4.5,4.33,,5.0,3.4,1.66,1.6,5.8,1.5,4.6,1.8,1.6,3.4,,,1.83,-1.0,1.83,3.4,,3.5,2.0,Leiria,Penafiel,Leiria_Penafiel_2004
33,3.4,1.7,,,1.62,4.75,3.55,4.0,4.0,,4.4,3.4,1.72,1.72,4.9,1.6,4.2,2.0,1.7,3.4,,,1.83,-0.75,1.83,3.2,,3.4,1.8,Nacional,Academica,Nacional_Academica_2004
34,3.2,3.1,,,3.2,2.0,3.25,2.05,2.1,,2.1,3.2,3.0,3.1,2.0,3.3,2.1,1.8,3.1,3.2,,,1.95,0.25,1.71,3.0,,3.2,2.0,Rio Ave,Sp Lisbon,Rio Ave_Sp Lisbon_2004
35,3.1,2.5,,,2.38,2.6,3.2,2.5,2.62,,2.55,3.1,2.37,2.5,2.6,2.4,2.5,1.9,2.5,3.1,,,2.0,0.0,1.65,3.0,,3.1,1.9,Estoril,Belenenses,Estoril_Belenenses_2004
36,3.25,1.75,,,1.73,4.2,3.55,4.0,4.5,,4.5,3.25,1.66,1.75,4.9,1.6,4.2,1.85,1.7,3.25,,,2.1,-0.75,1.6,3.1,,3.3,1.95,Boavista,Rio Ave,Boavista_Rio Ave_2004
37,3.2,2.1,,,2.1,3.1,3.25,3.0,3.2,,3.1,3.2,2.0,2.1,2.95,2.15,3.1,1.95,2.1,3.1,,,1.85,-0.25,1.79,3.0,,3.2,1.85,Academica,Gil Vicente,Academica_Gil Vicente_2004
38,3.3,3.6,,,3.75,1.8,3.4,1.8,1.66,,1.8,3.25,4.5,3.75,1.75,4.05,1.85,1.8,4.0,3.3,,,1.95,0.5,1.71,3.1,,3.25,1.79,Guimaraes,Benfica,Guimaraes_Benfica_2004
39,3.2,2.0,,,2.1,3.1,3.25,3.0,3.0,,3.1,3.2,2.1,2.1,3.4,1.95,3.3,1.95,2.1,3.1,,,1.95,-0.25,1.71,3.0,,3.2,1.85,Moreirense,Setubal,Moreirense_Setubal_2004
40,3.1,2.1,,,2.0,3.2,3.3,3.2,3.0,,3.35,3.2,2.1,2.05,3.55,1.9,3.1,2.0,2.0,3.2,,,1.9,-0.25,1.75,3.0,,3.2,1.8,Penafiel,Estoril,Penafiel_Estoril_2004
41,4.33,1.35,,,1.33,8.0,4.5,8.0,7.0,,8.0,4.0,1.36,1.3,8.25,1.3,7.0,2.92,1.3,4.0,,,1.71,-0.5,1.95,4.0,,4.6,1.3,Porto,Belenenses,Porto_Belenenses_2004
42,3.75,1.4,,,1.4,7.0,4.2,7.0,6.5,,6.4,3.6,1.44,1.4,7.5,1.35,6.5,2.36,1.45,3.75,,,1.79,-0.5,1.85,3.7,,3.75,1.45,Sp Lisbon,Leiria,Sp Lisbon_Leiria_2004
43,3.2,1.8,,,1.85,3.6,3.4,3.75,3.5,,3.05,3.2,1.9,1.83,3.8,1.8,3.8,1.85,1.75,3.25,,,2.0,-0.5,1.65,3.1,,3.4,1.75,Sp Braga,Nacional,Sp Braga_Nacional_2004
44,3.0,2.2,,,2.25,2.88,3.25,2.87,3.0,,3.0,3.2,2.1,2.25,3.05,2.1,3.0,1.51,2.2,3.0,,,1.85,-0.5,1.79,2.9,,3.05,2.2,Beira Mar,Maritimo,Beira Mar_Maritimo_2004
45,3.25,2.3,2.5,,2.5,2.5,3.2,2.5,2.6,2.5,2.5,3.1,2.4,2.4,2.65,2.35,2.7,2.5,2.5,3.1,,,1.9,0.5,1.75,3.0,3.2,3.2,1.4,Gil Vicente,Sp Braga,Gil Vicente_Sp Braga_2004
46,3.25,3.5,,,3.5,1.91,3.25,1.95,1.9,,1.95,3.2,3.5,3.3,1.95,3.4,1.9,1.95,3.5,3.2,,,1.9,0.5,1.75,3.1,,3.2,1.67,Estoril,Sp Lisbon,Estoril_Sp Lisbon_2004
47,3.5,1.55,,,1.57,5.0,3.6,5.0,5.5,,5.9,3.5,1.53,1.57,5.3,1.55,4.8,2.24,1.5,3.5,,,1.83,-0.5,1.83,3.5,,3.6,1.5,Maritimo,Moreirense,Maritimo_Moreirense_2004
48,3.4,1.9,,,1.8,4.0,3.4,3.6,4.0,,4.1,3.4,1.72,1.8,4.05,1.75,3.5,1.8,1.8,3.1,,,1.83,-0.5,1.83,3.1,,3.2,1.8,Nacional,Guimaraes,Nacional_Guimaraes_2004
49,3.4,1.7,,,1.73,4.2,3.45,4.0,4.33,,4.5,3.4,1.66,1.72,4.3,1.7,4.2,1.9,1.7,3.25,,,1.83,-0.5,1.83,3.2,,3.3,1.7,Belenenses,Penafiel,Belenenses_Penafiel_2004
50,2.9,2.1,,,2.25,2.8,3.2,2.8,2.75,,2.9,3.0,2.37,2.37,2.75,2.3,3.1,1.47,2.3,3.1,,,2.0,-0.5,1.65,3.0,,3.0,2.3,Benfica,Porto,Benfica_Porto_2004
51,3.2,2.2,,,2.3,2.62,3.2,2.75,2.8,,3.0,3.1,2.25,2.25,2.9,2.2,3.0,1.52,2.2,3.2,,,1.9,-0.5,1.75,2.9,,3.1,2.2,Leiria,Boavista,Leiria_Boavista_2004
52,3.4,1.85,,,1.83,3.75,3.25,3.5,3.75,,4.0,3.2,1.83,1.83,3.3,2.0,3.6,1.75,1.85,3.2,,,1.85,-0.5,1.79,3.1,,3.1,1.85,Rio Ave,Beira Mar,Rio Ave_Beira Mar_2004
53,3.4,1.8,4.5,,1.75,4.2,3.45,4.0,4.5,1.667,4.2,3.3,1.66,1.72,4.3,1.7,3.8,1.85,1.75,3.2,,,1.83,-0.5,1.83,3.1,3.25,3.3,1.75,Setubal,Academica,Setubal_Academica_2004
54,3.6,1.5,6.0,,1.5,5.5,4.0,6.5,6.5,1.5,6.0,3.75,1.44,1.44,6.75,1.4,5.4,2.25,1.5,3.6,,,2.0,-0.5,1.65,3.5,3.4,3.6,1.5,Boavista,Estoril,Boavista_Estoril_2004
55,3.2,2.2,,,2.25,2.75,3.2,3.0,2.75,,3.0,3.2,2.25,2.1,2.8,2.25,3.1,1.5,2.25,3.2,,,1.95,-0.5,1.71,2.8,,3.0,2.25,Moreirense,Rio Ave,Moreirense_Rio Ave_2004
56,3.3,1.75,,,1.73,4.2,3.4,4.2,4.33,,4.25,3.2,1.72,1.7,3.8,1.8,4.0,1.86,1.75,3.25,,,1.95,-0.5,1.71,3.2,,3.3,1.75,Sp Braga,Setubal,Sp Braga_Setubal_2004
57,3.6,1.4,,,1.44,6.0,4.0,6.5,5.5,,6.5,3.6,1.5,1.44,6.75,1.4,6.0,2.38,1.45,3.75,,,1.71,-0.5,1.95,3.9,,3.75,1.45,Sp Lisbon,Belenenses,Sp Lisbon_Belenenses_2004
58,3.1,2.4,,,2.5,2.5,3.15,2.4,2.5,,2.5,3.0,2.62,2.6,2.5,2.5,2.7,2.5,2.55,3.1,,,1.9,0.5,1.75,2.9,,3.1,1.4,Academica,Maritimo,Academica_Maritimo_2004
59,3.2,2.0,,,2.0,3.2,3.25,3.2,3.5,,3.4,3.25,1.9,2.0,3.4,1.95,3.3,1.64,2.0,3.2,,,1.9,-0.5,1.75,3.0,,3.15,2.0,Beira Mar,Leiria,Beira Mar_Leiria_2004
60,4.0,1.33,,,1.3,8.0,5.0,8.0,7.5,,8.5,4.33,1.33,1.33,9.0,1.25,7.5,2.94,1.3,4.33,,,1.71,-0.5,1.95,4.0,,4.5,1.3,Benfica,Nacional,Benfica_Nacional_2004
61,3.3,1.8,,,1.8,3.75,3.4,3.5,4.0,,4.0,3.2,1.8,1.85,3.8,1.8,3.8,1.79,1.8,3.3,,,1.9,-0.5,1.75,3.1,,3.25,1.8,Guimaraes,Gil Vicente,Guimaraes_Gil Vicente_2004
62,,1.2,,,1.2,11.0,5.5,,11.0,,11.0,5.0,1.2,,10.0,1.2,10.0,3.58,1.2,5.0,,,1.65,-0.5,2.0,5.0,,5.3,1.2,Porto,Penafiel,Porto_Penafiel_2004
63,3.2,3.8,1.727,,3.75,1.8,3.4,1.83,1.72,4.0,1.8,3.25,4.33,3.75,1.8,3.8,1.8,1.8,4.0,3.3,,,1.83,0.5,1.83,3.1,3.4,3.25,1.79,Nacional,Porto,Nacional_Porto_2004
64,3.25,4.4,1.727,,4.0,1.73,3.45,1.72,1.72,4.333,1.75,3.25,4.33,4.2,1.75,4.0,1.65,1.75,4.0,3.4,,,1.9,0.5,1.75,3.3,3.2,3.45,1.85,Penafiel,Sp Lisbon,Penafiel_Sp Lisbon_2004
65,3.2,2.3,,,2.2,2.75,3.25,2.7,2.8,,2.75,3.2,2.2,2.25,2.95,2.15,2.8,1.5,2.25,3.25,,,1.9,-0.5,1.75,2.9,,3.3,2.25,Belenenses,Boavista,Belenenses_Boavista_2004
66,3.2,2.2,,,2.25,2.7,3.25,2.7,2.75,,2.8,3.2,2.25,2.25,2.95,2.15,3.0,1.47,2.3,3.25,,,1.83,-0.5,1.83,2.9,,3.1,2.3,Estoril,Beira Mar,Estoril_Beira Mar_2004
67,3.5,4.8,1.444,,5.5,1.53,3.6,1.53,1.5,6.5,1.55,3.5,5.5,5.5,1.55,5.3,1.55,1.55,5.25,3.5,,,1.83,0.5,1.83,3.5,3.6,3.6,2.14,Gil Vicente,Benfica,Gil Vicente_Benfica_2004
68,3.3,1.75,,,1.75,4.0,3.4,4.0,4.0,,3.85,3.4,1.72,1.75,3.8,1.8,4.0,1.79,1.8,3.3,,,1.83,-0.5,1.83,3.2,,3.35,1.8,Leiria,Moreirense,Leiria_Moreirense_2004
69,3.3,1.75,,,1.8,3.8,3.4,4.0,4.0,,4.1,3.2,1.8,1.75,3.8,1.8,4.0,1.8,1.8,3.25,,,2.0,-0.5,1.65,3.2,,3.2,1.8,Rio Ave,Academica,Rio Ave_Academica_2004
70,3.25,1.85,3.5,,1.91,3.4,3.4,3.4,3.5,1.909,3.4,3.2,1.9,1.9,3.8,1.8,3.6,1.66,1.95,3.25,,,1.83,-0.5,1.83,3.1,3.2,3.25,1.95,Maritimo,Sp Braga,Maritimo_Sp Braga_2004
71,3.3,1.8,3.75,,1.8,3.8,3.45,3.75,4.0,1.8,3.75,3.2,1.8,1.8,4.3,1.7,3.8,1.74,1.85,3.25,,,1.9,-0.5,1.75,3.1,3.25,3.25,1.85,Setubal,Guimaraes,Setubal_Guimaraes_2004
72,3.25,2.2,3.0,-0.25,2.1,3.0,3.25,2.75,3.0,2.1,2.95,3.2,2.1,2.2,3.05,2.1,3.0,1.55,2.15,3.2,1.825,2.025,1.9,-0.5,1.75,2.9,3.2,3.25,2.15,Beira Mar,Belenenses,Beira Mar_Belenenses_2004
