,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SBH,SBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,LBH,GBD,VCH,GBA,B365D,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,BbAvAHA,SJH,GBH,BbAH,SBD,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,9.0,4.31,1.85,3.75,1.45,7.0,1.4,8.0,7.5,1.45,4.25,7.49,7.0,9.0,3.75,1.4,3.9,1.33,7.0,4.2,1.39,13,1.36,-1.0,2.04,1.4,1.75,7.25,1.82,27,1.35,5.4,1.87,4.0,1.96,1.4,1.4,9,4.2,1.73,8.5,3.8,3.75,3.92,1.96,Sp Lisbon,Belenenses,Sp Lisbon_Belenenses_2005
1,1.78,3.5,1.73,3.2,4.0,1.7,4.5,1.75,1.67,5.0,3.45,1.71,1.72,1.72,3.4,4.33,3.35,4.0,1.73,3.3,4.3,14,5.0,0.75,2.02,4.33,1.9,1.7,1.94,28,4.3,1.75,2.0,3.4,2.01,4.5,4.25,4,3.5,1.87,1.75,3.2,3.25,3.32,1.8,Academica,Benfica,Academica_Benfica_2005
2,5.5,3.5,1.66,3.3,1.65,5.0,1.571,6.0,5.5,1.66,3.5,5.02,4.5,5.0,3.4,1.61,3.4,1.6,5.0,3.5,1.61,14,1.57,-0.75,1.98,1.66,1.97,5.0,2.01,27,1.6,4.4,2.1,3.25,1.96,1.57,1.62,4,3.6,1.92,5.0,3.3,3.25,3.41,1.8,Boavista,Setubal,Boavista_Setubal_2005
3,3.26,3.25,1.67,3.2,2.1,3.0,2.2,3.0,3.1,2.25,3.25,3.04,3.1,3.0,3.0,2.1,3.2,2.1,3.0,3.2,2.14,13,2.1,-0.25,2.05,2.05,1.87,3.05,2.02,25,2.1,3.1,2.15,3.2,2.02,2.2,2.15,5,3.2,1.85,3.0,3.0,3.2,3.14,1.75,Gil Vicente,Maritimo,Gil Vicente_Maritimo_2005
4,6.5,3.75,1.79,3.75,1.55,6.0,1.533,5.5,5.5,1.55,3.65,5.75,6.0,5.5,3.6,1.5,3.6,1.55,5.5,3.4,1.51,13,1.53,-1.0,1.95,1.44,1.98,5.8,1.91,25,1.5,4.8,2.03,3.5,1.86,1.53,1.53,5,3.6,1.95,5.0,3.5,3.4,3.55,1.88,Guimaraes,Naval,Guimaraes_Naval_2005
5,3.25,3.25,1.72,3.2,2.2,3.0,2.2,3.0,2.88,2.35,3.15,2.96,3.1,3.0,3.0,2.1,3.1,2.0,3.0,3.0,2.19,12,2.2,-0.25,2.01,2.05,1.91,2.7,1.95,25,2.35,2.9,2.05,3.0,1.99,2.3,2.2,5,3.2,1.89,3.5,3.0,3.2,3.12,1.8,Pacos Ferreira,Nacional,Pacos Ferreira_Nacional_2005
6,3.45,3.25,1.7,3.2,2.2,3.0,2.1,3.2,3.25,2.25,3.25,3.16,3.1,3.3,3.0,2.1,3.15,2.0,3.25,3.1,2.1,13,2.0,-0.25,2.03,2.05,1.9,3.15,1.97,25,2.05,3.0,2.15,3.0,2.0,2.1,2.05,5,3.2,1.88,3.4,2.9,3.2,3.11,1.8,Penafiel,Rio Ave,Penafiel_Rio Ave_2005
7,18.0,7.0,1.92,6.0,1.22,12.0,1.166,12.0,13.0,1.22,7.0,12.34,12.0,11.0,6.0,1.14,6.25,1.2,12.0,5.5,1.15,13,1.16,-1.75,2.03,1.14,1.9,17.0,1.75,26,1.1,9.5,1.8,5.5,2.0,1.14,1.15,5,6.0,1.87,9.0,4.8,6.0,5.9,2.1,Porto,Est Amadora,Porto_Est Amadora_2005
8,2.5,3.35,1.66,3.2,2.6,2.25,2.75,2.5,2.2,2.88,3.35,2.33,2.25,2.37,3.2,2.7,3.15,,2.35,3.1,2.71,12,2.62,0.0,1.93,2.75,2.0,2.2,2.0,24,2.8,2.5,2.15,,1.87,2.88,2.7,5,3.2,1.94,,2.9,3.2,3.11,1.75,Leiria,Sp Braga,Leiria_Sp Braga_2005
9,1.6,3.9,1.75,3.5,4.6,1.53,6.0,1.53,1.53,7.0,3.6,1.53,1.53,1.53,3.6,5.5,3.6,5.5,1.53,3.5,5.61,20,5.5,1.0,2.12,5.5,1.8,1.5,1.95,35,6.0,1.6,2.18,3.6,2.02,5.5,5.5,8,3.8,1.78,1.5,3.4,3.4,3.61,1.9,Naval,Porto,Naval_Porto_2005
10,5.0,3.5,1.72,3.4,1.7,4.33,1.8,4.2,4.5,1.83,3.25,4.4,4.8,4.33,3.25,1.72,3.3,1.75,4.45,3.3,1.72,21,1.72,-0.75,1.97,1.6,1.95,3.75,1.99,38,1.85,4.2,2.18,3.2,1.93,1.73,1.7,9,3.25,1.93,4.35,3.2,3.2,3.3,1.8,Belenenses,Leiria,Belenenses_Leiria_2005
11,11.0,5.15,1.81,4.33,1.3,9.0,1.29,10.0,9.0,1.3,4.65,9.33,8.0,8.5,5.0,1.25,4.85,1.25,9.0,5.0,1.26,21,1.25,-1.5,1.81,1.3,2.14,8.5,1.88,38,1.28,8.0,2.04,5.0,1.76,1.25,1.25,9,5.0,2.11,8.0,4.2,4.6,4.77,1.95,Benfica,Gil Vicente,Benfica_Gil Vicente_2005
12,2.25,3.25,1.75,3.2,3.1,2.1,3.2,2.1,2.0,3.25,3.1,2.15,2.2,2.1,3.0,3.0,3.15,3.2,2.1,3.2,3.04,15,3.1,0.25,1.95,2.8,1.97,2.3,1.95,35,2.8,2.1,2.09,3.2,1.94,3.25,3.1,7,3.2,1.92,2.0,3.0,3.2,3.16,1.83,Maritimo,Sp Lisbon,Maritimo_Sp Lisbon_2005
13,4.0,3.3,1.69,3.25,1.8,3.6,1.91,3.75,4.0,1.93,3.2,3.74,3.8,3.6,3.2,1.85,3.2,1.9,3.75,3.2,1.87,15,1.9,-0.5,2.09,1.8,1.86,3.65,2.02,36,1.9,3.8,2.16,3.2,2.01,1.83,1.85,6,3.2,1.84,3.5,3.1,3.25,3.22,1.78,Nacional,Academica,Nacional_Academica_2005
14,3.45,3.3,1.61,3.2,2.1,3.2,2.1,3.2,3.25,2.3,3.1,3.18,3.3,3.1,3.25,2.0,3.2,2.2,3.3,3.2,2.09,14,2.1,-0.25,1.97,1.95,1.95,2.8,2.09,36,2.3,3.2,2.35,3.0,1.95,2.0,2.0,7,3.2,1.91,3.0,2.9,3.2,3.17,1.67,Rio Ave,Guimaraes,Rio Ave_Guimaraes_2005
15,5.0,3.4,1.69,3.2,1.75,4.33,1.75,4.5,4.5,1.77,3.35,4.41,4.1,4.5,3.25,1.72,3.3,1.75,4.3,3.2,1.72,14,1.72,-0.75,1.82,1.75,2.13,4.4,1.97,35,1.7,4.0,2.05,3.4,1.8,1.73,1.73,6,3.25,2.08,4.0,3.2,3.2,3.27,1.75,Setubal,Pacos Ferreira,Setubal_Pacos Ferreira_2005
16,6.0,3.75,1.75,3.5,1.55,5.5,1.57,5.5,5.5,1.57,3.6,5.49,6.0,5.5,3.6,1.53,3.55,1.55,5.4,3.5,1.54,15,1.53,-1.0,2.06,1.5,1.9,5.25,1.95,36,1.55,4.8,2.16,3.5,1.93,1.53,1.55,7,3.5,1.86,5.0,3.5,3.4,3.54,1.77,Sp Braga,Penafiel,Sp Braga_Penafiel_2005
17,2.5,3.25,1.67,3.1,2.7,,3.0,2.2,2.3,3.2,3.1,2.3,2.3,2.1,3.0,,3.1,2.7,2.3,3.2,2.84,15,3.2,0.25,2.11,2.7,1.79,2.1,1.98,31,3.2,2.5,2.15,3.1,2.09,2.88,2.8,6,3.2,1.79,2.3,2.8,,3.12,1.75,Est Amadora,Boavista,Est Amadora_Boavista_2005
18,2.8,3.2,1.58,3.1,2.4,2.6,2.5,2.7,2.5,2.6,3.2,2.64,2.6,2.6,3.2,2.37,3.2,2.4,2.6,3.2,2.45,26,2.37,0.0,2.06,2.4,1.86,2.5,2.13,46,2.5,2.6,2.3,3.1,1.98,2.5,2.4,13,3.2,1.83,2.6,3.0,3.1,3.09,1.65,Guimaraes,Sp Braga,Guimaraes_Sp Braga_2005
19,9.5,4.65,1.83,3.75,1.3,8.0,1.3,9.5,8.0,1.48,4.0,8.06,8.0,8.0,4.33,1.33,4.5,1.3,8.25,4.33,1.33,23,1.3,-1.0,2.03,1.36,1.93,8.25,1.87,48,1.35,8.0,2.0,4.5,1.99,1.33,1.3,12,4.8,1.89,8.0,4.2,4.0,4.24,1.95,Porto,Rio Ave,Porto_Rio Ave_2005
20,3.3,3.2,1.72,3.1,2.0,3.0,2.2,3.2,3.0,2.3,3.05,3.0,3.2,2.87,3.1,2.2,3.1,2.25,3.0,3.1,2.18,26,2.2,-0.25,1.93,2.05,2.0,2.8,1.95,50,2.35,3.2,2.1,3.0,1.89,2.2,2.2,14,3.2,1.98,2.9,3.1,3.0,3.07,1.85,Sp Lisbon,Benfica,Sp Lisbon_Benfica_2005
21,3.85,3.3,1.65,3.1,2.0,3.1,2.1,3.3,3.5,2.15,3.1,3.33,3.3,3.2,3.1,2.1,3.2,2.1,3.3,3.2,2.03,20,2.0,-0.25,2.04,2.0,1.89,3.0,2.02,45,2.2,3.2,2.15,3.1,2.01,2.0,2.0,11,3.1,1.86,3.1,3.1,3.1,3.14,1.75,Academica,Setubal,Academica_Setubal_2005
22,6.5,3.6,1.7,3.5,1.55,5.5,1.5,6.5,6.0,1.6,3.75,5.77,5.2,6.0,3.4,1.53,3.6,1.6,5.5,3.5,1.53,19,1.5,-1.0,1.75,1.55,2.3,6.5,2.0,42,1.45,4.8,2.2,3.4,1.69,1.53,1.53,11,3.6,2.15,4.8,3.5,3.4,3.48,1.8,Boavista,Pacos Ferreira,Boavista_Pacos Ferreira_2005
23,3.6,3.2,1.66,3.2,2.0,3.2,2.1,3.2,3.5,2.2,3.15,3.22,2.9,3.1,3.1,2.05,3.1,2.0,3.25,3.1,2.07,20,2.1,-0.25,1.98,2.15,1.96,3.4,2.0,45,2.0,3.2,2.15,3.2,1.94,2.0,2.05,11,3.2,1.93,3.25,3.1,3.1,3.12,1.75,Est Amadora,Naval,Est Amadora_Naval_2005
24,4.1,3.3,1.68,3.2,1.85,3.5,1.95,3.6,3.6,2.0,3.1,3.68,3.5,3.6,3.2,1.9,3.2,1.9,3.6,3.1,1.9,19,1.9,-0.5,1.87,1.9,2.08,3.45,1.97,45,2.0,3.6,2.15,3.2,1.83,1.91,1.91,10,3.25,2.05,3.5,3.1,3.2,3.18,1.75,Gil Vicente,Nacional,Gil Vicente_Nacional_2005
25,3.5,3.25,1.61,3.2,2.3,2.8,2.2,3.1,3.2,2.3,3.1,3.01,2.9,3.1,3.1,2.2,3.15,2.25,3.1,3.1,2.18,20,2.1,-0.25,1.91,2.15,2.07,2.8,2.09,45,2.3,2.7,2.3,3.1,1.83,2.1,2.1,11,3.1,2.04,2.8,3.0,3.2,3.09,1.75,Leiria,Maritimo,Leiria_Maritimo_2005
26,3.0,3.2,1.67,3.1,2.2,2.8,2.25,3.0,2.88,2.65,3.1,2.8,2.7,2.87,3.1,2.25,3.2,2.3,2.85,3.1,2.3,29,2.2,0.0,2.0,2.3,1.96,3.0,2.02,52,2.2,2.9,2.21,3.1,1.94,2.25,2.2,6,3.1,1.88,2.75,3.0,3.1,3.09,1.75,Penafiel,Belenenses,Penafiel_Belenenses_2005
27,2.3,3.35,1.67,3.1,3.0,2.2,3.0,2.2,2.1,3.1,3.1,2.22,2.15,2.25,3.2,2.8,3.1,2.75,2.2,3.25,2.86,24,2.75,0.25,2.02,3.0,1.9,2.1,2.04,47,3.2,2.2,2.22,3.2,1.98,3.1,2.9,11,3.2,1.88,2.25,2.9,3.2,3.18,1.75,Naval,Boavista,Naval_Boavista_2005
28,10.0,4.75,1.83,4.33,1.3,8.0,1.3,9.0,8.5,1.36,4.0,8.42,7.0,8.5,4.5,1.28,4.5,1.3,8.5,4.5,1.31,21,1.28,-1.5,1.78,1.33,2.26,8.25,1.88,44,1.35,8.0,2.0,4.35,1.71,1.29,1.28,11,4.5,2.17,8.5,4.2,4.5,4.42,1.94,Benfica,Leiria,Benfica_Leiria_2005
29,5.25,3.5,1.69,3.4,1.7,4.5,1.666,4.8,5.0,1.83,3.25,4.62,4.75,4.5,3.4,1.66,3.3,1.75,4.75,3.4,1.68,21,1.66,-0.75,1.86,1.6,2.13,4.0,1.99,44,1.8,4.2,2.11,3.2,1.8,1.62,1.65,10,3.4,2.07,4.5,3.2,3.25,3.34,1.75,Maritimo,Penafiel,Maritimo_Penafiel_2005
30,3.2,3.25,1.67,3.1,2.1,3.0,2.1,3.2,2.88,2.25,3.1,3.04,3.1,3.1,3.2,2.1,3.1,2.1,3.1,3.2,2.14,20,2.1,-0.25,1.95,2.1,1.99,3.2,2.02,40,2.1,3.1,2.1,3.1,1.91,2.2,2.1,11,3.2,1.96,3.1,3.0,3.2,3.17,1.7,Pacos Ferreira,Academica,Pacos Ferreira_Academica_2005
31,5.76,3.55,1.73,3.4,1.65,5.0,1.615,5.0,5.0,1.67,3.6,5.1,4.75,5.0,3.25,1.61,3.4,,5.0,3.4,1.6,21,1.61,-0.75,2.18,1.6,1.8,6.0,1.99,42,1.5,4.4,2.08,,2.12,1.67,1.6,10,3.5,1.77,,3.3,3.25,3.42,1.84,Rio Ave,Est Amadora,Rio Ave_Est Amadora_2005
32,3.7,3.35,1.63,3.1,2.1,3.2,2.05,3.25,3.4,2.25,3.1,3.27,3.3,3.4,3.2,2.0,3.1,,3.4,3.1,2.04,21,2.0,-0.25,2.0,2.0,1.95,3.0,2.09,43,2.2,3.1,2.35,,1.95,2.0,2.0,11,3.25,1.92,,3.0,3.2,3.2,1.75,Setubal,Gil Vicente,Setubal_Gil Vicente_2005
33,2.3,3.25,1.67,3.1,3.2,2.2,3.0,2.2,2.2,3.3,3.1,2.19,2.1,2.2,3.2,2.8,3.1,2.9,2.1,3.2,2.99,22,2.87,0.25,2.16,3.1,1.79,2.2,2.0,45,3.0,2.1,2.1,3.1,2.11,2.88,3.1,11,3.2,1.77,2.2,2.9,3.2,3.12,1.75,Sp Braga,Porto,Sp Braga_Porto_2005
34,5.3,3.45,1.7,3.4,1.8,4.0,1.8,4.2,4.33,1.85,3.25,4.29,4.5,4.33,3.25,1.75,3.2,1.84,4.5,3.25,1.73,27,1.72,-0.75,1.9,1.65,2.03,4.0,2.01,55,1.8,3.8,2.23,3.2,1.86,1.73,1.71,11,3.25,2.0,3.75,3.1,3.25,3.26,1.8,Belenenses,Guimaraes,Belenenses_Guimaraes_2005
35,2.0,3.4,1.76,3.25,3.3,1.85,3.75,1.909,1.83,4.0,3.2,1.88,1.95,1.83,3.2,3.6,3.3,3.5,1.83,3.3,3.6,27,3.75,0.5,2.21,3.3,1.86,1.9,1.94,55,3.65,2.0,2.2,3.2,2.08,4.0,3.75,12,3.25,1.79,1.9,3.0,3.25,3.2,1.85,Nacional,Sp Lisbon,Nacional_Sp Lisbon_2005
