,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SBH,SBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,GBD,VCH,GBA,B365D,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,BbAvAHA,SJH,GBH,BbAH,SBD,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,12.22,4.8,1.66,4.33,1.45,8.0,1.35,9.0,8.5,1.45,4.4,8.89,8.0,9.0,4.33,4.2,1.29,4.25,1.33,8.0,4.5,1.35,21,1.36,-1.25,2.05,1.3,1.9,9.75,2.12,8.0,27,1.3,7.0,2.25,4.6,1.99,1.36,1.35,11,4.0,1.86,8.0,1.36,3.6,4.5,4.3,1.78,Sp Braga,Portimonense,Sp Braga_Portimonense_2010
1,5.7,3.64,1.61,3.3,1.75,5.0,1.73,4.6,5.5,1.75,3.3,5.08,5.0,5.25,3.25,3.25,1.62,3.2,1.67,5.0,3.5,1.69,18,1.7,-0.75,2.0,1.62,1.92,5.5,2.2,4.75,24,1.62,4.5,2.26,3.4,1.97,1.67,1.7,8,3.25,1.89,5.0,1.73,3.1,3.25,3.32,1.67,Maritimo,Setubal,Maritimo_Setubal_2010
2,1.5,4.5,1.67,4.0,6.3,1.44,7.5,1.4,1.4,9.27,3.7,1.41,1.36,1.36,4.0,3.8,6.5,4.0,7.0,1.42,4.5,7.73,21,9.0,1.25,2.0,7.0,1.95,1.42,2.1,1.44,27,7.5,1.5,2.23,4.2,1.94,8.0,7.0,11,4.0,1.9,1.4,7.0,3.5,3.6,4.0,1.76,Naval,Porto,Naval_Porto_2010
3,1.83,3.56,1.59,3.4,4.0,1.83,4.5,1.75,1.8,4.96,3.3,1.78,1.73,1.8,3.25,3.25,3.75,3.25,4.6,1.75,3.4,4.49,19,4.75,0.0,1.33,4.0,3.57,1.7,2.22,1.8,27,4.75,1.8,2.33,3.3,1.29,4.5,4.5,10,3.25,3.24,1.73,4.2,3.2,3.2,3.29,1.65,Pacos Ferreira,Sp Lisbon,Pacos Ferreira_Sp Lisbon_2010
4,3.24,3.1,1.54,2.9,2.4,2.62,2.4,2.85,3.0,2.5,2.95,2.93,2.75,3.0,3.0,3.0,2.38,3.0,2.38,2.85,3.0,2.4,16,2.5,0.0,2.25,2.4,1.75,2.8,2.33,2.88,26,2.4,2.9,2.5,2.88,2.1,2.38,2.4,17,3.0,1.7,3.1,2.38,2.9,3.1,3.01,1.57,Beira Mar,Leiria,Beira Mar_Leiria_2010
5,17.0,6.5,2.15,5.5,1.2,9.0,1.2,11.0,15.0,1.22,5.25,12.29,12.0,17.0,5.5,5.5,1.2,5.5,1.18,12.0,6.5,1.2,18,1.18,0.0,11.0,1.17,1.05,13.0,1.64,11.0,26,1.2,12.0,1.7,6.0,9.69,1.2,1.2,7,5.75,1.04,12.0,1.2,5.0,5.5,5.74,2.31,Benfica,Academica,Benfica_Academica_2010
6,3.1,3.1,1.53,2.9,2.2,2.62,2.3,2.9,2.75,2.75,2.95,2.82,2.75,2.88,3.1,3.0,2.38,3.0,2.5,2.85,3.0,2.48,18,2.63,0.0,2.1,2.4,1.91,2.7,2.35,2.8,27,2.5,3.1,2.5,3.0,2.0,2.5,2.4,18,3.1,1.77,2.75,2.4,3.0,3.1,3.01,1.57,Rio Ave,Nacional,Rio Ave_Nacional_2010
7,2.56,3.15,1.51,3.0,2.7,2.25,2.65,2.55,2.5,3.12,3.0,2.45,2.25,2.5,3.1,3.0,2.75,3.0,2.88,2.5,3.0,2.85,18,3.0,0.0,1.83,2.88,2.2,2.45,2.41,2.5,27,2.8,2.5,2.62,3.0,1.74,2.75,2.75,16,3.0,2.05,2.38,2.75,3.0,3.2,3.02,1.55,Olhanense,Guimaraes,Olhanense_Guimaraes_2010
8,4.39,3.3,1.52,3.25,1.85,3.75,1.83,4.0,4.2,2.02,3.1,4.02,4.0,4.0,3.2,3.25,1.8,3.2,1.95,4.0,3.3,1.91,19,1.95,0.0,3.0,1.85,1.45,4.2,2.39,4.0,29,1.85,4.0,2.58,3.1,2.82,1.91,1.85,12,3.25,1.37,4.0,1.83,3.1,3.25,3.17,1.57,Academica,Olhanense,Academica_Olhanense_2010
9,1.65,4.04,1.76,3.6,4.9,1.62,5.25,1.57,1.53,7.23,3.7,1.56,1.6,1.62,3.6,3.6,4.5,3.5,5.5,1.6,3.5,5.82,25,6.0,1.0,2.02,5.1,1.93,1.55,2.0,1.57,29,5.5,1.65,2.1,3.75,1.96,7.0,5.25,11,3.6,1.88,1.57,5.5,3.3,3.5,3.63,1.84,Nacional,Benfica,Nacional_Benfica_2010
10,1.8,3.64,1.59,3.4,4.2,1.8,4.5,1.75,1.8,5.54,3.25,1.73,1.73,1.7,3.25,3.25,3.75,3.25,4.75,1.75,3.4,4.73,20,5.25,0.75,2.0,4.5,1.96,1.75,2.22,1.8,27,4.5,1.8,2.33,3.4,1.95,4.75,4.5,10,3.25,1.9,1.73,4.2,3.1,3.25,3.32,1.65,Setubal,Sp Braga,Setubal_Sp Braga_2010
11,3.4,3.23,1.5,3.1,2.2,2.8,2.2,3.2,3.25,2.38,2.95,3.17,3.0,3.4,3.0,3.0,2.2,3.0,2.25,3.1,3.1,2.26,16,2.2,0.0,2.38,2.25,1.69,3.1,2.45,3.2,27,2.3,3.2,2.65,3.0,2.23,2.3,2.25,17,3.0,1.61,3.2,2.2,2.9,3.2,3.01,1.55,Leiria,Pacos Ferreira,Leiria_Pacos Ferreira_2010
12,3.25,3.2,1.48,3.0,2.4,2.6,2.35,2.85,3.0,2.51,2.95,2.98,2.9,2.9,2.9,3.0,2.38,3.0,2.38,2.85,3.2,2.39,18,2.4,0.0,2.25,2.4,1.78,2.85,2.49,2.88,29,2.45,2.9,2.7,3.0,2.09,2.5,2.4,19,3.05,1.69,3.0,2.38,2.9,3.1,2.98,1.53,Portimonense,Naval,Portimonense_Naval_2010
