,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,PSD,VCH,GBD,GBA,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,SJH,GBH,BbAH,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,3.6,3.25,1.56,2.9,2.1,3.3,3.6,2.63,3.0,3.08,3.0,3.0,3.0,3.2,2.0,3.16,2.5,3.0,3.0,3.0,3.16,2.35,29,2.5,-0.25,1.76,2.45,2.22,3.0,2.38,3.3,36,2.4,3.4,2.52,3.1,2.55,1.73,2.1,2.4,18,2.16,3.12,2.1,2.9,3.1,3.07,1.61,Olhanense,Estoril,Olhanense_Estoril_2012
1,5.5,3.92,1.97,3.5,1.7,4.5,5.0,1.75,3.7,4.91,4.33,4.75,3.5,3.5,1.67,3.86,1.73,3.7,4.75,3.6,5.1,1.68,29,1.73,-0.75,1.99,1.75,1.96,4.75,1.81,5.0,36,1.67,4.5,1.89,3.8,1.76,1.94,1.73,1.67,16,1.92,5.0,1.67,3.3,3.25,3.54,2.06,Benfica,Sp Braga,Benfica_Sp Braga_2012
2,2.74,3.2,1.54,2.9,2.6,2.4,2.63,2.92,3.0,2.59,2.62,2.5,3.0,3.0,2.62,3.2,2.88,3.0,2.6,3.1,2.7,2.78,22,2.9,0.0,1.93,2.75,2.04,2.6,2.37,2.6,36,2.75,2.6,2.55,3.12,2.92,1.88,2.8,2.75,18,1.95,2.62,2.7,3.0,3.1,2.99,1.6,Rio Ave,Maritimo,Rio Ave_Maritimo_2012
3,1.4,5.0,1.95,4.5,7.5,1.29,1.36,11.18,4.4,1.36,1.33,1.36,4.33,4.0,9.0,5.0,11.0,4.4,1.35,4.5,1.37,9.23,29,9.0,1.5,2.18,8.5,1.84,1.35,1.83,1.4,36,9.0,1.4,1.92,4.8,10.56,2.07,9.5,9.0,17,1.78,1.36,8.0,3.7,4.33,4.25,2.02,Gil Vicente,Porto,Gil Vicente_Porto_2012
4,2.24,3.35,1.61,3.1,3.1,2.0,2.1,3.85,3.1,2.12,2.05,2.1,3.2,3.2,3.2,3.35,3.8,3.1,2.1,3.2,2.14,3.4,22,3.6,0.25,1.91,3.6,2.11,2.1,2.24,2.2,36,3.6,2.2,2.38,3.3,3.85,1.81,3.5,3.6,17,2.05,2.1,3.1,3.0,3.2,3.18,1.65,Guimaraes,Sp Lisbon,Guimaraes_Sp Lisbon_2012
5,6.35,3.96,1.69,3.4,1.7,4.33,5.0,1.75,3.4,5.28,4.8,5.0,3.5,3.5,1.73,3.85,1.7,3.4,5.5,3.4,5.93,1.66,29,1.75,-0.75,2.13,1.7,1.92,5.5,2.13,4.5,36,1.65,4.5,2.25,3.7,1.68,2.07,1.73,1.65,16,1.8,5.75,1.7,3.3,3.2,3.48,1.78,Nacional,Setubal,Nacional_Setubal_2012
6,3.92,3.31,1.55,3.1,2.2,3.2,3.5,2.3,3.1,3.45,3.6,3.6,3.2,3.1,2.1,3.31,2.15,3.1,3.6,3.2,3.92,2.12,22,2.1,-0.25,2.1,2.05,1.9,3.6,2.36,3.4,36,2.1,3.1,2.5,3.25,2.13,2.05,2.1,2.1,17,1.81,3.8,2.1,3.0,3.0,3.12,1.6,Pacos Ferreira,Moreirense,Pacos Ferreira_Moreirense_2012
7,3.05,3.17,1.54,2.9,2.4,2.75,3.0,2.6,3.0,2.92,2.9,3.0,3.0,3.0,2.38,3.17,2.55,3.0,2.95,3.0,3.05,2.47,21,2.5,0.0,2.12,2.5,1.82,2.95,2.37,2.88,35,2.45,2.8,2.52,3.12,2.59,2.06,2.4,2.45,18,1.78,3.0,2.4,3.0,3.0,2.99,1.6,Beira Mar,Academica,Beira Mar_Academica_2012
8,4.01,3.36,1.55,3.1,2.1,3.4,3.5,2.12,3.1,3.65,3.6,3.6,3.13,3.1,2.0,3.34,2.1,3.1,3.7,3.4,3.87,2.06,26,2.0,-0.25,2.21,2.05,1.82,3.7,2.39,3.5,37,2.05,3.3,2.62,3.3,2.12,2.12,2.1,2.05,18,1.77,3.8,2.05,3.0,3.0,3.16,1.62,Academica,Olhanense,Academica_Olhanense_2012
9,15.0,5.91,2.16,4.8,1.25,10.0,12.0,1.29,5.5,11.91,9.5,12.0,5.25,5.4,1.22,5.91,1.25,5.5,12.5,5.5,13.81,1.25,22,1.25,-1.5,2.11,1.29,1.87,12.5,1.65,11.0,35,1.22,10.5,1.74,5.75,1.28,2.06,1.27,1.22,17,1.8,15.0,1.25,4.6,5.0,5.18,2.26,Porto,Guimaraes,Porto_Guimaraes_2012
10,9.58,4.56,1.8,4.2,1.45,,8.5,1.45,4.2,8.3,9.0,9.5,4.0,4.0,,4.6,1.4,,,4.0,9.79,1.4,27,1.4,-1.0,2.23,1.35,1.78,8.5,1.99,8.0,35,1.44,7.0,2.12,4.5,1.42,2.18,1.4,,16,1.71,9.5,1.4,3.6,,4.02,1.88,Sp Braga,Beira Mar,Sp Braga_Beira Mar_2012
11,3.42,3.28,1.56,3.0,2.2,3.0,3.0,2.4,3.2,3.1,3.1,3.1,3.13,3.1,2.2,3.28,2.3,3.2,3.5,3.25,3.42,2.29,21,2.3,0.0,2.39,2.3,1.67,3.5,2.34,3.0,35,2.2,3.1,2.44,3.2,2.31,2.28,2.38,2.2,17,1.63,3.4,2.3,3.0,3.0,3.1,1.65,Estoril,Pacos Ferreira,Estoril_Pacos Ferreira_2012
12,4.8,3.56,1.67,3.3,1.75,4.0,4.33,1.9,3.3,4.37,4.33,4.75,3.4,3.3,1.8,3.56,1.87,3.3,4.75,3.3,4.8,1.83,27,1.8,-0.5,2.05,1.8,1.9,4.75,2.17,4.2,35,1.75,4.5,2.27,3.5,1.85,1.99,1.83,1.75,15,1.87,4.75,1.83,3.1,3.2,3.28,1.74,Maritimo,Gil Vicente,Maritimo_Gil Vicente_2012
13,2.5,3.26,1.58,3.0,2.9,2.3,2.38,3.25,3.0,2.36,2.38,2.25,3.13,3.1,2.88,3.26,3.2,3.0,2.35,3.25,2.49,2.99,21,3.25,0.0,1.78,3.0,2.21,2.35,2.3,2.38,35,3.1,2.4,2.48,3.2,3.11,1.73,3.0,3.1,17,2.12,2.45,2.88,2.9,3.0,3.09,1.63,Moreirense,Nacional,Moreirense_Nacional_2012
14,1.37,5.23,2.11,4.6,8.0,1.3,1.33,11.02,4.5,1.33,1.35,1.3,4.5,4.5,8.5,5.27,11.0,4.5,1.36,5.0,1.34,9.35,21,10.0,1.5,2.01,7.5,1.93,1.36,1.68,1.33,35,8.0,1.37,1.8,5.2,11.0,1.97,9.5,8.0,15,1.89,1.33,9.0,3.8,4.33,4.56,2.25,Setubal,Benfica,Setubal_Benfica_2012
15,10.0,4.55,1.85,4.2,1.37,8.0,8.5,1.45,4.1,8.44,7.5,9.0,4.0,4.0,1.36,4.54,1.4,4.1,8.25,4.5,9.02,1.39,26,1.36,-1.0,2.26,1.4,1.79,8.25,1.93,8.0,34,1.4,8.0,2.08,4.4,1.43,2.14,1.4,1.4,16,1.74,10.0,1.4,3.8,3.8,4.08,1.91,Sp Lisbon,Rio Ave,Sp Lisbon_Rio Ave_2012
16,4.4,3.3,1.56,3.1,1.85,3.8,4.0,2.05,3.2,4.0,4.4,4.2,3.2,3.25,1.91,3.3,2.0,3.2,4.4,3.2,4.17,1.94,21,1.95,-0.25,2.26,1.85,1.77,4.4,2.32,3.8,36,1.85,4.2,2.54,3.25,2.05,2.18,2.0,1.85,15,1.7,4.3,1.91,3.0,3.0,3.17,1.62,Guimaraes,Estoril,Guimaraes_Estoril_2012
17,1.36,5.07,2.06,4.5,8.0,1.3,,13.0,4.5,1.32,1.36,1.33,,4.2,8.0,5.07,11.5,4.5,1.34,5.0,1.33,9.85,27,9.0,1.5,2.04,7.5,1.92,1.34,1.74,1.36,35,9.0,1.35,1.82,5.0,12.0,1.98,,9.0,17,1.89,1.33,8.5,4.0,4.33,4.5,2.18,Olhanense,Porto,Olhanense_Porto_2012
18,3.1,3.25,1.6,3.0,2.3,2.75,3.0,2.56,3.0,2.89,2.88,2.88,3.13,3.1,2.38,3.22,2.55,3.0,3.2,3.2,3.05,2.43,21,2.5,0.0,2.14,2.45,1.84,3.2,2.25,2.88,36,2.3,2.9,2.44,3.2,2.56,2.08,2.4,2.3,18,1.79,3.0,2.38,3.0,3.0,3.09,1.67,Beira Mar,Moreirense,Beira Mar_Moreirense_2012
19,15.5,6.86,2.55,6.0,1.2,11.0,15.0,1.25,6.0,12.56,11.0,13.0,5.5,5.5,1.2,6.31,1.22,6.0,12.5,6.0,13.85,1.22,19,1.22,-1.75,2.04,1.2,1.92,12.5,1.49,11.0,36,1.2,12.0,1.59,6.25,1.25,1.98,1.22,1.2,16,1.87,13.0,1.22,5.0,5.0,5.63,2.64,Benfica,Nacional,Benfica_Nacional_2012
20,4.95,3.46,1.6,3.2,1.8,4.0,4.33,1.9,3.2,4.25,4.2,4.5,3.3,3.3,1.8,3.46,1.87,3.2,4.33,3.4,4.85,1.85,21,1.83,-0.75,1.78,1.85,2.22,4.33,2.25,4.0,36,1.87,4.4,2.44,3.4,1.87,1.73,1.9,1.87,16,2.15,4.8,1.83,3.0,3.2,3.26,1.65,Gil Vicente,Setubal,Gil Vicente_Setubal_2012
