,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,PSD,LBH,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,SJH,BbAH,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,2.1,3.55,1.68,3.2,3.1,1.91,2.05,4.45,3.1,1.95,2.0,2.1,3.2,3.43,3.9,3.75,3.25,2.08,3.87,28,3.6,,,3.6,,2.1,2.16,31,3.6,2.2,2.26,3.4,3.89,,3.6,,,2.1,3.0,3.1,3.29,1.76,Pacos Ferreira,Sp Braga,Pacos Ferreira_Sp Braga_2013
1,3.2,3.37,1.67,3.2,2.3,,3.0,2.44,3.1,3.02,2.75,3.1,3.25,3.37,,2.4,3.25,3.17,2.32,26,2.3,,,2.25,,3.3,2.16,31,2.2,2.9,2.25,3.3,2.39,,2.3,,,3.12,3.1,,3.19,1.8,Estoril,Nacional,Estoril_Nacional_2013
2,4.4,3.43,1.65,3.4,1.8,3.8,3.6,2.05,3.25,3.78,4.33,3.75,3.3,3.43,1.95,2.05,3.4,4.0,1.97,26,2.0,,,1.67,,3.8,2.2,30,1.95,4.2,2.3,3.4,2.05,,1.95,,,4.0,3.2,3.1,3.29,1.75,Guimaraes,Olhanense,Guimaraes_Olhanense_2013
3,2.86,3.25,1.59,3.0,2.4,2.65,2.63,2.8,3.0,2.7,2.7,2.75,3.13,3.14,2.55,2.62,3.1,2.86,2.63,19,2.63,,,2.6,,2.85,2.28,30,2.5,2.85,2.44,3.1,2.76,,2.63,,,2.7,3.0,3.0,3.07,1.68,Belenenses,Rio Ave,Belenenses_Rio Ave_2013
4,3.2,3.25,1.58,3.0,2.3,2.9,3.0,2.6,3.0,2.97,2.9,3.1,3.0,3.23,2.4,2.38,3.2,3.06,2.4,19,2.3,,,2.45,,3.0,2.29,31,2.4,2.9,2.38,3.1,2.54,,2.38,,,3.0,3.1,3.0,3.08,1.68,Gil Vicente,Academica,Gil Vicente_Academica_2013
5,1.45,4.55,1.89,4.0,7.5,1.4,1.4,10.5,4.2,1.4,1.4,1.44,4.33,4.55,7.5,8.5,4.2,1.43,7.72,27,7.5,,,8.0,,1.42,1.91,31,7.25,1.4,1.98,4.4,8.85,,8.5,,,1.36,3.8,4.1,4.29,2.0,Maritimo,Benfica,Maritimo_Benfica_2013
6,1.28,6.6,2.0,5.0,10.5,1.25,1.25,15.0,5.0,1.25,1.25,1.25,5.25,5.67,12.0,13.0,5.5,1.28,11.06,27,12.0,,,11.0,,1.28,1.8,31,10.0,1.25,1.87,5.5,13.65,,12.0,,,1.22,4.6,5.0,5.52,2.1,Setubal,Porto,Setubal_Porto_2013
7,9.4,4.73,1.85,4.2,1.4,8.5,7.5,1.46,4.4,7.73,7.5,8.0,4.33,4.73,1.36,1.36,4.5,9.19,1.39,27,1.4,,,1.4,,8.25,1.95,31,1.36,7.5,2.02,4.33,1.41,,1.4,,,8.5,3.8,4.25,4.35,1.95,Sp Lisbon,Arouca,Sp Lisbon_Arouca_2013
8,1.95,3.5,1.68,3.2,4.0,1.8,1.9,4.5,3.5,1.89,1.85,1.91,3.3,3.5,4.0,4.33,3.4,1.92,4.03,29,4.0,0.75,2.28,4.2,1.74,1.78,2.16,31,4.33,1.8,2.25,3.5,4.5,2.2,4.0,15.0,1.69,1.91,3.2,3.4,3.34,1.83,Academica,Sp Lisbon,Academica_Sp Lisbon_2013
9,2.82,3.25,1.59,3.0,2.6,2.6,2.63,2.82,3.1,2.64,2.6,2.7,3.13,3.17,2.6,2.75,3.2,2.8,2.67,21,2.6,0.0,1.96,2.7,1.98,2.6,2.28,32,2.65,2.6,2.42,3.2,2.8,1.9,2.63,16.0,1.93,2.75,3.0,3.0,3.09,1.66,Olhanense,Pacos Ferreira,Olhanense_Pacos Ferreira_2013
10,2.48,3.3,1.6,3.1,2.8,2.25,2.38,3.25,3.1,2.35,2.25,2.4,3.13,3.3,3.1,3.2,3.25,2.38,3.01,19,2.9,0.0,1.74,3.1,2.31,2.3,2.26,32,3.1,2.3,2.38,3.25,3.25,1.67,3.0,16.0,2.19,2.38,3.1,3.0,3.13,1.72,Arouca,Estoril,Arouca_Estoril_2013
11,20.0,8.0,2.44,6.0,1.15,17.0,11.0,1.2,7.0,13.16,13.0,15.0,7.0,7.45,1.15,1.18,7.0,16.02,1.18,19,1.17,-2.0,1.92,1.18,2.1,14.5,1.52,32,1.15,13.0,1.6,7.0,1.2,1.82,1.18,17.0,2.04,17.0,6.0,6.5,6.74,2.56,Benfica,Gil Vicente,Benfica_Gil Vicente_2013
12,4.0,3.48,1.84,3.25,2.0,3.5,3.6,2.11,3.4,3.51,3.4,3.8,3.3,3.48,1.95,2.1,3.3,3.73,2.04,28,2.0,-0.25,2.14,2.05,1.83,3.5,1.95,31,2.0,3.3,2.03,3.4,2.11,2.08,2.0,15.0,1.78,3.6,3.2,3.3,3.3,1.95,Nacional,Guimaraes,Nacional_Guimaraes_2013
13,19.5,8.1,2.47,6.0,1.15,18.0,12.0,1.19,7.0,13.73,13.0,13.0,7.5,7.65,1.15,1.17,7.5,17.56,1.17,18,1.17,-2.0,1.95,1.18,2.0,15.5,1.5,32,1.14,13.0,1.6,7.5,1.19,1.9,1.17,17.0,1.96,18.0,6.0,6.5,6.94,2.62,Porto,Maritimo,Porto_Maritimo_2013
14,5.43,3.62,1.72,3.4,1.75,4.33,5.0,1.83,3.4,4.77,4.6,5.0,3.3,3.62,1.75,1.75,3.5,5.43,1.75,28,1.73,-0.75,1.91,1.73,2.04,5.0,2.09,32,1.7,4.2,2.17,3.6,1.76,1.86,1.73,15.0,2.0,5.0,3.3,3.3,3.39,1.85,Rio Ave,Setubal,Rio Ave_Setubal_2013
15,11.0,5.19,2.04,4.5,1.35,8.5,10.0,1.36,4.4,9.11,8.5,11.0,4.33,5.19,1.33,1.33,4.5,10.33,1.34,28,1.33,-1.5,1.87,1.33,2.1,8.25,1.76,30,1.36,7.5,1.85,5.0,1.35,1.81,1.33,17.0,2.03,10.5,4.2,4.5,4.58,2.15,Sp Braga,Belenenses,Sp Braga_Belenenses_2013
16,4.6,3.63,1.83,3.4,1.8,4.2,4.0,1.9,3.5,4.18,4.0,4.5,3.6,3.63,1.75,1.85,3.5,4.6,1.82,29,1.8,-0.5,2.08,1.8,1.88,4.4,1.95,31,1.75,4.0,2.08,3.6,1.86,2.02,1.8,15.0,1.84,4.5,3.2,3.4,3.43,1.91,Guimaraes,Setubal,Guimaraes_Setubal_2013
17,2.56,3.45,1.79,3.2,2.7,2.4,2.4,2.93,3.4,2.44,2.5,2.38,3.4,3.42,2.75,2.9,3.4,2.52,2.77,29,2.88,0.0,1.82,2.6,2.13,2.4,1.99,31,2.7,2.4,2.1,3.4,2.93,1.77,2.75,16.0,2.07,2.5,3.1,3.1,3.26,1.94,Sp Lisbon,Benfica,Sp Lisbon_Benfica_2013
