,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,BbMxH,BWD,BbAvA,WHA,B365A,PSD,LBH,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,BbAH,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,1.35,5.42,1.77,4.5,7.3,1.25,17.0,5.0,1.27,1.3,1.25,5.42,11.0,17.0,5.25,1.32,12.06,38,13.0,1.5,1.95,10.0,2.02,1.26,2.01,40,12.5,1.35,2.1,5.4,12.47,1.89,24.0,1.94,1.25,4.5,5.0,5.04,1.86,Tondela,Sp Lisbon,Tondela_Sp Lisbon_2015
1,3.17,3.2,1.52,2.9,2.5,2.9,2.54,3.1,2.96,3.0,3.0,3.14,2.4,2.5,3.1,3.14,2.43,32,2.45,0.0,2.2,2.4,1.8,2.9,2.41,41,2.45,2.8,2.6,3.13,2.54,2.1,23.0,1.73,3.13,3.0,2.9,3.04,1.6,Belenenses,Rio Ave,Belenenses_Rio Ave_2015
2,21.0,7.2,2.17,6.0,1.2,15.0,1.24,5.75,15.45,13.0,15.0,7.2,1.17,1.18,6.5,16.0,1.17,34,1.18,-2.0,1.95,1.18,2.0,16.0,1.64,41,1.18,12.0,1.75,7.0,1.21,1.88,24.0,1.94,18.0,5.5,6.5,6.56,2.33,Porto,Guimaraes,Porto_Guimaraes_2015
3,12.0,5.5,2.06,4.75,1.3,9.5,1.33,5.0,9.94,9.0,9.0,5.41,1.3,1.3,5.5,10.77,1.29,37,1.3,-1.25,2.28,1.3,1.75,9.0,1.72,41,1.3,8.5,1.78,5.5,1.33,2.15,25.0,1.69,11.5,4.8,4.75,5.04,2.17,Benfica,Estoril,Benfica_Estoril_2015
4,3.48,3.4,1.52,3.0,2.2,3.2,2.33,3.1,3.28,3.3,3.4,3.22,2.2,2.3,3.2,3.48,2.24,32,2.2,-0.25,1.94,2.2,2.0,3.2,2.43,41,2.25,3.1,2.57,3.2,2.31,1.88,23.0,1.94,3.4,3.1,3.0,3.08,1.6,Moreirense,Arouca,Moreirense_Arouca_2015
5,3.42,3.2,1.52,3.0,2.3,3.2,2.38,3.1,3.22,3.2,3.25,3.18,2.25,2.38,3.2,3.42,2.27,32,2.25,-0.25,1.92,2.25,2.02,3.4,2.4,41,2.15,2.9,2.57,3.13,2.36,1.85,23.0,1.96,3.4,3.1,2.9,3.07,1.56,Setubal,Boavista,Setubal_Boavista_2015
6,6.0,3.79,1.65,3.4,1.7,5.25,1.73,3.4,5.22,4.8,5.0,3.79,1.62,1.65,3.5,5.92,1.65,34,1.73,-0.75,2.05,1.7,1.95,5.0,2.14,41,1.7,4.4,2.23,3.75,1.68,1.96,23.0,1.86,6.0,3.5,3.5,3.6,1.73,Sp Braga,Nacional,Sp Braga_Nacional_2015
7,2.65,3.25,1.57,3.0,2.6,2.4,3.04,3.0,2.5,2.5,2.5,3.22,2.8,2.88,3.25,2.56,2.82,33,2.8,0.0,1.87,2.8,2.12,2.55,2.29,40,2.85,2.6,2.4,3.2,3.04,1.79,24.0,2.02,2.63,3.0,3.0,3.1,1.62,Uniao Madeira,Maritimo,Uniao Madeira_Maritimo_2015
8,5.0,3.53,1.57,3.2,1.85,4.75,1.85,3.3,4.58,4.2,4.75,3.53,1.73,1.8,3.3,5.0,1.79,32,1.8,-0.5,2.12,1.85,1.85,4.5,2.28,40,1.8,4.0,2.4,3.5,1.83,2.04,23.0,1.79,5.0,3.3,3.3,3.35,1.63,Pacos Ferreira,Academica,Pacos Ferreira_Academica_2015
9,2.5,3.31,1.63,3.1,2.6,2.2,3.47,3.1,2.27,2.25,2.25,3.3,3.1,3.3,3.2,2.3,3.14,37,3.25,0.25,2.0,3.1,1.95,2.35,2.21,40,3.0,2.5,2.33,3.3,3.47,1.93,25.0,1.88,2.3,3.2,3.0,3.17,1.7,Rio Ave,Sp Braga,Rio Ave_Sp Braga_2015
10,1.4,4.75,1.76,4.0,7.0,1.36,10.08,4.25,1.37,1.4,1.36,4.57,8.5,10.0,4.5,1.4,8.62,36,9.0,1.25,2.0,8.0,1.95,1.4,2.01,38,7.75,1.4,2.11,4.75,10.08,1.93,24.0,1.88,1.36,4.1,4.0,4.36,1.84,Maritimo,Porto,Maritimo_Porto_2015
11,13.0,5.18,1.81,4.5,1.3,10.0,1.34,4.6,10.36,10.0,9.0,5.18,1.3,1.33,5.0,11.29,1.3,36,1.33,-1.5,1.88,1.3,2.09,9.0,1.95,38,1.33,8.5,2.06,5.0,1.34,1.81,24.0,2.02,12.0,4.8,4.5,4.74,1.91,Sp Lisbon,Pacos Ferreira,Sp Lisbon_Pacos Ferreira_2015
12,1.36,5.25,1.8,4.2,8.5,1.33,11.0,5.25,1.33,1.35,1.33,5.2,9.0,11.0,4.75,1.34,9.58,38,10.0,1.25,1.9,9.0,2.08,1.35,1.96,39,9.0,1.3,2.05,5.0,10.65,1.82,24.0,2.0,1.33,4.8,4.5,4.65,1.87,Arouca,Benfica,Arouca_Benfica_2015
13,4.32,3.5,1.58,3.1,1.9,4.0,2.01,3.5,3.92,3.8,4.0,3.33,1.91,2.0,3.3,4.32,1.95,32,1.95,-0.5,1.92,2.0,2.02,3.4,2.3,39,2.0,3.7,2.4,3.3,2.01,1.86,25.0,1.96,4.3,3.3,3.1,3.22,1.66,Boavista,Tondela,Boavista_Tondela_2015
