,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,BbMxH,BWD,BbAvA,WHA,B365A,PSD,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,BbAH,BbAvAHH,VCA,IWD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,14.88,6.5,2.44,6.5,1.25,1.3,6.25,11.21,10.0,11.0,6.32,1.25,5.75,14.88,1.24,34,1.25,-1.75,1.9,1.22,2.05,11.5,1.53,40,1.22,9.8,1.57,5.75,1.25,1.85,20,1.98,13.0,5.9,5.87,2.52,Benfica,Guimaraes,Benfica_Guimaraes_2018
1,21.0,8.03,2.49,7.5,1.18,1.2,8.0,15.71,15.0,21.0,8.03,1.17,7.0,17.18,1.17,34,1.14,-2.0,1.93,1.15,2.01,16.0,1.51,40,1.13,13.0,1.57,7.5,1.18,1.88,21,1.94,17.0,6.3,6.97,2.65,Porto,Chaves,Porto_Chaves_2018
2,3.41,3.22,1.56,3.1,2.3,2.4,3.2,3.23,3.2,3.4,3.22,2.38,3.1,3.41,2.31,32,2.25,-0.25,1.91,2.3,2.03,3.1,2.37,38,2.3,3.2,2.46,3.13,2.33,1.85,20,1.98,3.3,3.0,3.1,1.6,Setubal,Aves,Setubal_Aves_2018
3,3.57,3.36,1.58,3.3,2.15,2.26,3.2,3.35,3.3,3.4,3.36,2.2,3.1,3.53,2.2,34,2.25,-0.25,2.01,2.15,1.93,3.25,2.31,40,2.2,3.35,2.38,3.25,2.21,1.95,20,1.88,3.5,3.1,3.17,1.63,Tondela,Belenenses,Tondela_Belenenses_2018
4,2.63,3.2,1.58,3.2,2.85,3.0,3.0,2.54,2.5,2.5,3.17,2.9,3.0,2.61,2.88,34,3.0,0.0,1.87,2.8,2.11,2.55,2.31,39,2.9,2.5,2.38,3.1,2.98,1.81,19,2.02,2.6,3.0,3.03,1.63,Feirense,Rio Ave,Feirense_Rio Ave_2018
5,5.0,3.64,1.6,3.4,1.77,1.88,3.4,4.59,4.5,5.0,3.64,1.8,3.4,4.87,1.8,31,1.75,-0.75,1.82,1.8,2.18,4.6,2.28,35,1.78,4.6,2.37,3.5,1.81,1.76,17,2.07,4.8,3.35,3.38,1.65,Maritimo,Santa Clara,Maritimo_Santa Clara_2018
6,1.48,4.5,1.87,4.5,7.0,8.06,4.4,1.43,1.44,1.44,4.44,8.0,4.2,1.46,7.36,36,7.5,1.0,1.78,6.5,2.2,1.4,1.89,39,8.0,1.43,1.97,4.33,8.06,1.73,20,2.12,1.44,4.2,4.26,1.99,Moreirense,Sp Lisbon,Moreirense_Sp Lisbon_2018
7,9.5,5.5,2.18,5.5,1.35,1.38,4.75,8.22,7.5,8.5,5.41,1.36,5.0,9.04,1.34,32,1.33,-1.5,1.84,1.33,2.11,8.25,1.65,38,1.35,7.9,1.7,5.0,1.36,1.79,20,2.04,9.0,4.85,4.92,2.28,Sp Braga,Nacional,Sp Braga_Nacional_2018
8,3.6,3.29,1.56,3.25,2.2,2.3,3.2,3.34,3.25,3.6,3.29,2.2,3.1,3.54,2.21,33,2.14,-0.25,2.0,2.2,1.94,3.1,2.34,38,2.3,3.35,2.41,3.2,2.24,1.93,19,1.89,3.5,3.05,3.13,1.62,Portimonense,Boavista,Portimonense_Boavista_2018
9,3.8,3.31,1.64,3.2,2.15,2.3,3.1,3.39,3.25,3.8,3.28,2.2,3.0,3.61,2.2,36,2.14,-0.25,2.0,2.2,1.95,3.4,2.21,41,2.2,3.45,2.35,3.25,2.25,1.94,21,1.89,3.5,3.05,3.14,1.73,Aves,Tondela,Aves_Tondela_2018
10,1.55,4.3,1.79,4.0,6.0,8.64,3.9,1.49,1.5,1.5,4.0,7.0,4.0,1.5,7.08,40,7.0,1.0,1.97,6.5,2.0,1.5,1.99,42,6.75,1.55,2.09,4.0,8.64,1.88,23,1.94,1.53,3.7,3.91,1.87,Boavista,Benfica,Boavista_Benfica_2018
11,3.6,3.37,1.69,3.25,2.2,2.29,3.2,3.33,3.25,3.6,3.29,2.25,3.1,3.44,2.21,37,2.14,-0.25,1.97,2.2,1.95,3.4,2.13,40,2.15,3.25,2.25,3.25,2.28,1.93,20,1.9,3.4,3.15,3.2,1.75,Chaves,Portimonense,Chaves_Portimonense_2018
12,16.0,6.91,2.25,5.5,1.25,1.3,6.5,11.38,12.0,12.0,6.32,1.25,5.5,13.8,1.25,36,1.25,-1.5,2.07,1.22,1.91,10.0,1.62,42,1.22,10.5,1.67,5.75,1.25,2.01,21,1.82,13.0,5.4,5.66,2.31,Sp Lisbon,Setubal,Sp Lisbon_Setubal_2018
13,1.33,5.5,1.93,5.0,9.0,13.67,5.25,1.28,1.29,1.33,5.34,13.0,4.33,1.29,11.29,37,12.0,1.5,1.98,11.0,1.95,1.26,1.84,40,11.5,1.3,1.94,5.2,13.67,1.92,20,1.9,1.29,5.0,5.04,2.0,Belenenses,Porto,Belenenses_Porto_2018
