,WHD,IWH,MaxAHH,Avg>2.5,AvgA,BWD,Max<2.5,B365A,PSD,WHA,Max>2.5,VCH,AHh,B365D,PSA,P<2.5,B365<2.5,B365H,MaxAHA,AvgD,AvgAHA,WHH,BWA,PAHA,BWH,B365>2.5,IWA,MaxD,VCD,PSH,P>2.5,MaxA,PAHH,AvgH,B365AHH,B365AHA,Avg<2.5,MaxH,VCA,IWD,AvgAHH,HomeTeam,AwayTeam,idGame
0,4.75,7.0,2.01,1.69,1.39,5.0,2.25,1.36,4.92,1.38,1.76,7.5,1.25,5.0,1.41,2.22,2.1,7.5,1.96,4.72,1.88,8.0,1.4,1.9,7.5,1.7,1.43,5.0,4.5,8.3,1.71,1.44,2.0,7.55,2.0,1.9,2.16,8.3,1.4,4.7,1.95,Famalicao,Benfica,Famalicao_Benfica_2020
1,4.33,1.5,1.88,1.81,6.74,4.2,2.15,7.0,4.31,7.5,1.89,1.4,-1.0,4.33,7.29,2.0,1.95,1.45,2.15,4.2,2.01,1.44,7.25,2.04,1.44,1.85,6.5,4.5,4.5,1.51,1.89,7.5,1.87,1.48,1.85,2.05,2.0,1.55,7.5,4.2,1.82,Guimaraes,Belenenses,Guimaraes_Belenenses_2020
2,3.0,2.55,1.89,2.54,2.94,3.1,1.55,2.87,3.09,3.0,2.63,2.55,0.0,3.1,3.02,1.52,1.5,2.55,2.11,3.01,2.05,2.55,2.85,2.09,2.55,2.5,2.95,3.19,3.0,2.6,2.59,3.12,1.8,2.55,1.83,2.07,1.5,2.63,2.9,3.0,1.79,Nacional,Boavista,Nacional_Boavista_2020
3,3.9,1.63,1.86,1.76,5.24,4.0,2.17,5.0,3.95,5.5,1.81,1.62,-0.75,4.0,5.82,2.07,2.07,1.61,2.12,3.92,2.04,1.6,5.5,2.08,1.62,1.72,5.5,4.13,4.0,1.62,1.79,5.92,1.8,1.62,1.83,2.07,2.06,1.66,5.0,3.9,1.79,Porto,Sp Braga,Porto_Sp Braga_2020
4,3.2,2.25,1.95,2.26,3.5,3.1,1.67,3.6,3.01,3.5,2.35,2.15,-0.25,3.2,3.71,1.64,1.61,2.1,2.04,3.06,1.94,2.15,3.4,1.95,2.2,2.25,3.55,3.32,3.2,2.29,2.32,3.91,1.93,2.21,1.92,1.98,1.62,2.31,3.4,2.95,1.88,Santa Clara,Maritimo,Santa Clara_Maritimo_2020
5,3.1,2.25,2.01,2.36,3.36,3.2,1.63,3.3,3.14,3.4,2.46,2.25,-0.25,3.3,3.48,1.58,1.57,2.2,1.95,3.12,1.9,2.25,3.4,1.93,2.15,2.35,3.4,3.3,3.1,2.31,2.45,3.63,1.96,2.23,1.97,1.93,1.57,2.31,3.3,3.1,1.92,Moreirense,Farense,Moreirense_Farense_2020
6,3.2,3.8,2.13,2.32,2.06,3.2,1.64,2.0,3.25,2.05,2.41,3.7,0.25,3.3,2.09,1.61,1.61,3.75,1.82,3.19,1.76,3.8,2.1,1.78,3.5,2.25,2.1,3.34,3.2,3.94,2.37,2.16,2.11,3.75,2.05,1.75,1.59,4.0,2.05,3.15,2.07,Tondela,Rio Ave,Tondela_Rio Ave_2020
7,3.2,2.25,1.98,2.28,3.35,3.2,1.66,3.5,3.24,3.4,2.39,2.2,-0.25,3.2,3.5,1.63,1.61,2.15,1.98,3.16,1.92,2.2,3.3,1.96,2.2,2.25,3.35,3.31,3.13,2.25,2.32,3.6,1.92,2.21,1.94,1.96,1.6,2.29,3.4,3.1,1.89,Portimonense,Pacos Ferreira,Portimonense_Pacos Ferreira_2020
8,4.2,1.5,1.85,1.81,7.41,4.5,2.08,8.0,4.38,8.5,1.91,1.44,-1.0,4.5,8.45,2.06,2.02,1.4,2.16,4.26,2.09,1.42,7.5,2.15,1.4,1.83,6.75,4.6,4.2,1.46,1.84,8.5,1.78,1.44,1.7,2.1,2.0,1.5,7.0,4.3,1.75,Sp Braga,Santa Clara,Sp Braga_Santa Clara_2020
9,3.1,2.25,1.97,2.38,3.35,3.2,1.62,3.6,3.21,3.4,2.48,2.25,-0.25,3.0,3.54,1.58,1.57,2.2,1.97,3.11,1.9,2.25,3.3,1.93,2.2,2.35,3.4,3.28,3.1,2.31,2.47,3.64,1.95,2.24,1.96,1.94,1.56,2.31,3.3,3.05,1.92,Maritimo,Tondela,Maritimo_Tondela_2020
10,7.5,1.15,2.06,1.41,17.23,8.5,3.0,17.0,8.61,19.0,1.45,1.12,-2.25,7.5,20.54,2.91,2.7,1.14,1.92,7.72,1.85,1.14,21.0,1.86,1.13,1.44,16.0,8.61,8.0,1.15,1.42,21.0,2.01,1.14,2.01,1.89,2.83,1.17,20.0,8.0,1.98,Benfica,Moreirense,Benfica_Moreirense_2020
11,4.33,7.25,1.9,1.82,1.43,4.6,2.05,1.4,,1.42,1.89,7.5,1.25,4.33,,,2.0,7.5,2.05,4.38,2.0,8.0,1.44,,7.25,1.85,1.43,4.7,4.5,,,1.47,,7.25,1.87,2.03,1.98,8.0,1.4,4.5,1.83,Boavista,Porto,Boavista_Porto_2020
12,3.3,2.25,1.93,2.21,3.35,3.2,1.7,3.6,3.45,3.4,2.29,2.15,-0.25,3.3,3.99,1.7,1.65,2.05,2.03,3.25,1.95,2.15,3.6,2.2,2.1,2.2,3.3,3.35,3.2,2.01,2.21,3.6,1.72,2.16,1.9,2.0,1.64,2.27,3.4,3.2,1.87,Farense,Nacional,Farense_Nacional_2020
13,3.1,2.65,1.96,2.39,2.75,2.95,1.62,2.75,3.17,2.75,2.51,2.63,0.0,3.0,2.85,1.57,1.57,2.7,2.01,3.04,1.94,2.7,2.75,1.97,2.7,2.35,2.8,3.17,3.1,2.77,2.48,2.86,1.92,2.66,1.93,1.97,1.56,2.77,2.7,3.0,1.88,Gil Vicente,Portimonense,Gil Vicente_Portimonense_2020
14,3.25,3.65,2.08,2.11,2.13,3.1,1.8,2.1,3.15,2.1,2.21,3.5,0.25,3.2,2.22,1.71,1.72,3.6,1.87,3.15,1.83,3.6,2.15,1.87,3.8,2.07,2.15,3.42,3.25,3.84,2.2,2.22,2.02,3.57,2.05,1.85,1.71,3.84,2.1,3.1,2.0,Pacos Ferreira,Sp Lisbon,Pacos Ferreira_Sp Lisbon_2020
15,3.25,2.8,2.08,2.14,2.52,3.0,1.74,2.55,3.36,2.5,2.23,2.8,0.0,3.1,2.58,1.71,1.66,2.87,1.9,3.2,1.81,2.8,2.65,1.83,2.75,2.15,2.5,3.43,3.2,2.92,2.2,2.68,2.07,2.81,2.05,1.85,1.68,2.92,2.5,3.2,2.02,Rio Ave,Guimaraes,Rio Ave_Guimaraes_2020
16,3.2,2.5,1.87,2.1,2.91,3.0,1.81,3.0,3.11,2.88,2.21,2.45,0.0,3.2,3.06,1.7,1.7,2.4,2.12,3.09,2.04,2.5,2.85,2.1,2.6,2.1,2.9,3.32,3.2,2.64,2.21,3.16,1.81,2.49,1.82,2.08,1.71,2.64,2.88,3.05,1.78,Belenenses,Famalicao,Belenenses_Famalicao_2020
17,3.0,2.5,1.86,2.28,3.03,3.0,1.72,3.1,3.16,3.1,2.55,2.45,0.0,3.0,3.02,1.65,1.61,2.45,2.25,3.08,2.13,2.45,3.2,2.1,2.35,2.25,2.95,3.2,3.13,2.63,2.33,3.3,1.82,2.46,1.83,2.07,1.62,2.63,2.9,3.05,1.74,Moreirense,Boavista,Moreirense_Boavista_2020
18,3.4,1.75,2.05,2.34,5.14,3.5,1.65,5.0,3.54,5.25,2.47,1.7,-0.75,3.6,5.4,1.59,1.61,1.7,1.91,3.43,1.85,1.75,5.0,1.87,1.7,2.25,5.25,3.6,3.4,1.78,2.47,6.0,2.05,1.74,2.02,1.88,1.59,1.81,5.25,3.35,1.99,Guimaraes,Pacos Ferreira,Guimaraes_Pacos Ferreira_2020
19,3.1,2.3,2.0,2.21,3.4,3.0,1.71,3.6,3.11,3.4,2.29,2.25,-0.25,3.0,3.57,1.67,1.65,2.2,1.97,3.08,1.91,2.25,3.4,1.92,2.25,2.2,3.45,3.34,3.0,2.34,2.28,3.72,1.97,2.25,1.97,1.93,1.65,2.34,3.4,3.0,1.93,Santa Clara,Gil Vicente,Santa Clara_Gil Vicente_2020
20,7.5,1.17,2.01,1.67,18.79,8.0,2.25,15.0,8.52,19.0,1.73,1.14,-2.0,7.0,21.79,2.23,2.15,1.16,2.04,7.39,1.91,1.14,16.5,1.94,1.16,1.66,19.0,9.5,7.0,1.15,1.68,30.0,1.93,1.14,1.96,1.94,2.17,1.17,19.0,7.0,1.91,Porto,Maritimo,Porto_Maritimo_2020
21,3.9,6.0,1.93,1.95,1.56,4.0,1.94,1.55,4.17,1.55,2.02,6.0,1.0,4.2,1.58,1.88,1.85,6.0,2.06,3.97,1.98,6.5,1.55,2.0,5.75,1.95,1.55,4.2,3.9,6.35,1.99,1.66,1.89,5.85,1.88,2.02,1.84,6.5,1.55,4.0,1.84,Tondela,Sp Braga,Tondela_Sp Braga_2020
22,3.0,2.3,2.04,2.45,3.3,3.1,1.6,3.5,3.11,3.4,2.61,2.25,-0.25,3.1,3.47,1.53,1.53,2.2,1.93,3.07,1.85,2.3,3.2,1.88,2.3,2.4,3.35,3.3,3.1,2.39,2.61,3.7,2.01,2.28,2.01,1.89,1.53,2.39,3.25,3.05,1.96,Nacional,Belenenses,Nacional_Belenenses_2020
23,8.5,1.12,1.94,1.41,21.22,9.0,3.0,17.0,9.73,23.0,1.47,1.1,-2.25,9.0,24.99,2.94,2.7,1.11,2.05,8.7,1.97,1.11,21.0,2.01,1.12,1.44,20.0,10.5,8.5,1.11,1.4,33.0,1.83,1.11,1.89,2.01,2.8,1.16,22.0,8.75,1.84,Benfica,Farense,Benfica_Farense_2020
24,3.3,2.6,1.96,2.09,2.68,3.3,1.8,2.62,3.49,2.7,2.16,2.6,0.0,3.3,2.75,1.74,1.7,2.6,2.04,3.29,1.95,2.6,2.7,1.98,2.5,2.1,2.65,3.49,3.25,2.65,2.16,2.85,1.91,2.56,1.92,1.98,1.72,2.72,2.63,3.3,1.87,Famalicao,Rio Ave,Famalicao_Rio Ave_2020
25,3.5,4.0,1.98,1.9,1.9,3.75,1.99,1.83,3.62,1.95,2.0,3.9,0.5,3.6,1.92,1.88,1.85,4.2,1.98,3.54,1.91,3.9,1.87,1.89,4.1,1.95,1.9,3.75,3.5,4.01,1.91,2.03,1.91,3.89,1.96,1.94,1.87,4.2,1.9,3.55,1.9,Portimonense,Sp Lisbon,Portimonense_Sp Lisbon_2020
26,3.1,2.15,1.89,2.31,3.6,3.2,1.65,3.75,3.29,3.7,2.43,2.1,-0.25,3.1,3.75,1.64,1.6,2.0,2.09,3.2,2.01,2.15,3.9,2.05,2.0,2.3,3.65,3.45,3.2,2.19,2.35,3.8,1.86,2.11,1.86,2.04,1.6,2.19,3.6,3.15,1.83,Gil Vicente,Tondela,Gil Vicente_Tondela_2020
27,3.1,2.45,2.15,2.23,3.06,3.1,1.72,3.1,3.14,3.0,2.33,2.45,-0.25,3.1,3.18,1.69,1.61,2.4,1.82,3.1,1.76,2.45,3.0,1.79,2.4,2.25,3.1,3.3,3.13,2.54,2.26,3.4,2.15,2.42,2.14,1.77,1.64,2.54,2.9,3.05,2.1,Maritimo,Portimonense,Maritimo_Portimonense_2020
28,4.6,1.4,1.99,1.68,7.71,4.75,2.27,7.0,5.08,8.5,1.73,1.4,-1.25,4.5,9.13,2.23,2.1,1.33,2.0,4.78,1.94,1.38,7.0,1.99,1.4,1.7,7.5,5.08,4.6,1.38,1.71,9.13,1.92,1.38,1.94,1.96,2.17,1.42,7.5,4.9,1.9,Sp Braga,Nacional,Sp Braga_Nacional_2020
29,3.3,3.6,2.1,2.12,2.09,3.4,1.8,2.1,3.48,2.1,2.24,3.5,0.25,3.25,2.11,1.75,1.7,3.0,1.9,3.35,1.81,3.6,2.1,1.81,3.6,2.1,2.1,3.58,3.3,3.75,2.17,2.2,2.1,3.53,2.04,1.86,1.71,3.78,2.1,3.3,2.02,Sp Lisbon,Porto,Sp Lisbon_Porto_2020
30,2.9,2.4,2.09,2.25,3.23,2.95,1.69,3.25,2.99,3.3,2.34,2.38,-0.25,3.1,3.42,1.65,1.61,2.3,1.86,2.95,1.8,2.4,3.25,1.83,2.35,2.25,3.25,3.14,3.1,2.49,2.33,3.42,2.09,2.39,2.06,1.84,1.62,2.5,3.1,2.95,2.03,Belenenses,Moreirense,Belenenses_Moreirense_2020
31,3.1,2.5,1.84,2.5,2.95,3.1,1.55,2.87,3.25,3.0,2.63,2.55,0.0,2.9,3.04,1.54,1.5,2.5,2.14,3.08,2.09,2.5,2.85,2.14,2.55,2.5,2.95,3.26,3.0,2.56,2.6,3.14,1.79,2.48,1.81,2.09,1.51,2.56,2.9,3.05,1.76,Pacos Ferreira,Santa Clara,Pacos Ferreira_Santa Clara_2020
32,3.2,2.5,1.87,2.0,2.85,3.25,1.87,2.9,3.3,2.88,2.11,2.45,0.0,3.25,2.94,1.85,1.8,2.4,2.1,3.22,2.04,2.5,2.9,2.08,2.4,2.05,2.8,3.5,3.25,2.6,2.05,3.2,1.83,2.47,1.83,2.07,1.79,2.6,2.8,3.2,1.8,Farense,Famalicao,Farense_Famalicao_2020
33,4.2,5.5,1.97,1.68,1.54,4.4,2.28,1.5,4.38,1.55,1.74,5.75,1.0,4.0,1.57,2.21,2.1,5.0,2.0,4.21,1.92,5.8,1.55,1.95,5.5,1.7,1.57,4.4,4.2,5.95,1.72,1.62,1.95,5.52,1.95,1.95,2.15,6.01,1.53,4.2,1.91,Rio Ave,Benfica,Rio Ave_Benfica_2020
