,HTHG,Div,AwayTeam,FTR,HTAG,Date,HTR,HomeTeam,FTHG,FTAG,idGame
0,0,P1,Sp Lisbon,A,1,2015-08-14,A,Tondela,1,2,Tondela_Sp Lisbon_2015
1,1,P1,Rio Ave,D,1,2015-08-15,D,Belenenses,3,3,Belenenses_Rio Ave_2015
2,1,P1,Guimaraes,H,0,2015-08-15,H,Porto,3,0,Porto_Guimaraes_2015
3,0,P1,Estoril,H,0,2015-08-16,D,Benfica,4,0,Benfica_Estoril_2015
4,0,P1,Arouca,A,0,2015-08-16,D,Moreirense,0,2,Moreirense_Arouca_2015
5,2,P1,Boavista,D,0,2015-08-16,H,Setubal,2,2,Setubal_Boavista_2015
6,1,P1,Nacional,H,1,2015-08-16,D,Sp Braga,2,1,Sp Braga_Nacional_2015
7,1,P1,Maritimo,H,0,2015-08-16,H,Uniao Madeira,2,1,Uniao Madeira_Maritimo_2015
8,1,P1,Academica,H,0,2015-08-17,H,Pacos Ferreira,1,0,Pacos Ferreira_Academica_2015
9,1,P1,Sp Braga,H,0,2015-08-21,H,Rio Ave,1,0,Rio Ave_Sp Braga_2015
10,1,P1,Porto,D,1,2015-08-22,D,Maritimo,1,1,Maritimo_Porto_2015
11,1,P1,Pacos Ferreira,D,0,2015-08-22,H,Sp Lisbon,1,1,Sp Lisbon_Pacos Ferreira_2015
12,1,P1,Benfica,H,0,2015-08-23,H,Arouca,1,0,Arouca_Benfica_2015
13,0,P1,Tondela,H,0,2015-08-23,D,Boavista,1,0,Boavista_Tondela_2015
14,0,P1,Moreirense,H,0,2015-08-23,D,Estoril,2,0,Estoril_Moreirense_2015
15,1,P1,Belenenses,D,0,2015-08-23,H,Guimaraes,1,1,Guimaraes_Belenenses_2015
16,1,P1,Uniao Madeira,H,0,2015-08-23,H,Nacional,1,0,Nacional_Uniao Madeira_2015
17,0,P1,Setubal,A,1,2015-08-24,A,Academica,0,4,Academica_Setubal_2015
18,0,P1,Moreirense,H,1,2015-08-29,A,Benfica,3,2,Benfica_Moreirense_2015
19,1,P1,Estoril,H,0,2015-08-29,H,Porto,2,0,Porto_Estoril_2015
20,0,P1,Rio Ave,D,0,2015-08-29,D,Setubal,2,2,Setubal_Rio Ave_2015
21,1,P1,Sp Lisbon,A,2,2015-08-30,A,Academica,1,3,Academica_Sp Lisbon_2015
22,1,P1,Arouca,D,1,2015-08-30,D,Pacos Ferreira,1,1,Pacos Ferreira_Arouca_2015
23,1,P1,Boavista,H,0,2015-08-30,H,Sp Braga,4,0,Sp Braga_Boavista_2015
