,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,1,Sp Lisbon,15,0,0,2,0,0,1,0,16,A,12,2017-08-06,Aves,P1,9,2,6,12,A,3,Aves_Sp Lisbon_2017
1,1,Moreirense,18,1,0,1,1,1,0,3,22,D,12,2017-08-06,Setubal,P1,4,2,4,6,H,8,Setubal_Moreirense_2017
2,4,Tondela,19,1,0,1,0,0,1,1,25,D,13,2017-08-07,Feirense,P1,6,5,5,12,A,3,Feirense_Tondela_2017
3,1,Boavista,14,2,0,1,0,0,1,1,10,H,5,2017-08-07,Portimonense,P1,2,4,9,12,A,4,Portimonense_Boavista_2017
4,2,Belenenses,17,1,0,0,1,0,0,2,23,H,10,2017-08-07,Rio Ave,P1,3,5,4,11,H,8,Rio Ave_Belenenses_2017
5,2,Pacos Ferreira,13,1,0,0,0,0,0,2,14,H,4,2017-08-08,Maritimo,P1,1,3,0,7,D,7,Maritimo_Pacos Ferreira_2017
6,2,Sp Braga,13,3,0,1,2,0,1,3,18,H,6,2017-08-09,Benfica,P1,1,9,6,15,H,2,Benfica_Sp Braga_2017
7,1,Estoril,18,4,0,0,1,0,0,1,12,H,10,2017-08-09,Porto,P1,4,8,10,17,H,5,Porto_Estoril_2017
8,1,Chaves,21,3,0,2,2,0,0,4,13,H,15,2017-08-10,Guimaraes,P1,3,8,9,16,H,7,Guimaraes_Chaves_2017
9,1,Setubal,16,1,0,0,0,0,0,2,24,H,3,2017-08-11,Sp Lisbon,P1,1,5,7,12,D,1,Sp Lisbon_Setubal_2017
10,3,Maritimo,20,1,0,0,0,0,0,1,18,H,7,2017-08-12,Belenenses,P1,5,4,9,10,D,4,Belenenses_Maritimo_2017
11,3,Rio Ave,17,1,0,2,0,0,1,3,17,A,7,2017-08-12,Boavista,P1,2,2,2,5,A,3,Boavista_Rio Ave_2017
12,1,Feirense,18,0,0,0,0,0,0,2,23,D,6,2017-08-12,Moreirense,P1,4,0,8,11,D,4,Moreirense_Feirense_2017
13,1,Aves,17,2,0,2,0,0,2,3,20,D,7,2017-08-13,Pacos Ferreira,P1,3,5,2,16,A,3,Pacos Ferreira_Aves_2017
14,3,Portimonense,14,2,0,1,1,0,1,3,21,H,8,2017-08-13,Sp Braga,P1,1,4,5,8,D,7,Sp Braga_Portimonense_2017
15,3,Porto,22,0,0,1,0,0,1,2,10,A,15,2017-08-13,Tondela,P1,6,2,2,5,A,6,Tondela_Porto_2017
16,1,Benfica,12,0,0,1,0,0,0,2,15,A,21,2017-08-14,Chaves,P1,9,4,5,9,D,13,Chaves_Benfica_2017
17,2,Guimaraes,16,3,2,0,1,1,0,3,13,H,11,2017-08-14,Estoril,P1,1,5,4,18,H,7,Estoril_Guimaraes_2017
18,0,Portimonense,15,2,0,0,0,0,0,0,11,H,11,2017-08-18,Rio Ave,P1,4,7,4,11,D,6,Rio Ave_Portimonense_2017
19,0,Belenenses,22,5,0,0,3,0,0,1,11,H,7,2017-08-19,Benfica,P1,4,14,6,20,H,2,Benfica_Belenenses_2017
20,3,Sp Lisbon,18,0,0,5,0,0,3,2,20,A,13,2017-08-19,Guimaraes,P1,10,3,5,8,A,3,Guimaraes_Sp Lisbon_2017
21,3,Estoril,23,2,0,3,0,0,2,2,18,A,8,2017-08-19,Tondela,P1,4,7,6,14,A,1,Tondela_Estoril_2017
22,1,Sp Braga,14,0,0,2,0,1,0,0,10,A,18,2017-08-20,Aves,P1,9,4,4,9,D,8,Aves_Sp Braga_2017
23,0,Boavista,20,1,0,0,0,0,0,1,10,H,9,2017-08-20,Maritimo,P1,1,2,2,10,D,6,Maritimo_Boavista_2017
24,0,Moreirense,12,3,0,0,2,0,0,2,9,H,6,2017-08-20,Porto,P1,2,11,13,27,H,3,Porto_Moreirense_2017
25,1,Chaves,16,1,1,1,0,0,0,4,16,D,5,2017-08-20,Setubal,P1,2,9,8,19,D,1,Setubal_Chaves_2017
26,2,Pacos Ferreira,20,2,0,1,1,0,1,2,18,H,12,2017-08-21,Feirense,P1,3,7,5,12,D,5,Feirense_Pacos Ferreira_2017
27,3,Setubal,24,1,0,1,1,1,0,2,16,D,12,2017-08-25,Belenenses,P1,4,5,6,12,H,6,Belenenses_Setubal_2017
28,1,Feirense,12,0,0,2,0,0,1,4,14,A,7,2017-08-26,Chaves,P1,5,5,13,17,A,3,Chaves_Feirense_2017
29,3,Tondela,11,0,0,3,0,1,1,1,21,A,12,2017-08-26,Moreirense,P1,6,3,8,11,A,5,Moreirense_Tondela_2017
30,3,Guimaraes,14,0,0,0,0,1,0,4,20,D,14,2017-08-26,Pacos Ferreira,P1,2,4,4,7,D,7,Pacos Ferreira_Guimaraes_2017
31,4,Benfica,16,1,0,1,0,0,0,2,26,D,10,2017-08-26,Rio Ave,P1,4,3,4,9,D,5,Rio Ave_Benfica_2017
32,2,Aves,26,1,1,0,0,0,0,1,12,H,14,2017-08-27,Boavista,P1,4,3,2,12,D,2,Boavista_Aves_2017
33,3,Porto,21,0,0,1,0,0,1,4,10,A,21,2017-08-27,Sp Braga,P1,7,0,5,14,A,7,Sp Braga_Porto_2017
34,4,Estoril,18,2,0,1,2,0,0,5,24,H,8,2017-08-27,Sp Lisbon,P1,3,4,7,13,H,3,Sp Lisbon_Estoril_2017
35,1,Maritimo,11,1,0,2,0,0,0,3,15,A,7,2017-08-28,Portimonense,P1,3,3,4,13,D,5,Portimonense_Maritimo_2017
36,0,Portimonense,11,2,1,1,0,0,0,4,16,H,5,2017-09-08,Benfica,P1,2,8,5,15,D,3,Benfica_Portimonense_2017
37,3,Sp Lisbon,13,2,0,3,0,0,0,1,16,A,13,2017-09-08,Feirense,P1,10,7,5,10,D,10,Feirense_Sp Lisbon_2017
38,0,Rio Ave,16,1,1,0,0,0,0,3,21,H,4,2017-09-09,Maritimo,P1,1,4,8,9,D,3,Maritimo_Rio Ave_2017
39,1,Chaves,16,3,0,0,0,0,0,3,14,H,8,2017-09-09,Porto,P1,3,7,8,14,D,2,Porto_Chaves_2017
40,1,Pacos Ferreira,0,2,0,2,1,0,0,4,0,D,10,2017-09-09,Tondela,P1,7,8,10,12,H,4,Tondela_Pacos Ferreira_2017
41,2,Moreirense,0,0,0,2,0,0,1,3,0,A,6,2017-09-10,Estoril,P1,4,8,7,13,A,4,Estoril_Moreirense_2017
42,1,Boavista,0,1,0,0,0,0,0,1,0,H,5,2017-09-10,Guimaraes,P1,5,4,10,7,D,5,Guimaraes_Boavista_2017
43,3,Sp Braga,0,2,0,0,2,0,0,3,0,H,9,2017-09-10,Setubal,P1,4,3,2,5,H,8,Setubal_Sp Braga_2017
44,2,Belenenses,17,2,0,1,1,0,1,3,18,H,7,2017-09-11,Aves,P1,4,4,4,13,D,3,Aves_Belenenses_2017
45,4,Setubal,17,1,0,0,0,0,0,3,12,H,9,2017-09-15,Pacos Ferreira,P1,4,3,5,5,D,4,Pacos Ferreira_Setubal_2017
46,2,Benfica,15,2,0,1,0,0,1,1,19,H,13,2017-09-16,Boavista,P1,9,4,3,6,A,11,Boavista_Benfica_2017
47,3,Aves,18,2,0,1,2,0,0,2,12,H,11,2017-09-16,Maritimo,P1,6,5,3,7,H,7,Maritimo_Aves_2017
48,2,Tondela,14,2,0,0,1,0,0,3,20,H,1,2017-09-16,Sp Lisbon,P1,0,4,3,8,H,4,Sp Lisbon_Tondela_2017
49,4,Estoril,18,2,1,1,0,0,0,3,18,H,14,2017-09-17,Belenenses,P1,7,7,6,12,D,4,Belenenses_Estoril_2017
50,5,Porto,10,1,0,2,0,1,0,4,24,A,8,2017-09-17,Rio Ave,P1,5,2,2,5,D,4,Rio Ave_Porto_2017
51,3,Guimaraes,24,2,0,1,2,0,1,3,18,H,5,2017-09-17,Sp Braga,P1,2,3,1,8,H,1,Sp Braga_Guimaraes_2017
52,0,Moreirense,15,3,0,0,1,0,0,2,15,H,9,2017-09-18,Chaves,P1,4,4,3,9,H,2,Chaves_Moreirense_2017
53,2,Feirense,18,2,0,1,2,0,1,3,13,H,5,2017-09-18,Portimonense,P1,1,7,7,12,H,4,Portimonense_Feirense_2017
54,2,Portimonense,13,5,0,2,3,0,1,2,9,H,9,2017-09-22,Porto,P1,6,9,5,16,H,4,Porto_Portimonense_2017
55,3,Pacos Ferreira,12,2,0,0,1,0,0,2,11,H,3,2017-09-23,Benfica,P1,2,9,11,17,H,2,Benfica_Pacos Ferreira_2017
56,2,Chaves,15,0,0,2,0,0,1,0,13,A,10,2017-09-23,Estoril,P1,5,1,10,7,A,6,Estoril_Chaves_2017
57,3,Sp Lisbon,25,1,0,1,1,0,0,4,15,D,5,2017-09-23,Moreirense,P1,1,6,3,11,H,8,Moreirense_Sp Lisbon_2017
58,3,Rio Ave,17,0,0,0,0,0,0,2,10,D,9,2017-09-24,Aves,P1,1,6,2,10,D,3,Aves_Rio Ave_2017
59,1,Belenenses,17,1,0,4,0,0,3,3,15,A,14,2017-09-24,Feirense,P1,7,3,8,7,A,1,Feirense_Belenenses_2017
60,2,Maritimo,17,2,1,1,1,1,1,2,19,H,5,2017-09-24,Guimaraes,P1,2,5,10,12,D,4,Guimaraes_Maritimo_2017
