,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,19:00:00,1,Benfica,14,0,1,5,0,0,3,2,10,A,13,2020-09-18,Famalicao,P1,7,2,3,6,A,4,Famalicao_Benfica_2020
1,21:15:00,1,Belenenses,14,0,0,1,0,0,0,4,20,A,4,2020-09-18,Guimaraes,P1,3,2,7,11,D,2,Guimaraes_Belenenses_2020
2,16:00:00,4,Boavista,24,0,3,3,2,0,2,3,21,D,8,2020-09-19,Nacional,P1,3,7,6,14,D,4,Nacional_Boavista_2020
3,21:00:00,0,Sp Braga,17,0,3,1,2,0,1,0,18,H,7,2020-09-19,Porto,P1,1,4,5,11,H,1,Porto_Sp Braga_2020
4,16:00:00,2,Maritimo,15,0,2,0,0,0,0,1,17,H,12,2020-09-20,Santa Clara,P1,2,5,5,12,D,6,Santa Clara_Maritimo_2020
5,18:30:00,2,Farense,17,1,2,0,1,0,0,4,13,H,10,2020-09-20,Moreirense,P1,2,5,4,13,H,6,Moreirense_Farense_2020
6,21:00:00,1,Rio Ave,15,0,1,1,1,0,0,0,11,D,14,2020-09-20,Tondela,P1,4,2,1,7,H,6,Tondela_Rio Ave_2020
7,19:45:00,1,Pacos Ferreira,23,0,1,1,0,0,1,1,16,D,16,2020-09-21,Portimonense,P1,5,3,4,12,A,9,Portimonense_Pacos Ferreira_2020
8,20:30:00,2,Santa Clara,13,0,0,1,0,0,1,4,17,A,6,2020-09-25,Sp Braga,P1,1,4,8,22,A,0,Sp Braga_Santa Clara_2020
9,15:30:00,4,Tondela,19,0,2,1,2,1,1,2,16,H,21,2020-09-26,Maritimo,P1,6,6,0,8,H,8,Maritimo_Tondela_2020
10,18:30:00,2,Moreirense,11,0,2,0,1,0,0,0,15,H,5,2020-09-26,Benfica,P1,1,10,10,29,H,1,Benfica_Moreirense_2020
11,21:00:00,1,Porto,19,0,0,5,0,0,0,0,19,A,15,2020-09-26,Boavista,P1,6,4,3,11,D,2,Boavista_Porto_2020
12,15:30:00,1,Nacional,11,0,0,1,0,0,0,4,15,A,9,2020-09-27,Farense,P1,4,4,11,18,D,5,Farense_Nacional_2020
13,16:00:00,2,Portimonense,14,0,1,0,0,0,0,3,12,H,13,2020-09-27,Gil Vicente,P1,2,3,10,9,D,7,Gil Vicente_Portimonense_2020
14,18:30:00,0,Sp Lisbon,18,0,0,2,0,0,1,0,12,A,11,2020-09-27,Pacos Ferreira,P1,5,0,4,9,A,8,Pacos Ferreira_Sp Lisbon_2020
15,21:00:00,2,Guimaraes,13,0,0,0,0,0,0,3,16,D,10,2020-09-27,Rio Ave,P1,3,3,4,7,D,4,Rio Ave_Guimaraes_2020
16,19:45:00,3,Famalicao,17,0,1,2,1,0,0,5,24,A,6,2020-09-28,Belenenses,P1,2,5,5,10,H,2,Belenenses_Famalicao_2020
17,19:00:00,1,Boavista,10,0,1,1,0,0,1,1,19,D,16,2020-10-02,Moreirense,P1,5,6,5,14,A,3,Moreirense_Boavista_2020
18,21:15:00,4,Pacos Ferreira,11,0,1,0,0,0,0,2,28,H,16,2020-10-02,Guimaraes,P1,7,1,2,8,D,7,Guimaraes_Pacos Ferreira_2020
19,16:00:00,1,Gil Vicente,14,0,0,0,0,0,0,3,18,D,8,2020-10-03,Santa Clara,P1,1,3,8,12,D,3,Santa Clara_Gil Vicente_2020
20,18:30:00,2,Maritimo,19,0,2,3,1,0,1,4,16,A,11,2020-10-03,Porto,P1,4,10,9,32,D,0,Porto_Maritimo_2020
21,21:00:00,1,Sp Braga,13,0,0,4,0,0,4,0,15,A,18,2020-10-03,Tondela,P1,8,4,5,13,A,8,Tondela_Sp Braga_2020
22,15:30:00,1,Belenenses,9,0,0,0,0,0,0,2,15,D,7,2020-10-04,Nacional,P1,2,4,7,18,D,2,Nacional_Belenenses_2020
23,18:30:00,3,Farense,12,0,3,2,1,0,0,3,12,H,14,2020-10-04,Benfica,P1,9,7,3,12,H,2,Benfica_Farense_2020
24,18:30:00,2,Rio Ave,11,0,1,1,1,0,0,0,9,D,13,2020-10-04,Famalicao,P1,4,5,3,13,H,5,Famalicao_Rio Ave_2020
25,21:00:00,1,Sp Lisbon,17,0,0,2,0,0,2,1,20,A,10,2020-10-04,Portimonense,P1,4,6,7,14,A,2,Portimonense_Sp Lisbon_2020
26,15:30:00,2,Tondela,17,1,1,1,1,0,0,3,18,D,2,2020-10-17,Gil Vicente,P1,1,4,5,13,H,1,Gil Vicente_Tondela_2020
27,15:30:00,4,Portimonense,23,0,1,2,0,0,0,2,20,A,10,2020-10-17,Maritimo,P1,3,4,10,10,D,6,Maritimo_Portimonense_2020
28,18:00:00,1,Nacional,11,0,2,1,2,0,0,4,15,H,5,2020-10-17,Sp Braga,P1,2,7,4,20,H,2,Sp Braga_Nacional_2020
29,20:30:00,5,Porto,18,0,2,2,1,1,2,4,20,D,10,2020-10-17,Sp Lisbon,P1,5,5,4,13,A,1,Sp Lisbon_Porto_2020
30,15:00:00,2,Moreirense,22,0,0,0,0,0,0,2,14,D,8,2020-10-18,Belenenses,P1,4,5,7,15,D,3,Belenenses_Moreirense_2020
31,15:00:00,2,Santa Clara,15,0,2,1,1,0,0,2,16,H,15,2020-10-18,Pacos Ferreira,P1,5,3,7,12,H,2,Pacos Ferreira_Santa Clara_2020
32,17:30:00,2,Famalicao,19,1,3,3,2,0,0,2,14,D,13,2020-10-18,Farense,P1,5,5,6,13,H,9,Farense_Famalicao_2020
33,20:00:00,1,Benfica,14,0,0,3,0,0,2,3,17,A,13,2020-10-18,Rio Ave,P1,6,2,4,4,A,4,Rio Ave_Benfica_2020
34,20:15:00,4,Guimaraes,21,0,0,1,0,0,1,2,22,A,9,2020-10-19,Boavista,P1,1,2,9,19,A,4,Boavista_Guimaraes_2020
35,20:30:00,2,Portimonense,10,0,1,0,1,0,0,2,18,H,10,2020-10-23,Tondela,P1,4,3,5,8,H,6,Tondela_Portimonense_2020
36,15:30:00,3,Pacos Ferreira,23,0,1,1,0,1,0,1,9,D,18,2020-10-24,Nacional,P1,6,2,3,7,D,6,Nacional_Pacos Ferreira_2020
37,18:00:00,3,Sp Lisbon,18,0,1,2,1,0,1,1,9,A,18,2020-10-24,Santa Clara,P1,3,2,1,5,D,9,Santa Clara_Sp Lisbon_2020
38,20:30:00,6,Gil Vicente,17,0,1,0,1,1,0,2,15,H,13,2020-10-24,Porto,P1,2,7,8,18,H,3,Porto_Gil Vicente_2020
39,15:00:00,4,Rio Ave,17,0,0,1,0,0,1,6,19,A,6,2020-10-25,Farense,P1,2,1,6,13,A,1,Farense_Rio Ave_2020
40,15:00:00,5,Maritimo,15,1,2,1,2,0,0,4,7,H,12,2020-10-25,Moreirense,P1,3,7,9,13,H,3,Moreirense_Maritimo_2020
41,17:30:00,3,Boavista,10,1,2,2,0,0,0,5,20,D,10,2020-10-25,Famalicao,P1,6,6,9,17,D,1,Famalicao_Boavista_2020
42,20:00:00,3,Sp Braga,11,2,0,1,0,1,1,2,20,A,16,2020-10-25,Guimaraes,P1,8,1,4,11,A,9,Guimaraes_Sp Braga_2020
43,20:15:00,0,Belenenses,15,0,2,0,1,0,0,0,8,H,6,2020-10-26,Benfica,P1,2,6,7,15,H,2,Benfica_Belenenses_2020
