year,team,type_rating,value_rating
2007,Moreirense,static_ft_total_g>35,127.9
2008,Moreirense,static_ft_total_g>35,97.4
2009,Moreirense,static_ft_total_g>35,85.6
2010,Moreirense,static_ft_total_g>35,119.6
2011,Moreirense,static_ft_total_g>35,116.4
2012,Moreirense,static_ft_total_g>35,126.4
2013,Moreirense,static_ft_total_g>35,209.7
2014,Moreirense,static_ft_total_g>35,176.5
2015,Moreirense,static_ft_total_g>35,180.3
2016,Moreirense,static_ft_total_g>35,235.3
2017,Moreirense,static_ft_total_g>35,212.5
2018,Moreirense,static_ft_total_g>35,170.2
2019,Moreirense,static_ft_total_g>35,175.9
2020,Moreirense,static_ft_total_g>35,167.1
2007,Penafiel,static_ft_total_g>35,204.4
2008,Penafiel,static_ft_total_g>35,153.3
2009,Penafiel,static_ft_total_g>35,112.1
2010,Penafiel,static_ft_total_g>35,119.6
2011,Penafiel,static_ft_total_g>35,116.4
2012,Penafiel,static_ft_total_g>35,126.4
2013,Penafiel,static_ft_total_g>35,156.5
2014,Penafiel,static_ft_total_g>35,136.6
2015,Penafiel,static_ft_total_g>35,212.5
2016,Penafiel,static_ft_total_g>35,207.3
2017,Penafiel,static_ft_total_g>35,150.6
2018,Penafiel,static_ft_total_g>35,120.1
2019,Penafiel,static_ft_total_g>35,90.8
2020,Penafiel,static_ft_total_g>35,108.6
2007,Boavista,static_ft_total_g>35,136.7
2008,Boavista,static_ft_total_g>35,207.9
2009,Boavista,static_ft_total_g>35,172.0
2010,Boavista,static_ft_total_g>35,173.0
2011,Boavista,static_ft_total_g>35,139.8
2012,Boavista,static_ft_total_g>35,126.4
2013,Boavista,static_ft_total_g>35,156.5
2014,Boavista,static_ft_total_g>35,136.6
2015,Boavista,static_ft_total_g>35,188.9
2016,Boavista,static_ft_total_g>35,189.6
2017,Boavista,static_ft_total_g>35,186.0
2018,Boavista,static_ft_total_g>35,184.8
2019,Boavista,static_ft_total_g>35,164.4
2020,Boavista,static_ft_total_g>35,155.7
2007,Trofense,static_ft_total_g>35,77.9
2008,Trofense,static_ft_total_g>35,76.8
2009,Trofense,static_ft_total_g>35,152.0
2010,Trofense,static_ft_total_g>35,169.4
2011,Trofense,static_ft_total_g>35,149.6
2012,Trofense,static_ft_total_g>35,143.0
2013,Trofense,static_ft_total_g>35,156.5
2014,Trofense,static_ft_total_g>35,136.6
2015,Trofense,static_ft_total_g>35,142.1
2016,Trofense,static_ft_total_g>35,154.5
2017,Trofense,static_ft_total_g>35,115.4
2018,Trofense,static_ft_total_g>35,102.5
2019,Trofense,static_ft_total_g>35,90.8
2020,Trofense,static_ft_total_g>35,108.6
2007,Olhanense,static_ft_total_g>35,77.9
2008,Olhanense,static_ft_total_g>35,76.8
