year,team,type_rating,value_rating
2003,Academica,static_ft_total,323
2003,Academica,static_ft_home,352
2003,Academica,static_ft_away,294
2003,Academica,static_ft_total_g>15,676
2003,Academica,static_ft_total_g>25,470
2003,Academica,static_ft_total_g>35,205
2003,Academica,static_ft_total_g>15,676
2003,Academica,static_ft_total_g>25,470
2003,Academica,static_ft_total_g>35,205
2003,Academica,static_ft_home_g>15,588
2003,Academica,static_ft_home_g>25,470
2003,Academica,static_ft_home_g>35,235
2003,Academica,static_ft_away_g>15,764
2003,Academica,static_ft_away_g>25,470
2003,Academica,static_ft_away_g>35,176
2003,Academica,static_ft_total_g<15,323
2003,Academica,static_ft_total_g<25,529
2003,Academica,static_ft_total_g<35,794
2003,Academica,static_ft_total_g<15,323
2003,Academica,static_ft_total_g<25,529
2003,Academica,static_ft_total_g<35,794
2003,Academica,static_ft_home_g<15,411
2003,Academica,static_ft_home_g<25,529
2003,Academica,static_ft_home_g<35,764
2003,Academica,static_ft_away_g<15,235
2003,Academica,static_ft_away_g<25,529
2003,Academica,static_ft_away_g<35,823
2003,Academica,static_ht_total,264
2003,Academica,static_ht_home,235
2003,Academica,static_ht_away,294
2003,Academica,static_ht_total_g>15,294
2003,Academica,static_ht_total_g>25,117
2003,Academica,static_ht_total_g>35,29
2003,Academica,static_ht_total_g>15,294
2003,Academica,static_ht_total_g>25,117
2003,Academica,static_ht_total_g>35,29
2003,Academica,static_ht_home_g>15,235
2003,Academica,static_ht_home_g>25,117
2003,Academica,static_ht_home_g>35,0
2003,Academica,static_ht_away_g>15,352
2003,Academica,static_ht_away_g>25,117
2003,Academica,static_ht_away_g>35,58
2003,Academica,static_ht_total_g<15,705
2003,Academica,static_ht_total_g<25,882
2003,Academica,static_ht_total_g<35,970
2003,Academica,static_ht_total_g<15,705
2003,Academica,static_ht_total_g<25,882
2003,Academica,static_ht_total_g<35,970
2003,Academica,static_ht_home_g<15,764
2003,Academica,static_ht_home_g<25,882
2003,Academica,static_ht_home_g<35,1000
2003,Academica,static_ht_away_g<15,647
2003,Academica,static_ht_away_g<25,882
2003,Academica,static_ht_away_g<35,941
2003,Alverca,static_ft_total,294
2003,Alverca,static_ft_home,352
2003,Alverca,static_ft_away,235
2003,Alverca,static_ft_total_g>15,735
2003,Alverca,static_ft_total_g>25,588
2003,Alverca,static_ft_total_g>35,117
2003,Alverca,static_ft_total_g>15,735
2003,Alverca,static_ft_total_g>25,588
2003,Alverca,static_ft_total_g>35,117
2003,Alverca,static_ft_home_g>15,705
2003,Alverca,static_ft_home_g>25,647
2003,Alverca,static_ft_home_g>35,58
2003,Alverca,static_ft_away_g>15,764
2003,Alverca,static_ft_away_g>25,529
2003,Alverca,static_ft_away_g>35,176
2003,Alverca,static_ft_total_g<15,264
2003,Alverca,static_ft_total_g<25,411
2003,Alverca,static_ft_total_g<35,882
2003,Alverca,static_ft_total_g<15,264
2003,Alverca,static_ft_total_g<25,411
2003,Alverca,static_ft_total_g<35,882
2003,Alverca,static_ft_home_g<15,294
2003,Alverca,static_ft_home_g<25,352
2003,Alverca,static_ft_home_g<35,941
2003,Alverca,static_ft_away_g<15,235
2003,Alverca,static_ft_away_g<25,470
2003,Alverca,static_ft_away_g<35,823
2003,Alverca,static_ht_total,264
2003,Alverca,static_ht_home,294
2003,Alverca,static_ht_away,235
2003,Alverca,static_ht_total_g>15,323
2003,Alverca,static_ht_total_g>25,147
2003,Alverca,static_ht_total_g>35,0
2003,Alverca,static_ht_total_g>15,323
2003,Alverca,static_ht_total_g>25,147
2003,Alverca,static_ht_total_g>35,0
2003,Alverca,static_ht_home_g>15,352
2003,Alverca,static_ht_home_g>25,176
2003,Alverca,static_ht_home_g>35,0
2003,Alverca,static_ht_away_g>15,294
2003,Alverca,static_ht_away_g>25,117
2003,Alverca,static_ht_away_g>35,0
2003,Alverca,static_ht_total_g<15,676
2003,Alverca,static_ht_total_g<25,852
2003,Alverca,static_ht_total_g<35,1000
2003,Alverca,static_ht_total_g<15,676
2003,Alverca,static_ht_total_g<25,852
2003,Alverca,static_ht_total_g<35,1000
2003,Alverca,static_ht_home_g<15,647
2003,Alverca,static_ht_home_g<25,823
2003,Alverca,static_ht_home_g<35,1000
2003,Alverca,static_ht_away_g<15,705
2003,Alverca,static_ht_away_g<25,882
2003,Alverca,static_ht_away_g<35,1000
2003,Arouca,static_ft_total,0
2003,Arouca,static_ft_home,0
2003,Arouca,static_ft_away,0
2003,Arouca,static_ft_total_g>15,0
2003,Arouca,static_ft_total_g>25,0
2003,Arouca,static_ft_total_g>35,0
2003,Arouca,static_ft_total_g>15,0
2003,Arouca,static_ft_total_g>25,0
2003,Arouca,static_ft_total_g>35,0
2003,Arouca,static_ft_home_g>15,0
2003,Arouca,static_ft_home_g>25,0
2003,Arouca,static_ft_home_g>35,0
2003,Arouca,static_ft_away_g>15,0
2003,Arouca,static_ft_away_g>25,0
2003,Arouca,static_ft_away_g>35,0
2003,Arouca,static_ft_total_g<15,0
2003,Arouca,static_ft_total_g<25,0
2003,Arouca,static_ft_total_g<35,0
2003,Arouca,static_ft_total_g<15,0
2003,Arouca,static_ft_total_g<25,0
2003,Arouca,static_ft_total_g<35,0
2003,Arouca,static_ft_home_g<15,0
2003,Arouca,static_ft_home_g<25,0
2003,Arouca,static_ft_home_g<35,0
2003,Arouca,static_ft_away_g<15,0
2003,Arouca,static_ft_away_g<25,0
2003,Arouca,static_ft_away_g<35,0
2003,Arouca,static_ht_total,0
2003,Arouca,static_ht_home,0
2003,Arouca,static_ht_away,0
2003,Arouca,static_ht_total_g>15,0
2003,Arouca,static_ht_total_g>25,0
2003,Arouca,static_ht_total_g>35,0
2003,Arouca,static_ht_total_g>15,0
2003,Arouca,static_ht_total_g>25,0
2003,Arouca,static_ht_total_g>35,0
2003,Arouca,static_ht_home_g>15,0
2003,Arouca,static_ht_home_g>25,0
2003,Arouca,static_ht_home_g>35,0
2003,Arouca,static_ht_away_g>15,0
2003,Arouca,static_ht_away_g>25,0
2003,Arouca,static_ht_away_g>35,0
2003,Arouca,static_ht_total_g<15,0
2003,Arouca,static_ht_total_g<25,0
2003,Arouca,static_ht_total_g<35,0
2003,Arouca,static_ht_total_g<15,0
2003,Arouca,static_ht_total_g<25,0
2003,Arouca,static_ht_total_g<35,0
2003,Arouca,static_ht_home_g<15,0
2003,Arouca,static_ht_home_g<25,0
2003,Arouca,static_ht_home_g<35,0
2003,Arouca,static_ht_away_g<15,0
2003,Arouca,static_ht_away_g<25,0
2003,Arouca,static_ht_away_g<35,0
2003,Aves,static_ft_total,0
2003,Aves,static_ft_home,0
2003,Aves,static_ft_away,0
2003,Aves,static_ft_total_g>15,0
2003,Aves,static_ft_total_g>25,0
2003,Aves,static_ft_total_g>35,0
2003,Aves,static_ft_total_g>15,0
2003,Aves,static_ft_total_g>25,0
2003,Aves,static_ft_total_g>35,0
2003,Aves,static_ft_home_g>15,0
2003,Aves,static_ft_home_g>25,0
2003,Aves,static_ft_home_g>35,0
2003,Aves,static_ft_away_g>15,0
2003,Aves,static_ft_away_g>25,0
2003,Aves,static_ft_away_g>35,0
2003,Aves,static_ft_total_g<15,0
2003,Aves,static_ft_total_g<25,0
2003,Aves,static_ft_total_g<35,0
2003,Aves,static_ft_total_g<15,0
2003,Aves,static_ft_total_g<25,0
2003,Aves,static_ft_total_g<35,0
2003,Aves,static_ft_home_g<15,0
2003,Aves,static_ft_home_g<25,0
2003,Aves,static_ft_home_g<35,0
