year,team,home_away_total,type_rating,points,game_id,date
2007,Academica,total,dynamic_ft_total,0,Sp Lisbon_Academica_2007,2007-08-17
2007,Academica,total,dynamic_ft_total,1,Academica_Leiria_2007,2007-08-26
2007,Academica,total,dynamic_ft_total,0,Maritimo_Academica_2007,2007-09-02
2007,Academica,total,dynamic_ft_total,3,Academica_Pacos Ferreira_2007,2007-09-16
2007,Academica,total,dynamic_ft_total,1,Boavista_Academica_2007,2007-09-24
2007,Academica,total,dynamic_ft_total,1,Academica_Leixoes_2007,2007-10-01
2007,Academica,total,dynamic_ft_total,0,Academica_Porto_2007,2007-10-07
2007,Academica,total,dynamic_ft_total,1,Belenenses_Academica_2007,2007-10-27
2007,Academica,total,dynamic_ft_total,1,Academica_Est Amadora_2007,2007-11-04
2007,Academica,total,dynamic_ft_total,0,Setubal_Academica_2007,2007-11-11
2007,Academica,total,dynamic_ft_total,0,Academica_Benfica_2007,2007-11-24
2007,Academica,total,dynamic_ft_total,0,Guimaraes_Academica_2007,2007-12-03
2007,Academica,total,dynamic_ft_total,3,Academica_Nacional_2007,2007-12-16
2007,Academica,total,dynamic_ft_total,3,Naval_Academica_2007,2007-12-22
2007,Academica,total,dynamic_ft_total,1,Academica_Sp Braga_2007,2008-01-04
2007,Academica,total,dynamic_ft_total,1,Academica_Sp Lisbon_2007,2008-01-13
2007,Academica,total,dynamic_ft_total,0,Leiria_Academica_2007,2008-01-27
2007,Academica,total,dynamic_ft_total,3,Academica_Maritimo_2007,2008-02-03
2007,Academica,total,dynamic_ft_total,1,Pacos Ferreira_Academica_2007,2008-02-17
2007,Academica,total,dynamic_ft_total,1,Academica_Boavista_2007,2008-02-25
2007,Academica,total,dynamic_ft_total,1,Leixoes_Academica_2007,2008-03-01
2007,Academica,total,dynamic_ft_total,0,Porto_Academica_2007,2008-03-09
2007,Academica,total,dynamic_ft_total,1,Academica_Belenenses_2007,2008-03-15
2007,Academica,total,dynamic_ft_total,0,Est Amadora_Academica_2007,2008-03-29
2007,Academica,total,dynamic_ft_total,1,Academica_Setubal_2007,2008-04-05
2007,Academica,total,dynamic_ft_total,3,Benfica_Academica_2007,2008-04-11
2007,Academica,total,dynamic_ft_total,1,Academica_Guimaraes_2007,2008-04-18
2007,Academica,total,dynamic_ft_total,3,Nacional_Academica_2007,2008-04-27
2007,Academica,total,dynamic_ft_total,1,Academica_Naval_2007,2008-05-04
2007,Academica,total,dynamic_ft_total,0,Sp Braga_Academica_2007,2008-05-10
2007,Academica,home,dynamic_ft_home,1,Academica_Leiria_2007,2007-08-26
2007,Academica,home,dynamic_ft_home,3,Academica_Pacos Ferreira_2007,2007-09-16
2007,Academica,home,dynamic_ft_home,1,Academica_Leixoes_2007,2007-10-01
2007,Academica,home,dynamic_ft_home,0,Academica_Porto_2007,2007-10-07
2007,Academica,home,dynamic_ft_home,1,Academica_Est Amadora_2007,2007-11-04
2007,Academica,home,dynamic_ft_home,0,Academica_Benfica_2007,2007-11-24
2007,Academica,home,dynamic_ft_home,3,Academica_Nacional_2007,2007-12-16
2007,Academica,home,dynamic_ft_home,1,Academica_Sp Braga_2007,2008-01-04
2007,Academica,home,dynamic_ft_home,1,Academica_Sp Lisbon_2007,2008-01-13
2007,Academica,home,dynamic_ft_home,3,Academica_Maritimo_2007,2008-02-03
2007,Academica,home,dynamic_ft_home,1,Academica_Boavista_2007,2008-02-25
2007,Academica,home,dynamic_ft_home,1,Academica_Belenenses_2007,2008-03-15
2007,Academica,home,dynamic_ft_home,1,Academica_Setubal_2007,2008-04-05
2007,Academica,home,dynamic_ft_home,1,Academica_Guimaraes_2007,2008-04-18
2007,Academica,home,dynamic_ft_home,1,Academica_Naval_2007,2008-05-04
2007,Academica,away,dynamic_ft_away,0,Sp Lisbon_Academica_2007,2007-08-17
2007,Academica,away,dynamic_ft_away,0,Maritimo_Academica_2007,2007-09-02
2007,Academica,away,dynamic_ft_away,1,Boavista_Academica_2007,2007-09-24
2007,Academica,away,dynamic_ft_away,1,Belenenses_Academica_2007,2007-10-27
2007,Academica,away,dynamic_ft_away,0,Setubal_Academica_2007,2007-11-11
2007,Academica,away,dynamic_ft_away,0,Guimaraes_Academica_2007,2007-12-03
2007,Academica,away,dynamic_ft_away,3,Naval_Academica_2007,2007-12-22
2007,Academica,away,dynamic_ft_away,0,Leiria_Academica_2007,2008-01-27
2007,Academica,away,dynamic_ft_away,1,Pacos Ferreira_Academica_2007,2008-02-17
2007,Academica,away,dynamic_ft_away,1,Leixoes_Academica_2007,2008-03-01
2007,Academica,away,dynamic_ft_away,0,Porto_Academica_2007,2008-03-09
2007,Academica,away,dynamic_ft_away,0,Est Amadora_Academica_2007,2008-03-29
2007,Academica,away,dynamic_ft_away,3,Benfica_Academica_2007,2008-04-11
2007,Academica,away,dynamic_ft_away,3,Nacional_Academica_2007,2008-04-27
2007,Academica,away,dynamic_ft_away,0,Sp Braga_Academica_2007,2008-05-10
2007,Academica,total,dynamic_ft_total_g>15,1,Sp Lisbon_Academica_2007,2007-08-17
2007,Academica,total,dynamic_ft_total_g>15,1,Academica_Leiria_2007,2007-08-26
2007,Academica,total,dynamic_ft_total_g>15,1,Maritimo_Academica_2007,2007-09-02
2007,Academica,total,dynamic_ft_total_g>15,0,Academica_Pacos Ferreira_2007,2007-09-16
2007,Academica,total,dynamic_ft_total_g>15,0,Boavista_Academica_2007,2007-09-24
2007,Academica,total,dynamic_ft_total_g>15,1,Academica_Leixoes_2007,2007-10-01
2007,Academica,total,dynamic_ft_total_g>15,0,Academica_Porto_2007,2007-10-07
2007,Academica,total,dynamic_ft_total_g>15,0,Belenenses_Academica_2007,2007-10-27
2007,Academica,total,dynamic_ft_total_g>15,1,Academica_Est Amadora_2007,2007-11-04
2007,Academica,total,dynamic_ft_total_g>15,1,Setubal_Academica_2007,2007-11-11
2007,Academica,total,dynamic_ft_total_g>15,1,Academica_Benfica_2007,2007-11-24
2007,Academica,total,dynamic_ft_total_g>15,1,Guimaraes_Academica_2007,2007-12-03
2007,Academica,total,dynamic_ft_total_g>15,0,Academica_Nacional_2007,2007-12-16
2007,Academica,total,dynamic_ft_total_g>15,0,Naval_Academica_2007,2007-12-22
2007,Academica,total,dynamic_ft_total_g>15,1,Academica_Sp Braga_2007,2008-01-04
2007,Academica,total,dynamic_ft_total_g>15,1,Academica_Sp Lisbon_2007,2008-01-13
2007,Academica,total,dynamic_ft_total_g>15,1,Leiria_Academica_2007,2008-01-27
2007,Academica,total,dynamic_ft_total_g>15,0,Academica_Maritimo_2007,2008-02-03
2007,Academica,total,dynamic_ft_total_g>15,1,Pacos Ferreira_Academica_2007,2008-02-17
2007,Academica,total,dynamic_ft_total_g>15,1,Academica_Boavista_2007,2008-02-25
2007,Academica,total,dynamic_ft_total_g>15,1,Leixoes_Academica_2007,2008-03-01
2007,Academica,total,dynamic_ft_total_g>15,0,Porto_Academica_2007,2008-03-09
2007,Academica,total,dynamic_ft_total_g>15,0,Academica_Belenenses_2007,2008-03-15
2007,Academica,total,dynamic_ft_total_g>15,1,Est Amadora_Academica_2007,2008-03-29
2007,Academica,total,dynamic_ft_total_g>15,0,Academica_Setubal_2007,2008-04-05
2007,Academica,total,dynamic_ft_total_g>15,1,Benfica_Academica_2007,2008-04-11
2007,Academica,total,dynamic_ft_total_g>15,0,Academica_Guimaraes_2007,2008-04-18
2007,Academica,total,dynamic_ft_total_g>15,1,Nacional_Academica_2007,2008-04-27
2007,Academica,total,dynamic_ft_total_g>15,1,Academica_Naval_2007,2008-05-04
2007,Academica,total,dynamic_ft_total_g>15,1,Sp Braga_Academica_2007,2008-05-10
2007,Academica,total,dynamic_ft_total_g>25,1,Sp Lisbon_Academica_2007,2007-08-17
2007,Academica,total,dynamic_ft_total_g>25,0,Academica_Leiria_2007,2007-08-26
2007,Academica,total,dynamic_ft_total_g>25,0,Maritimo_Academica_2007,2007-09-02
2007,Academica,total,dynamic_ft_total_g>25,0,Academica_Pacos Ferreira_2007,2007-09-16
2007,Academica,total,dynamic_ft_total_g>25,0,Boavista_Academica_2007,2007-09-24
2007,Academica,total,dynamic_ft_total_g>25,0,Academica_Leixoes_2007,2007-10-01
2007,Academica,total,dynamic_ft_total_g>25,0,Academica_Porto_2007,2007-10-07
2007,Academica,total,dynamic_ft_total_g>25,0,Belenenses_Academica_2007,2007-10-27
2007,Academica,total,dynamic_ft_total_g>25,1,Academica_Est Amadora_2007,2007-11-04
2007,Academica,total,dynamic_ft_total_g>25,1,Setubal_Academica_2007,2007-11-11
2007,Academica,total,dynamic_ft_total_g>25,1,Academica_Benfica_2007,2007-11-24
2007,Academica,total,dynamic_ft_total_g>25,1,Guimaraes_Academica_2007,2007-12-03
2007,Academica,total,dynamic_ft_total_g>25,0,Academica_Nacional_2007,2007-12-16
2007,Academica,total,dynamic_ft_total_g>25,0,Naval_Academica_2007,2007-12-22
2007,Academica,total,dynamic_ft_total_g>25,1,Academica_Sp Braga_2007,2008-01-04
2007,Academica,total,dynamic_ft_total_g>25,0,Academica_Sp Lisbon_2007,2008-01-13
2007,Academica,total,dynamic_ft_total_g>25,1,Leiria_Academica_2007,2008-01-27
2007,Academica,total,dynamic_ft_total_g>25,0,Academica_Maritimo_2007,2008-02-03
2007,Academica,total,dynamic_ft_total_g>25,0,Pacos Ferreira_Academica_2007,2008-02-17
2007,Academica,total,dynamic_ft_total_g>25,0,Academica_Boavista_2007,2008-02-25
2007,Academica,total,dynamic_ft_total_g>25,1,Leixoes_Academica_2007,2008-03-01
2007,Academica,total,dynamic_ft_total_g>25,0,Porto_Academica_2007,2008-03-09
2007,Academica,total,dynamic_ft_total_g>25,0,Academica_Belenenses_2007,2008-03-15
2007,Academica,total,dynamic_ft_total_g>25,1,Est Amadora_Academica_2007,2008-03-29
2007,Academica,total,dynamic_ft_total_g>25,0,Academica_Setubal_2007,2008-04-05
2007,Academica,total,dynamic_ft_total_g>25,1,Benfica_Academica_2007,2008-04-11
2007,Academica,total,dynamic_ft_total_g>25,0,Academica_Guimaraes_2007,2008-04-18
2007,Academica,total,dynamic_ft_total_g>25,1,Nacional_Academica_2007,2008-04-27
2007,Academica,total,dynamic_ft_total_g>25,0,Academica_Naval_2007,2008-05-04
2007,Academica,total,dynamic_ft_total_g>25,1,Sp Braga_Academica_2007,2008-05-10
2007,Academica,total,dynamic_ft_total_g>35,1,Sp Lisbon_Academica_2007,2007-08-17
2007,Academica,total,dynamic_ft_total_g>35,0,Academica_Leiria_2007,2007-08-26
2007,Academica,total,dynamic_ft_total_g>35,0,Maritimo_Academica_2007,2007-09-02
2007,Academica,total,dynamic_ft_total_g>35,0,Academica_Pacos Ferreira_2007,2007-09-16
2007,Academica,total,dynamic_ft_total_g>35,0,Boavista_Academica_2007,2007-09-24
2007,Academica,total,dynamic_ft_total_g>35,0,Academica_Leixoes_2007,2007-10-01
2007,Academica,total,dynamic_ft_total_g>35,0,Academica_Porto_2007,2007-10-07
2007,Academica,total,dynamic_ft_total_g>35,0,Belenenses_Academica_2007,2007-10-27
2007,Academica,total,dynamic_ft_total_g>35,1,Academica_Est Amadora_2007,2007-11-04
2007,Academica,total,dynamic_ft_total_g>35,1,Setubal_Academica_2007,2007-11-11
2007,Academica,total,dynamic_ft_total_g>35,1,Academica_Benfica_2007,2007-11-24
2007,Academica,total,dynamic_ft_total_g>35,0,Guimaraes_Academica_2007,2007-12-03
2007,Academica,total,dynamic_ft_total_g>35,0,Academica_Nacional_2007,2007-12-16
2007,Academica,total,dynamic_ft_total_g>35,0,Naval_Academica_2007,2007-12-22
2007,Academica,total,dynamic_ft_total_g>35,1,Academica_Sp Braga_2007,2008-01-04
2007,Academica,total,dynamic_ft_total_g>35,0,Academica_Sp Lisbon_2007,2008-01-13
2007,Academica,total,dynamic_ft_total_g>35,1,Leiria_Academica_2007,2008-01-27
2007,Academica,total,dynamic_ft_total_g>35,0,Academica_Maritimo_2007,2008-02-03
2007,Academica,total,dynamic_ft_total_g>35,0,Pacos Ferreira_Academica_2007,2008-02-17
2007,Academica,total,dynamic_ft_total_g>35,0,Academica_Boavista_2007,2008-02-25
2007,Academica,total,dynamic_ft_total_g>35,1,Leixoes_Academica_2007,2008-03-01
2007,Academica,total,dynamic_ft_total_g>35,0,Porto_Academica_2007,2008-03-09
2007,Academica,total,dynamic_ft_total_g>35,0,Academica_Belenenses_2007,2008-03-15
2007,Academica,total,dynamic_ft_total_g>35,1,Est Amadora_Academica_2007,2008-03-29
2007,Academica,total,dynamic_ft_total_g>35,0,Academica_Setubal_2007,2008-04-05
2007,Academica,total,dynamic_ft_total_g>35,0,Benfica_Academica_2007,2008-04-11
2007,Academica,total,dynamic_ft_total_g>35,0,Academica_Guimaraes_2007,2008-04-18
2007,Academica,total,dynamic_ft_total_g>35,0,Nacional_Academica_2007,2008-04-27
2007,Academica,total,dynamic_ft_total_g>35,0,Academica_Naval_2007,2008-05-04
2007,Academica,total,dynamic_ft_total_g>35,0,Sp Braga_Academica_2007,2008-05-10
2007,Academica,total,dynamic_ft_total_g>15,1,Sp Lisbon_Academica_2007,2007-08-17
2007,Academica,total,dynamic_ft_total_g>15,1,Academica_Leiria_2007,2007-08-26
2007,Academica,total,dynamic_ft_total_g>15,1,Maritimo_Academica_2007,2007-09-02
2007,Academica,total,dynamic_ft_total_g>15,0,Academica_Pacos Ferreira_2007,2007-09-16
2007,Academica,total,dynamic_ft_total_g>15,0,Boavista_Academica_2007,2007-09-24
2007,Academica,total,dynamic_ft_total_g>15,1,Academica_Leixoes_2007,2007-10-01
2007,Academica,total,dynamic_ft_total_g>15,0,Academica_Porto_2007,2007-10-07
2007,Academica,total,dynamic_ft_total_g>15,0,Belenenses_Academica_2007,2007-10-27
2007,Academica,total,dynamic_ft_total_g>15,1,Academica_Est Amadora_2007,2007-11-04
2007,Academica,total,dynamic_ft_total_g>15,1,Setubal_Academica_2007,2007-11-11
2007,Academica,total,dynamic_ft_total_g>15,1,Academica_Benfica_2007,2007-11-24
2007,Academica,total,dynamic_ft_total_g>15,1,Guimaraes_Academica_2007,2007-12-03
2007,Academica,total,dynamic_ft_total_g>15,0,Academica_Nacional_2007,2007-12-16
2007,Academica,total,dynamic_ft_total_g>15,0,Naval_Academica_2007,2007-12-22
2007,Academica,total,dynamic_ft_total_g>15,1,Academica_Sp Braga_2007,2008-01-04
2007,Academica,total,dynamic_ft_total_g>15,1,Academica_Sp Lisbon_2007,2008-01-13
2007,Academica,total,dynamic_ft_total_g>15,1,Leiria_Academica_2007,2008-01-27
2007,Academica,total,dynamic_ft_total_g>15,0,Academica_Maritimo_2007,2008-02-03
2007,Academica,total,dynamic_ft_total_g>15,1,Pacos Ferreira_Academica_2007,2008-02-17
2007,Academica,total,dynamic_ft_total_g>15,1,Academica_Boavista_2007,2008-02-25
2007,Academica,total,dynamic_ft_total_g>15,1,Leixoes_Academica_2007,2008-03-01
2007,Academica,total,dynamic_ft_total_g>15,0,Porto_Academica_2007,2008-03-09
2007,Academica,total,dynamic_ft_total_g>15,0,Academica_Belenenses_2007,2008-03-15
2007,Academica,total,dynamic_ft_total_g>15,1,Est Amadora_Academica_2007,2008-03-29
2007,Academica,total,dynamic_ft_total_g>15,0,Academica_Setubal_2007,2008-04-05
2007,Academica,total,dynamic_ft_total_g>15,1,Benfica_Academica_2007,2008-04-11
2007,Academica,total,dynamic_ft_total_g>15,0,Academica_Guimaraes_2007,2008-04-18
2007,Academica,total,dynamic_ft_total_g>15,1,Nacional_Academica_2007,2008-04-27
2007,Academica,total,dynamic_ft_total_g>15,1,Academica_Naval_2007,2008-05-04
2007,Academica,total,dynamic_ft_total_g>15,1,Sp Braga_Academica_2007,2008-05-10
2007,Academica,total,dynamic_ft_total_g>25,1,Sp Lisbon_Academica_2007,2007-08-17
2007,Academica,total,dynamic_ft_total_g>25,0,Academica_Leiria_2007,2007-08-26
2007,Academica,total,dynamic_ft_total_g>25,0,Maritimo_Academica_2007,2007-09-02
2007,Academica,total,dynamic_ft_total_g>25,0,Academica_Pacos Ferreira_2007,2007-09-16
2007,Academica,total,dynamic_ft_total_g>25,0,Boavista_Academica_2007,2007-09-24
2007,Academica,total,dynamic_ft_total_g>25,0,Academica_Leixoes_2007,2007-10-01
2007,Academica,total,dynamic_ft_total_g>25,0,Academica_Porto_2007,2007-10-07
2007,Academica,total,dynamic_ft_total_g>25,0,Belenenses_Academica_2007,2007-10-27
2007,Academica,total,dynamic_ft_total_g>25,1,Academica_Est Amadora_2007,2007-11-04
2007,Academica,total,dynamic_ft_total_g>25,1,Setubal_Academica_2007,2007-11-11
2007,Academica,total,dynamic_ft_total_g>25,1,Academica_Benfica_2007,2007-11-24
2007,Academica,total,dynamic_ft_total_g>25,1,Guimaraes_Academica_2007,2007-12-03
2007,Academica,total,dynamic_ft_total_g>25,0,Academica_Nacional_2007,2007-12-16
2007,Academica,total,dynamic_ft_total_g>25,0,Naval_Academica_2007,2007-12-22
2007,Academica,total,dynamic_ft_total_g>25,1,Academica_Sp Braga_2007,2008-01-04
2007,Academica,total,dynamic_ft_total_g>25,0,Academica_Sp Lisbon_2007,2008-01-13
2007,Academica,total,dynamic_ft_total_g>25,1,Leiria_Academica_2007,2008-01-27
2007,Academica,total,dynamic_ft_total_g>25,0,Academica_Maritimo_2007,2008-02-03
2007,Academica,total,dynamic_ft_total_g>25,0,Pacos Ferreira_Academica_2007,2008-02-17
2007,Academica,total,dynamic_ft_total_g>25,0,Academica_Boavista_2007,2008-02-25
