Date,idGame,team,Round_as_Home,Round_as_Away,Round_as_Total,Round_by_Week_Total
2017-08-06,Aves_Sp Lisbon_2017,Aves,1,1,1,1
2017-08-06,Setubal_Moreirense_2017,Moreirense,1,1,1,1
2017-08-06,Aves_Sp Lisbon_2017,Sp Lisbon,1,1,1,1
2017-08-06,Setubal_Moreirense_2017,Setubal,1,1,1,1
2017-08-07,Portimonense_Boavista_2017,Portimonense,1,1,1,1
2017-08-07,Rio Ave_Belenenses_2017,Belenenses,1,1,1,1
2017-08-07,Feirense_Tondela_2017,Tondela,1,1,1,1
2017-08-07,Feirense_Tondela_2017,Feirense,1,1,1,1
2017-08-07,Portimonense_Boavista_2017,Boavista,1,1,1,1
2017-08-07,Rio Ave_Belenenses_2017,Rio Ave,1,1,1,1
2017-08-08,Maritimo_Pacos Ferreira_2017,Pacos Ferreira,1,1,1,2
2017-08-08,Maritimo_Pacos Ferreira_2017,Maritimo,1,1,1,2
2017-08-09,Porto_Estoril_2017,Porto,1,1,1,2
2017-08-09,Benfica_Sp Braga_2017,Sp Braga,1,1,1,2
2017-08-09,Benfica_Sp Braga_2017,Benfica,1,1,1,2
2017-08-09,Porto_Estoril_2017,Estoril,1,1,1,2
2017-08-10,Guimaraes_Chaves_2017,Chaves,1,1,1,2
2017-08-10,Guimaraes_Chaves_2017,Guimaraes,1,1,1,2
2017-08-11,Sp Lisbon_Setubal_2017,Sp Lisbon,1,1,2,2
2017-08-11,Sp Lisbon_Setubal_2017,Setubal,1,1,2,2
2017-08-12,Moreirense_Feirense_2017,Moreirense,1,1,2,2
2017-08-12,Belenenses_Maritimo_2017,Belenenses,1,1,2,2
2017-08-12,Belenenses_Maritimo_2017,Maritimo,1,1,2,2
2017-08-12,Boavista_Rio Ave_2017,Rio Ave,1,1,2,2
2017-08-12,Moreirense_Feirense_2017,Feirense,1,1,2,2
2017-08-12,Boavista_Rio Ave_2017,Boavista,1,1,2,2
2017-08-13,Sp Braga_Portimonense_2017,Sp Braga,1,1,2,2
2017-08-13,Tondela_Porto_2017,Porto,1,1,2,2
2017-08-13,Pacos Ferreira_Aves_2017,Aves,1,1,2,2
2017-08-13,Pacos Ferreira_Aves_2017,Pacos Ferreira,1,1,2,2
2017-08-13,Sp Braga_Portimonense_2017,Portimonense,1,1,2,2
2017-08-13,Tondela_Porto_2017,Tondela,1,1,2,2
2017-08-14,Chaves_Benfica_2017,Chaves,1,1,2,2
2017-08-14,Estoril_Guimaraes_2017,Guimaraes,1,1,2,2
2017-08-14,Estoril_Guimaraes_2017,Estoril,1,1,2,2
2017-08-14,Chaves_Benfica_2017,Benfica,1,1,2,2
2017-08-18,Rio Ave_Portimonense_2017,Portimonense,1,2,3,3
2017-08-18,Rio Ave_Portimonense_2017,Rio Ave,2,1,3,3
2017-08-19,Guimaraes_Sp Lisbon_2017,Guimaraes,2,1,3,3
2017-08-19,Tondela_Estoril_2017,Tondela,2,1,3,3
2017-08-19,Benfica_Belenenses_2017,Belenenses,1,2,3,3
2017-08-19,Tondela_Estoril_2017,Estoril,1,2,3,3
2017-08-19,Guimaraes_Sp Lisbon_2017,Sp Lisbon,1,2,3,3
2017-08-19,Benfica_Belenenses_2017,Benfica,2,1,3,3
2017-08-20,Setubal_Chaves_2017,Setubal,2,1,3,3
2017-08-20,Aves_Sp Braga_2017,Sp Braga,1,2,3,3
2017-08-20,Setubal_Chaves_2017,Chaves,1,2,3,3
2017-08-20,Porto_Moreirense_2017,Moreirense,1,2,3,3
2017-08-20,Maritimo_Boavista_2017,Boavista,1,2,3,3
2017-08-20,Aves_Sp Braga_2017,Aves,2,1,3,3
2017-08-20,Porto_Moreirense_2017,Porto,2,1,3,3
2017-08-20,Maritimo_Boavista_2017,Maritimo,2,1,3,3
2017-08-21,Feirense_Pacos Ferreira_2017,Pacos Ferreira,1,2,3,3
2017-08-21,Feirense_Pacos Ferreira_2017,Feirense,2,1,3,3
2017-08-25,Belenenses_Setubal_2017,Setubal,2,2,4,4
2017-08-25,Belenenses_Setubal_2017,Belenenses,2,2,4,4
2017-08-26,Moreirense_Tondela_2017,Tondela,2,2,4,4
2017-08-26,Pacos Ferreira_Guimaraes_2017,Pacos Ferreira,2,2,4,4
2017-08-26,Moreirense_Tondela_2017,Moreirense,2,2,4,4
2017-08-26,Chaves_Feirense_2017,Chaves,2,2,4,4
2017-08-26,Pacos Ferreira_Guimaraes_2017,Guimaraes,2,2,4,4
2017-08-26,Rio Ave_Benfica_2017,Rio Ave,3,1,4,4
2017-08-26,Rio Ave_Benfica_2017,Benfica,2,2,4,4
2017-08-26,Chaves_Feirense_2017,Feirense,2,2,4,4
2017-08-27,Boavista_Aves_2017,Aves,2,2,4,4
