year,team,home_away_total,type_rating,points,game_id,date,Round_as_Home,Round_as_Away,Round_as_Total,Round_by_Week_Total,Rating_Initial
2007,Academica,away,ft_away,0,Sp Lisbon_Academica_2007,2007-08-17,1,1,1,1,232.8
2007,Academica,away,ft_away_g<15,0,Sp Lisbon_Academica_2007,2007-08-17,1,1,1,1,312.1
2007,Academica,away,ft_away_g<25,0,Sp Lisbon_Academica_2007,2007-08-17,1,1,1,1,536.5
2007,Academica,away,ft_away_g<35,0,Sp Lisbon_Academica_2007,2007-08-17,1,1,1,1,719.2
2007,Academica,away,ft_away_g>15,1,Sp Lisbon_Academica_2007,2007-08-17,1,1,1,1,686.9
2007,Academica,away,ft_away_g>25,1,Sp Lisbon_Academica_2007,2007-08-17,1,1,1,1,462.5
2007,Academica,away,ft_away_g>35,1,Sp Lisbon_Academica_2007,2007-08-17,1,1,1,1,279.8
2007,Academica,total,ft_total,0,Sp Lisbon_Academica_2007,2007-08-17,1,1,1,1,253.3
2007,Academica,total,ft_total_g<15,0,Sp Lisbon_Academica_2007,2007-08-17,1,1,1,1,334.1
2007,Academica,total,ft_total_g<15,0,Sp Lisbon_Academica_2007,2007-08-17,1,1,1,1,334.1
2007,Academica,total,ft_total_g<25,0,Sp Lisbon_Academica_2007,2007-08-17,1,1,1,1,581.0
2007,Academica,total,ft_total_g<25,0,Sp Lisbon_Academica_2007,2007-08-17,1,1,1,1,581.0
2007,Academica,total,ft_total_g<35,0,Sp Lisbon_Academica_2007,2007-08-17,1,1,1,1,756.1
2007,Academica,total,ft_total_g<35,0,Sp Lisbon_Academica_2007,2007-08-17,1,1,1,1,756.1
2007,Academica,total,ft_total_g>15,1,Sp Lisbon_Academica_2007,2007-08-17,1,1,1,1,664.9
2007,Academica,total,ft_total_g>15,1,Sp Lisbon_Academica_2007,2007-08-17,1,1,1,1,664.9
2007,Academica,total,ft_total_g>25,1,Sp Lisbon_Academica_2007,2007-08-17,1,1,1,1,418.4
2007,Academica,total,ft_total_g>25,1,Sp Lisbon_Academica_2007,2007-08-17,1,1,1,1,418.4
2007,Academica,total,ft_total_g>35,1,Sp Lisbon_Academica_2007,2007-08-17,1,1,1,1,242.9
2007,Academica,total,ft_total_g>35,1,Sp Lisbon_Academica_2007,2007-08-17,1,1,1,1,242.9
