,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,LBAHA,WHH,BWA,LBAHH,BWH,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
0,3.6,6.0,1.4,1.25,7.5,1.4,3.75,1.25,1.44,1.4,7.0,1.45,4.0,7.5,1.94,6.5,1.45,1.9,6.5,1.4,1.45,7.0,3.75,1.8,2.1,1.65,0.5,2.05,3.9,3.75,3.6,2.38,Aberdeen,Rangers,Aberdeen_Rangers_2004
1,3.1,2.9,2.38,0.25,2.75,2.25,3.3,0.0,2.2,2.2,2.6,2.4,3.3,3.0,1.76,2.87,2.4,2.08,2.5,2.2,2.4,2.6,3.25,1.9,2.0,1.85,0.5,1.85,3.0,3.2,3.25,1.44,Dundee,Hearts,Dundee_Hearts_2004
2,3.2,2.1,3.2,-0.5,2.1,3.0,3.3,-0.25,3.0,3.2,2.0,3.0,3.25,2.1,1.98,2.1,2.8,1.86,2.2,3.1,1.55,2.15,3.25,1.9,2.0,1.85,-0.5,1.85,3.0,3.2,3.2,2.15,Dunfermline,Dundee United,Dunfermline_Dundee United_2004
3,3.2,1.9,3.5,-0.5,1.91,3.5,3.3,-0.5,3.0,4.0,1.91,3.25,3.25,1.83,1.82,2.1,3.5,2.02,1.9,3.5,1.63,2.0,3.25,1.975,1.925,1.75,-0.5,1.95,3.1,3.2,3.25,2.0,Hibernian,Kilmarnock,Hibernian_Kilmarnock_2004
4,3.1,2.0,3.75,-0.5,1.91,3.5,3.3,-0.5,3.3,4.0,1.8,3.25,3.4,1.8,1.76,2.0,3.0,2.08,2.1,3.2,1.63,2.0,3.25,1.95,1.95,1.85,-0.5,1.85,3.1,3.25,3.25,2.0,Livingston,Inverness C,Livingston_Inverness C_2004
5,7.0,1.15,12.0,-2.0,1.14,13.0,6.5,-2.0,13.0,15.0,1.14,13.0,7.0,1.12,1.9,1.1,15.0,1.94,1.12,12.0,4.33,1.13,6.0,1.95,1.95,1.55,-0.5,2.25,6.0,6.0,6.5,1.13,Celtic,Motherwell,Celtic_Motherwell_2004
6,3.3,1.65,5.0,-1.0,1.62,5.0,3.25,-0.75,4.33,5.0,1.57,5.0,3.75,1.57,2.08,1.7,5.0,1.76,1.65,4.4,2.1,1.65,3.4,2.1,1.8,2.0,-0.75,1.71,3.3,3.5,3.25,1.75,Hearts,Aberdeen,Hearts_Aberdeen_2004
7,4.5,8.0,1.25,1.25,8.5,1.29,4.5,1.25,1.25,1.25,10.0,1.31,5.5,8.5,1.84,10.0,1.3,2.0,8.25,1.3,1.31,8.0,4.5,2.1,1.8,1.6,0.5,2.15,4.2,4.5,4.5,2.88,Kilmarnock,Celtic,Kilmarnock_Celtic_2004
8,3.2,2.2,3.2,-0.25,2.2,2.88,3.25,-0.25,2.8,3.2,2.0,2.8,3.25,2.1,1.9,2.2,2.75,1.94,2.25,2.9,1.9,2.25,3.2,1.9,2.0,2.0,-0.25,1.71,3.0,3.2,3.2,1.9,Motherwell,Hibernian,Motherwell_Hibernian_2004
9,6.0,1.2,12.0,-1.75,1.17,11.0,5.0,-2.0,12.0,13.0,1.17,10.0,6.0,1.16,1.78,1.14,9.0,2.06,1.25,10.0,3.65,1.2,6.0,1.8,2.1,1.6,-0.5,2.15,5.0,5.5,5.75,1.2,Rangers,Livingston,Rangers_Livingston_2004
10,3.1,2.2,3.2,-0.25,2.2,2.88,3.25,-0.25,2.87,3.2,2.1,3.0,3.25,2.2,2.1,2.2,3.3,1.74,2.0,3.0,1.95,2.25,3.2,1.85,2.05,1.95,-0.25,1.75,2.9,3.0,3.0,1.85,Dundee United,Dundee,Dundee United_Dundee_2004
11,3.2,2.7,2.25,0.0,2.7,2.3,3.2,0.0,2.25,2.37,2.75,2.4,3.25,2.7,1.84,2.75,2.25,2.0,2.8,2.3,1.8,2.75,3.2,2.025,1.875,1.95,0.0,1.75,3.0,3.2,3.0,2.0,Inverness C,Dunfermline,Inverness C_Dunfermline_2004
