,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SBH,SBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,LBH,GBD,VCH,GBA,B365D,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,BbAvAHA,SJH,GBH,BbAH,SBD,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,17.0,7.0,2.3,5.0,1.22,12.0,1.18,13.0,13.0,1.22,5.5,12.21,11.0,12.0,5.0,1.16,5.0,1.22,12.0,5.0,1.19,26,1.2,-1.75,1.9,1.2,2.1,10.5,1.52,44,1.2,9.5,1.61,4.5,1.83,1.2,1.2,16,6.5,2.01,12.0,4.8,5.5,5.59,2.5,Celtic,Kilmarnock,Celtic_Kilmarnock_2006
1,4.0,3.3,1.73,3.25,2.0,3.5,1.91,3.75,4.0,2.01,3.25,3.6,3.3,3.5,3.2,1.9,3.25,1.9,3.5,3.25,1.92,25,1.9,-0.5,1.95,1.95,2.05,3.3,1.97,45,2.0,3.3,2.1,3.25,1.84,1.83,1.91,17,3.25,2.0,3.5,3.2,3.2,3.23,1.86,Dundee United,Falkirk,Dundee United_Falkirk_2006
2,1.53,3.75,1.9,3.5,5.0,1.53,6.0,1.53,1.44,8.0,3.65,1.49,1.53,1.5,3.75,5.5,3.6,6.5,1.5,3.5,6.33,24,6.0,1.0,1.94,5.5,2.05,1.55,1.8,44,5.2,1.5,1.9,3.5,1.86,7.0,6.0,16,3.6,1.96,1.5,3.7,3.5,3.6,1.98,Dunfermline,Hearts,Dunfermline_Hearts_2006
3,3.75,3.25,1.8,3.2,2.1,3.75,1.91,3.75,3.25,2.2,3.25,3.37,3.75,3.5,3.25,1.83,3.25,2.0,3.4,3.25,2.01,26,1.9,-0.5,1.77,1.83,2.2,3.05,1.9,45,2.1,3.1,2.02,3.25,1.73,2.0,1.95,17,3.25,2.12,3.25,3.0,3.2,3.2,1.9,Hibernian,Aberdeen,Hibernian_Aberdeen_2006
4,5.28,3.45,1.82,3.3,1.7,4.33,1.73,4.5,4.0,1.8,3.5,4.44,4.33,4.33,3.25,1.66,3.3,1.7,4.3,3.25,1.72,23,1.72,-0.5,2.24,1.7,1.8,4.2,1.9,46,1.7,4.2,2.03,3.25,2.15,1.83,1.73,17,3.3,1.72,4.5,3.2,3.4,3.31,1.92,Inverness C,St Mirren,Inverness C_St Mirren_2006
5,1.4,4.5,2.08,4.0,7.0,1.36,9.5,1.4,1.33,8.75,4.5,1.37,1.36,1.4,4.5,8.0,4.0,8.5,1.37,4.0,7.9,9,6.5,1.25,1.95,7.0,1.9,1.35,1.63,22,6.75,1.35,1.72,3.6,1.95,8.0,7.5,5,3.8,1.88,1.4,4.0,3.75,4.05,2.3,Motherwell,Rangers,Motherwell_Rangers_2006
6,5.0,3.3,1.79,3.25,1.75,4.5,1.8,4.33,4.0,1.91,3.4,4.2,3.8,4.33,3.4,1.66,3.25,1.8,4.0,3.25,1.79,24,1.72,-0.5,1.98,1.8,2.07,4.1,1.93,46,1.75,4.0,2.05,3.25,1.87,1.8,1.8,16,3.2,1.97,4.0,3.2,3.25,3.25,1.89,Aberdeen,Inverness C,Aberdeen_Inverness C_2006
7,3.85,3.3,1.77,3.2,2.0,3.4,2.0,3.4,3.2,2.1,3.35,3.44,3.75,3.25,3.2,1.9,3.2,2.0,3.5,3.25,1.98,25,2.0,-0.5,1.83,1.83,2.11,3.9,1.96,46,1.8,3.2,2.05,3.25,1.78,2.1,1.95,17,3.25,2.07,3.25,3.1,3.25,3.22,1.87,Falkirk,Dunfermline,Falkirk_Dunfermline_2006
8,2.91,3.4,1.88,3.1,2.2,2.5,2.5,2.5,2.75,2.6,3.25,2.68,2.62,2.6,3.4,2.4,3.2,2.4,2.6,3.2,2.38,25,2.4,0.0,2.13,2.37,1.85,2.7,1.85,46,2.3,2.9,1.92,3.25,2.05,2.25,2.4,17,3.3,1.75,2.6,3.0,3.25,3.21,2.05,Kilmarnock,Hibernian,Kilmarnock_Hibernian_2006
9,18.0,7.47,2.33,5.5,1.15,12.0,1.15,13.0,17.0,1.17,6.5,14.32,12.0,15.0,5.5,1.16,6.0,1.15,13.0,7.0,1.15,24,1.14,-1.75,2.21,1.16,1.76,11.5,1.51,45,1.15,12.0,1.59,5.5,2.15,1.17,1.15,13,6.5,1.72,12.0,6.0,5.5,6.19,2.4,Rangers,Dundee United,Rangers_Dundee United_2006
