,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SBH,SBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,GBD,VCH,GBA,B365D,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,BbAvAHA,SJH,GBH,BbAH,SBD,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,1.7,3.75,1.99,3.5,4.6,1.53,5.0,1.6,1.67,5.5,3.5,1.62,1.57,1.67,3.6,3.5,5.5,3.5,5.5,1.63,3.75,5.21,21,5.0,0.0,1.25,5.0,4.0,1.6,1.75,1.62,24,5.0,1.6,1.88,3.5,1.23,5.5,5.0,14,3.6,3.8,1.6,5.5,3.4,3.5,3.53,2.1,Aberdeen,Celtic,Aberdeen_Celtic_2009
1,4.6,3.5,1.7,3.3,1.8,4.0,1.8,4.0,4.33,1.91,3.4,4.21,4.33,4.5,3.25,3.3,1.73,3.4,1.8,4.25,3.4,1.8,20,1.83,0.0,3.4,1.7,1.34,4.1,2.04,4.5,25,1.75,3.7,2.18,3.3,3.14,1.8,1.75,14,3.4,1.31,4.0,1.8,3.2,3.4,3.34,1.8,Hibernian,St Mirren,Hibernian_St Mirren_2009
2,4.0,3.4,1.65,3.2,1.9,3.6,1.91,3.6,3.4,2.0,3.3,3.71,3.5,4.33,3.25,3.25,1.83,3.25,1.8,3.5,3.4,1.92,22,1.85,0.0,2.77,1.91,1.51,3.6,2.12,3.75,26,1.9,3.5,2.25,3.3,2.65,2.0,1.95,15,3.3,1.42,4.0,1.91,3.1,3.3,3.28,1.7,Kilmarnock,Hamilton,Kilmarnock_Hamilton_2009
3,15.0,6.5,2.21,5.0,1.2,11.0,1.2,12.0,11.0,1.22,5.5,12.5,11.0,15.0,5.5,5.5,1.2,5.5,1.2,11.0,6.0,1.2,20,1.2,0.0,11.2,1.2,1.04,11.0,1.6,12.0,25,1.2,10.0,1.65,5.5,10.4,1.2,1.2,14,5.5,1.03,11.0,1.22,5.0,5.0,5.64,2.38,Rangers,Falkirk,Rangers_Falkirk_2009
4,2.8,3.3,1.66,3.1,2.5,2.5,2.5,2.6,2.5,2.75,3.25,2.6,2.5,2.6,3.25,3.2,2.4,3.3,2.6,2.5,3.2,2.52,21,2.7,0.0,1.99,2.5,1.9,2.6,2.1,2.6,25,2.4,2.5,2.25,3.2,1.91,2.5,2.5,14,3.2,1.83,2.5,2.6,3.0,3.25,3.2,1.73,St Johnstone,Motherwell,St Johnstone_Motherwell_2009
5,3.15,3.3,1.69,3.2,2.2,2.75,2.2,2.88,2.9,2.4,3.25,2.88,2.62,3.1,3.25,3.25,2.25,3.25,2.2,2.75,3.3,2.29,22,2.25,0.0,2.33,2.3,1.75,2.8,2.06,2.75,25,2.25,2.9,2.23,3.25,2.1,2.4,2.35,14,3.25,1.66,3.0,2.4,3.0,3.2,3.23,1.73,Dundee United,Hearts,Dundee United_Hearts_2009
6,20.5,8.2,2.52,5.5,1.17,15.0,1.17,11.0,13.0,1.2,6.0,13.45,12.0,17.0,6.0,6.0,1.2,6.0,1.14,13.0,7.0,1.17,26,1.17,0.0,15.0,1.17,1.05,13.0,1.48,17.0,30,1.15,11.0,1.55,6.5,10.09,1.17,1.17,15,6.5,1.03,13.0,1.17,5.5,6.0,6.35,2.72,Celtic,St Johnstone,Celtic_St Johnstone_2009
7,2.8,3.4,1.65,3.1,2.5,2.5,2.6,2.4,2.63,2.82,3.25,2.59,2.62,2.63,3.4,3.25,2.8,3.2,2.5,2.6,3.3,2.58,26,2.6,0.0,1.95,2.38,1.95,2.5,2.14,2.62,30,2.5,2.5,2.35,3.2,1.88,2.5,2.5,14,3.3,1.87,2.6,2.5,3.0,3.3,3.23,1.73,Falkirk,Hibernian,Falkirk_Hibernian_2009
8,2.52,3.35,1.63,3.2,2.6,2.5,2.7,2.38,2.3,3.05,3.25,2.37,2.25,2.5,3.25,3.25,2.8,3.25,2.6,2.35,3.3,2.82,27,2.75,0.0,1.8,2.75,2.13,2.35,2.17,2.3,31,2.65,2.4,2.35,3.2,1.74,2.75,2.75,15,3.25,2.02,2.5,2.88,3.0,3.3,3.23,1.7,Hamilton,Aberdeen,Hamilton_Aberdeen_2009
9,3.75,3.4,1.7,3.25,2.1,3.25,2.1,3.2,3.2,2.25,3.25,3.33,3.3,3.5,3.25,3.2,2.25,3.25,2.0,3.3,3.3,2.09,27,2.1,0.0,2.63,1.95,1.55,3.3,2.06,3.4,31,2.0,3.1,2.24,3.25,2.43,2.1,2.05,16,3.25,1.49,3.4,2.1,3.0,3.25,3.26,1.75,Motherwell,Kilmarnock,Motherwell_Kilmarnock_2009
10,2.35,3.35,1.65,3.2,2.6,2.25,2.8,2.25,2.25,3.48,3.25,2.25,2.25,2.25,3.25,3.2,3.25,3.25,3.0,2.25,3.25,3.02,27,3.2,0.0,1.67,2.75,2.33,2.25,2.14,2.25,31,2.8,2.3,2.37,3.2,1.6,2.88,2.9,16,3.3,2.18,2.2,3.0,3.1,3.25,3.24,1.73,St Mirren,Dundee United,St Mirren_Dundee United_2009
11,1.68,3.93,1.84,3.3,4.2,1.67,4.75,1.67,1.67,6.2,3.45,1.64,1.67,1.67,3.75,3.6,5.5,3.5,5.5,1.65,3.6,5.24,26,5.25,0.0,1.3,4.5,4.33,1.65,1.9,1.67,30,4.7,1.7,2.05,3.4,1.23,5.0,5.0,15,3.4,3.72,1.6,4.75,3.2,3.5,3.56,1.9,Hearts,Rangers,Hearts_Rangers_2009
12,4.0,3.4,1.73,3.3,1.9,3.75,2.0,3.4,3.4,2.16,3.25,3.52,3.75,3.5,3.25,3.25,1.83,3.25,1.9,3.4,3.3,2.01,27,2.1,0.0,2.8,1.8,1.5,3.3,2.03,3.5,33,2.0,3.5,2.15,3.2,2.58,2.0,2.0,19,3.3,1.45,3.6,2.05,3.1,3.2,3.28,1.82,Aberdeen,Motherwell,Aberdeen_Motherwell_2009
13,6.25,3.8,1.73,3.5,1.6,5.0,1.62,5.2,5.5,1.67,3.5,5.38,5.0,5.5,3.4,3.4,1.57,3.5,1.67,5.25,3.6,1.62,27,1.67,0.0,5.05,1.57,1.25,5.0,2.02,6.0,32,1.6,4.6,2.11,3.4,3.89,1.62,1.6,18,3.5,1.22,4.5,1.62,3.4,3.5,3.51,1.83,Dundee United,Falkirk,Dundee United_Falkirk_2009
14,4.08,3.4,1.64,3.2,1.9,3.6,1.9,3.75,3.5,2.07,3.3,3.64,3.5,4.0,3.25,3.25,1.83,3.25,1.9,3.6,3.25,1.98,27,2.0,0.0,2.75,1.91,1.48,3.6,2.14,3.6,32,1.9,3.5,2.3,3.25,2.63,2.0,1.95,18,3.3,1.43,3.6,2.0,3.1,3.4,3.26,1.7,Kilmarnock,St Mirren,Kilmarnock_St Mirren_2009
15,27.5,9.4,2.58,6.0,1.15,12.0,1.14,15.0,17.0,1.15,6.5,16.33,12.0,19.0,6.5,7.0,1.14,6.5,1.12,13.0,7.5,1.14,26,1.14,0.0,17.0,1.14,1.03,16.0,1.45,19.0,31,1.12,12.0,1.51,6.5,11.9,1.13,1.15,18,6.5,1.02,15.0,1.12,6.0,6.0,6.89,2.8,Rangers,Hamilton,Rangers_Hamilton_2009
16,1.69,3.95,2.03,3.6,4.6,1.57,5.5,1.57,1.62,6.0,3.55,1.62,1.5,1.62,3.8,3.75,5.0,3.5,5.5,1.6,3.75,5.33,26,5.5,0.0,1.25,5.5,4.2,1.55,1.73,1.62,31,5.5,1.6,1.82,3.6,1.22,5.5,5.25,18,3.6,3.86,1.6,5.0,3.4,3.5,3.59,2.18,Hibernian,Celtic,Hibernian_Celtic_2009
17,2.4,3.4,1.65,3.2,2.5,2.2,2.9,2.25,2.3,3.23,3.25,2.28,2.1,2.3,3.2,3.25,2.8,3.25,2.9,2.25,3.3,2.94,26,3.1,0.0,1.73,3.0,2.28,2.2,2.13,2.38,32,2.9,2.4,2.23,3.2,1.64,2.88,2.85,18,3.25,2.16,2.25,2.8,3.1,3.2,3.24,1.73,St Johnstone,Hearts,St Johnstone_Hearts_2009
18,13.5,6.1,2.32,4.8,1.22,12.0,1.2,12.0,11.0,1.3,5.5,11.04,10.0,13.0,5.5,5.0,1.25,5.25,1.2,10.0,5.5,1.25,29,1.25,0.0,10.16,1.22,1.08,12.0,1.55,8.5,35,1.18,9.5,1.62,5.5,8.2,1.22,1.23,19,5.5,1.05,11.0,1.29,4.8,5.5,5.34,2.46,Celtic,Dundee United,Celtic_Dundee United_2009
