,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,PSD,VCH,GBD,GBA,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,SJH,GBH,BbAH,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,13.0,6.0,2.01,5.0,1.22,12.0,10.0,1.3,5.25,10.74,11.0,12.0,5.75,6.0,1.25,5.72,1.29,5.25,13.0,5.5,12.78,1.25,29,1.25,-1.5,2.02,1.3,1.98,13.0,1.78,11.0,34,1.2,10.5,1.86,5.75,1.3,1.93,1.27,1.2,16,1.92,13.0,1.2,5.2,5.5,5.56,2.1,Celtic,Aberdeen,Celtic_Aberdeen_2012
1,4.2,3.6,1.65,3.25,1.85,4.2,3.75,2.12,3.1,3.72,3.6,4.0,3.3,3.5,1.91,3.45,2.05,3.1,3.5,3.3,3.98,1.99,27,1.95,-0.25,2.16,2.1,1.83,3.5,2.18,3.6,34,2.05,3.7,2.3,3.4,2.08,2.08,2.0,2.05,15,1.76,4.1,1.91,3.3,3.3,3.32,1.74,Hearts,St Johnstone,Hearts_St Johnstone_2012
2,4.02,3.6,1.81,3.2,2.0,3.75,3.8,2.04,3.3,3.79,3.75,3.75,3.4,3.5,2.0,3.53,2.05,3.3,3.9,3.4,3.94,1.94,27,2.0,-0.5,1.9,1.83,2.04,3.9,1.97,3.6,30,1.85,3.3,2.1,3.5,2.05,1.86,1.91,1.85,12,1.99,3.9,1.91,3.2,3.4,3.39,1.92,Kilmarnock,Dundee,Kilmarnock_Dundee_2012
3,2.72,3.4,1.71,3.3,2.6,2.5,2.6,2.8,3.1,2.57,2.5,2.63,3.2,3.3,2.75,3.33,2.75,3.1,2.5,3.2,2.78,2.66,29,2.7,0.0,1.96,2.75,1.99,2.5,2.09,2.5,34,2.65,2.4,2.23,3.3,2.75,1.91,2.75,2.65,17,1.92,2.75,2.6,3.2,3.3,3.24,1.75,Ross County,Motherwell,Ross County_Motherwell_2012
4,3.3,3.35,1.7,3.3,2.3,3.0,2.88,2.42,3.1,2.99,3.1,3.0,3.25,3.2,2.38,3.38,2.4,3.1,2.9,3.25,3.25,2.33,29,2.38,0.0,2.29,2.3,1.74,2.9,2.1,3.1,34,2.3,2.8,2.21,3.3,2.37,2.18,2.38,2.3,17,1.67,3.2,2.2,3.1,3.25,3.23,1.76,St Mirren,Inverness C,St Mirren_Inverness C_2012
5,5.54,4.05,1.94,3.8,1.65,5.0,5.0,1.73,3.5,4.99,5.0,5.0,3.75,3.6,1.67,3.98,1.67,3.5,4.4,3.75,5.54,1.65,28,1.67,-0.75,2.01,1.67,1.92,4.4,1.84,4.75,34,1.7,4.5,1.92,4.0,1.68,1.98,1.67,1.7,15,1.88,5.5,1.67,3.5,3.8,3.68,2.03,Dundee United,Hibernian,Dundee United_Hibernian_2012
6,4.5,3.55,1.63,3.1,1.7,4.5,4.0,2.0,3.2,4.03,4.2,4.0,3.25,3.4,1.8,3.45,1.98,3.2,4.1,3.4,4.25,1.91,26,1.91,-0.5,1.95,2.0,2.01,4.1,2.21,3.8,35,1.83,4.3,2.37,3.4,2.0,1.9,1.95,1.83,15,1.97,4.2,1.95,3.4,3.5,3.32,1.75,Aberdeen,Ross County,Aberdeen_Ross County_2012
7,3.0,3.31,1.65,3.1,2.3,2.75,2.88,2.73,3.1,2.76,2.8,2.8,3.13,3.3,2.6,3.29,2.62,3.1,2.75,3.25,2.88,2.55,22,2.5,0.0,2.0,2.62,1.94,2.75,2.17,2.75,35,2.4,2.8,2.31,3.25,2.68,1.96,2.5,2.4,19,1.88,2.8,2.5,3.1,3.2,3.15,1.75,Dundee,St Mirren,Dundee_St Mirren_2012
8,3.38,3.4,1.71,3.2,2.2,3.2,3.2,2.4,3.1,3.1,3.0,3.2,3.13,3.3,2.25,3.4,2.3,3.1,2.9,3.25,3.38,2.26,29,2.25,0.0,2.43,2.38,1.67,2.9,2.1,2.88,35,2.3,3.0,2.22,3.3,2.29,2.32,2.3,2.3,17,1.6,3.3,2.38,3.1,3.25,3.22,1.8,Inverness C,Kilmarnock,Inverness C_Kilmarnock_2012
9,3.9,3.45,1.7,3.2,1.8,3.6,3.5,2.2,3.1,3.45,3.3,3.5,3.25,3.3,2.05,3.38,2.2,3.1,3.3,3.3,3.53,2.1,29,2.1,-0.5,1.79,2.25,2.2,3.3,2.12,3.3,35,2.1,3.9,2.24,3.3,2.24,1.75,2.1,2.1,16,2.13,3.5,2.15,3.3,3.3,3.25,1.75,Motherwell,St Johnstone,Motherwell_St Johnstone_2012
10,2.3,3.41,1.69,3.1,2.75,2.25,2.3,3.57,3.1,2.2,2.3,2.2,3.25,3.3,3.2,3.41,3.5,3.1,2.15,3.3,2.21,3.24,29,3.25,0.25,1.93,3.3,2.05,2.15,2.12,2.2,35,3.2,2.3,2.22,3.3,3.57,1.85,3.0,3.2,16,2.0,2.25,3.3,3.2,3.25,3.23,1.8,Hibernian,Hearts,Hibernian_Hearts_2012
11,4.33,3.6,1.71,3.4,1.8,4.33,4.0,1.96,3.2,4.05,4.0,4.2,3.3,3.6,1.91,3.49,1.95,3.2,3.6,3.3,4.29,1.91,31,1.91,-0.5,1.97,1.91,1.96,3.6,2.09,4.33,35,1.95,4.0,2.2,3.5,1.96,1.93,1.91,1.95,16,1.93,4.2,1.8,3.2,3.2,3.32,1.77,Hearts,Inverness C,Hearts_Inverness C_2012
12,2.77,3.31,1.69,3.25,2.5,2.7,2.63,2.75,3.0,2.65,2.7,2.6,3.13,3.3,2.6,3.31,2.7,3.0,2.7,3.25,2.77,2.64,31,2.7,0.0,1.97,2.62,1.97,2.7,2.13,2.62,35,2.5,2.6,2.22,3.3,2.72,1.92,2.75,2.5,19,1.92,2.75,2.62,3.1,3.25,3.17,1.74,Kilmarnock,Motherwell,Kilmarnock_Motherwell_2012
13,1.5,4.45,1.93,4.2,6.5,1.44,1.44,8.0,4.0,1.44,1.44,1.44,4.0,4.2,7.0,4.37,8.0,4.0,1.4,4.2,1.49,7.17,31,7.5,1.0,1.81,8.0,2.13,1.4,1.86,1.5,35,7.25,1.4,1.95,4.4,7.81,1.78,7.5,7.25,18,2.09,1.45,6.5,4.0,4.33,4.19,1.99,Ross County,Celtic,Ross County_Celtic_2012
14,3.41,3.3,1.58,3.1,2.35,3.2,3.2,2.4,3.1,3.17,3.5,3.4,3.25,3.3,2.25,3.28,2.25,3.1,3.1,3.2,3.41,2.25,26,2.2,-0.25,1.94,2.2,2.0,3.1,2.22,3.2,35,2.2,2.75,2.44,3.25,2.31,1.91,2.2,2.2,17,1.96,3.4,2.25,3.1,3.25,3.2,1.7,St Johnstone,Aberdeen,St Johnstone_Aberdeen_2012
15,3.4,3.36,1.65,3.2,2.2,3.2,3.13,2.38,3.1,3.18,3.2,3.4,3.2,3.25,2.25,3.36,2.25,3.1,3.2,3.2,3.4,2.23,29,2.2,-0.25,1.97,2.3,1.98,3.2,2.18,3.25,35,2.15,3.0,2.25,3.3,2.28,1.93,2.25,2.15,17,1.94,3.4,2.25,3.1,3.25,3.21,1.71,St Mirren,Hibernian,St Mirren_Hibernian_2012
