,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,PSD,LBH,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,SJH,BbAH,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,3.2,3.4,1.75,3.1,2.4,2.9,3.0,2.45,3.25,2.98,3.1,3.0,3.25,3.4,2.37,2.3,3.2,3.19,2.33,41,2.38,0.0,2.3,2.4,1.75,2.85,2.03,43,2.25,2.7,2.13,3.3,2.37,2.2,2.3,21,1.68,3.2,3.2,3.3,3.22,1.84,Dundee,Kilmarnock,Dundee_Kilmarnock_2014
1,2.4,3.4,1.75,3.1,2.8,2.3,2.3,3.22,3.2,2.31,2.4,2.3,3.25,3.36,3.1,3.12,3.2,2.37,3.03,41,3.2,0.0,1.74,3.1,2.29,2.15,2.03,43,3.1,2.3,2.14,3.3,3.22,1.68,3.13,17,2.19,2.4,3.2,3.25,3.21,1.85,Hamilton,Inverness C,Hamilton_Inverness C_2014
2,4.6,3.9,2.01,3.5,1.8,4.5,4.33,1.88,3.6,4.25,4.2,4.33,3.6,3.83,1.75,1.83,3.6,4.55,1.79,41,1.8,-0.5,2.13,1.83,1.89,4.2,1.77,43,1.72,4.0,1.86,3.9,1.82,2.04,1.8,19,1.8,4.2,3.4,3.6,3.59,2.12,Motherwell,St Mirren,Motherwell_St Mirren_2014
3,3.55,3.44,1.8,3.3,2.1,3.3,3.25,2.25,3.25,3.25,3.3,3.3,3.3,3.44,2.2,2.25,3.3,3.49,2.17,43,2.2,-0.25,2.05,2.2,1.93,2.95,1.98,44,2.2,3.2,2.1,3.3,2.21,1.98,2.2,17,1.87,3.4,3.2,3.25,3.28,1.87,Aberdeen,Dundee United,Aberdeen_Dundee United_2014
4,2.5,3.39,1.73,3.1,2.8,2.37,2.3,3.2,3.2,2.35,2.4,2.38,3.25,3.39,3.0,3.0,3.25,2.45,2.97,42,3.0,0.0,1.78,3.1,2.25,2.3,2.06,44,2.8,2.3,2.17,3.3,3.06,1.72,3.0,19,2.12,2.5,3.1,3.25,3.21,1.81,Ross County,St Johnstone,Ross County_St Johnstone_2014
5,4.2,3.69,2.03,3.4,2.0,3.75,3.8,2.0,3.25,3.79,3.75,3.75,3.4,3.7,2.0,2.0,3.6,4.14,1.94,28,1.91,-0.5,1.98,2.0,2.01,3.4,1.73,32,2.0,3.3,1.85,3.6,1.93,1.86,1.95,15,1.91,3.9,3.3,3.4,3.45,2.13,Dundee United,Motherwell,Dundee United_Motherwell_2014
6,4.0,3.45,1.72,3.3,1.9,4.0,3.5,2.18,3.2,3.58,4.0,3.5,3.3,3.38,1.9,2.15,3.3,3.73,2.04,30,2.1,-0.5,1.82,1.95,2.14,3.3,2.04,33,2.05,3.7,2.13,3.4,2.14,1.75,2.05,17,2.04,3.6,3.3,3.4,3.29,1.82,Inverness C,Dundee,Inverness C_Dundee_2014
7,2.0,3.6,1.74,3.4,3.3,2.0,1.91,4.37,3.3,1.9,1.95,1.91,3.4,3.57,3.6,4.1,3.4,1.91,3.9,31,4.0,0.25,1.76,4.0,2.35,2.0,2.02,33,3.4,2.0,2.13,3.6,4.42,1.64,3.8,16,2.25,1.92,3.3,3.4,3.38,1.82,Kilmarnock,Aberdeen,Kilmarnock_Aberdeen_2014
8,3.86,3.4,1.71,3.25,2.2,3.5,3.5,2.2,3.2,3.46,3.6,3.5,3.25,3.4,2.1,2.1,3.3,3.86,2.09,30,2.1,-0.25,2.12,2.1,1.83,3.2,2.06,32,2.1,3.0,2.18,3.3,2.1,2.05,2.1,16,1.79,3.7,3.2,3.3,3.22,1.83,Partick,Ross County,Partick_Ross County_2014
9,1.54,4.53,2.09,4.0,7.0,1.5,1.5,7.99,4.25,1.47,1.5,1.5,4.33,4.53,6.5,7.0,4.33,1.47,6.64,30,6.0,1.0,1.84,7.0,2.11,1.44,1.7,33,6.0,1.4,1.79,4.3,7.65,1.79,6.5,18,2.04,1.5,4.1,4.2,4.22,2.23,St Johnstone,Celtic,St Johnstone_Celtic_2014
10,3.72,3.5,1.72,3.4,2.0,3.4,3.3,2.2,3.4,3.4,3.3,3.4,3.4,3.41,2.1,2.15,3.4,3.76,2.07,30,2.1,-0.5,1.82,2.15,2.22,3.4,2.03,33,1.95,3.3,2.16,3.4,2.13,1.72,2.1,17,2.07,3.6,3.3,3.4,3.31,1.81,St Mirren,Hamilton,St Mirren_Hamilton_2014
11,8.0,4.84,2.26,4.33,1.4,7.0,6.0,1.49,4.5,6.68,7.0,6.5,4.5,4.85,1.44,1.45,4.5,7.56,1.44,36,1.44,-1.25,1.88,1.44,2.09,6.0,1.6,47,1.4,7.0,1.67,4.6,1.45,1.82,1.44,21,2.03,7.0,4.1,4.5,4.49,2.45,Celtic,Dundee United,Celtic_Dundee United_2014
