,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,BbMxH,BWD,BbAvA,WHA,B365A,PSD,LBH,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,BbAH,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,19.0,7.5,2.59,6.0,1.15,15.0,1.22,6.75,14.44,13.0,15.0,7.36,1.22,1.17,7.0,15.45,1.17,33,1.17,-2.0,2.06,1.22,1.9,14.0,1.46,39,1.14,14.0,1.5,7.5,1.21,1.98,25,1.82,19.0,6.2,6.0,6.85,2.75,Celtic,Ross County,Celtic_Ross County_2015
1,2.7,3.5,1.74,3.1,2.5,2.7,2.87,3.2,2.55,2.7,2.5,3.36,2.7,2.75,3.5,2.61,2.65,38,2.63,0.0,1.93,2.7,2.06,2.6,2.03,39,2.5,2.6,2.14,3.4,2.87,1.85,25,1.93,2.6,3.2,3.3,3.24,1.83,Hamilton,Partick,Hamilton_Partick_2015
2,5.14,3.8,1.73,3.4,1.7,5.0,1.8,3.5,4.83,4.6,5.0,3.72,1.8,1.73,3.8,5.14,1.7,37,1.67,-0.75,1.93,1.73,2.01,4.6,2.05,39,1.67,4.4,2.15,3.8,1.76,1.86,24,1.93,5.0,3.5,3.5,3.51,1.81,Inverness C,Motherwell,Inverness C_Motherwell_2015
3,2.79,3.4,1.74,3.1,2.5,2.75,2.7,3.2,2.66,2.7,2.7,3.36,2.7,2.63,3.4,2.79,2.55,38,2.5,0.0,2.01,2.7,1.95,2.6,2.04,39,2.5,2.6,2.15,3.4,2.67,1.93,25,1.85,2.75,3.2,3.25,3.22,1.81,Kilmarnock,Dundee,Kilmarnock_Dundee_2015
4,2.1,3.63,1.75,3.2,3.3,2.1,3.85,3.25,1.98,2.05,2.05,3.63,3.75,3.8,3.4,2.03,3.65,38,3.6,0.5,2.09,3.75,1.89,1.95,2.01,39,3.6,2.0,2.11,3.6,3.82,1.98,25,1.82,2.0,3.3,3.4,3.36,1.83,Dundee United,Aberdeen,Dundee United_Aberdeen_2015
5,3.67,3.5,1.61,3.2,2.1,3.4,2.2,3.25,3.41,3.4,3.3,3.32,2.2,2.15,3.5,3.67,2.11,35,2.1,-0.25,2.05,2.2,1.89,3.4,2.23,39,2.0,3.1,2.37,3.4,2.19,1.98,24,1.82,3.6,3.3,3.3,3.24,1.7,Hearts,St Johnstone,Hearts_St Johnstone_2015
6,2.7,3.41,1.78,3.1,2.6,2.62,2.8,3.2,2.56,2.7,2.5,3.41,2.8,2.75,3.25,2.66,2.66,42,2.8,0.0,1.92,2.7,2.02,2.55,1.99,43,2.55,2.5,2.1,3.4,2.77,1.84,25,1.94,2.6,3.2,3.3,3.26,1.88,Dundee,Hearts,Dundee_Hearts_2015
7,2.8,3.5,1.86,3.1,2.5,2.7,2.7,3.1,2.66,2.7,2.75,3.45,2.62,2.55,3.25,2.79,2.54,42,2.55,0.0,2.03,2.7,1.92,2.6,1.9,43,2.55,2.6,2.0,3.5,2.62,1.94,25,1.85,2.75,3.2,3.4,3.29,1.95,Motherwell,Dundee United,Motherwell_Dundee United_2015
8,3.7,3.5,1.78,3.25,2.1,3.5,2.2,3.2,3.38,3.4,3.5,3.49,2.2,2.15,3.4,3.53,2.11,41,2.05,-0.25,2.06,2.2,1.89,3.2,1.99,43,2.1,3.1,2.09,3.5,2.17,1.98,24,1.82,3.5,3.3,3.3,3.32,1.86,Ross County,Hamilton,Ross County_Hamilton_2015
9,3.2,3.3,1.55,3.1,2.5,3.0,2.63,3.1,2.86,3.0,3.1,3.2,2.5,2.55,3.1,3.0,2.48,37,2.4,0.0,2.17,2.5,1.83,2.75,2.35,43,2.4,2.6,2.5,3.2,2.6,2.04,25,1.76,3.0,3.2,3.25,3.12,1.6,St Johnstone,Inverness C,St Johnstone_Inverness C_2015
10,10.0,5.0,1.87,4.2,1.35,9.0,1.4,4.2,8.79,9.0,10.0,5.0,1.36,1.36,4.75,9.49,1.35,42,1.33,-1.25,2.05,1.4,1.89,7.75,1.88,43,1.36,7.3,1.95,5.0,1.38,1.97,24,1.83,9.5,4.5,4.5,4.58,2.0,Aberdeen,Kilmarnock,Aberdeen_Kilmarnock_2015
11,1.4,5.38,2.09,5.0,7.3,1.4,10.96,4.6,1.32,1.36,1.33,5.38,9.0,10.0,5.0,1.33,9.11,41,9.0,1.5,2.08,8.0,1.92,1.34,1.7,43,7.25,1.35,1.77,5.2,10.96,1.98,26,1.82,1.33,4.5,4.5,4.91,2.2,Partick,Celtic,Partick_Celtic_2015
12,3.4,3.6,1.83,3.2,2.1,3.3,2.25,3.25,3.19,3.3,3.25,,2.25,2.2,3.25,,2.19,19,2.25,0.0,2.23,2.25,1.66,3.2,1.89,26,2.1,3.2,1.95,3.6,,2.18,4,1.63,3.3,3.2,3.2,3.28,1.91,Dundee United,Dundee,Dundee United_Dundee_2015
13,4.5,3.5,1.71,3.2,1.85,4.0,1.95,3.25,4.04,4.5,4.0,,1.91,1.91,3.5,,1.88,18,1.91,-0.75,1.69,1.91,2.12,3.75,2.06,25,1.9,3.8,2.15,3.5,,1.68,3,2.12,4.33,3.4,3.4,3.39,1.8,St Johnstone,Ross County,St Johnstone_Ross County_2015
14,5.5,3.75,1.88,3.5,1.7,4.8,1.75,3.4,4.98,5.0,5.0,,1.7,1.7,3.5,,1.69,18,1.73,-0.75,1.92,1.75,1.86,4.5,1.86,25,1.7,4.4,1.91,3.7,,1.91,3,1.85,5.4,3.5,3.5,3.53,1.95,Hearts,Motherwell,Hearts_Motherwell_2015
15,4.1,3.6,1.83,3.25,2.0,3.9,2.0,3.3,3.78,4.0,3.75,,1.91,1.95,3.4,,1.93,18,2.0,-0.5,1.86,2.0,1.91,3.5,1.91,26,1.95,3.3,1.96,3.6,,1.85,3,1.9,4.0,3.3,3.5,3.39,1.91,Inverness C,Partick,Inverness C_Partick_2015
16,1.29,6.18,2.18,5.5,10.0,1.29,13.0,5.5,1.24,1.25,1.25,,11.0,13.0,5.75,,11.3,19,11.0,1.5,1.74,13.0,2.04,1.22,1.63,26,10.0,1.25,1.68,6.0,,1.74,3,2.04,1.25,5.0,5.5,5.61,2.3,Kilmarnock,Celtic,Kilmarnock_Celtic_2015
17,19.0,7.26,2.38,5.5,1.22,15.0,1.22,5.5,14.27,15.0,15.0,7.26,1.22,1.18,6.5,17.24,1.18,36,1.18,-2.0,1.92,1.22,2.05,11.5,1.54,43,1.2,11.0,1.58,7.0,1.2,1.85,26,1.96,19.0,5.3,6.0,6.44,2.5,Celtic,Inverness C,Celtic_Inverness C_2015
18,3.36,3.5,1.67,3.2,2.3,3.2,2.33,3.2,3.14,3.2,3.1,3.39,2.3,2.25,3.4,3.36,2.22,39,2.25,-0.25,1.98,2.3,1.98,2.9,2.14,43,2.25,2.8,2.22,3.4,2.29,1.9,25,1.91,3.3,3.2,3.25,3.27,1.73,Dundee,St Johnstone,Dundee_St Johnstone_2015
19,2.78,3.5,1.71,3.1,2.7,2.62,2.8,3.2,2.62,2.7,2.63,3.41,2.75,2.63,3.4,2.78,2.61,41,2.55,0.0,1.99,2.7,1.96,2.45,2.09,43,2.65,2.4,2.17,3.4,2.65,1.91,26,1.89,2.75,3.2,3.25,3.23,1.8,Hamilton,Dundee United,Hamilton_Dundee United_2015
20,1.83,3.79,1.76,3.5,4.3,1.8,5.25,3.5,1.72,1.8,1.67,3.79,4.75,5.2,3.6,1.74,4.77,42,5.25,0.75,1.99,4.5,1.96,1.75,2.01,43,4.2,1.75,2.11,3.75,5.19,1.93,25,1.89,1.73,3.4,3.6,3.56,1.85,Motherwell,Aberdeen,Motherwell_Aberdeen_2015
21,4.9,4.0,1.75,3.4,1.85,4.5,1.85,3.4,4.48,4.5,4.5,3.75,1.83,1.75,4.0,4.9,1.76,42,1.7,-0.75,1.91,1.83,2.03,4.25,2.02,43,1.75,3.8,2.12,3.8,1.79,1.84,25,1.97,4.8,3.4,3.5,3.54,1.85,Partick,Kilmarnock,Partick_Kilmarnock_2015
22,2.75,3.5,1.72,3.1,2.7,2.7,2.88,3.2,2.61,2.7,2.7,3.38,2.7,2.7,3.4,2.7,2.61,41,2.5,0.0,1.98,2.7,1.97,2.55,2.06,43,2.55,2.4,2.16,3.4,2.75,1.91,26,1.89,2.7,3.2,3.2,3.24,1.81,Ross County,Hearts,Ross County_Hearts_2015
23,7.0,4.35,1.96,3.75,1.5,6.5,1.57,3.8,6.45,6.5,7.0,4.35,1.53,1.5,4.0,6.9,1.49,39,1.5,-1.0,2.04,1.57,1.91,6.25,1.81,39,1.48,5.7,1.9,4.33,1.53,1.95,26,1.86,7.0,3.8,4.0,4.09,2.06,Aberdeen,Dundee,Aberdeen_Dundee_2015
24,1.4,5.75,2.47,4.8,7.0,1.36,10.5,4.6,1.3,1.36,1.29,5.66,9.0,10.5,5.5,1.32,9.37,33,9.5,1.5,1.93,8.5,2.02,1.3,1.5,39,8.75,1.4,1.55,5.5,10.24,1.86,26,1.95,1.3,4.1,5.0,5.2,2.63,Dundee United,Celtic,Dundee United_Celtic_2015
