,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,BbMxH,BWD,BbAvA,WHA,B365A,PSD,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,BbAH,BbAvAHH,VCA,IWD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,29.0,11.0,2.71,10.0,1.12,1.14,9.0,21.5,19.0,21.0,10.0,1.12,11.0,28.17,1.11,34,1.1,-2.25,2.01,1.1,1.93,20.0,1.42,39,1.1,16.0,1.48,9.0,1.11,1.94,18,1.88,22.0,8.0,8.76,2.8,Celtic,Livingston,Celtic_Livingston_2018
1,2.1,3.61,1.7,3.4,3.6,3.82,3.4,2.03,1.95,2.04,3.61,3.6,3.4,2.04,3.63,37,3.5,0.25,1.82,3.75,2.16,2.05,2.11,38,3.5,2.0,2.2,3.5,3.78,1.76,18,2.06,2.05,3.3,3.35,1.77,Hamilton,Hearts,Hamilton_Hearts_2018
2,3.92,3.4,1.59,3.2,2.0,2.11,3.25,3.71,3.6,3.6,3.37,2.05,3.3,3.92,2.04,35,2.04,-0.5,1.83,2.0,2.09,3.7,2.29,39,2.05,3.6,2.45,3.3,2.08,1.8,17,2.04,3.8,3.3,3.24,1.63,Kilmarnock,St Johnstone,Kilmarnock_St Johnstone_2018
3,3.0,3.32,1.58,3.3,2.4,2.63,3.2,2.85,2.8,2.8,3.32,2.55,3.25,2.92,2.52,36,2.5,-0.25,1.74,2.5,2.25,3.0,2.31,40,2.35,2.75,2.45,3.2,2.57,1.69,18,2.16,2.88,3.3,3.14,1.64,St Mirren,Dundee,St Mirren_Dundee_2018
4,2.45,3.49,1.72,3.4,2.75,3.25,3.3,2.32,2.38,2.3,3.49,3.0,3.25,2.37,3.01,36,3.1,0.25,2.07,2.9,1.89,2.3,2.06,39,3.0,2.4,2.17,3.3,3.07,1.99,18,1.83,2.3,3.3,3.27,1.8,Aberdeen,Rangers,Aberdeen_Rangers_2018
5,4.63,3.79,1.79,3.75,1.8,1.85,3.5,4.31,4.2,4.33,3.79,1.8,3.6,4.63,1.8,37,1.8,-0.75,1.82,1.8,2.13,4.4,1.99,38,1.8,4.2,2.07,3.6,1.81,1.76,17,2.06,4.2,3.5,3.54,1.88,Hibernian,Motherwell,Hibernian_Motherwell_2018
6,2.15,3.43,1.68,3.4,3.65,3.88,3.3,2.06,2.05,2.1,3.43,3.6,3.4,2.07,3.62,32,3.4,0.25,1.82,3.6,2.14,2.05,2.13,36,3.6,2.0,2.25,3.4,3.88,1.76,17,2.06,2.1,3.25,3.29,1.73,Dundee,Aberdeen,Dundee_Aberdeen_2018
7,1.65,4.2,2.01,4.2,5.1,6.0,4.1,1.59,1.6,1.57,4.2,5.4,4.0,1.65,5.33,33,5.5,1.0,2.13,5.0,1.85,1.53,1.76,36,5.75,1.6,1.84,4.1,5.58,2.03,19,1.78,1.62,3.9,4.01,2.11,Hearts,Celtic,Hearts_Celtic_2018
8,2.3,3.37,1.6,3.3,3.25,3.5,3.2,2.24,2.25,2.25,3.37,3.3,3.3,2.26,3.27,32,3.2,0.25,1.98,3.2,1.96,2.25,2.26,37,3.2,2.2,2.37,3.3,3.41,1.93,18,1.89,2.25,3.1,3.17,1.64,Livingston,Kilmarnock,Livingston_Kilmarnock_2018
9,6.0,4.09,1.71,3.8,1.6,1.67,3.6,5.58,5.5,5.5,4.09,1.62,3.8,5.71,1.62,32,1.61,-0.75,2.14,1.62,1.83,5.75,2.09,36,1.62,5.4,2.17,3.8,1.63,2.04,18,1.79,6.0,3.7,3.73,1.75,Motherwell,Hamilton,Motherwell_Hamilton_2018
10,9.75,5.89,2.37,5.5,1.33,1.4,5.25,8.24,8.0,9.0,5.89,1.3,5.0,9.4,1.33,31,1.33,-1.5,1.95,1.33,2.04,9.75,1.55,36,1.28,7.2,1.57,5.25,1.32,1.84,18,1.97,8.5,5.2,5.17,2.45,Rangers,St Mirren,Rangers_St Mirren_2018
11,2.2,3.5,1.69,3.5,3.5,3.65,3.25,2.07,2.05,2.04,3.47,3.5,3.4,2.13,3.5,32,3.5,0.25,1.88,3.5,2.09,2.1,2.11,36,3.5,2.05,2.2,3.3,3.62,1.81,18,2.01,2.05,3.25,3.29,1.75,St Johnstone,Hibernian,St Johnstone_Hibernian_2018
12,3.0,3.42,1.71,3.4,2.45,2.52,3.1,2.87,2.8,3.0,3.42,2.45,3.2,2.89,2.44,37,2.37,0.0,2.16,2.45,1.82,2.85,2.08,40,2.5,2.8,2.17,3.4,2.52,2.08,17,1.76,2.9,3.2,3.26,1.78,Hibernian,Aberdeen,Hibernian_Aberdeen_2018
