,WHD,IWH,MaxAHH,Avg>2.5,AvgA,BWD,Max<2.5,B365A,PSD,WHA,Max>2.5,VCH,AHh,B365D,PSA,P<2.5,B365<2.5,B365H,MaxAHA,AvgD,AvgAHA,WHH,BWA,PAHA,BWH,B365>2.5,IWA,MaxD,VCD,PSH,P>2.5,MaxA,PAHH,AvgH,B365AHH,B365AHA,Avg<2.5,MaxH,VCA,IWD,AvgAHH,HomeTeam,AwayTeam,idGame
0,8.0,1.17,2.04,1.65,17.17,7.25,2.32,19.0,8.42,15.0,1.7,1.15,-2.0,6.5,21.6,2.32,2.2,1.16,1.93,7.16,1.87,1.15,18.5,1.93,1.14,1.66,16.5,8.42,7.5,1.15,1.67,21.6,1.99,1.16,1.98,1.88,2.21,1.18,20.0,6.6,1.96,Celtic,St Johnstone,Celtic_St Johnstone_2019
1,4.2,1.5,1.91,2.01,6.58,4.0,1.86,8.0,4.4,7.0,2.15,1.5,-1.0,4.0,7.13,1.83,1.8,1.44,2.04,4.08,1.97,1.47,6.0,2.01,1.53,2.0,6.3,4.4,4.2,1.5,2.08,8.0,1.9,1.49,1.85,2.0,1.79,1.54,7.0,3.95,1.86,Hibernian,St Mirren,Hibernian_St Mirren_2019
2,3.1,2.7,1.99,2.53,2.72,2.9,1.55,2.75,3.19,2.7,2.65,2.8,0.0,3.1,2.77,1.55,1.53,2.62,1.97,3.04,1.92,2.7,2.7,1.94,2.8,2.5,2.75,3.19,3.1,2.82,2.59,2.9,1.98,2.71,1.93,1.93,1.5,2.82,2.7,2.9,1.93,Livingston,Motherwell,Livingston_Motherwell_2019
3,3.5,1.87,1.95,2.23,4.04,3.4,1.68,4.5,3.62,4.0,2.35,1.91,-0.5,3.1,4.21,1.68,1.66,1.9,1.99,3.39,1.92,1.91,4.0,1.97,1.9,2.2,4.15,3.62,3.5,1.94,2.29,4.5,1.94,1.91,1.9,1.95,1.63,1.97,4.2,3.25,1.9,Ross County,Hamilton,Ross County_Hamilton_2019
4,4.0,5.2,2.13,2.0,1.62,3.9,1.86,1.66,4.24,1.62,2.1,5.4,0.75,4.0,1.63,1.86,1.8,4.75,1.93,3.92,1.8,5.25,1.62,1.83,5.0,2.0,1.6,4.24,3.8,5.5,2.04,1.67,2.09,5.14,1.93,1.93,1.8,5.5,1.6,3.75,2.04,Kilmarnock,Rangers,Kilmarnock_Rangers_2019
5,3.4,1.85,1.95,2.2,4.09,3.3,1.69,4.2,3.57,4.2,2.3,1.83,-0.5,3.25,4.37,1.67,1.66,1.9,2.02,3.37,1.94,1.91,4.1,1.99,1.91,2.2,4.2,3.57,3.4,1.93,2.28,4.37,1.93,1.89,1.9,1.95,1.64,2.0,4.2,3.3,1.88,Aberdeen,Hearts,Aberdeen_Hearts_2019
6,5.0,8.3,1.89,1.7,1.32,5.25,2.25,1.33,5.37,1.33,1.76,8.5,1.5,5.0,1.35,2.19,2.1,9.0,2.06,5.07,2.0,9.0,1.3,2.04,9.25,1.72,1.33,5.5,4.8,9.24,1.74,1.36,1.88,8.68,1.85,2.0,2.14,11.0,1.33,4.85,1.85,Motherwell,Celtic,Motherwell_Celtic_2019
7,3.2,2.35,2.09,2.37,3.06,3.2,1.6,3.1,3.25,3.1,2.51,2.3,-0.25,3.2,3.19,1.58,1.57,2.3,1.88,3.14,1.81,2.38,3.0,1.83,2.35,2.37,3.05,3.25,3.13,2.45,2.51,3.3,2.09,2.36,2.02,1.83,1.56,2.45,3.1,3.05,2.03,St Johnstone,Livingston,St Johnstone_Livingston_2019
8,3.6,4.45,2.13,2.08,1.78,3.5,1.79,1.75,3.79,1.8,2.25,4.4,0.5,3.6,1.8,1.77,1.72,4.75,1.84,3.55,1.78,4.4,1.8,1.8,4.33,2.1,1.77,3.8,3.6,4.72,2.15,1.84,2.13,4.44,2.05,1.8,1.73,4.75,1.75,3.45,2.05,Hamilton,Kilmarnock,Hamilton_Kilmarnock_2019
9,3.4,1.87,1.97,2.03,3.98,3.5,1.82,4.2,3.5,4.2,2.15,1.87,-0.5,3.5,4.28,1.77,1.8,1.85,1.99,3.43,1.92,1.91,3.9,1.95,1.9,2.0,3.95,3.55,3.5,1.97,2.15,4.28,1.97,1.91,1.9,1.95,1.76,1.98,3.9,3.4,1.91,Hearts,Ross County,Hearts_Ross County_2019
