,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,1,Hibernian,10,1,0,2,0,K Clark,1,0,2,17,A,9,2003-08-09,Dundee United,SC0,4,5,7,15,D,4,Dundee United_Hibernian_2003
1,1,Celtic,17,0,0,0,0,H Dallas,0,0,0,10,D,14,2003-08-09,Dunfermline,SC0,6,6,5,7,D,9,Dunfermline_Celtic_2003
2,2,Aberdeen,22,2,0,0,1,W Young,0,0,0,11,H,8,2003-08-09,Hearts,SC0,5,7,5,10,H,4,Hearts_Aberdeen_2003
3,1,Dundee,13,0,0,3,0,J Underhill,0,2,3,17,A,6,2003-08-09,Motherwell,SC0,3,4,6,12,A,4,Motherwell_Dundee_2003
4,0,Livingston,8,1,0,1,1,D McDonald,0,0,2,19,D,18,2003-08-09,Partick,SC0,8,2,2,6,H,5,Partick_Livingston_2003
5,2,Kilmarnock,15,4,1,0,3,J Rowbotham,0,0,4,14,H,1,2003-08-09,Rangers,SC0,1,13,6,21,H,4,Rangers_Kilmarnock_2003
6,2,Rangers,17,2,0,3,1,M McCurry,0,2,1,14,A,12,2003-08-16,Aberdeen,SC0,8,6,2,9,A,6,Aberdeen_Rangers_2003
7,2,Dundee United,13,5,0,0,3,A Freeland,0,0,2,15,H,3,2003-08-16,Celtic,SC0,2,11,5,12,H,2,Celtic_Dundee United_2003
8,0,Partick,17,2,1,1,0,W Young,0,1,1,10,H,10,2003-08-16,Kilmarnock,SC0,3,5,7,18,A,5,Kilmarnock_Partick_2003
9,0,Motherwell,19,1,0,0,0,C Thomson,0,0,1,15,H,6,2003-08-16,Livingston,SC0,3,6,3,12,D,8,Livingston_Motherwell_2003
10,1,Dunfermline,12,0,0,2,0,C Richmond,0,1,1,21,A,7,2003-08-17,Dundee,SC0,2,8,9,16,A,4,Dundee_Dunfermline_2003
11,4,Hearts,21,1,0,0,0,S Dougal,1,0,3,20,H,15,2003-08-17,Hibernian,SC0,7,8,4,12,D,5,Hibernian_Hearts_2003
12,0,Dunfermline,13,1,0,2,1,J Rowbotham,0,1,0,16,A,6,2003-08-23,Aberdeen,SC0,3,4,9,7,D,3,Aberdeen_Dunfermline_2003
13,1,Livingston,13,2,0,1,1,M McCurry,0,1,5,22,H,11,2003-08-23,Dundee,SC0,4,6,4,15,D,6,Dundee_Livingston_2003
14,2,Dundee United,22,3,0,0,3,I Brines,0,0,4,16,H,4,2003-08-23,Hearts,SC0,2,7,4,9,H,2,Hearts_Dundee United_2003
15,1,Kilmarnock,19,2,1,1,0,Iain Fyfe,0,0,3,22,H,6,2003-08-23,Motherwell,SC0,1,3,7,14,D,2,Motherwell_Kilmarnock_2003
16,2,Celtic,19,1,0,2,1,K Clark,0,2,1,20,A,15,2003-08-23,Partick,SC0,10,5,3,9,A,4,Partick_Celtic_2003
17,0,Hibernian,11,5,0,2,2,D McDonald,0,2,1,16,H,7,2003-08-23,Rangers,SC0,4,6,3,7,D,5,Rangers_Hibernian_2003
18,0,Livingston,10,5,0,1,2,W Young,0,0,2,16,H,2,2003-08-30,Celtic,SC0,2,14,13,20,H,0,Celtic_Livingston_2003
19,2,Aberdeen,8,1,0,1,0,I Brines,0,1,1,15,D,10,2003-08-30,Hibernian,SC0,4,13,6,20,A,6,Hibernian_Aberdeen_2003
20,3,Partick,15,2,1,2,1,J Rowbotham,1,1,6,16,D,9,2003-08-30,Motherwell,SC0,3,4,5,7,D,5,Motherwell_Partick_2003
21,2,Rangers,12,1,0,3,0,J Underhill,0,1,1,11,A,11,2003-08-31,Dundee United,SC0,10,4,5,6,A,1,Dundee United_Rangers_2003
22,1,Dunfermline,17,1,0,0,0,A Freeland,0,0,3,22,H,4,2003-08-31,Hearts,SC0,3,7,7,15,D,4,Hearts_Dunfermline_2003
23,3,Dundee,13,1,0,1,0,S Dougal,0,0,2,10,D,8,2003-08-31,Kilmarnock,SC0,5,5,6,10,D,5,Kilmarnock_Dundee_2003
24,2,Partick,16,2,0,1,1,C Murray,0,0,1,10,H,6,2003-09-13,Aberdeen,SC0,2,6,3,11,H,7,Aberdeen_Partick_2003
25,2,Celtic,12,0,1,1,0,D McDonald,0,1,1,18,A,6,2003-09-13,Dundee,SC0,4,5,6,8,A,4,Dundee_Celtic_2003
26,2,Motherwell,15,0,0,2,0,K Clark,0,1,1,11,A,9,2003-09-13,Hibernian,SC0,8,2,3,10,A,6,Hibernian_Motherwell_2003
27,2,Hearts,17,0,0,2,0,H Dallas,0,2,3,18,A,12,2003-09-13,Kilmarnock,SC0,8,1,5,8,A,6,Kilmarnock_Hearts_2003
28,2,Dundee United,17,0,0,0,0,S Conroy,0,0,2,12,D,6,2003-09-13,Livingston,SC0,4,13,14,14,D,6,Livingston_Dundee United_2003
29,1,Dunfermline,14,4,0,0,3,C Richmond,0,0,1,14,H,7,2003-09-13,Rangers,SC0,2,6,4,14,H,5,Rangers_Dunfermline_2003
30,2,Motherwell,12,3,0,0,0,I Brines,0,0,2,20,H,5,2003-09-20,Celtic,SC0,1,10,3,16,D,7,Celtic_Motherwell_2003
31,0,Aberdeen,7,2,0,0,1,C Thomson,0,0,0,9,H,3,2003-09-20,Dundee,SC0,0,6,5,11,H,6,Dundee_Aberdeen_2003
32,2,Hibernian,15,0,0,0,0,M McCurry,0,0,2,12,D,5,2003-09-20,Dunfermline,SC0,0,0,2,12,D,2,Dunfermline_Hibernian_2003
33,4,Kilmarnock,16,1,1,2,1,J Rowbotham,0,2,4,21,A,6,2003-09-20,Livingston,SC0,6,11,9,14,A,6,Livingston_Kilmarnock_2003
34,0,Dundee United,16,0,0,2,0,K Toner,0,1,0,15,A,13,2003-09-20,Partick,SC0,7,8,7,14,A,11,Partick_Dundee United_2003
35,3,Rangers,19,0,0,4,0,S Dougal,0,1,1,16,A,15,2003-09-21,Hearts,SC0,9,1,3,6,A,11,Hearts_Rangers_2003
36,0,Livingston,8,0,0,3,0,D McDonald,0,1,2,16,A,9,2003-09-27,Aberdeen,SC0,4,10,10,16,A,4,Aberdeen_Livingston_2003
37,0,Kilmarnock,11,1,0,1,0,S Dougal,0,0,2,19,D,14,2003-09-27,Dundee United,SC0,7,7,4,11,D,6,Dundee United_Kilmarnock_2003
38,0,Partick,12,2,0,1,0,K Clark,0,0,3,16,H,5,2003-09-27,Dunfermline,SC0,4,16,10,23,D,2,Dunfermline_Partick_2003
39,2,Celtic,18,1,1,2,1,A Freeland,0,1,3,14,A,17,2003-09-27,Hibernian,SC0,8,5,9,10,D,6,Hibernian_Celtic_2003
40,2,Hearts,14,1,0,1,1,C Richmond,0,1,4,22,D,8,2003-09-27,Motherwell,SC0,3,2,5,5,D,5,Motherwell_Hearts_2003
41,0,Dundee,11,3,0,1,0,W Young,0,0,2,15,H,9,2003-09-27,Rangers,SC0,7,13,11,19,D,7,Rangers_Dundee_2003
42,2,Motherwell,18,0,0,2,0,H Dallas,0,1,2,16,A,14,2003-10-04,Dundee United,SC0,10,7,4,13,A,6,Dundee United_Motherwell_2003
43,4,Dundee,17,2,0,2,0,J Underhill,0,1,3,12,D,7,2003-10-04,Hearts,SC0,7,11,4,14,A,7,Hearts_Dundee_2003
