,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,0,Aberdeen,5,1,0,0,0,0,0,1,9,H,5,2012-08-04,Celtic,SC0,2,5,6,9,D,4,Celtic_Aberdeen_2012
1,2,St Johnstone,12,2,1,0,1,0,0,1,10,H,5,2012-08-04,Hearts,SC0,3,7,6,18,H,6,Hearts_St Johnstone_2012
2,0,Dundee,9,0,0,0,0,0,0,2,16,D,4,2012-08-04,Kilmarnock,SC0,1,8,6,16,D,1,Kilmarnock_Dundee_2012
3,1,Motherwell,9,0,0,0,0,0,0,0,13,D,6,2012-08-04,Ross County,SC0,2,1,6,6,D,8,Ross County_Motherwell_2012
4,3,Inverness C,18,2,0,2,1,1,0,4,15,D,11,2012-08-04,St Mirren,SC0,7,5,4,13,H,10,St Mirren_Inverness C_2012
5,0,Hibernian,11,3,0,0,1,0,0,1,16,H,6,2012-08-05,Dundee United,SC0,2,11,10,17,H,3,Dundee United_Hibernian_2012
6,2,Ross County,10,0,0,0,0,0,0,2,12,D,4,2012-08-11,Aberdeen,SC0,1,5,5,11,D,4,Aberdeen_Ross County_2012
7,0,St Mirren,6,0,0,2,0,0,1,2,6,A,4,2012-08-11,Dundee,SC0,4,1,8,7,A,5,Dundee_St Mirren_2012
8,1,Kilmarnock,11,1,0,1,1,1,1,1,8,D,12,2012-08-11,Inverness C,SC0,5,7,4,11,D,6,Inverness C_Kilmarnock_2012
9,1,St Johnstone,8,1,1,1,0,1,0,2,8,D,15,2012-08-11,Motherwell,SC0,6,6,5,10,D,7,Motherwell_St Johnstone_2012
10,3,Hearts,15,1,0,1,1,0,1,3,21,D,10,2012-08-12,Hibernian,SC0,3,6,3,10,D,9,Hibernian_Hearts_2012
11,3,Inverness C,14,2,1,2,2,0,0,4,16,D,8,2012-08-18,Hearts,SC0,1,3,6,7,H,3,Hearts_Inverness C_2012
12,2,Motherwell,7,1,0,2,1,0,2,2,14,A,12,2012-08-18,Kilmarnock,SC0,3,6,3,8,A,5,Kilmarnock_Motherwell_2012
13,1,Celtic,12,1,0,1,0,0,0,0,14,D,19,2012-08-18,Ross County,SC0,10,4,1,7,D,9,Ross County_Celtic_2012
14,2,Aberdeen,16,1,0,2,0,0,1,3,11,A,8,2012-08-18,St Johnstone,SC0,4,5,1,9,A,4,St Johnstone_Aberdeen_2012
15,3,Hibernian,9,1,0,2,0,0,1,2,11,A,9,2012-08-18,St Mirren,SC0,2,6,9,13,A,2,St Mirren_Hibernian_2012
16,2,Dundee,8,3,1,0,3,1,0,2,7,H,6,2012-08-19,Dundee United,SC0,4,8,6,11,H,3,Dundee United_Dundee_2012
17,2,Ross County,15,0,0,1,0,0,0,1,5,A,6,2012-08-25,Dundee,SC0,3,3,3,10,D,4,Dundee_Ross County_2012
18,1,St Johnstone,14,2,0,0,1,0,0,2,14,H,10,2012-08-25,Hibernian,SC0,4,7,6,12,H,8,Hibernian_St Johnstone_2012
19,3,Celtic,12,2,0,4,0,0,2,0,6,A,15,2012-08-25,Inverness C,SC0,6,9,3,11,A,9,Inverness C_Celtic_2012
20,2,Dundee United,14,3,0,1,0,0,0,1,12,H,7,2012-08-25,Kilmarnock,SC0,2,6,10,8,D,2,Kilmarnock_Dundee United_2012
21,1,Hearts,14,0,0,0,0,0,0,4,19,D,3,2012-08-26,Aberdeen,SC0,1,2,9,7,D,1,Aberdeen_Hearts_2012
22,2,St Mirren,19,1,0,1,1,1,0,3,10,D,17,2012-08-26,Motherwell,SC0,8,2,2,5,H,11,Motherwell_St Mirren_2012
23,0,St Mirren,11,0,0,0,0,0,0,3,12,D,3,2012-09-01,Aberdeen,SC0,1,3,9,12,D,3,Aberdeen_St Mirren_2012
24,0,Hibernian,7,2,0,2,1,0,0,0,13,D,4,2012-09-01,Celtic,SC0,2,6,11,14,H,1,Celtic_Hibernian_2012
25,5,Kilmarnock,13,0,0,0,0,0,0,2,13,D,10,2012-09-01,Ross County,SC0,5,5,8,10,D,5,Ross County_Kilmarnock_2012
26,0,Dundee United,9,0,0,0,0,0,0,2,10,D,6,2012-09-01,St Johnstone,SC0,2,2,6,7,D,6,St Johnstone_Dundee United_2012
