,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,15:00:00,0,St Johnstone,10,0,7,0,3,K Clancy,0,0,3,10,H,2,2019-08-03,Celtic,SC0,0,11,8,24,H,0,Celtic_St Johnstone_2019
1,15:00:00,1,St Mirren,4,0,1,0,0,E Anderson,0,0,2,9,H,14,2019-08-03,Hibernian,SC0,5,5,4,13,D,5,Hibernian_St Mirren_2019
2,15:00:00,1,Motherwell,12,0,0,0,0,D Munro,0,0,3,17,D,10,2019-08-03,Livingston,SC0,5,5,5,9,D,10,Livingston_Motherwell_2019
3,15:00:00,0,Hamilton,11,0,3,0,2,A Newlands,0,0,3,11,H,9,2019-08-03,Ross County,SC0,5,6,9,12,H,6,Ross County_Hamilton_2019
4,13:30:00,2,Rangers,12,0,1,2,0,W Collum,0,1,1,20,A,14,2019-08-04,Kilmarnock,SC0,10,3,2,5,A,7,Kilmarnock_Rangers_2019
5,15:00:00,4,Hearts,18,1,3,2,1,D Robertson,0,0,3,22,H,7,2019-08-04,Aberdeen,SC0,3,5,4,10,H,4,Aberdeen_Hearts_2019
6,12:00:00,5,Celtic,14,0,2,5,1,N Walsh,0,2,0,8,A,17,2019-08-10,Motherwell,SC0,5,3,5,11,A,5,Motherwell_Celtic_2019
7,14:00:00,1,Livingston,13,0,2,2,0,A Dallas,0,2,3,18,D,11,2019-08-10,St Johnstone,SC0,8,4,2,7,A,5,St Johnstone_Livingston_2019
8,15:00:00,0,Kilmarnock,16,0,2,0,1,B Madden,1,0,1,9,H,17,2019-08-10,Hamilton,SC0,6,3,1,4,H,17,Hamilton_Kilmarnock_2019
9,15:00:00,0,Ross County,14,0,0,0,0,A Muir,0,0,3,11,D,15,2019-08-10,Hearts,SC0,3,2,8,7,D,6,Hearts_Ross County_2019
10,15:00:00,2,Hibernian,8,1,6,1,2,J Beaton,0,1,3,13,H,6,2019-08-11,Rangers,SC0,4,19,14,34,H,2,Rangers_Hibernian_2019
