year,team,type_rating,value_rating
2007,Rangers,static_ft_total_g>35,252.1
2008,Rangers,static_ft_total_g>35,267.8
2009,Rangers,static_ft_total_g>35,288.8
2010,Rangers,static_ft_total_g>35,291.5
2011,Rangers,static_ft_total_g>35,338.8
2012,Rangers,static_ft_total_g>35,312.7
2013,Rangers,static_ft_total_g>35,281.0
2014,Rangers,static_ft_total_g>35,225.6
2015,Rangers,static_ft_total_g>35,183.4
2016,Rangers,static_ft_total_g>35,186.1
2017,Rangers,static_ft_total_g>35,162.5
2018,Rangers,static_ft_total_g>35,244.2
2019,Rangers,static_ft_total_g>35,273.2
2020,Rangers,static_ft_total_g>35,311.0
2007,Hamilton,static_ft_total_g>35,149.6
2008,Hamilton,static_ft_total_g>35,160.2
2009,Hamilton,static_ft_total_g>35,162.6
2010,Hamilton,static_ft_total_g>35,170.6
2011,Hamilton,static_ft_total_g>35,189.0
2012,Hamilton,static_ft_total_g>35,178.3
2013,Hamilton,static_ft_total_g>35,201.9
2014,Hamilton,static_ft_total_g>35,186.0
2015,Hamilton,static_ft_total_g>35,236.0
2016,Hamilton,static_ft_total_g>35,275.5
2017,Hamilton,static_ft_total_g>35,257.2
2018,Hamilton,static_ft_total_g>35,283.5
2019,Hamilton,static_ft_total_g>35,262.4
2020,Hamilton,static_ft_total_g>35,301.2
2007,Partick,static_ft_total_g>35,157.5
2008,Partick,static_ft_total_g>35,160.2
2009,Partick,static_ft_total_g>35,141.8
2010,Partick,static_ft_total_g>35,123.4
2011,Partick,static_ft_total_g>35,91.7
2012,Partick,static_ft_total_g>35,109.9
2013,Partick,static_ft_total_g>35,162.4
2014,Partick,static_ft_total_g>35,233.4
2015,Partick,static_ft_total_g>35,262.6
2016,Partick,static_ft_total_g>35,249.5
2017,Partick,static_ft_total_g>35,220.7
2018,Partick,static_ft_total_g>35,197.1
2019,Partick,static_ft_total_g>35,165.4
2020,Partick,static_ft_total_g>35,147.7
2007,Ross County,static_ft_total_g>35,149.6
2008,Ross County,static_ft_total_g>35,160.2
2009,Ross County,static_ft_total_g>35,141.8
2010,Ross County,static_ft_total_g>35,123.4
2011,Ross County,static_ft_total_g>35,91.7
2012,Ross County,static_ft_total_g>35,109.9
2013,Ross County,static_ft_total_g>35,183.6
2014,Ross County,static_ft_total_g>35,217.7
2015,Ross County,static_ft_total_g>35,259.9
2016,Ross County,static_ft_total_g>35,288.8
2017,Ross County,static_ft_total_g>35,312.7
2018,Ross County,static_ft_total_g>35,299.7
2019,Ross County,static_ft_total_g>35,231.2
2020,Ross County,static_ft_total_g>35,272.5
2007,Celtic,static_ft_total_g>35,313.0
2008,Celtic,static_ft_total_g>35,289.2
2009,Celtic,static_ft_total_g>35,323.2
2010,Celtic,static_ft_total_g>35,310.0
2011,Celtic,static_ft_total_g>35,320.4
2012,Celtic,static_ft_total_g>35,296.9
2013,Celtic,static_ft_total_g>35,370.8
2014,Celtic,static_ft_total_g>35,402.5
2015,Celtic,static_ft_total_g>35,347.0
2016,Celtic,static_ft_total_g>35,383.8
2017,Celtic,static_ft_total_g>35,412.6
2018,Celtic,static_ft_total_g>35,391.7
2019,Celtic,static_ft_total_g>35,336.3
2020,Celtic,static_ft_total_g>35,386.5
2007,Hearts,static_ft_total_g>35,220.6
2008,Hearts,static_ft_total_g>35,249.5
2009,Hearts,static_ft_total_g>35,202.2
2010,Hearts,static_ft_total_g>35,154.9
2011,Hearts,static_ft_total_g>35,175.8
2012,Hearts,static_ft_total_g>35,165.1
2013,Hearts,static_ft_total_g>35,210.0
2014,Hearts,static_ft_total_g>35,249.5
2015,Hearts,static_ft_total_g>35,217.8
2016,Hearts,static_ft_total_g>35,257.2
2017,Hearts,static_ft_total_g>35,302.0
2018,Hearts,static_ft_total_g>35,241.5
2019,Hearts,static_ft_total_g>35,218.0
2020,Hearts,static_ft_total_g>35,264.6
2007,St Mirren,static_ft_total_g>35,170.8
2008,St Mirren,static_ft_total_g>35,186.5
2009,St Mirren,static_ft_total_g>35,170.6
2010,St Mirren,static_ft_total_g>35,173.3
2011,St Mirren,static_ft_total_g>35,186.4
2012,St Mirren,static_ft_total_g>35,196.9
2013,St Mirren,static_ft_total_g>35,249.4
2014,St Mirren,static_ft_total_g>35,241.5
2015,St Mirren,static_ft_total_g>35,209.8
2016,St Mirren,static_ft_total_g>35,204.6
2017,St Mirren,static_ft_total_g>35,167.8
2018,St Mirren,static_ft_total_g>35,149.4
2019,St Mirren,static_ft_total_g>35,202.1
2020,St Mirren,static_ft_total_g>35,179.2
2007,Hibernian,static_ft_total_g>35,305.1
2008,Hibernian,static_ft_total_g>35,265.5
2009,Hibernian,static_ft_total_g>35,233.8
2010,Hibernian,static_ft_total_g>35,246.9
2011,Hibernian,static_ft_total_g>35,223.3
2012,Hibernian,static_ft_total_g>35,302.4
2013,Hibernian,static_ft_total_g>35,318.0
2014,Hibernian,static_ft_total_g>35,259.9
2015,Hibernian,static_ft_total_g>35,215.0
2016,Hibernian,static_ft_total_g>35,194.0
2017,Hibernian,static_ft_total_g>35,162.5
2018,Hibernian,static_ft_total_g>35,212.6
2019,Hibernian,static_ft_total_g>35,207.5
2020,Hibernian,static_ft_total_g>35,259.3
2007,Livingston,static_ft_total_g>35,210.0
2008,Livingston,static_ft_total_g>35,189.1
2009,Livingston,static_ft_total_g>35,149.7
2010,Livingston,static_ft_total_g>35,123.4
2011,Livingston,static_ft_total_g>35,91.7
2012,Livingston,static_ft_total_g>35,109.9
2013,Livingston,static_ft_total_g>35,162.4
2014,Livingston,static_ft_total_g>35,170.2
2015,Livingston,static_ft_total_g>35,172.8
2016,Livingston,static_ft_total_g>35,186.1
2017,Livingston,static_ft_total_g>35,162.5
2018,Livingston,static_ft_total_g>35,149.4
2019,Livingston,static_ft_total_g>35,180.9
2020,Livingston,static_ft_total_g>35,230.1
2007,Inverness C,static_ft_total_g>35,191.6
2008,Inverness C,static_ft_total_g>35,231.1
2009,Inverness C,static_ft_total_g>35,220.7
2010,Inverness C,static_ft_total_g>35,176.0
2011,Inverness C,static_ft_total_g>35,181.2
2012,Inverness C,static_ft_total_g>35,186.4
2013,Inverness C,static_ft_total_g>35,294.3
2014,Inverness C,static_ft_total_g>35,259.9
2015,Inverness C,static_ft_total_g>35,241.5
2016,Inverness C,static_ft_total_g>35,254.7
2017,Inverness C,static_ft_total_g>35,270.4
2018,Inverness C,static_ft_total_g>35,225.7
2019,Inverness C,static_ft_total_g>35,183.6
2020,Inverness C,static_ft_total_g>35,150.2
2007,Kilmarnock,static_ft_total_g>35,352.4
2008,Kilmarnock,static_ft_total_g>35,291.8
2009,Kilmarnock,static_ft_total_g>35,228.4
2010,Kilmarnock,static_ft_total_g>35,157.4
2011,Kilmarnock,static_ft_total_g>35,178.3
2012,Kilmarnock,static_ft_total_g>35,212.7
2013,Kilmarnock,static_ft_total_g>35,273.4
2014,Kilmarnock,static_ft_total_g>35,273.2
2015,Kilmarnock,static_ft_total_g>35,270.7
2016,Kilmarnock,static_ft_total_g>35,286.3
2017,Kilmarnock,static_ft_total_g>35,254.7
2018,Kilmarnock,static_ft_total_g>35,246.7
2019,Kilmarnock,static_ft_total_g>35,207.1
2020,Kilmarnock,static_ft_total_g>35,221.7
2007,Dunfermline,static_ft_total_g>35,199.4
2008,Dunfermline,static_ft_total_g>35,186.4
2009,Dunfermline,static_ft_total_g>35,152.3
2010,Dunfermline,static_ft_total_g>35,123.4
2011,Dunfermline,static_ft_total_g>35,91.7
2012,Dunfermline,static_ft_total_g>35,204.7
2013,Dunfermline,static_ft_total_g>35,233.5
2014,Dunfermline,static_ft_total_g>35,217.6
2015,Dunfermline,static_ft_total_g>35,196.5
2016,Dunfermline,static_ft_total_g>35,186.1
2017,Dunfermline,static_ft_total_g>35,162.5
2018,Dunfermline,static_ft_total_g>35,149.4
2019,Dunfermline,static_ft_total_g>35,138.9
2020,Dunfermline,static_ft_total_g>35,131.8
2007,Falkirk,static_ft_total_g>35,186.4
2008,Falkirk,static_ft_total_g>35,207.3
2009,Falkirk,static_ft_total_g>35,204.8
2010,Falkirk,static_ft_total_g>35,236.4
2011,Falkirk,static_ft_total_g>35,167.9
2012,Falkirk,static_ft_total_g>35,154.6
2013,Falkirk,static_ft_total_g>35,180.8
2014,Falkirk,static_ft_total_g>35,170.2
2015,Falkirk,static_ft_total_g>35,172.8
2016,Falkirk,static_ft_total_g>35,186.1
2017,Falkirk,static_ft_total_g>35,162.5
2018,Falkirk,static_ft_total_g>35,149.4
2019,Falkirk,static_ft_total_g>35,138.9
2020,Falkirk,static_ft_total_g>35,131.8
2007,Dundee,static_ft_total_g>35,191.7
2008,Dundee,static_ft_total_g>35,178.6
2009,Dundee,static_ft_total_g>35,141.8
2010,Dundee,static_ft_total_g>35,123.4
2011,Dundee,static_ft_total_g>35,91.7
2012,Dundee,static_ft_total_g>35,109.9
2013,Dundee,static_ft_total_g>35,162.4
2014,Dundee,static_ft_total_g>35,170.2
2015,Dundee,static_ft_total_g>35,215.2
2016,Dundee,static_ft_total_g>35,259.9
2017,Dundee,static_ft_total_g>35,257.2
2018,Dundee,static_ft_total_g>35,233.7
2019,Dundee,static_ft_total_g>35,270.7
2020,Dundee,static_ft_total_g>35,216.2
2007,Aberdeen,static_ft_total_g>35,199.3
2008,Aberdeen,static_ft_total_g>35,217.9
2009,Aberdeen,static_ft_total_g>35,186.3
2010,Aberdeen,static_ft_total_g>35,191.6
2011,Aberdeen,static_ft_total_g>35,220.7
