year,team,type_rating,value_rating
2003,Aberdeen,static_ft_total,236
2003,Aberdeen,static_ft_home,263
2003,Aberdeen,static_ft_away,210
2003,Aberdeen,static_ft_total_g>15,815
2003,Aberdeen,static_ft_total_g>25,552
2003,Aberdeen,static_ft_total_g>35,289
2003,Aberdeen,static_ft_total_g>15,815
2003,Aberdeen,static_ft_total_g>25,552
2003,Aberdeen,static_ft_total_g>35,289
2003,Aberdeen,static_ft_home_g>15,789
2003,Aberdeen,static_ft_home_g>25,631
2003,Aberdeen,static_ft_home_g>35,263
2003,Aberdeen,static_ft_away_g>15,842
2003,Aberdeen,static_ft_away_g>25,473
2003,Aberdeen,static_ft_away_g>35,315
2003,Aberdeen,static_ft_total_g<15,184
2003,Aberdeen,static_ft_total_g<25,447
2003,Aberdeen,static_ft_total_g<35,710
2003,Aberdeen,static_ft_total_g<15,184
2003,Aberdeen,static_ft_total_g<25,447
2003,Aberdeen,static_ft_total_g<35,710
2003,Aberdeen,static_ft_home_g<15,210
2003,Aberdeen,static_ft_home_g<25,368
2003,Aberdeen,static_ft_home_g<35,736
2003,Aberdeen,static_ft_away_g<15,157
2003,Aberdeen,static_ft_away_g<25,526
2003,Aberdeen,static_ft_away_g<35,684
2003,Aberdeen,static_ht_total,342
2003,Aberdeen,static_ht_home,368
2003,Aberdeen,static_ht_away,315
2003,Aberdeen,static_ht_total_g>15,263
2003,Aberdeen,static_ht_total_g>25,105
2003,Aberdeen,static_ht_total_g>35,0
2003,Aberdeen,static_ht_total_g>15,263
2003,Aberdeen,static_ht_total_g>25,105
2003,Aberdeen,static_ht_total_g>35,0
2003,Aberdeen,static_ht_home_g>15,315
2003,Aberdeen,static_ht_home_g>25,105
2003,Aberdeen,static_ht_home_g>35,0
2003,Aberdeen,static_ht_away_g>15,210
2003,Aberdeen,static_ht_away_g>25,105
2003,Aberdeen,static_ht_away_g>35,0
2003,Aberdeen,static_ht_total_g<15,736
2003,Aberdeen,static_ht_total_g<25,894
2003,Aberdeen,static_ht_total_g<35,1000
2003,Aberdeen,static_ht_total_g<15,736
2003,Aberdeen,static_ht_total_g<25,894
2003,Aberdeen,static_ht_total_g<35,1000
2003,Aberdeen,static_ht_home_g<15,684
2003,Aberdeen,static_ht_home_g<25,894
2003,Aberdeen,static_ht_home_g<35,1000
2003,Aberdeen,static_ht_away_g<15,789
2003,Aberdeen,static_ht_away_g<25,894
2003,Aberdeen,static_ht_away_g<35,1000
2003,Celtic,static_ft_total,815
2003,Celtic,static_ft_home,789
2003,Celtic,static_ft_away,842
2003,Celtic,static_ft_total_g>15,842
2003,Celtic,static_ft_total_g>25,710
2003,Celtic,static_ft_total_g>35,447
2003,Celtic,static_ft_total_g>15,842
2003,Celtic,static_ft_total_g>25,710
2003,Celtic,static_ft_total_g>35,447
2003,Celtic,static_ft_home_g>15,947
2003,Celtic,static_ft_home_g>25,894
2003,Celtic,static_ft_home_g>35,578
2003,Celtic,static_ft_away_g>15,736
2003,Celtic,static_ft_away_g>25,526
2003,Celtic,static_ft_away_g>35,315
2003,Celtic,static_ft_total_g<15,157
2003,Celtic,static_ft_total_g<25,289
2003,Celtic,static_ft_total_g<35,552
2003,Celtic,static_ft_total_g<15,157
2003,Celtic,static_ft_total_g<25,289
2003,Celtic,static_ft_total_g<35,552
2003,Celtic,static_ft_home_g<15,52
2003,Celtic,static_ft_home_g<25,105
2003,Celtic,static_ft_home_g<35,421
2003,Celtic,static_ft_away_g<15,263
2003,Celtic,static_ft_away_g<25,473
2003,Celtic,static_ft_away_g<35,684
2003,Celtic,static_ht_total,631
2003,Celtic,static_ht_home,526
2003,Celtic,static_ht_away,736
2003,Celtic,static_ht_total_g>15,368
2003,Celtic,static_ht_total_g>25,184
2003,Celtic,static_ht_total_g>35,52
2003,Celtic,static_ht_total_g>15,368
2003,Celtic,static_ht_total_g>25,184
2003,Celtic,static_ht_total_g>35,52
2003,Celtic,static_ht_home_g>15,421
2003,Celtic,static_ht_home_g>25,263
