year,team,home_away_total,type_rating,points,game_id,date
2007,Aberdeen,total,dynamic_ft_total,0,Dundee United_Aberdeen_2007,2007-08-04
2007,Aberdeen,total,dynamic_ft_total,1,Aberdeen_Hearts_2007,2007-08-12
2007,Aberdeen,total,dynamic_ft_total,0,Aberdeen_Celtic_2007,2007-08-19
2007,Aberdeen,total,dynamic_ft_total,1,Hibernian_Aberdeen_2007,2007-08-25
2007,Aberdeen,total,dynamic_ft_total,3,Kilmarnock_Aberdeen_2007,2007-09-01
2007,Aberdeen,total,dynamic_ft_total,0,Aberdeen_Motherwell_2007,2007-09-15
2007,Aberdeen,total,dynamic_ft_total,0,Rangers_Aberdeen_2007,2007-09-23
2007,Aberdeen,total,dynamic_ft_total,3,Aberdeen_Gretna_2007,2007-09-29
2007,Aberdeen,total,dynamic_ft_total,3,Aberdeen_St Mirren_2007,2007-10-07
2007,Aberdeen,total,dynamic_ft_total,3,Inverness C_Aberdeen_2007,2007-10-21
2007,Aberdeen,total,dynamic_ft_total,1,Aberdeen_Falkirk_2007,2007-10-28
2007,Aberdeen,total,dynamic_ft_total,3,Aberdeen_Dundee United_2007,2007-11-03
2007,Aberdeen,total,dynamic_ft_total,0,Hearts_Aberdeen_2007,2007-11-11
2007,Aberdeen,total,dynamic_ft_total,0,Celtic_Aberdeen_2007,2007-11-24
2007,Aberdeen,total,dynamic_ft_total,3,Aberdeen_Hibernian_2007,2007-12-02
2007,Aberdeen,total,dynamic_ft_total,3,Aberdeen_Kilmarnock_2007,2007-12-08
2007,Aberdeen,total,dynamic_ft_total,0,Motherwell_Aberdeen_2007,2007-12-15
2007,Aberdeen,total,dynamic_ft_total,1,Aberdeen_Rangers_2007,2007-12-23
2007,Aberdeen,total,dynamic_ft_total,1,Gretna_Aberdeen_2007,2007-12-26
2007,Aberdeen,total,dynamic_ft_total,3,St Mirren_Aberdeen_2007,2007-12-29
2007,Aberdeen,total,dynamic_ft_total,3,Aberdeen_Inverness C_2007,2008-01-02
2007,Aberdeen,total,dynamic_ft_total,1,Falkirk_Aberdeen_2007,2008-01-05
2007,Aberdeen,total,dynamic_ft_total,0,Dundee United_Aberdeen_2007,2008-01-19
2007,Aberdeen,total,dynamic_ft_total,0,Aberdeen_Hearts_2007,2008-01-26
2007,Aberdeen,total,dynamic_ft_total,0,Aberdeen_Celtic_2007,2008-02-10
2007,Aberdeen,total,dynamic_ft_total,0,Hibernian_Aberdeen_2007,2008-02-17
2007,Aberdeen,total,dynamic_ft_total,0,Kilmarnock_Aberdeen_2007,2008-02-24
2007,Aberdeen,total,dynamic_ft_total,1,Aberdeen_Motherwell_2007,2008-02-27
2007,Aberdeen,total,dynamic_ft_total,0,Rangers_Aberdeen_2007,2008-03-01
2007,Aberdeen,total,dynamic_ft_total,3,Aberdeen_Gretna_2007,2008-03-15
2007,Aberdeen,total,dynamic_ft_total,1,Aberdeen_St Mirren_2007,2008-03-22
2007,Aberdeen,total,dynamic_ft_total,3,Inverness C_Aberdeen_2007,2008-03-29
2007,Aberdeen,total,dynamic_ft_total,3,Aberdeen_Falkirk_2007,2008-04-07
2007,Aberdeen,total,dynamic_ft_total,0,Celtic_Aberdeen_2007,2008-04-19
2007,Aberdeen,total,dynamic_ft_total,3,Aberdeen_Hibernian_2007,2008-04-26
2007,Aberdeen,total,dynamic_ft_total,3,Aberdeen_Dundee United_2007,2008-05-03
2007,Aberdeen,total,dynamic_ft_total,0,Motherwell_Aberdeen_2007,2008-05-10
2007,Aberdeen,total,dynamic_ft_total,3,Aberdeen_Rangers_2007,2008-05-22
