Date,idGame,team,Round_as_Home,Round_as_Away,Round_as_Total,Round_by_Week_Total
2013-08-02,Partick_Dundee United_2013,Dundee United,1,1,1,1
2013-08-02,Partick_Dundee United_2013,Partick,1,1,1,1
2013-08-03,Celtic_Ross County_2013,Celtic,1,1,1,1
2013-08-03,Aberdeen_Kilmarnock_2013,Kilmarnock,1,1,1,1
2013-08-03,Inverness C_St Mirren_2013,St Mirren,1,1,1,1
2013-08-03,Inverness C_St Mirren_2013,Inverness C,1,1,1,1
2013-08-03,Celtic_Ross County_2013,Ross County,1,1,1,1
2013-08-03,Aberdeen_Kilmarnock_2013,Aberdeen,1,1,1,1
2013-08-04,Hibernian_Motherwell_2013,Hibernian,1,1,1,1
2013-08-04,St Johnstone_Hearts_2013,St Johnstone,1,1,1,1
2013-08-04,St Johnstone_Hearts_2013,Hearts,1,1,1,1
2013-08-04,Hibernian_Motherwell_2013,Motherwell,1,1,1,1
2013-08-10,Dundee United_Inverness C_2013,Inverness C,1,1,2,2
2013-08-10,Ross County_Partick_2013,Ross County,1,1,2,2
2013-08-10,Ross County_Partick_2013,Partick,1,1,2,2
2013-08-10,Dundee United_Inverness C_2013,Dundee United,1,1,2,2
2013-08-11,Motherwell_Aberdeen_2013,Aberdeen,1,1,2,2
2013-08-11,Kilmarnock_St Johnstone_2013,St Johnstone,1,1,2,2
2013-08-11,Motherwell_Aberdeen_2013,Motherwell,1,1,2,2
2013-08-11,Kilmarnock_St Johnstone_2013,Kilmarnock,1,1,2,2
2013-08-11,Hearts_Hibernian_2013,Hibernian,1,1,2,2
2013-08-11,Hearts_Hibernian_2013,Hearts,1,1,2,2
2013-08-16,Partick_Hearts_2013,Partick,2,1,3,3
2013-08-16,Partick_Hearts_2013,Hearts,1,2,3,3
2013-08-17,St Johnstone_Ross County_2013,Ross County,1,2,3,3
2013-08-17,Inverness C_Motherwell_2013,Inverness C,2,1,3,3
2013-08-17,Hibernian_Dundee United_2013,Hibernian,2,1,3,3
2013-08-17,St Johnstone_Ross County_2013,St Johnstone,2,1,3,3
2013-08-17,Inverness C_Motherwell_2013,Motherwell,1,2,3,3
2013-08-17,Aberdeen_Celtic_2013,Celtic,1,1,2,3
2013-08-17,Hibernian_Dundee United_2013,Dundee United,1,2,3,3
2013-08-17,St Mirren_Kilmarnock_2013,Kilmarnock,1,2,3,3
2013-08-17,Aberdeen_Celtic_2013,Aberdeen,2,1,3,3
2013-08-17,St Mirren_Kilmarnock_2013,St Mirren,1,1,2,3
2013-08-24,Ross County_St Mirren_2013,Ross County,2,2,4,4
2013-08-24,Hearts_Aberdeen_2013,Aberdeen,2,2,4,4
2013-08-24,Motherwell_Partick_2013,Motherwell,2,2,4,4
2013-08-24,Celtic_Inverness C_2013,Inverness C,2,2,4,4
2013-08-24,Celtic_Inverness C_2013,Celtic,2,1,3,4
2013-08-24,Dundee United_St Johnstone_2013,Dundee United,2,2,4,4
2013-08-24,Kilmarnock_Hibernian_2013,Hibernian,2,2,4,4
2013-08-24,Kilmarnock_Hibernian_2013,Kilmarnock,2,2,4,4
2013-08-24,Motherwell_Partick_2013,Partick,2,2,4,4
2013-08-24,Hearts_Aberdeen_2013,Hearts,2,2,4,4
2013-08-24,Dundee United_St Johnstone_2013,St Johnstone,2,2,4,4
2013-08-24,Ross County_St Mirren_2013,St Mirren,1,2,3,4
2013-08-31,St Mirren_Partick_2013,St Mirren,2,2,4,5
2013-08-31,Dundee United_Celtic_2013,Dundee United,3,2,5,5
2013-08-31,Hibernian_Ross County_2013,Hibernian,3,2,5,5
2013-08-31,St Mirren_Partick_2013,Partick,2,3,5,5
2013-08-31,Hibernian_Ross County_2013,Ross County,2,3,5,5
2013-08-31,Motherwell_Kilmarnock_2013,Kilmarnock,2,3,5,5
2013-08-31,Inverness C_Hearts_2013,Hearts,2,3,5,5
2013-08-31,Dundee United_Celtic_2013,Celtic,2,2,4,5
2013-08-31,Motherwell_Kilmarnock_2013,Motherwell,3,2,5,5
2013-08-31,Inverness C_Hearts_2013,Inverness C,3,2,5,5
2013-08-31,Aberdeen_St Johnstone_2013,St Johnstone,2,3,5,5
2013-08-31,Aberdeen_St Johnstone_2013,Aberdeen,3,2,5,5
2013-09-14,Hearts_Celtic_2013,Hearts,3,3,6,7
2013-09-14,St Mirren_Motherwell_2013,St Mirren,3,2,5,7
2013-09-14,St Johnstone_Hibernian_2013,Hibernian,3,3,6,7
2013-09-14,Partick_Aberdeen_2013,Aberdeen,3,3,6,7
2013-09-14,Hearts_Celtic_2013,Celtic,2,3,5,7
2013-09-14,St Mirren_Motherwell_2013,Motherwell,3,3,6,7
2013-09-14,Kilmarnock_Inverness C_2013,Inverness C,3,3,6,7
2013-09-14,Kilmarnock_Inverness C_2013,Kilmarnock,3,3,6,7
2013-09-14,St Johnstone_Hibernian_2013,St Johnstone,3,3,6,7
2013-09-14,Partick_Aberdeen_2013,Partick,3,3,6,7
2013-09-15,Ross County_Dundee United_2013,Dundee United,3,3,6,7
2013-09-15,Ross County_Dundee United_2013,Ross County,3,3,6,7
2013-09-21,Hibernian_St Mirren_2013,St Mirren,3,3,6,8
2013-09-21,Aberdeen_Inverness C_2013,Aberdeen,4,3,7,8
2013-09-21,Partick_Kilmarnock_2013,Partick,4,3,7,8
