year,team,home_away_total,type_rating,points,game_id,date,Round_as_Home,Round_as_Away,Round_as_Total,Round_by_Week_Total,Rating_Initial
2013,Dundee United,away,ft_away,1,Partick_Dundee United_2013,2013-08-02,1,1,1,1,362.8
2013,Dundee United,away,ft_away_g<15,1,Partick_Dundee United_2013,2013-08-02,1,1,1,1,231.2
2013,Dundee United,away,ft_away_g<25,1,Partick_Dundee United_2013,2013-08-02,1,1,1,1,447.0
2013,Dundee United,away,ft_away_g<35,1,Partick_Dundee United_2013,2013-08-02,1,1,1,1,615.5
2013,Dundee United,away,ft_away_g>15,0,Partick_Dundee United_2013,2013-08-02,1,1,1,1,767.8
2013,Dundee United,away,ft_away_g>25,0,Partick_Dundee United_2013,2013-08-02,1,1,1,1,552.0
2013,Dundee United,away,ft_away_g>35,0,Partick_Dundee United_2013,2013-08-02,1,1,1,1,383.5
2013,Dundee United,total,ft_total,1,Partick_Dundee United_2013,2013-08-02,1,1,1,1,376.0
2013,Dundee United,total,ft_total_g<15,1,Partick_Dundee United_2013,2013-08-02,1,1,1,1,233.7
2013,Dundee United,total,ft_total_g<15,1,Partick_Dundee United_2013,2013-08-02,1,1,1,1,233.7
2013,Dundee United,total,ft_total_g<25,1,Partick_Dundee United_2013,2013-08-02,1,1,1,1,441.5
2013,Dundee United,total,ft_total_g<25,1,Partick_Dundee United_2013,2013-08-02,1,1,1,1,441.5
2013,Dundee United,total,ft_total_g<35,1,Partick_Dundee United_2013,2013-08-02,1,1,1,1,641.4
2013,Dundee United,total,ft_total_g<35,1,Partick_Dundee United_2013,2013-08-02,1,1,1,1,641.4
2013,Dundee United,total,ft_total_g>15,0,Partick_Dundee United_2013,2013-08-02,1,1,1,1,765.3
2013,Dundee United,total,ft_total_g>15,0,Partick_Dundee United_2013,2013-08-02,1,1,1,1,765.3
2013,Dundee United,total,ft_total_g>25,0,Partick_Dundee United_2013,2013-08-02,1,1,1,1,557.5
2013,Dundee United,total,ft_total_g>25,0,Partick_Dundee United_2013,2013-08-02,1,1,1,1,557.5
2013,Dundee United,total,ft_total_g>35,0,Partick_Dundee United_2013,2013-08-02,1,1,1,1,357.6
