,WHD,IWH,LBA,SBH,SBA,WHA,B365A,LBH,GBA,B365D,B365H,WHH,IWA,GBAHA,GBH,SBD,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
0,,4.6,1.667,4.33,1.66,,1.615,4.0,1.7,3.5,4.5,,1.6,2.15,4.0,3.5,1.65,1.25,2.0,3.4,3.6,3.5,1.65,Samsunspor,Besiktas,Samsunspor_Besiktas_2003
1,3.3,2.4,2.5,2.3,2.7,2.4,2.5,2.4,2.6,3.25,2.4,2.4,2.4,1.95,2.35,3.2,1.71,0.0,1.95,3.2,3.2,3.2,1.8,Bursaspor,Gaziantepspor,Bursaspor_Gaziantepspor_2003
2,5.5,1.2,11.0,1.18,11.0,9.0,12.0,1.167,14.0,6.0,1.143,1.2,10.0,2.15,1.15,5.5,1.6,-1.5,2.1,5.0,6.0,5.5,1.65,Galatasaray,Diyarbakirspor,Galatasaray_Diyarbakirspor_2003
3,4.25,1.35,7.0,1.4,7.5,7.5,7.0,1.364,7.0,3.75,1.4,1.3,7.0,1.6,1.35,3.75,1.55,-1.75,2.2,4.0,4.0,4.2,2.25,Genclerbirligi,Elazigspor,Genclerbirligi_Elazigspor_2003
4,3.2,3.0,2.2,3.0,2.1,2.2,2.25,2.8,1.95,3.2,2.75,2.7,2.1,1.7,3.25,3.25,1.65,0.25,2.0,3.1,3.2,3.3,2.1,Konyaspor,Trabzonspor,Konyaspor_Trabzonspor_2003
5,3.3,2.4,2.6,2.3,2.7,2.4,2.75,2.375,2.35,3.2,2.25,2.4,2.4,2.0,2.45,3.2,1.83,0.0,1.83,3.2,3.2,3.3,1.75,A. Sebatspor,Denizlispor,A. Sebatspor_Denizlispor_2003
6,3.2,2.1,2.8,2.2,2.8,2.7,2.75,2.2,3.1,3.2,2.25,2.2,3.0,1.8,2.05,3.25,1.9,-0.25,1.75,3.1,3.2,3.2,1.95,Adanaspor,Malatyaspor,Adanaspor_Malatyaspor_2003
7,5.0,1.3,8.0,1.33,8.0,8.0,7.0,1.333,8.0,4.0,1.364,1.25,8.0,1.67,1.25,4.2,1.71,-1.75,1.95,4.2,4.0,5.0,2.1,Fenerbahce,Istanbulspor,Fenerbahce_Istanbulspor_2003
8,3.3,2.3,2.75,2.25,2.75,2.55,2.75,2.25,3.05,3.2,2.25,2.25,2.5,1.8,2.1,3.25,1.83,-0.25,1.83,3.2,3.2,3.15,1.95,Rizespor,Ankaragucu,Rizespor_Ankaragucu_2003
9,3.25,2.3,2.25,2.5,2.5,2.4,2.5,2.6,2.6,3.1,2.5,2.5,2.7,1.95,2.4,3.2,1.75,0.0,1.9,3.0,3.4,3.15,1.8,Trabzonspor,Fenerbahce,Trabzonspor_Fenerbahce_2003
10,3.4,1.65,4.0,1.75,4.2,4.2,4.0,1.727,4.1,3.4,1.727,1.65,4.2,1.7,1.75,3.25,1.71,-1.0,1.95,3.4,3.4,3.3,2.1,Ankaragucu,Samsunspor,Ankaragucu_Samsunspor_2003
11,5.0,1.2,11.0,1.18,12.0,9.5,11.0,1.167,9.5,5.5,1.167,1.22,10.0,1.65,1.21,5.5,1.55,-2.0,2.15,5.0,6.0,5.25,2.15,Besiktas,Bursaspor,Besiktas_Bursaspor_2003
12,3.4,1.75,4.0,1.72,4.33,3.7,4.0,1.727,4.25,3.4,1.727,1.75,3.8,1.7,1.7,3.25,1.71,-1.0,1.95,3.3,3.4,3.4,2.1,Denizlispor,Rizespor,Denizlispor_Rizespor_2003
13,3.4,1.8,4.0,1.72,4.33,3.9,4.0,1.667,4.55,3.4,1.727,1.7,3.6,1.7,1.65,3.25,1.65,-1.0,2.0,3.3,3.6,3.4,2.1,Istanbulspor,Adanaspor,Istanbulspor_Adanaspor_2003
14,3.2,2.6,2.1,2.7,2.25,2.35,2.5,2.8,2.4,3.1,2.5,2.5,2.3,1.7,2.65,3.3,1.65,0.0,2.0,3.1,3.4,3.1,2.1,Diyarbakirspor,Genclerbirligi,Diyarbakirspor_Genclerbirligi_2003
15,3.35,1.75,3.5,1.85,3.75,3.4,3.75,1.8,4.1,3.3,1.8,1.83,3.8,1.75,1.75,3.25,1.71,-0.75,1.95,3.3,3.5,3.3,2.0,Elazigspor,Konyaspor,Elazigspor_Konyaspor_2003
16,3.3,3.4,1.8,3.0,2.1,2.1,2.1,3.5,2.1,3.2,3.0,2.87,1.9,1.65,3.05,3.25,1.65,0.25,2.0,3.2,3.5,3.15,2.15,Gaziantepspor,Galatasaray,Gaziantepspor_Galatasaray_2003
17,3.75,1.5,5.0,1.5,6.0,5.5,6.0,1.533,6.0,3.75,1.444,1.45,5.0,1.85,1.45,3.5,1.6,-1.25,2.1,3.7,3.75,3.75,1.95,Malatyaspor,A. Sebatspor,Malatyaspor_A. Sebatspor_2003
18,3.2,2.7,2.1,2.8,2.3,2.1,2.3,2.8,2.1,3.2,2.625,2.85,2.2,1.85,2.8,3.1,1.83,0.25,1.83,3.2,3.4,3.3,1.9,A. Sebatspor,Istanbulspor,A. Sebatspor_Istanbulspor_2003
19,3.2,3.0,2.2,2.8,2.25,2.2,2.3,2.75,2.1,3.2,2.625,2.7,2.1,1.85,2.9,3.2,1.6,0.25,2.1,3.1,3.25,3.3,1.9,Adanaspor,Trabzonspor,Adanaspor_Trabzonspor_2003
20,3.4,4.6,1.533,4.75,1.61,1.72,1.615,5.0,1.55,3.5,4.5,4.0,1.6,2.1,4.7,3.5,1.65,1.0,2.0,3.4,3.75,3.6,1.65,Bursaspor,Galatasaray,Bursaspor_Galatasaray_2003
21,5.0,1.25,8.0,1.25,9.0,8.0,8.0,1.286,9.0,4.5,1.286,1.25,9.0,1.75,1.25,5.0,1.6,-1.75,2.1,4.5,4.5,4.5,2.0,Fenerbahce,Elazigspor,Fenerbahce_Elazigspor_2003
22,3.2,2.3,2.5,2.37,2.62,2.45,2.625,2.375,2.52,3.1,2.375,2.4,2.6,1.7,2.37,3.2,1.71,-0.25,1.95,3.1,3.25,3.15,2.05,Rizespor,Malatyaspor,Rizespor_Malatyaspor_2003
23,5.0,1.25,11.0,1.22,10.0,9.5,10.0,1.2,9.1,4.5,1.25,1.22,9.0,1.65,1.21,5.0,1.5,-2.0,2.3,4.5,5.0,5.0,2.15,Besiktas,Ankaragucu,Besiktas_Ankaragucu_2003
24,3.3,1.85,3.25,2.0,3.25,2.9,3.4,1.909,3.25,3.25,1.909,2.05,3.6,1.85,1.93,3.25,1.6,-0.5,2.1,3.1,3.4,3.25,1.9,Genclerbirligi,Gaziantepspor,Genclerbirligi_Gaziantepspor_2003
25,3.25,1.9,2.8,2.2,3.0,2.6,3.0,2.1,3.25,3.2,2.1,2.25,3.4,1.9,2.05,3.1,1.65,-0.25,2.0,3.2,3.4,3.15,1.85,Konyaspor,Diyarbakirspor,Konyaspor_Diyarbakirspor_2003
26,3.3,2.2,3.25,2.0,3.25,3.1,3.2,1.909,3.25,3.2,2.0,1.95,2.8,,1.93,3.25,1.65,,2.0,3.1,3.4,3.25,,Samsunspor,Denizlispor,Samsunspor_Denizlispor_2003
27,3.5,4.4,1.533,5.5,1.57,1.57,1.533,5.0,1.5,3.4,5.5,5.0,1.65,1.8,5.5,3.4,1.6,1.0,2.1,3.3,3.75,3.5,1.85,Denizlispor,Besiktas,Denizlispor_Besiktas_2003
28,3.4,3.5,1.8,3.75,1.83,1.8,1.833,3.6,1.8,3.4,3.5,3.6,1.85,1.95,3.7,3.3,1.6,0.75,2.1,3.2,3.4,3.3,1.82,Diyarbakirspor,Fenerbahce,Diyarbakirspor_Fenerbahce_2003
29,3.3,2.0,3.25,1.9,3.6,3.6,3.4,1.909,3.4,3.25,1.909,1.8,3.2,1.82,1.95,3.2,,-0.5,,3.1,3.4,3.1,1.95,Elazigspor,Adanaspor,Elazigspor_Adanaspor_2003
30,3.5,1.45,5.0,1.5,6.0,5.4,5.5,1.533,5.5,3.6,1.5,1.5,5.4,1.9,1.5,3.5,1.6,-1.0,2.1,3.8,3.75,3.5,1.88,Gaziantepspor,Konyaspor,Gaziantepspor_Konyaspor_2003
31,3.35,1.7,4.0,1.66,4.75,4.0,4.5,1.727,4.25,3.5,1.615,1.7,4.2,1.85,1.7,3.3,1.65,-0.75,2.0,3.2,3.4,3.25,1.92,Malatyaspor,Samsunspor,Malatyaspor_Samsunspor_2003
32,3.3,1.7,4.0,1.8,4.0,3.6,4.333,1.727,3.8,3.4,1.667,1.8,4.2,1.98,1.8,3.25,1.6,-0.5,2.1,3.2,3.4,3.2,1.8,Ankaragucu,Bursaspor,Ankaragucu_Bursaspor_2003
33,4.0,1.35,7.5,1.36,7.0,7.0,7.0,1.3,7.0,4.0,1.364,1.36,7.0,1.95,1.35,4.2,1.55,-1.25,2.2,4.0,4.5,4.0,1.82,Galatasaray,Genclerbirligi,Galatasaray_Genclerbirligi_2003
34,3.5,1.8,4.5,1.7,4.5,4.1,5.0,1.571,4.3,3.5,1.571,1.65,3.8,1.98,1.66,3.25,1.6,-0.75,2.1,3.1,3.75,3.4,1.8,Istanbulspor,Rizespor,Istanbulspor_Rizespor_2003
35,4.25,1.35,6.0,1.3,8.5,8.0,7.0,1.444,7.5,4.333,1.333,1.28,7.0,1.9,1.3,4.33,,-1.5,,4.0,3.75,4.25,1.88,Trabzonspor,A. Sebatspor,Trabzonspor_A. Sebatspor_2003
36,4.5,1.25,9.0,1.28,9.5,10.0,10.0,1.286,9.0,4.5,1.25,1.25,9.0,1.7,1.25,4.33,1.5,-2.0,2.3,4.5,4.333,4.5,2.0,Besiktas,Malatyaspor,Besiktas_Malatyaspor_2003
37,3.4,1.9,3.2,2.0,3.3,3.15,3.5,2.0,3.25,3.2,1.9,1.9,3.3,1.8,1.95,3.2,1.71,-0.5,1.95,3.3,3.2,3.25,1.9,Adanaspor,Diyarbakirspor,Adanaspor_Diyarbakirspor_2003
