,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SBH,SBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,LBH,GBD,VCH,GBA,B365D,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,BbAvAHA,SJH,GBH,BbAH,SBD,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,1.85,3.55,1.95,3.4,3.6,1.67,5.0,1.67,1.62,5.5,3.5,1.66,1.66,1.57,3.4,4.33,3.4,4.0,1.67,3.6,4.62,9.0,5.0,0.75,1.94,4.33,1.9,1.6,1.74,16,5.0,1.85,1.95,3.4,1.94,5.0,4.3,4.0,3.6,1.9,1.75,3.1,3.5,3.39,2.1,Genclerbirligi,Fenerbahce,Genclerbirligi_Fenerbahce_2005
1,3.5,3.3,1.85,3.2,2.1,3.0,2.1,3.2,3.4,2.2,3.3,3.21,3.2,3.0,3.2,2.1,3.15,,3.1,3.2,2.05,8.0,2.1,-0.5,1.8,2.0,2.26,3.25,1.83,16,2.0,3.1,1.9,,1.74,2.0,2.05,3.0,3.2,2.17,,3.0,3.2,3.21,2.04,Diyarbakirspor,Rizespor,Diyarbakirspor_Rizespor_2005
2,1.67,3.75,2.05,3.5,4.4,1.67,5.0,1.65,1.57,5.5,3.5,1.6,1.53,1.57,3.5,4.33,3.45,,1.62,3.5,5.02,7.0,5.0,0.75,1.9,5.5,1.95,1.55,1.63,14,5.5,1.65,1.67,,1.9,5.25,4.6,2.0,3.6,1.95,,3.3,3.4,3.48,2.2,Erciyesspor,Besiktas,Erciyesspor_Besiktas_2005
3,2.9,3.3,1.9,3.2,2.3,2.75,2.25,2.88,2.62,2.38,3.2,2.77,2.8,2.75,3.2,2.25,3.1,,2.85,3.2,2.27,8.0,2.25,-0.25,1.83,2.2,2.05,2.8,1.74,16,2.25,2.7,1.85,,1.83,2.38,2.2,3.0,3.25,2.05,,3.0,3.2,3.21,2.05,Sivasspor,Malatyaspor,Sivasspor_Malatyaspor_2005
4,11.0,5.5,2.17,5.5,1.3,7.5,1.3,8.0,10.0,1.33,5.0,9.21,9.0,8.0,4.75,1.3,5.0,,8.0,4.5,1.26,8.0,1.28,-0.5,3.58,1.2,1.32,9.0,1.56,16,1.25,8.0,1.6,,3.58,1.25,1.25,2.0,4.75,1.32,,4.2,4.5,4.78,2.4,Trabzonspor,Kayserispor,Trabzonspor_Kayserispor_2005
5,4.0,3.4,1.91,3.3,1.9,3.6,1.8,4.0,3.6,2.1,3.35,3.57,3.75,3.75,3.25,1.8,3.25,,3.6,3.3,1.89,5.0,1.8,0.0,2.3,1.8,1.5,3.45,1.74,13,1.9,3.5,1.8,,2.3,1.91,1.85,1.0,3.4,1.5,,3.1,3.4,3.28,2.0,Denizlispor,Ankaraspor,Denizlispor_Ankaraspor_2005
6,12.0,5.0,2.22,4.5,1.3,7.5,1.3,9.5,9.0,1.3,5.0,9.17,8.0,8.0,4.5,1.3,4.5,,8.5,4.5,1.27,8.0,1.28,-1.75,1.78,1.28,2.12,9.0,1.55,15,1.25,8.0,1.6,,1.78,1.29,1.27,1.0,4.8,2.12,,4.2,4.5,4.61,2.55,Galatasaray,Konyaspor,Galatasaray_Konyaspor_2005
7,3.3,3.3,1.87,3.2,2.2,2.75,2.2,3.0,3.0,2.3,3.25,2.88,2.9,2.75,3.1,2.25,3.1,,2.85,3.2,2.21,8.0,2.25,-0.25,1.86,2.15,2.0,2.65,1.81,15,2.35,2.9,1.9,,1.86,2.2,2.2,2.0,3.2,2.0,,3.0,3.2,3.2,2.01,Manisaspor,Ankaragucu,Manisaspor_Ankaragucu_2005
8,3.25,3.3,1.88,3.2,2.1,2.8,2.2,3.0,3.0,2.3,3.3,2.99,2.9,2.75,3.1,2.2,3.15,,2.85,3.25,2.15,8.0,2.2,-0.25,2.05,2.15,1.83,3.25,1.78,15,2.0,3.1,1.85,,2.05,2.2,2.2,2.0,3.2,1.83,,3.0,3.2,3.21,1.95,Samsunspor,Gaziantepspor,Samsunspor_Gaziantepspor_2005
9,1.67,3.6,1.99,3.5,4.8,1.67,4.75,1.7,1.57,5.8,3.9,1.59,1.53,1.53,3.4,4.33,3.35,4.5,1.65,3.6,5.03,13.0,5.0,1.0,2.2,5.5,1.75,1.4,1.72,25,7.0,1.55,1.85,3.5,2.02,5.5,4.5,6.0,3.5,1.71,1.6,3.5,3.4,3.46,2.11,Ankaragucu,Galatasaray,Ankaragucu_Galatasaray_2005
10,18.0,6.75,2.28,6.0,1.2,11.0,1.15,15.0,12.0,1.2,7.5,13.6,12.0,12.0,5.5,1.2,5.3,1.14,12.0,6.0,1.14,6.0,1.14,-2.0,1.95,1.14,2.0,19.0,1.5,17,1.08,10.0,1.55,6.5,1.83,1.17,1.17,3.0,7.0,1.94,10.0,5.0,5.0,6.14,2.35,Fenerbahce,Diyarbakirspor,Fenerbahce_Diyarbakirspor_2005
11,5.75,3.6,2.1,3.4,1.6,4.33,1.7,4.5,4.5,1.65,3.5,4.97,4.1,4.5,3.4,1.67,3.4,1.55,4.6,3.5,1.6,8.0,1.61,-0.75,2.06,1.7,1.86,5.5,1.62,18,1.55,4.6,1.65,3.5,2.04,1.67,1.63,4.0,3.4,1.82,5.0,3.4,3.5,3.48,2.25,Gaziantepspor,Sivasspor,Gaziantepspor_Sivasspor_2005
12,5.5,3.6,2.09,3.4,1.7,4.0,1.73,4.33,5.25,1.73,3.5,4.81,4.2,4.5,3.5,1.73,3.3,1.6,4.3,3.3,1.63,8.0,1.66,-0.5,2.32,1.7,1.71,4.5,1.63,18,1.65,4.2,1.65,3.5,2.26,1.57,1.7,4.0,3.4,1.69,4.5,3.2,3.4,3.41,2.25,Malatyaspor,Manisaspor,Malatyaspor_Manisaspor_2005
13,4.2,3.4,1.96,3.2,1.9,3.25,2.0,3.4,3.4,2.1,3.25,3.41,3.5,3.5,3.2,2.0,3.2,1.9,3.2,3.2,1.96,8.0,1.9,-0.5,1.89,1.9,2.05,3.75,1.7,19,1.85,3.5,1.72,3.25,1.84,2.0,2.0,4.0,3.25,2.02,3.4,3.1,3.2,3.24,2.1,Rizespor,Samsunspor,Rizespor_Samsunspor_2005
14,3.2,3.4,1.96,3.2,2.4,2.8,2.2,2.9,3.0,2.4,3.25,2.83,2.65,2.75,3.25,2.2,3.2,2.3,2.8,3.2,2.24,5.0,2.25,0.0,2.37,2.3,1.68,2.7,1.7,18,2.3,2.6,1.72,3.1,2.21,2.1,2.2,2.0,3.3,1.67,2.7,3.0,3.2,3.22,2.05,Ankaraspor,Genclerbirligi,Ankaraspor_Genclerbirligi_2005
15,11.0,5.3,2.15,5.0,1.3,8.5,1.3,9.0,9.0,1.3,5.5,9.12,8.0,9.0,5.0,1.29,4.5,1.28,9.4,5.0,1.27,5.0,1.22,-1.75,2.0,1.25,1.86,10.5,1.57,18,1.2,8.0,1.6,4.5,2.0,1.25,1.25,2.0,5.0,1.86,8.0,4.2,4.5,4.67,2.25,Besiktas,Denizlispor,Besiktas_Denizlispor_2005
16,3.1,3.5,2.0,3.1,2.3,3.0,2.25,2.8,3.0,2.3,3.2,2.84,2.75,2.75,3.25,2.1,3.2,2.2,2.85,3.2,2.24,4.0,2.25,0.0,2.1,2.3,1.82,2.75,1.72,14,2.3,2.7,1.75,3.1,2.08,2.1,2.15,2.0,3.3,1.74,2.9,3.0,3.2,3.22,2.15,Kayserispor,Erciyesspor,Kayserispor_Erciyesspor_2005
17,2.0,3.4,2.04,3.4,3.8,1.91,3.75,1.9,1.8,3.8,3.45,1.89,1.9,1.83,3.25,3.5,3.2,3.4,1.9,3.4,3.56,5.0,3.5,0.5,2.01,3.25,1.86,1.75,1.65,17,4.0,1.8,1.72,3.25,2.01,4.0,3.5,2.0,3.5,1.86,1.9,3.1,3.25,3.28,2.15,Konyaspor,Trabzonspor,Konyaspor_Trabzonspor_2005
18,6.5,3.8,1.96,3.6,1.6,5.0,1.7,4.5,6.0,1.65,3.6,5.35,5.5,5.0,3.6,1.53,3.4,,4.7,3.6,1.55,13.0,1.53,-0.75,2.14,1.5,1.8,6.0,1.68,29,1.5,4.6,1.75,,2.1,1.5,1.62,5.0,3.4,1.78,,3.4,3.75,3.55,2.05,Denizlispor,Kayserispor,Denizlispor_Kayserispor_2005
19,1.9,3.5,1.88,3.3,3.7,1.8,4.75,1.7,1.67,4.5,3.35,1.8,1.8,1.8,3.4,3.6,3.2,,1.83,3.3,3.94,16.0,3.75,0.5,1.8,3.75,2.14,1.85,1.8,32,3.7,1.9,1.89,,1.78,4.5,3.75,7.0,3.5,2.1,,3.1,3.4,3.3,2.02,Genclerbirligi,Besiktas,Genclerbirligi_Besiktas_2005
20,4.5,3.4,1.9,3.25,1.85,3.5,2.0,3.4,3.75,1.95,3.3,3.81,3.6,3.6,3.4,1.83,3.25,1.85,3.6,3.25,1.83,16.0,1.83,-0.5,2.01,1.85,1.95,4.5,1.73,33,1.7,3.6,1.8,3.25,1.94,1.83,1.85,6.0,3.25,1.91,3.6,3.1,3.4,3.28,1.95,Samsunspor,Sivasspor,Samsunspor_Sivasspor_2005
21,12.0,5.0,2.12,5.0,1.27,7.5,1.35,10.0,9.0,1.36,4.5,8.62,8.0,8.0,4.5,1.3,4.1,,9.0,4.5,1.29,16.0,1.28,-1.5,2.04,1.25,1.89,8.25,1.57,32,1.3,8.5,1.6,,1.99,1.29,1.3,6.0,4.2,1.87,,4.3,4.5,4.51,2.3,Trabzonspor,Ankaragucu,Trabzonspor_Ankaragucu_2005
22,3.0,3.4,1.91,3.25,2.3,2.75,2.25,2.85,2.88,2.45,3.35,2.72,2.75,2.75,3.2,2.25,3.15,2.3,2.75,3.2,2.3,13.0,2.25,-0.25,1.78,2.2,2.19,2.8,1.78,30,2.2,2.7,1.91,3.2,1.77,2.2,2.25,6.0,3.25,2.13,2.65,3.0,3.2,3.25,1.99,Diyarbakirspor,Ankaraspor,Diyarbakirspor_Ankaraspor_2005
23,3.2,3.5,1.98,3.2,2.1,2.8,2.2,2.9,2.88,2.3,3.35,2.86,2.9,2.87,3.2,2.2,3.25,2.2,2.85,3.3,2.2,13.0,2.1,-0.25,1.82,2.15,2.12,2.65,1.73,27,2.3,3.1,1.86,3.25,1.8,2.2,2.15,7.0,3.3,2.08,2.75,3.0,3.25,3.27,2.1,Erciyesspor,Konyaspor,Erciyesspor_Konyaspor_2005
24,16.0,7.5,2.18,6.0,1.2,10.0,1.222,12.0,12.0,1.22,7.5,11.67,12.0,11.0,5.5,1.22,5.0,1.17,11.0,5.5,1.18,12.0,1.16,-1.75,1.99,1.14,1.94,14.0,1.55,28,1.1,10.0,1.7,5.5,1.97,1.17,1.2,5.0,5.5,1.89,12.0,5.0,5.0,5.57,2.4,Galatasaray,Malatyaspor,Galatasaray_Malatyaspor_2005
25,2.85,3.5,1.95,3.25,2.3,2.75,2.2,2.9,2.62,2.4,3.2,2.72,2.6,2.75,3.2,2.25,3.15,2.2,2.75,3.2,2.28,10.0,2.25,-0.25,1.82,2.3,2.13,2.8,1.68,27,2.25,2.7,1.75,3.1,1.81,2.38,2.25,5.0,3.3,2.09,2.9,3.0,3.2,3.23,2.1,Manisaspor,Gaziantepspor,Manisaspor_Gaziantepspor_2005
26,1.55,4.0,1.99,3.6,4.8,1.44,6.5,1.5,1.44,7.0,3.9,1.48,1.5,1.44,3.75,6.5,3.45,7.5,1.5,3.75,6.06,16.0,6.0,1.0,1.95,5.5,2.0,1.4,1.66,31,7.0,1.55,1.75,3.75,1.89,6.5,6.0,7.0,3.8,1.91,1.4,3.5,3.6,3.66,2.15,Rizespor,Fenerbahce,Rizespor_Fenerbahce_2005
27,1.85,3.75,1.94,3.4,4.0,1.62,5.0,1.65,1.62,5.0,3.5,1.69,1.66,1.72,3.4,4.5,3.3,4.35,1.7,3.4,4.46,20.0,4.0,0.75,2.04,4.33,1.9,1.65,1.74,39,4.5,1.75,1.8,3.2,2.03,5.0,4.25,7.0,3.6,1.85,1.75,3.2,3.6,3.45,2.05,Gaziantepspor,Galatasaray,Gaziantepspor_Galatasaray_2005
