,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SBH,SBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,GBD,VCH,GBA,B365D,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,BbAvAHA,SJH,GBH,BbAH,SBD,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,1.57,4.18,1.87,3.6,5.5,1.44,6.5,1.45,1.53,7.0,3.75,1.5,1.5,1.57,3.75,3.75,6.5,3.6,6.0,1.53,3.8,6.24,23,6.0,1.0,1.99,6.5,1.95,1.5,1.87,1.44,31,6.0,1.5,1.96,3.8,1.96,6.5,6.0,11,4.0,1.9,1.5,7.0,3.8,3.6,3.75,2.0,Bucaspor,Besiktas,Bucaspor_Besiktas_2010
1,4.12,3.52,1.73,3.25,2.0,3.5,2.0,3.4,3.75,2.1,3.3,3.57,3.75,3.75,3.25,3.25,1.91,3.25,1.95,3.5,3.4,1.98,24,2.0,-0.5,1.94,1.91,2.02,3.8,2.03,3.1,30,1.88,3.3,2.21,3.2,1.86,2.0,2.0,12,3.25,1.99,3.6,2.1,3.2,3.2,3.27,1.8,Eskisehirspor,Genclerbirligi,Eskisehirspor_Genclerbirligi_2010
2,4.16,3.48,1.66,3.2,2.0,3.2,2.0,3.6,4.0,2.03,3.2,3.65,3.5,4.0,3.25,3.4,2.0,3.25,1.91,3.6,3.4,1.96,16,1.91,-0.5,1.92,2.0,2.03,3.5,2.09,3.75,31,2.0,3.3,2.2,3.2,1.86,1.95,1.95,12,3.1,1.98,3.8,1.8,3.2,3.2,3.27,1.85,Gaziantepspor,Kasimpasa,Gaziantepspor_Kasimpasa_2010
3,1.8,3.87,1.82,3.4,4.0,1.73,4.2,1.75,1.73,5.28,3.4,1.72,1.73,1.67,3.6,3.4,4.33,3.4,4.75,1.73,3.6,4.58,24,5.25,0.5,1.73,4.5,2.26,1.75,1.92,1.8,32,4.25,1.8,2.04,3.3,1.71,4.5,4.5,12,3.4,2.18,1.73,4.0,3.2,3.2,3.46,1.93,Sivasspor,Galatasaray,Sivasspor_Galatasaray_2010
4,2.2,3.51,1.73,3.25,2.9,1.91,3.5,2.0,1.91,4.08,3.4,1.98,1.95,2.0,3.5,3.25,3.5,3.3,3.6,1.95,3.4,3.57,24,3.75,0.5,2.05,3.6,1.91,1.91,2.03,2.1,31,3.5,2.2,2.2,3.2,1.99,3.75,3.5,12,3.2,1.86,1.95,3.1,3.2,3.2,3.28,1.81,Ankaragucu,Trabzonspor,Ankaragucu_Trabzonspor_2010
5,9.0,4.56,2.02,4.33,1.35,10.0,1.36,8.5,9.0,1.47,4.4,7.5,7.5,7.0,4.33,4.2,1.25,4.33,1.4,8.0,4.33,1.39,17,1.44,-1.25,1.93,1.36,2.11,7.5,1.71,6.5,32,1.35,7.5,1.8,4.0,1.83,1.36,1.35,11,4.0,2.04,7.5,1.4,4.2,4.5,4.16,2.15,Fenerbahce,Antalyaspor,Fenerbahce_Antalyaspor_2010
6,3.2,3.3,1.64,3.25,2.2,2.75,2.3,2.9,3.0,2.44,3.2,2.95,2.8,3.2,3.2,3.25,2.25,3.2,2.2,2.9,3.2,2.28,17,2.3,0.0,2.25,2.3,1.69,3.0,2.12,2.75,22,2.2,2.9,2.3,3.1,2.12,2.35,2.25,11,3.1,1.64,3.1,2.3,3.2,3.2,3.19,1.7,Karabukspor,Manisaspor,Karabukspor_Manisaspor_2010
7,9.25,5.0,2.01,4.5,1.4,8.5,1.3,9.0,8.5,1.4,4.33,7.93,8.0,9.0,4.5,4.33,1.29,4.5,1.36,8.0,5.0,1.35,16,1.33,-1.5,1.73,1.33,2.25,7.25,1.72,7.0,30,1.37,6.5,1.79,4.33,1.69,1.36,1.33,10,4.5,2.2,7.5,1.36,4.0,4.33,4.37,2.1,Bursaspor,Konyaspor,Bursaspor_Konyaspor_2010
8,3.57,3.48,1.76,3.2,2.1,3.0,2.15,3.2,3.4,2.26,3.2,3.25,3.5,3.5,3.2,3.25,2.1,3.2,2.05,3.2,3.3,2.12,20,2.1,-0.25,2.04,2.0,1.92,3.2,2.0,3.1,27,2.1,3.1,2.13,3.2,2.0,2.15,2.1,8,3.1,1.87,3.3,2.1,3.2,3.2,3.21,1.85,Buyuksehyr,Kayserispor,Buyuksehyr_Kayserispor_2010
9,4.7,3.5,1.76,3.3,1.65,4.33,1.67,4.5,4.5,2.02,3.4,4.16,4.33,4.5,3.5,3.4,1.73,3.3,1.8,4.1,3.4,1.82,25,1.83,0.0,3.5,1.8,1.4,4.25,2.0,4.0,32,1.75,4.5,2.14,3.2,3.11,1.73,1.8,13,3.6,1.32,4.4,1.8,3.5,3.2,3.37,1.9,Kayserispor,Karabukspor,Kayserispor_Karabukspor_2010
10,2.75,3.35,1.59,3.2,2.5,2.62,2.7,2.5,2.63,2.88,3.0,2.55,2.5,2.75,3.2,3.2,2.4,3.2,2.62,2.6,3.25,2.65,18,2.55,0.0,1.92,2.6,2.02,2.6,2.23,2.38,30,2.6,2.5,2.48,3.0,1.85,2.55,2.5,20,3.0,1.91,2.6,2.7,3.2,3.1,3.13,1.65,Konyaspor,Eskisehirspor,Konyaspor_Eskisehirspor_2010
11,3.43,3.35,1.65,3.2,2.1,2.8,2.15,3.1,3.0,2.38,3.2,3.08,3.0,3.25,3.25,3.2,2.2,3.2,2.2,3.1,3.3,2.21,18,2.2,0.0,2.31,2.2,1.62,3.2,2.12,3.0,32,2.1,3.2,2.27,3.1,2.23,2.25,2.15,14,3.2,1.58,3.12,2.2,3.1,3.2,3.21,1.8,Antalyaspor,Sivasspor,Antalyaspor_Sivasspor_2010
12,10.35,4.64,1.76,4.2,1.4,7.0,1.33,9.0,8.5,1.42,4.2,8.29,9.0,8.0,4.33,4.33,1.36,4.2,1.33,7.5,4.33,1.37,23,1.4,-1.25,1.97,1.33,1.99,8.25,2.0,8.0,30,1.35,6.5,2.11,4.33,1.92,1.36,1.38,11,4.2,1.94,9.0,1.33,4.0,4.0,4.16,1.85,Besiktas,Buyuksehyr,Besiktas_Buyuksehyr_2010
13,4.6,3.55,1.81,3.4,1.7,4.33,1.95,3.5,4.1,1.98,3.5,4.19,4.5,4.33,3.4,3.4,1.73,3.4,1.83,4.25,3.5,1.81,24,1.83,0.0,3.41,1.73,1.4,4.25,1.94,4.33,32,1.72,4.3,2.05,3.2,3.1,1.83,1.75,12,3.3,1.32,4.0,1.73,3.4,3.2,3.36,1.91,Galatasaray,Bursaspor,Galatasaray_Bursaspor_2010
14,4.0,3.4,1.59,3.25,1.9,3.75,1.9,4.0,3.75,2.13,3.2,3.69,3.75,4.0,3.25,3.25,1.83,3.2,2.0,3.75,3.3,1.96,17,1.95,0.0,2.85,1.91,1.5,3.9,2.22,3.6,32,1.88,3.6,2.42,3.0,2.69,1.95,1.9,13,3.1,1.41,3.75,1.91,3.2,3.2,3.21,1.65,Genclerbirligi,Gaziantepspor,Genclerbirligi_Gaziantepspor_2010
15,2.91,3.3,1.61,3.2,2.4,2.6,2.5,2.65,2.75,2.68,3.1,2.71,2.7,2.8,3.1,3.1,2.38,3.2,2.5,2.7,3.25,2.49,17,2.5,0.0,2.08,2.4,1.89,2.8,2.18,2.6,32,2.4,2.6,2.35,3.0,1.97,2.5,2.4,21,3.1,1.81,2.75,2.5,3.2,3.2,3.13,1.65,Manisaspor,Ankaragucu,Manisaspor_Ankaragucu_2010
