,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,PSD,VCH,GBD,GBA,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,SJH,GBH,BbAH,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,5.81,3.88,1.75,3.4,1.65,5.0,5.25,1.7,3.55,5.23,4.8,5.25,3.5,3.5,1.62,3.86,1.67,3.55,5.65,3.6,5.63,1.65,29.0,1.67,-0.75,2.03,1.7,1.93,5.65,2.04,4.75,36.0,1.62,4.5,2.15,3.8,1.68,1.99,1.67,1.62,15.0,1.88,5.5,1.67,3.5,3.4,3.55,1.83,Eskisehirspor,Akhisar Belediyespor,Eskisehirspor_Akhisar Belediyespor_2012
1,1.62,4.22,1.9,3.75,5.0,1.53,1.57,6.69,3.8,1.56,1.6,1.62,3.8,3.6,5.5,4.13,6.0,3.8,1.55,3.75,1.59,5.75,29.0,5.5,0.75,1.79,5.0,2.23,1.55,1.89,1.62,36.0,5.75,1.57,1.97,4.0,6.25,1.74,5.75,5.75,16.0,2.14,1.57,5.0,3.6,3.6,3.73,1.95,Elazigspor,Fenerbahce,Elazigspor_Fenerbahce_2012
2,4.29,3.54,1.87,3.3,2.0,3.5,3.8,2.05,3.4,3.69,3.5,3.75,3.3,3.25,1.91,3.54,1.92,3.4,4.0,3.4,4.29,1.97,29.0,2.0,-0.25,2.3,2.0,1.74,4.0,1.92,3.5,36.0,1.87,3.3,2.01,3.4,1.94,2.23,1.95,1.87,16.0,1.69,4.1,2.0,3.2,3.2,3.31,1.95,Gaziantepspor,Sivasspor,Gaziantepspor_Sivasspor_2012
3,2.14,3.6,1.93,3.3,3.3,1.91,2.0,4.2,3.5,2.0,1.91,1.91,3.4,3.4,3.5,3.53,3.9,3.5,1.85,3.5,2.05,3.58,28.0,4.0,0.75,2.52,3.8,1.71,1.85,1.85,1.91,34.0,3.9,2.0,1.94,3.4,3.87,2.43,3.75,3.9,14.0,1.58,2.0,3.6,3.2,3.2,3.32,2.0,Karabukspor,Trabzonspor,Karabukspor_Trabzonspor_2012
4,2.76,3.3,1.79,3.2,2.7,2.4,2.6,2.9,3.2,2.51,2.45,2.4,3.2,3.2,2.62,3.28,2.8,3.2,2.45,3.25,2.76,2.7,28.0,2.9,0.0,1.97,2.7,1.98,2.45,1.99,2.5,35.0,2.8,2.4,2.09,3.12,2.76,1.91,2.75,2.8,17.0,1.94,2.62,2.6,3.1,3.2,3.2,1.85,Buyuksehyr,Besiktas,Buyuksehyr_Besiktas_2012
5,2.9,3.3,1.75,3.2,2.4,2.62,2.75,2.7,3.2,2.74,2.7,2.88,3.2,3.2,2.4,3.3,2.62,3.2,2.7,3.2,2.81,2.49,29.0,2.5,0.0,2.04,2.45,1.92,2.7,2.05,2.6,36.0,2.5,2.7,2.16,3.2,2.7,1.97,2.5,2.5,17.0,1.87,2.8,2.5,3.1,3.2,3.17,1.82,Kayserispor,Bursaspor,Kayserispor_Bursaspor_2012
6,3.15,3.2,1.62,3.0,2.4,2.75,2.88,2.56,3.1,2.87,2.8,2.9,3.13,3.0,2.38,3.2,2.5,3.1,2.75,3.1,3.05,2.45,23.0,2.5,0.0,2.17,2.5,1.81,2.75,2.22,2.88,35.0,2.55,2.7,2.4,3.12,2.56,2.1,2.5,2.55,17.0,1.77,3.0,2.38,3.1,3.0,3.09,1.7,Mersin Idman Yurdu,Orduspor,Mersin Idman Yurdu_Orduspor_2012
7,9.05,4.95,1.94,4.2,1.32,,8.0,1.41,4.25,8.17,7.5,8.5,4.33,4.0,,4.62,1.4,4.25,7.75,4.33,8.69,1.37,28.0,1.4,-1.0,2.37,1.4,1.7,7.75,1.85,7.5,34.0,1.4,8.3,1.91,4.5,1.43,2.29,1.4,1.4,14.0,1.65,8.5,1.4,4.4,,4.38,2.04,Galatasaray,Kasimpasa,Galatasaray_Kasimpasa_2012
8,4.33,3.63,1.8,3.25,1.9,,4.0,2.0,3.4,3.9,3.75,4.33,3.4,3.25,,3.63,1.92,3.4,3.8,3.4,4.21,1.91,28.0,1.85,-0.25,2.33,1.95,1.7,3.8,1.99,3.75,34.0,1.91,3.5,2.11,3.4,1.93,2.28,1.91,1.91,15.0,1.66,4.2,1.91,3.3,,3.33,1.87,Genclerbirligi,Antalyaspor,Genclerbirligi_Antalyaspor_2012
9,3.53,3.52,1.91,3.25,2.2,3.0,3.2,2.25,3.3,3.22,3.1,3.25,3.25,3.25,2.1,3.52,2.1,3.3,3.2,3.25,3.39,2.16,27.0,2.2,-0.25,1.99,2.05,1.94,3.2,1.88,3.0,35.0,2.15,3.0,1.98,3.3,2.24,1.95,2.2,2.15,18.0,1.91,3.12,2.2,3.1,3.2,3.27,2.01,Kasimpasa,Karabukspor,Kasimpasa_Karabukspor_2012
