,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,PSD,LBH,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,SJH,BbAH,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,3.92,3.52,1.8,3.3,2.0,,3.5,2.06,3.4,3.59,3.5,3.75,3.4,3.52,,2.0,3.4,3.92,2.0,27.0,2.0,,,2.0,,3.5,1.98,30.0,2.0,3.3,2.05,3.5,2.06,,2.0,,,3.7,3.2,,3.34,1.9,Antalyaspor,Erciyesspor,Antalyaspor_Erciyesspor_2013
1,2.88,3.41,1.81,3.25,2.5,2.8,2.8,2.62,3.25,2.74,2.5,2.75,3.2,3.41,2.4,2.45,3.3,2.88,2.49,27.0,2.5,,,2.62,,2.75,1.97,30.0,2.45,2.6,2.05,3.3,2.57,,2.5,,,2.75,3.1,3.1,3.21,1.92,Karabukspor,Kasimpasa,Karabukspor_Kasimpasa_2013
2,1.75,4.0,2.03,3.6,4.2,1.67,1.67,5.25,3.75,1.67,1.7,1.67,3.75,3.88,4.8,4.6,3.75,1.74,4.86,27.0,5.0,,,4.4,,1.67,1.76,30.0,4.6,1.75,1.84,3.8,5.06,,5.0,,,1.67,3.3,3.5,3.63,2.11,Konyaspor,Fenerbahce,Konyaspor_Fenerbahce_2013
3,3.1,3.41,1.82,3.2,2.3,2.75,2.88,2.5,3.5,2.86,2.7,3.1,3.3,3.41,2.4,2.3,3.3,3.03,2.38,27.0,2.3,,,2.45,,2.65,1.96,30.0,2.4,2.75,2.05,3.3,2.46,,2.38,,,2.88,3.2,3.1,3.22,1.91,Rizespor,Genclerbirligi,Rizespor_Genclerbirligi_2013
4,3.5,3.36,1.73,3.1,2.2,3.2,3.25,2.25,3.3,3.24,3.2,3.3,3.3,3.36,2.1,2.15,3.3,3.5,2.18,24.0,2.2,,,2.2,,3.1,2.08,29.0,2.2,3.0,2.18,3.25,2.24,,2.2,,,3.25,3.1,3.2,3.2,1.8,Akhisar Belediyespor,Elazigspor,Akhisar Belediyespor_Elazigspor_2013
5,3.66,3.46,1.74,3.25,2.0,3.4,3.5,2.14,3.25,3.49,3.4,3.6,3.3,3.46,2.0,2.05,3.4,3.66,2.05,24.0,2.05,,,2.05,,3.5,2.06,29.0,2.05,3.3,2.19,3.3,2.14,,2.05,,,3.4,3.2,3.2,3.26,1.86,Besiktas,Trabzonspor,Besiktas_Trabzonspor_2013
6,3.13,3.4,1.78,3.2,2.3,2.9,3.0,2.45,3.2,2.93,2.8,3.0,3.3,3.4,2.3,2.3,3.25,3.13,2.34,24.0,2.38,,,2.38,,2.9,2.02,29.0,2.35,2.75,2.12,3.25,2.41,,2.3,,,2.9,3.2,3.1,3.21,1.86,Eskisehirspor,Bursaspor,Eskisehirspor_Bursaspor_2013
7,14.0,6.0,2.21,5.0,1.3,11.0,12.0,1.3,5.75,10.79,9.0,12.0,5.25,5.96,1.25,1.22,5.5,13.7,1.25,17.0,1.25,,,1.29,,9.5,1.62,29.0,1.25,8.5,1.7,5.5,1.27,,1.25,,,11.5,4.4,5.25,5.36,2.32,Galatasaray,Gaziantepspor,Galatasaray_Gaziantepspor_2013
8,3.95,3.46,1.78,3.2,2.0,3.6,3.6,2.1,3.25,3.62,3.6,3.6,3.3,3.46,1.95,2.0,3.3,3.88,2.01,24.0,2.05,,,2.0,,3.7,2.01,29.0,2.0,3.3,2.11,3.4,2.07,,2.0,,,3.6,3.2,3.25,3.27,1.85,Kayserispor,Sivasspor,Kayserispor_Sivasspor_2013
9,4.07,3.5,1.77,3.3,1.9,3.5,3.75,2.07,3.4,3.66,3.5,3.6,3.4,3.5,2.0,2.0,3.5,3.98,2.0,30.0,2.0,-0.5,1.85,2.0,2.08,3.5,2.03,33.0,2.0,3.6,2.12,3.5,2.03,1.83,2.0,16.0,2.03,3.8,3.2,3.2,3.31,1.85,Genclerbirligi,Akhisar Belediyespor,Genclerbirligi_Akhisar Belediyespor_2013
10,6.0,3.93,1.97,3.6,1.6,5.0,5.25,1.7,3.75,5.19,4.8,6.0,3.75,3.93,1.6,1.65,3.8,5.28,1.63,29.0,1.57,-1.0,1.79,1.65,2.28,4.75,1.81,32.0,1.67,4.8,1.87,3.9,1.7,1.71,1.62,17.0,2.16,5.25,3.6,3.7,3.63,2.1,Fenerbahce,Eskisehirspor,Fenerbahce_Eskisehirspor_2013
