,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,BbMxH,BWD,BbAvA,WHA,B365A,PSD,LBH,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,BbAH,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,2.45,3.73,1.8,3.5,3.7,1.85,4.5,3.4,1.89,1.85,1.83,3.73,4.0,4.2,3.6,1.89,3.98,47,4.2,0.5,1.91,4.0,2.05,1.83,1.96,56,4.2,1.9,2.05,3.6,4.38,1.85,25,1.95,1.83,3.3,3.5,3.51,1.88,Adanaspor,Bursaspor,Adanaspor_Bursaspor_2016
1,8.99,5.18,2.12,4.33,1.35,7.5,1.46,4.6,7.69,7.5,8.5,5.18,1.4,1.4,4.75,8.99,1.38,40,1.36,-1.25,1.99,1.4,1.96,7.75,1.68,54,1.36,7.3,1.75,4.75,1.39,1.92,28,1.9,7.5,4.5,4.75,4.69,2.25,Besiktas,Alanyaspor,Besiktas_Alanyaspor_2016
2,2.67,3.2,1.57,3.1,2.55,2.4,3.23,3.1,2.49,2.5,2.4,3.17,3.0,3.0,3.2,2.5,2.93,39,3.0,0.0,2.0,2.8,2.2,2.55,2.3,55,2.75,2.55,2.41,3.13,3.23,1.78,27,2.05,2.45,3.2,3.0,3.09,1.64,Rizespor,Konyaspor,Rizespor_Konyaspor_2016
3,3.44,3.44,1.85,3.3,2.3,3.3,2.4,3.2,3.15,2.8,3.3,3.44,2.2,2.2,3.3,3.44,2.25,44,2.2,-0.25,1.97,2.38,2.08,3.0,1.91,55,2.3,2.9,2.03,3.4,2.25,1.88,28,1.94,3.2,3.2,3.3,3.28,1.93,Trabzonspor,Kasimpasa,Trabzonspor_Kasimpasa_2016
4,2.95,3.4,1.78,3.25,2.5,2.75,2.69,3.25,2.72,2.75,2.8,3.33,2.6,2.6,3.3,2.83,2.54,43,2.45,0.0,2.07,2.45,1.91,2.75,1.98,54,2.45,2.7,2.11,3.3,2.69,1.96,27,1.85,2.7,3.2,3.2,3.24,1.88,Antalyaspor,Osmanlispor,Antalyaspor_Osmanlispor_2016
5,2.3,3.45,1.83,3.3,3.1,2.2,3.38,3.2,2.21,2.2,2.2,3.45,3.25,3.2,3.25,2.27,3.18,42,3.25,0.25,2.03,3.1,1.97,2.25,1.92,53,3.1,2.2,2.03,3.4,3.38,1.91,27,1.9,2.2,3.2,3.3,3.31,1.93,Buyuksehyr,Fenerbahce,Buyuksehyr_Fenerbahce_2016
6,4.5,3.5,1.6,3.3,2.0,4.2,2.0,3.3,4.11,3.8,4.2,3.43,1.91,1.93,3.5,4.5,1.92,40,1.85,-0.5,1.96,1.95,1.99,4.0,2.25,55,1.9,3.5,2.37,3.3,1.93,1.89,28,1.92,4.2,3.3,3.25,3.31,1.73,Genclerbirligi,Gaziantepspor,Genclerbirligi_Gaziantepspor_2016
7,4.15,3.4,1.65,3.25,2.0,3.8,2.13,3.25,3.7,3.5,3.8,3.4,2.0,2.05,3.3,4.15,2.05,41,2.0,-0.25,2.2,2.05,1.8,3.5,2.17,55,2.05,3.5,2.27,3.3,2.04,2.07,28,1.76,3.7,3.3,3.25,3.25,1.72,Kayserispor,Akhisar Belediyespor,Kayserispor_Akhisar Belediyespor_2016
8,6.0,4.2,2.04,3.8,1.55,5.25,1.68,3.8,5.35,5.0,5.5,4.19,1.62,1.62,3.75,5.64,1.6,43,1.62,-0.75,2.12,1.62,1.86,5.5,1.73,53,1.57,5.5,1.8,4.0,1.64,2.04,27,1.78,5.25,3.8,3.8,3.91,2.16,Galatasaray,Karabukspor,Galatasaray_Karabukspor_2016
9,2.55,3.42,1.83,3.3,2.55,2.3,3.31,3.2,2.29,2.25,2.3,3.38,3.1,3.0,3.3,2.34,3.09,42,3.1,0.25,2.05,3.0,1.91,2.2,1.93,52,3.2,2.55,2.0,3.4,3.31,1.97,27,1.84,2.3,3.2,3.3,3.28,1.9,Alanyaspor,Antalyaspor,Alanyaspor_Antalyaspor_2016
10,2.3,3.42,1.81,3.25,3.1,2.2,3.5,3.4,2.2,2.15,2.15,3.42,3.25,3.13,3.4,2.28,3.23,43,3.3,0.25,1.98,3.25,1.95,2.0,1.96,52,3.5,2.1,2.04,3.4,3.41,1.91,26,1.89,2.2,3.3,3.3,3.33,1.87,Konyaspor,Besiktas,Konyaspor_Besiktas_2016
11,2.51,3.42,1.9,3.3,3.0,2.4,3.2,3.4,2.37,2.2,2.5,3.41,2.88,2.8,3.2,2.5,2.95,40,2.88,0.25,2.16,3.1,1.85,2.2,1.85,51,3.0,2.2,1.94,3.4,3.01,2.06,25,1.76,2.45,3.2,3.3,3.29,2.0,Akhisar Belediyespor,Galatasaray,Akhisar Belediyespor_Galatasaray_2016
12,2.4,3.47,1.82,3.3,2.8,2.25,3.24,3.25,2.29,2.38,2.25,3.47,3.1,3.1,3.25,2.33,3.08,42,3.2,0.25,2.02,2.8,1.93,2.3,1.94,52,2.95,2.3,2.05,3.4,3.24,1.96,26,1.85,2.25,3.2,3.3,3.28,1.9,Gaziantepspor,Trabzonspor,Gaziantepspor_Trabzonspor_2016
13,5.38,3.92,1.93,3.6,1.8,5.0,1.8,3.75,4.84,4.5,5.0,3.92,1.7,1.67,3.75,5.38,1.7,39,1.67,-0.75,1.98,1.73,1.96,4.5,1.83,52,1.7,4.0,1.9,3.8,1.71,1.92,26,1.89,5.0,3.4,3.6,3.71,2.01,Kasimpasa,Adanaspor,Kasimpasa_Adanaspor_2016
