,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,BbMxH,BWD,BbAvA,WHA,B365A,PSD,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,BbAH,BbAvAHH,VCA,IWD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,1.82,4.09,2.2,4.0,4.35,4.89,3.9,1.71,1.7,1.72,3.97,4.33,4.0,1.77,4.42,30,4.5,1.0,2.34,4.0,1.69,1.65,1.64,34,4.6,1.7,1.7,4.0,4.62,2.23,18,1.64,1.73,3.85,3.85,2.29,Ankaragucu,Galatasaray,Ankaragucu_Galatasaray_2018
1,9.5,5.35,2.27,4.8,1.4,1.44,5.0,7.42,7.0,7.5,5.13,1.4,5.0,8.28,1.37,31,1.36,-1.5,1.78,1.35,2.21,7.75,1.6,36,1.33,6.9,1.66,4.8,1.38,1.72,18,2.11,7.5,4.65,4.76,2.35,Fenerbahce,Bursaspor,Fenerbahce_Bursaspor_2018
2,3.05,3.64,2.0,3.5,2.35,2.5,3.1,2.86,2.7,3.0,3.52,2.38,3.4,2.89,2.33,30,2.3,0.0,2.19,2.3,1.77,2.9,1.77,35,2.4,2.85,1.86,3.4,2.44,2.11,17,1.72,2.88,3.35,3.36,2.11,Rizespor,Kasimpasa,Rizespor_Kasimpasa_2018
3,3.3,3.77,2.06,3.7,2.15,2.3,3.4,3.08,2.9,3.2,3.77,2.2,3.25,3.17,2.18,32,2.25,-0.25,1.97,2.1,1.98,3.1,1.73,35,2.15,3.05,1.8,3.5,2.18,1.91,18,1.91,3.13,3.5,3.46,2.17,Sivasspor,Alanyaspor,Sivasspor_Alanyaspor_2018
4,8.7,5.25,2.32,4.75,1.43,1.47,5.25,6.69,6.0,6.5,4.9,1.4,5.0,7.5,1.41,31,1.4,-1.0,2.3,1.4,1.7,7.5,1.57,36,1.33,6.3,1.64,4.75,1.42,2.2,18,1.66,7.0,4.5,4.62,2.38,Besiktas,Akhisar Belediyespor,Besiktas_Akhisar Belediyespor_2018
5,4.7,3.74,2.0,3.6,1.85,1.97,3.6,4.03,3.7,4.5,3.45,1.83,3.6,4.38,1.84,30,1.8,-0.75,1.78,1.85,2.21,4.5,1.77,36,1.72,3.95,1.85,3.7,1.92,1.73,17,2.11,4.1,3.5,3.5,2.13,Buyuksehyr,Trabzonspor,Buyuksehyr_Trabzonspor_2018
6,4.0,3.63,1.82,3.4,1.95,2.1,3.4,3.72,3.5,4.0,3.49,1.95,3.3,3.98,1.96,32,1.95,-0.5,1.89,1.95,2.03,3.6,1.95,36,1.95,3.75,2.02,3.5,1.99,1.85,17,1.97,3.75,3.35,3.33,1.9,Goztep,Yeni Malatyaspor,Goztep_Yeni Malatyaspor_2018
7,4.75,3.77,1.8,3.6,,1.89,3.6,4.44,4.33,4.75,3.66,1.75,3.5,4.71,1.77,30,1.75,-0.75,1.88,1.73,2.07,4.25,1.98,34,1.75,,2.05,3.6,1.8,1.82,17,2.0,4.75,,3.51,1.88,Konyaspor,Erzurum BB,Konyaspor_Erzurum BB_2018
8,4.13,3.63,1.74,3.6,1.87,2.03,3.4,3.9,3.75,3.9,3.63,1.91,3.4,4.11,1.91,30,1.95,-0.5,1.96,1.83,1.96,4.0,2.05,35,1.87,3.95,2.16,3.4,1.92,1.91,16,1.91,4.1,3.4,3.4,1.81,Kayserispor,Antalyaspor,Kayserispor_Antalyaspor_2018
9,4.84,3.83,2.03,3.6,1.8,1.89,3.4,4.36,3.9,4.5,3.63,1.8,3.75,4.81,1.8,36,1.75,-0.75,1.85,1.8,2.09,4.1,1.76,39,1.83,4.2,1.82,3.75,1.82,1.79,18,2.04,4.2,3.5,3.57,2.11,Trabzonspor,Sivasspor,Trabzonspor_Sivasspor_2018
10,2.67,3.49,1.75,3.25,2.7,2.87,3.1,2.55,2.5,2.54,3.36,2.75,3.1,2.58,2.71,36,2.87,0.0,1.9,2.62,2.03,2.65,2.04,39,2.65,2.55,2.13,3.3,2.81,1.85,19,1.95,2.55,3.2,3.21,1.84,Antalyaspor,Konyaspor,Antalyaspor_Konyaspor_2018
11,3.1,3.38,1.68,3.1,2.5,2.61,3.2,2.89,2.8,2.87,3.1,2.45,3.2,3.0,2.46,36,2.5,0.0,2.2,2.45,1.83,3.0,2.14,39,2.3,2.85,2.22,3.25,2.6,2.06,19,1.77,2.88,3.05,3.1,1.77,Bursaspor,Kayserispor,Bursaspor_Kayserispor_2018
12,1.92,3.7,1.85,3.5,4.2,5.0,3.4,1.8,1.8,1.72,3.53,4.33,3.5,1.85,4.4,36,5.0,0.75,2.14,4.0,1.82,1.8,1.93,39,4.4,1.8,2.0,3.6,4.61,2.06,18,1.77,1.8,3.5,3.46,1.94,Yeni Malatyaspor,Fenerbahce,Yeni Malatyaspor_Fenerbahce_2018
13,3.75,3.49,1.73,3.25,2.1,2.29,3.0,3.4,3.25,3.75,3.3,2.1,3.1,3.61,2.13,34,2.1,-0.25,2.06,2.1,1.89,3.7,2.06,38,2.1,3.45,2.19,3.3,2.17,1.98,18,1.83,3.5,3.2,3.22,1.82,Akhisar Belediyespor,Rizespor,Akhisar Belediyespor_Rizespor_2018
14,3.8,3.78,2.22,3.6,2.0,2.18,3.25,3.31,3.2,3.8,3.7,2.05,3.3,3.43,2.05,32,2.0,-0.25,2.09,2.0,1.85,3.5,1.63,38,2.05,3.3,1.69,3.6,2.1,2.02,18,1.8,3.4,3.55,3.53,2.29,Alanyaspor,Ankaragucu,Alanyaspor_Ankaragucu_2018
15,1.65,4.3,2.05,,5.2,6.0,3.75,1.58,,1.57,4.13,5.75,3.8,1.61,5.34,34,6.0,1.0,2.06,,1.86,1.57,1.74,38,5.75,1.57,1.8,4.0,5.68,2.01,20,1.8,1.57,3.95,3.91,2.17,Erzurum BB,Besiktas,Erzurum BB_Besiktas_2018
16,13.95,7.21,2.67,6.5,1.22,1.26,5.25,11.44,11.0,12.0,6.79,1.22,5.5,13.95,1.21,32,1.25,-1.75,2.05,1.18,1.9,11.5,1.44,38,1.25,10.5,1.5,6.25,1.22,1.98,18,1.83,12.0,6.0,6.2,2.85,Galatasaray,Goztep,Galatasaray_Goztep_2018
17,1.89,3.9,2.05,3.7,4.1,4.46,3.4,1.78,1.75,1.8,3.81,4.3,3.75,1.82,4.15,34,4.2,0.75,2.09,4.0,1.86,1.83,1.73,38,4.25,1.77,1.82,3.7,4.38,2.02,18,1.79,1.8,3.65,3.67,2.12,Kasimpasa,Buyuksehyr,Kasimpasa_Buyuksehyr_2018
18,5.75,4.29,2.25,,1.67,1.76,3.75,4.62,,5.75,4.18,1.67,3.6,5.04,1.67,29,1.64,-1.0,1.72,,2.28,5.0,1.62,35,1.62,4.45,1.71,4.0,1.68,1.69,19,2.17,4.75,3.9,3.94,2.39,Rizespor,Erzurum BB,Rizespor_Erzurum BB_2018
19,2.34,3.64,2.09,3.5,3.0,3.4,3.2,2.2,2.2,2.14,3.52,3.0,3.25,2.26,3.11,33,3.4,0.25,2.02,2.88,1.95,2.2,1.71,37,3.2,2.2,1.78,3.4,3.18,1.94,18,1.87,2.3,3.4,3.41,2.2,Ankaragucu,Trabzonspor,Ankaragucu_Trabzonspor_2018
20,1.92,3.67,1.99,3.4,4.25,5.14,3.5,1.8,1.83,1.75,3.53,4.3,3.5,1.83,4.41,34,4.75,0.75,2.09,4.0,1.84,1.7,1.78,37,4.75,1.77,1.85,3.5,4.73,2.03,17,1.79,1.85,3.55,3.48,2.07,Goztep,Fenerbahce,Goztep_Fenerbahce_2018
21,4.0,3.4,1.63,3.2,2.05,2.2,3.1,3.69,3.6,4.0,3.26,2.05,3.1,3.84,2.06,30,2.04,-0.5,1.85,2.0,2.12,3.6,2.23,35,2.1,3.7,2.31,3.2,2.12,1.78,17,2.05,3.9,3.15,3.19,1.69,Kayserispor,Yeni Malatyaspor,Kayserispor_Yeni Malatyaspor_2018
22,15.55,7.03,2.65,6.0,1.2,1.27,6.0,11.84,11.0,13.0,6.72,1.22,6.5,15.55,1.21,31,1.2,-2.0,1.85,1.2,2.23,11.0,1.44,37,1.22,12.5,1.5,6.5,1.21,1.73,18,2.11,12.0,6.0,6.17,2.75,Besiktas,Antalyaspor,Besiktas_Antalyaspor_2018
23,4.75,3.83,1.79,3.7,1.8,1.95,3.25,4.13,4.0,4.75,3.79,1.83,3.4,4.24,1.84,34,1.8,-0.5,2.05,1.75,1.88,4.2,1.99,37,1.87,4.2,2.05,3.5,1.84,1.99,17,1.84,4.3,3.5,3.51,1.87,Konyaspor,Bursaspor,Konyaspor_Bursaspor_2018
24,4.0,3.79,2.25,3.7,1.97,2.11,3.25,3.49,3.25,4.0,3.77,2.0,3.3,3.58,1.98,32,1.95,-0.5,1.89,1.95,2.04,3.5,1.61,37,2.05,3.4,1.67,3.5,2.02,1.83,17,1.99,3.6,3.6,3.55,2.33,Sivasspor,Kasimpasa,Sivasspor_Kasimpasa_2018
25,9.17,4.79,2.2,4.33,1.45,1.47,4.4,7.17,6.0,6.5,4.53,1.44,4.5,9.17,1.41,31,1.44,-1.25,1.92,1.44,2.02,8.25,1.63,37,1.36,7.0,1.69,4.5,1.41,1.86,18,1.95,7.0,4.0,4.38,2.29,Buyuksehyr,Akhisar Belediyespor,Buyuksehyr_Akhisar Belediyespor_2018
26,14.0,6.57,2.81,5.8,1.27,1.3,5.75,10.3,8.5,11.0,6.03,1.25,5.75,13.28,1.25,30,1.25,-1.75,1.94,1.25,2.03,12.0,1.4,36,1.22,8.9,1.45,6.0,1.25,1.86,18,1.95,10.5,5.6,5.82,3.0,Galatasaray,Alanyaspor,Galatasaray_Alanyaspor_2018
27,3.5,3.33,1.64,3.25,2.2,2.39,3.1,3.3,3.25,3.5,3.2,2.25,3.2,3.44,2.25,33,2.2,-0.25,1.95,2.25,1.99,3.2,2.2,38,2.25,3.25,2.29,3.2,2.32,1.9,21,1.92,3.3,3.1,3.14,1.72,Yeni Malatyaspor,Konyaspor,Yeni Malatyaspor_Konyaspor_2018
28,3.65,3.74,2.1,3.6,2.0,2.2,3.4,3.41,3.4,3.6,3.61,2.1,3.5,3.53,2.05,40,2.0,-0.25,2.11,2.05,1.86,3.4,1.73,45,2.05,3.35,1.79,3.5,2.08,2.05,26,1.8,3.4,3.5,3.52,2.22,Akhisar Belediyespor,Sivasspor,Akhisar Belediyespor_Sivasspor_2018
