,WHD,IWH,MaxAHH,Avg>2.5,AvgA,BWD,Max<2.5,B365A,PSD,WHA,Max>2.5,VCH,AHh,B365D,PSA,P<2.5,B365<2.5,B365H,MaxAHA,AvgD,AvgAHA,WHH,BWA,PAHA,BWH,B365>2.5,IWA,MaxD,VCD,PSH,P>2.5,MaxA,PAHH,AvgH,B365AHH,B365AHA,Avg<2.5,MaxH,VCA,IWD,AvgAHH,HomeTeam,AwayTeam,idGame
0,3.7,4.15,1.91,1.74,1.77,3.8,2.17,1.75,3.99,1.83,1.8,4.4,0.75,3.75,1.8,2.16,2.07,4.5,2.05,3.75,2.02,4.0,1.75,2.04,4.25,1.72,1.75,3.99,3.8,4.34,1.75,1.85,1.85,4.25,1.83,2.02,2.09,4.58,1.75,3.7,1.84,Denizlispor,Galatasaray,Denizlispor_Galatasaray_2019
1,3.4,2.0,1.84,2.05,3.51,3.3,1.84,3.5,3.53,3.5,2.13,2.05,-0.25,3.3,3.7,1.84,1.75,2.1,2.13,3.36,2.07,2.05,3.4,2.12,2.1,2.05,3.55,3.58,3.4,2.08,2.04,3.75,1.79,2.06,1.8,2.05,1.76,2.13,3.6,3.25,1.79,Genclerbirligi,Rizespor,Genclerbirligi_Rizespor_2019
2,3.4,2.35,2.12,2.02,2.91,3.2,1.86,3.0,3.52,2.88,2.09,2.4,-0.25,3.2,2.93,1.85,1.75,2.4,1.84,3.3,1.79,2.35,3.0,1.79,2.35,2.05,2.9,3.52,3.3,2.44,2.03,3.02,2.11,2.38,2.05,1.8,1.79,2.46,2.9,3.2,2.07,Kayserispor,Alanyaspor,Kayserispor_Alanyaspor_2019
3,3.5,2.7,2.12,1.74,2.4,3.4,2.16,2.4,3.6,2.38,1.78,2.75,0.0,3.5,2.47,2.14,2.07,2.75,1.85,3.46,1.8,2.75,2.4,1.81,2.8,1.72,2.4,3.7,3.5,2.84,1.76,2.48,2.09,2.76,2.05,1.8,2.08,2.85,2.45,3.4,2.07,Sivasspor,Besiktas,Sivasspor_Besiktas_2019
4,3.5,1.73,2.06,2.1,4.78,3.5,1.78,5.0,3.59,4.8,2.2,1.73,-0.75,3.5,5.21,1.77,1.7,1.72,1.91,3.51,1.85,1.73,4.75,1.86,1.75,2.1,4.7,3.7,3.6,1.76,2.12,5.21,2.04,1.75,2.0,1.85,1.72,1.85,5.0,3.45,2.0,Konyaspor,Ankaragucu,Konyaspor_Ankaragucu_2019
5,3.6,1.8,1.9,1.78,3.98,3.6,2.12,4.0,3.84,4.0,1.83,1.83,-0.5,3.6,4.23,2.07,2.0,1.85,2.06,3.65,2.0,1.83,3.9,2.04,1.85,1.8,3.95,3.84,3.7,1.85,1.81,4.23,1.85,1.84,1.85,2.0,2.03,1.94,4.1,3.6,1.85,Goztep,Antalyaspor,Goztep_Antalyaspor_2019
6,3.7,3.1,2.04,1.57,2.11,3.6,2.48,2.1,3.82,2.1,1.61,3.13,0.25,3.5,2.14,2.46,2.35,3.3,1.9,3.65,1.86,3.1,2.15,1.87,3.1,1.57,2.05,3.92,3.75,3.28,1.58,2.16,2.03,3.15,2.0,1.85,2.36,3.3,2.1,3.6,2.0,Kasimpasa,Trabzonspor,Kasimpasa_Trabzonspor_2019
7,3.3,3.4,2.03,2.11,2.15,3.3,1.78,2.1,3.41,2.1,2.21,3.4,0.25,3.25,2.17,1.77,1.72,3.5,1.91,3.29,1.86,3.4,2.15,1.87,3.3,2.07,2.1,3.5,3.3,3.55,2.13,2.21,2.03,3.35,2.0,1.85,1.72,3.55,2.15,3.2,1.99,Yeni Malatyaspor,Buyuksehyr,Yeni Malatyaspor_Buyuksehyr_2019
8,4.33,1.45,2.08,1.63,6.6,4.4,2.31,7.5,4.62,7.0,1.68,1.45,-1.25,4.2,7.42,2.29,2.25,1.44,1.87,4.43,1.82,1.44,6.75,1.83,1.44,1.61,6.1,4.7,4.6,1.45,1.67,7.5,2.08,1.45,2.05,1.8,2.23,1.51,6.5,4.35,2.03,Fenerbahce,Gaziantep,Fenerbahce_Gaziantep_2019
9,4.33,1.47,1.87,1.75,6.37,4.1,2.14,7.5,4.38,6.5,1.81,1.45,-1.0,4.2,6.67,2.12,2.05,1.44,2.12,4.26,2.04,1.47,6.25,2.03,1.5,1.75,6.1,4.54,4.4,1.51,1.78,7.5,1.87,1.48,1.8,2.05,2.06,1.52,7.0,4.2,1.81,Besiktas,Goztep,Besiktas_Goztep_2019
