,HTHG,Div,AwayTeam,FTR,HTAG,Date,HTR,HomeTeam,FTHG,FTAG,idGame
0,0.0,T1,Besiktas,A,0.0,2010-08-14,D,Bucaspor,0,1,Bucaspor_Besiktas_2010
1,0.0,T1,Genclerbirligi,D,0.0,2010-08-14,D,Eskisehirspor,0,0,Eskisehirspor_Genclerbirligi_2010
2,0.0,T1,Kasimpasa,D,0.0,2010-08-14,D,Gaziantepspor,0,0,Gaziantepspor_Kasimpasa_2010
3,1.0,T1,Galatasaray,H,1.0,2010-08-14,D,Sivasspor,2,1,Sivasspor_Galatasaray_2010
4,0.0,T1,Trabzonspor,A,0.0,2010-08-15,D,Ankaragucu,0,2,Ankaragucu_Trabzonspor_2010
5,4.0,T1,Antalyaspor,H,0.0,2010-08-15,H,Fenerbahce,4,0,Fenerbahce_Antalyaspor_2010
6,0.0,T1,Manisaspor,H,0.0,2010-08-15,D,Karabukspor,2,1,Karabukspor_Manisaspor_2010
7,1.0,T1,Konyaspor,H,0.0,2010-08-16,H,Bursaspor,1,0,Bursaspor_Konyaspor_2010
8,0.0,T1,Kayserispor,A,0.0,2010-08-16,D,Buyuksehyr,0,2,Buyuksehyr_Kayserispor_2010
9,1.0,T1,Karabukspor,H,0.0,2010-08-20,H,Kayserispor,1,0,Kayserispor_Karabukspor_2010
10,1.0,T1,Eskisehirspor,H,0.0,2010-08-20,H,Konyaspor,2,1,Konyaspor_Eskisehirspor_2010
11,1.0,T1,Sivasspor,D,1.0,2010-08-21,D,Antalyaspor,1,1,Antalyaspor_Sivasspor_2010
12,0.0,T1,Buyuksehyr,A,0.0,2010-08-21,D,Besiktas,0,2,Besiktas_Buyuksehyr_2010
13,0.0,T1,Bursaspor,A,1.0,2010-08-22,A,Galatasaray,0,2,Galatasaray_Bursaspor_2010
14,0.0,T1,Gaziantepspor,D,0.0,2010-08-22,D,Genclerbirligi,0,0,Genclerbirligi_Gaziantepspor_2010
15,0.0,T1,Ankaragucu,A,1.0,2010-08-22,A,Manisaspor,0,3,Manisaspor_Ankaragucu_2010
16,0.0,T1,Bucaspor,D,0.0,2010-08-23,D,Kasimpasa,0,0,Kasimpasa_Bucaspor_2010
17,3.0,T1,Fenerbahce,H,2.0,2010-08-23,H,Trabzonspor,3,2,Trabzonspor_Fenerbahce_2010
18,0.0,T1,Kayserispor,D,1.0,2010-08-27,A,Ankaragucu,1,1,Ankaragucu_Kayserispor_2010
19,1.0,T1,Konyaspor,D,1.0,2010-08-27,D,Gaziantepspor,2,2,Gaziantepspor_Konyaspor_2010
20,1.0,T1,Genclerbirligi,H,0.0,2010-08-28,H,Bucaspor,3,1,Bucaspor_Genclerbirligi_2010
21,1.0,T1,Kasimpasa,H,0.0,2010-08-28,H,Buyuksehyr,3,1,Buyuksehyr_Kasimpasa_2010
