,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,1,Bursaspor,15,1,0,0,1,0,0,1,9,H,4,2017-08-11,Buyuksehyr,T1,1,3,0,5,H,3,Buyuksehyr_Bursaspor_2017
1,3,Sivasspor,17,1,0,0,0,0,0,2,15,H,5,2017-08-12,Akhisar Belediyespor,T1,1,3,3,9,D,4,Akhisar Belediyespor_Sivasspor_2017
2,2,Kasimpasa,12,1,0,3,1,0,2,4,23,A,7,2017-08-12,Alanyaspor,T1,3,7,5,16,A,3,Alanyaspor_Kasimpasa_2017
3,2,Karabukspor,20,1,0,1,1,0,1,3,19,D,6,2017-08-12,Genclerbirligi,T1,1,3,4,6,D,1,Genclerbirligi_Karabukspor_2017
4,4,Fenerbahce,20,2,0,2,1,0,1,1,12,D,8,2017-08-12,Goztep,T1,5,4,0,6,D,4,Goztep_Fenerbahce_2017
5,3,Antalyaspor,23,2,0,0,1,0,0,4,16,H,6,2017-08-13,Besiktas,T1,2,5,3,9,H,3,Besiktas_Antalyaspor_2017
6,4,Konyaspor,20,2,0,1,1,0,1,2,20,H,11,2017-08-13,Trabzonspor,T1,4,6,1,9,D,6,Trabzonspor_Konyaspor_2017
7,1,Osmanlispor,14,3,1,1,1,0,0,3,13,H,9,2017-08-13,Yeni Malatyaspor,T1,5,6,3,10,H,5,Yeni Malatyaspor_Osmanlispor_2017
8,2,Kayserispor,14,4,1,1,3,0,1,4,18,H,6,2017-08-14,Galatasaray,T1,2,8,2,13,H,2,Galatasaray_Kayserispor_2017
9,4,Besiktas,14,2,0,2,1,0,2,2,20,D,11,2017-08-18,Kasimpasa,T1,5,4,4,7,A,4,Kasimpasa_Besiktas_2017
10,2,Alanyaspor,16,3,0,2,2,0,0,2,15,H,11,2017-08-19,Bursaspor,T1,6,6,1,11,H,2,Bursaspor_Alanyaspor_2017
11,2,Buyuksehyr,14,3,0,1,2,0,1,1,8,H,4,2017-08-19,Karabukspor,T1,2,3,5,8,H,1,Karabukspor_Buyuksehyr_2017
12,2,Galatasaray,16,1,0,3,0,0,2,2,17,A,8,2017-08-19,Osmanlispor,T1,6,4,4,7,A,5,Osmanlispor_Galatasaray_2017
13,3,Yeni Malatyaspor,19,2,0,0,1,0,0,2,16,H,8,2017-08-19,Sivasspor,T1,2,2,4,8,H,7,Sivasspor_Yeni Malatyaspor_2017
14,3,Akhisar Belediyespor,15,2,0,2,1,0,1,2,10,D,10,2017-08-20,Antalyaspor,T1,4,3,3,7,D,4,Antalyaspor_Akhisar Belediyespor_2017
15,2,Trabzonspor,17,2,0,2,1,0,1,4,28,D,5,2017-08-20,Fenerbahce,T1,3,3,4,8,D,9,Fenerbahce_Trabzonspor_2017
16,3,Goztep,15,1,0,0,1,0,0,1,19,H,8,2017-08-20,Kayserispor,T1,4,2,3,6,H,5,Kayserispor_Goztep_2017
17,1,Genclerbirligi,14,3,0,0,2,0,0,1,15,H,6,2017-08-21,Konyaspor,T1,3,6,1,9,H,2,Konyaspor_Genclerbirligi_2017
18,1,Karabukspor,9,1,0,1,0,0,1,5,27,D,12,2017-08-25,Alanyaspor,T1,6,3,9,6,A,2,Alanyaspor_Karabukspor_2017
19,3,Sivasspor,20,3,0,0,1,0,0,0,11,H,6,2017-08-25,Galatasaray,T1,2,6,6,9,H,5,Galatasaray_Sivasspor_2017
20,2,Bursaspor,17,2,0,1,1,0,1,3,12,H,3,2017-08-26,Besiktas,T1,2,7,8,11,D,4,Besiktas_Bursaspor_2017
21,2,Trabzonspor,18,3,0,2,2,0,2,4,18,H,10,2017-08-26,Goztep,T1,2,9,3,15,D,4,Goztep_Trabzonspor_2017
22,5,Osmanlispor,13,2,1,2,1,1,1,1,9,D,13,2017-08-26,Kayserispor,T1,4,4,6,8,D,3,Kayserispor_Osmanlispor_2017
23,3,Antalyaspor,13,1,0,1,0,0,1,2,18,D,8,2017-08-26,Yeni Malatyaspor,T1,5,5,10,9,A,1,Yeni Malatyaspor_Antalyaspor_2017
24,3,Kasimpasa,8,2,0,1,0,1,0,3,14,H,9,2017-08-27,Akhisar Belediyespor,T1,3,5,4,10,D,3,Akhisar Belediyespor_Kasimpasa_2017
