,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,18:00:00,1,Fenerbahce,11,0,1,2,0,0,0,2,12,A,17,2020-09-11,Rizespor,T1,8,3,3,9,D,11,Rizespor_Fenerbahce_2020
1,15:00:00,4,Yeni Malatyaspor,19,0,3,0,1,0,0,3,10,H,20,2020-09-12,Karagumruk,T1,7,6,8,7,H,6,Karagumruk_Yeni Malatyaspor_2020
2,15:00:00,4,Alanyaspor,14,0,0,2,0,0,1,2,11,A,12,2020-09-12,Sivasspor,T1,6,4,7,10,A,6,Sivasspor_Alanyaspor_2020
3,18:00:00,2,Gaziantep,13,0,3,1,3,0,0,3,12,H,9,2020-09-12,Galatasaray,T1,2,12,8,23,H,6,Galatasaray_Gaziantep_2020
4,18:00:00,0,Denizlispor,15,0,5,1,3,0,0,3,13,H,8,2020-09-12,Goztep,T1,1,6,4,10,H,6,Goztep_Denizlispor_2020
5,15:00:00,3,Erzurum BB,16,0,1,2,0,0,0,0,12,A,12,2020-09-13,Ankaragucu,T1,4,5,6,8,D,3,Ankaragucu_Erzurum BB_2020
6,15:00:00,3,Kasimpasa,12,0,1,0,1,0,0,2,16,H,12,2020-09-13,Kayserispor,T1,3,2,1,6,H,6,Kayserispor_Kasimpasa_2020
7,18:00:00,1,Genclerbirligi,12,0,2,0,1,0,0,1,18,H,6,2020-09-13,Antalyaspor,T1,1,5,2,9,H,3,Antalyaspor_Genclerbirligi_2020
8,18:00:00,3,Besiktas,7,0,1,3,0,1,1,2,17,A,12,2020-09-13,Trabzonspor,T1,5,4,4,8,A,3,Trabzonspor_Besiktas_2020
9,18:00:00,1,Buyuksehyr,13,0,2,0,1,0,0,2,14,H,15,2020-09-14,Hatayspor,T1,2,6,1,12,H,6,Hatayspor_Buyuksehyr_2020
10,18:00:00,0,Goztep,13,0,1,1,1,0,1,0,19,D,3,2020-09-18,Yeni Malatyaspor,T1,1,1,5,14,D,6,Yeni Malatyaspor_Goztep_2020
11,11:30:00,0,Konyaspor,10,0,0,0,0,0,0,3,13,D,10,2020-09-19,Genclerbirligi,T1,1,1,6,12,D,1,Genclerbirligi_Konyaspor_2020
12,14:00:00,3,Trabzonspor,17,0,0,0,0,1,0,0,13,D,13,2020-09-19,Denizlispor,T1,4,2,7,9,D,7,Denizlispor_Trabzonspor_2020
13,17:00:00,1,Kayserispor,10,0,2,0,1,0,0,3,12,H,10,2020-09-19,Alanyaspor,T1,1,8,5,18,H,1,Alanyaspor_Kayserispor_2020
14,17:00:00,5,Antalyaspor,18,0,1,1,1,0,0,4,26,D,8,2020-09-19,Besiktas,T1,4,3,5,12,H,3,Besiktas_Antalyaspor_2020
15,11:30:00,0,Sivasspor,14,0,1,2,0,0,0,0,9,A,9,2020-09-20,Erzurum BB,T1,3,3,2,7,D,7,Erzurum BB_Sivasspor_2020
16,14:00:00,3,Rizespor,14,0,2,0,1,1,0,1,9,H,11,2020-09-20,Kasimpasa,T1,6,7,5,16,H,8,Kasimpasa_Rizespor_2020
17,17:00:00,3,Galatasaray,16,0,0,2,0,0,1,1,15,A,12,2020-09-20,Buyuksehyr,T1,6,5,5,12,A,2,Buyuksehyr_Galatasaray_2020
18,17:00:00,2,Karagumruk,15,0,2,2,0,0,1,2,14,D,11,2020-09-20,Gaziantep,T1,4,9,7,14,A,7,Gaziantep_Karagumruk_2020
19,18:00:00,1,Hatayspor,15,2,0,0,0,0,0,6,14,D,0,2020-09-21,Fenerbahce,T1,0,4,3,12,D,1,Fenerbahce_Hatayspor_2020
20,18:00:00,2,Buyuksehyr,8,1,2,0,0,0,0,3,11,H,13,2020-09-25,Karagumruk,T1,4,3,2,5,D,2,Karagumruk_Buyuksehyr_2020
21,11:30:00,1,Erzurum BB,15,0,1,3,0,0,2,3,21,A,13,2020-09-26,Kayserispor,T1,8,2,5,12,A,5,Kayserispor_Erzurum BB_2020
22,14:00:00,3,Gaziantep,19,0,2,2,0,0,1,1,10,D,9,2020-09-26,Goztep,T1,4,4,2,13,A,4,Goztep_Gaziantep_2020
23,14:00:00,2,Kasimpasa,14,0,1,0,0,0,0,3,16,H,6,2020-09-26,Hatayspor,T1,3,3,6,11,D,3,Hatayspor_Kasimpasa_2020
24,17:00:00,1,Yeni Malatyaspor,9,0,3,1,3,0,0,2,14,H,9,2020-09-26,Trabzonspor,T1,4,4,5,10,H,5,Trabzonspor_Yeni Malatyaspor_2020
25,11:30:00,2,Alanyaspor,15,0,1,1,0,0,0,1,19,D,12,2020-09-27,Rizespor,T1,3,4,4,11,D,6,Rizespor_Alanyaspor_2020
26,14:00:00,4,Besiktas,12,0,4,1,1,0,0,4,17,H,10,2020-09-27,Konyaspor,T1,2,4,3,10,H,4,Konyaspor_Besiktas_2020
27,14:00:00,1,Ankaragucu,16,0,0,0,0,0,0,2,17,D,2,2020-09-27,Sivasspor,T1,2,3,6,13,D,2,Sivasspor_Ankaragucu_2020
28,17:00:00,7,Fenerbahce,16,0,0,0,0,0,0,4,14,D,15,2020-09-27,Galatasaray,T1,1,5,5,9,D,9,Galatasaray_Fenerbahce_2020
29,18:00:00,0,Denizlispor,21,0,1,0,0,0,0,2,11,H,5,2020-09-28,Antalyaspor,T1,2,5,7,10,D,3,Antalyaspor_Denizlispor_2020
30,18:00:00,1,Kayserispor,7,0,0,1,0,0,1,2,15,A,12,2020-10-02,Ankaragucu,T1,3,5,7,14,A,2,Ankaragucu_Kayserispor_2020
31,18:00:00,4,Trabzonspor,16,1,1,1,0,0,0,2,11,D,4,2020-10-02,Gaziantep,T1,3,2,5,10,D,6,Gaziantep_Trabzonspor_2020
32,11:30:00,4,Antalyaspor,19,0,1,0,1,0,0,2,10,H,7,2020-10-03,Yeni Malatyaspor,T1,1,4,7,14,H,3,Yeni Malatyaspor_Antalyaspor_2020
33,14:00:00,1,Goztep,11,0,0,0,0,0,0,2,12,D,2,2020-10-03,Buyuksehyr,T1,0,5,10,24,D,3,Buyuksehyr_Goztep_2020
34,14:00:00,1,Rizespor,14,0,0,0,0,0,0,3,10,D,7,2020-10-03,Erzurum BB,T1,2,5,9,11,D,3,Erzurum BB_Rizespor_2020
35,17:00:00,2,Karagumruk,15,0,2,1,1,1,0,2,10,H,13,2020-10-03,Fenerbahce,T1,3,4,3,8,H,7,Fenerbahce_Karagumruk_2020
36,11:30:00,1,Konyaspor,13,0,0,0,0,0,0,0,11,D,11,2020-10-04,Denizlispor,T1,5,2,6,6,D,6,Denizlispor_Konyaspor_2020
37,14:00:00,2,Hatayspor,14,0,6,0,4,0,0,3,12,H,4,2020-10-04,Alanyaspor,T1,0,15,6,24,H,3,Alanyaspor_Hatayspor_2020
38,14:00:00,2,Genclerbirligi,9,0,0,1,0,0,1,2,12,A,10,2020-10-04,Besiktas,T1,4,4,6,13,A,5,Besiktas_Genclerbirligi_2020
39,17:00:00,1,Galatasaray,12,0,1,0,1,0,0,1,15,H,12,2020-10-04,Kasimpasa,T1,3,8,6,12,H,7,Kasimpasa_Galatasaray_2020
40,11:30:00,0,Ankaragucu,9,1,5,3,2,0,3,4,17,H,9,2020-10-17,Rizespor,T1,4,10,2,15,A,3,Rizespor_Ankaragucu_2020
41,14:00:00,3,Sivasspor,15,0,1,3,0,1,1,3,15,A,18,2020-10-17,Kayserispor,T1,8,3,4,12,A,6,Kayserispor_Sivasspor_2020
42,14:00:00,4,Yeni Malatyaspor,15,0,1,1,0,0,0,2,14,D,9,2020-10-17,Konyaspor,T1,3,8,4,19,D,4,Konyaspor_Yeni Malatyaspor_2020
43,17:00:00,1,Buyuksehyr,10,0,0,2,0,0,1,1,13,A,17,2020-10-17,Trabzonspor,T1,6,6,4,12,A,4,Trabzonspor_Buyuksehyr_2020
44,14:00:00,5,Gaziantep,20,2,1,1,1,2,0,5,15,D,15,2020-10-18,Antalyaspor,T1,5,3,2,13,H,7,Antalyaspor_Gaziantep_2020
45,14:00:00,4,Kasimpasa,11,0,1,1,1,1,0,1,14,D,11,2020-10-18,Karagumruk,T1,5,2,4,13,H,4,Karagumruk_Kasimpasa_2020
46,17:00:00,3,Fenerbahce,10,0,2,3,1,0,2,4,21,A,19,2020-10-18,Goztep,T1,8,5,4,8,A,7,Goztep_Fenerbahce_2020
47,18:00:00,5,Alanyaspor,18,0,1,2,1,1,1,3,15,A,22,2020-10-19,Galatasaray,T1,12,5,3,7,D,10,Galatasaray_Alanyaspor_2020
48,18:00:00,1,Denizlispor,11,0,1,2,0,0,2,0,13,A,23,2020-10-19,Genclerbirligi,T1,10,2,5,7,A,4,Genclerbirligi_Denizlispor_2020
