year,team,type_rating,value_rating
2016,A. Sebatspor,static_ft_total_g>35,88
2016,A. Sebatspor,static_ft_total_g>35,88
2016,Adanaspor,static_ft_total_g>35,323
2016,Adanaspor,static_ft_total_g>35,323
2016,Akhisar Belediyespor,static_ft_total_g>35,323
2016,Akhisar Belediyespor,static_ft_total_g>35,323
2016,Alanyaspor,static_ft_total_g>35,470
2016,Alanyaspor,static_ft_total_g>35,470
2016,Ankaragucu,static_ft_total_g>35,88
2016,Ankaragucu,static_ft_total_g>35,88
2016,Ankaraspor,static_ft_total_g>35,88
2016,Ankaraspor,static_ft_total_g>35,88
2016,Antalyaspor,static_ft_total_g>35,205
2016,Antalyaspor,static_ft_total_g>35,205
2016,Balikesirspor,static_ft_total_g>35,88
2016,Balikesirspor,static_ft_total_g>35,88
2016,Besiktas,static_ft_total_g>35,411
2016,Besiktas,static_ft_total_g>35,411
2016,Bucaspor,static_ft_total_g>35,88
2016,Bucaspor,static_ft_total_g>35,88
2016,Bursaspor,static_ft_total_g>35,264
2016,Bursaspor,static_ft_total_g>35,264
2016,Buyuksehyr,static_ft_total_g>35,323
2016,Buyuksehyr,static_ft_total_g>35,323
2016,Denizlispor,static_ft_total_g>35,88
2016,Denizlispor,static_ft_total_g>35,88
2016,Diyarbakirspor,static_ft_total_g>35,88
2016,Diyarbakirspor,static_ft_total_g>35,88
2016,Elazigspor,static_ft_total_g>35,88
2016,Elazigspor,static_ft_total_g>35,88
2016,Erciyesspor,static_ft_total_g>35,88
2016,Erciyesspor,static_ft_total_g>35,88
2016,Erzurum BB,static_ft_total_g>35,88
2016,Erzurum BB,static_ft_total_g>35,88
2016,Eskisehirspor,static_ft_total_g>35,88
2016,Eskisehirspor,static_ft_total_g>35,88
2016,Fenerbahce,static_ft_total_g>35,323
2016,Fenerbahce,static_ft_total_g>35,323
2016,Galatasaray,static_ft_total_g>35,441
2016,Galatasaray,static_ft_total_g>35,441
2016,Gaziantep,static_ft_total_g>35,88
2016,Gaziantep,static_ft_total_g>35,88
2016,Gaziantepspor,static_ft_total_g>35,294
2016,Gaziantepspor,static_ft_total_g>35,294
2016,Genclerbirligi,static_ft_total_g>35,88
2016,Genclerbirligi,static_ft_total_g>35,88
2016,Goztep,static_ft_total_g>35,88
2016,Goztep,static_ft_total_g>35,88
2016,Hacettepespor,static_ft_total_g>35,88
2016,Hacettepespor,static_ft_total_g>35,88
2016,Hatayspor,static_ft_total_g>35,88
2016,Hatayspor,static_ft_total_g>35,88
2016,Istanbulspor,static_ft_total_g>35,88
2016,Istanbulspor,static_ft_total_g>35,88
2016,Karabukspor,static_ft_total_g>35,264
2016,Karabukspor,static_ft_total_g>35,264
2016,Karagumruk,static_ft_total_g>35,88
2016,Karagumruk,static_ft_total_g>35,88
2016,Kasimpasa,static_ft_total_g>35,352
2016,Kasimpasa,static_ft_total_g>35,352
2016,Kayserispor,static_ft_total_g>35,352
2016,Kayserispor,static_ft_total_g>35,352
2016,Kocaelispor,static_ft_total_g>35,88
2016,Kocaelispor,static_ft_total_g>35,88
2016,Konyaspor,static_ft_total_g>35,176
2016,Konyaspor,static_ft_total_g>35,176
2016,Malatyaspor,static_ft_total_g>35,88
2016,Malatyaspor,static_ft_total_g>35,88
2016,Manisaspor,static_ft_total_g>35,88
2016,Manisaspor,static_ft_total_g>35,88
2016,Mersin Idman Yurdu,static_ft_total_g>35,88
2016,Mersin Idman Yurdu,static_ft_total_g>35,88
2016,Oftasspor,static_ft_total_g>35,88
