year,team,type_rating,value_rating
2007,Yeni Malatyaspor,static_ft_total_g>35,131.9
2008,Yeni Malatyaspor,static_ft_total_g>35,125.9
2009,Yeni Malatyaspor,static_ft_total_g>35,134.9
2010,Yeni Malatyaspor,static_ft_total_g>35,116.4
2011,Yeni Malatyaspor,static_ft_total_g>35,139.4
2012,Yeni Malatyaspor,static_ft_total_g>35,132.9
2013,Yeni Malatyaspor,static_ft_total_g>35,150.0
2014,Yeni Malatyaspor,static_ft_total_g>35,175.8
2015,Yeni Malatyaspor,static_ft_total_g>35,167.2
2016,Yeni Malatyaspor,static_ft_total_g>35,161.5
2017,Yeni Malatyaspor,static_ft_total_g>35,129.2
2018,Yeni Malatyaspor,static_ft_total_g>35,211.3
2019,Yeni Malatyaspor,static_ft_total_g>35,231.9
2020,Yeni Malatyaspor,static_ft_total_g>35,267.3
2007,Oftasspor,static_ft_total_g>35,131.9
2008,Oftasspor,static_ft_total_g>35,125.9
2009,Oftasspor,static_ft_total_g>35,134.9
2010,Oftasspor,static_ft_total_g>35,116.4
2011,Oftasspor,static_ft_total_g>35,139.4
2012,Oftasspor,static_ft_total_g>35,132.9
2013,Oftasspor,static_ft_total_g>35,150.0
2014,Oftasspor,static_ft_total_g>35,175.8
2015,Oftasspor,static_ft_total_g>35,167.2
2016,Oftasspor,static_ft_total_g>35,161.5
2017,Oftasspor,static_ft_total_g>35,129.2
2018,Oftasspor,static_ft_total_g>35,105.7
2019,Oftasspor,static_ft_total_g>35,93.9
2020,Oftasspor,static_ft_total_g>35,123.2
2007,Gaziantep,static_ft_total_g>35,131.9
2008,Gaziantep,static_ft_total_g>35,125.9
2009,Gaziantep,static_ft_total_g>35,134.9
2010,Gaziantep,static_ft_total_g>35,116.4
2011,Gaziantep,static_ft_total_g>35,139.4
2012,Gaziantep,static_ft_total_g>35,132.9
2013,Gaziantep,static_ft_total_g>35,150.0
2014,Gaziantep,static_ft_total_g>35,175.8
2015,Gaziantep,static_ft_total_g>35,167.2
2016,Gaziantep,static_ft_total_g>35,161.5
2017,Gaziantep,static_ft_total_g>35,129.2
2018,Gaziantep,static_ft_total_g>35,105.7
2019,Gaziantep,static_ft_total_g>35,93.9
2020,Gaziantep,static_ft_total_g>35,170.4
2007,Gaziantepspor,static_ft_total_g>35,220.0
2008,Gaziantepspor,static_ft_total_g>35,187.7
2009,Gaziantepspor,static_ft_total_g>35,217.3
2010,Gaziantepspor,static_ft_total_g>35,209.9
2011,Gaziantepspor,static_ft_total_g>35,214.5
2012,Gaziantepspor,static_ft_total_g>35,222.3
2013,Gaziantepspor,static_ft_total_g>35,235.8
2014,Gaziantepspor,static_ft_total_g>35,275.9
2015,Gaziantepspor,static_ft_total_g>35,255.2
2016,Gaziantepspor,static_ft_total_g>35,258.1
2017,Gaziantepspor,static_ft_total_g>35,270.1
2018,Gaziantepspor,static_ft_total_g>35,196.7
2019,Gaziantepspor,static_ft_total_g>35,146.8
2020,Gaziantepspor,static_ft_total_g>35,143.8
2007,Hacettepespor,static_ft_total_g>35,131.9
2008,Hacettepespor,static_ft_total_g>35,125.9
2009,Hacettepespor,static_ft_total_g>35,193.7
2010,Hacettepespor,static_ft_total_g>35,160.5
2011,Hacettepespor,static_ft_total_g>35,168.8
