Date,idGame,team,Round_as_Home,Round_as_Away,Round_as_Total,Round_by_Week_Total
2010-08-14,Bucaspor_Besiktas_2010,Besiktas,1,1,1,1
2010-08-14,Eskisehirspor_Genclerbirligi_2010,Genclerbirligi,1,1,1,1
2010-08-14,Sivasspor_Galatasaray_2010,Galatasaray,1,1,1,1
2010-08-14,Bucaspor_Besiktas_2010,Bucaspor,1,1,1,1
2010-08-14,Sivasspor_Galatasaray_2010,Sivasspor,1,1,1,1
2010-08-14,Eskisehirspor_Genclerbirligi_2010,Eskisehirspor,1,1,1,1
2010-08-14,Gaziantepspor_Kasimpasa_2010,Gaziantepspor,1,1,1,1
2010-08-14,Gaziantepspor_Kasimpasa_2010,Kasimpasa,1,1,1,1
2010-08-15,Karabukspor_Manisaspor_2010,Manisaspor,1,1,1,1
2010-08-15,Fenerbahce_Antalyaspor_2010,Fenerbahce,1,1,1,1
2010-08-15,Fenerbahce_Antalyaspor_2010,Antalyaspor,1,1,1,1
2010-08-15,Ankaragucu_Trabzonspor_2010,Ankaragucu,1,1,1,1
2010-08-15,Karabukspor_Manisaspor_2010,Karabukspor,1,1,1,1
2010-08-15,Ankaragucu_Trabzonspor_2010,Trabzonspor,1,1,1,1
2010-08-16,Buyuksehyr_Kayserispor_2010,Buyuksehyr,1,1,1,1
2010-08-16,Buyuksehyr_Kayserispor_2010,Kayserispor,1,1,1,1
2010-08-16,Bursaspor_Konyaspor_2010,Konyaspor,1,1,1,1
2010-08-16,Bursaspor_Konyaspor_2010,Bursaspor,1,1,1,1
2010-08-20,Konyaspor_Eskisehirspor_2010,Konyaspor,1,1,2,2
2010-08-20,Kayserispor_Karabukspor_2010,Kayserispor,1,1,2,2
2010-08-20,Konyaspor_Eskisehirspor_2010,Eskisehirspor,1,1,2,2
2010-08-20,Kayserispor_Karabukspor_2010,Karabukspor,1,1,2,2
2010-08-21,Besiktas_Buyuksehyr_2010,Buyuksehyr,1,1,2,2
2010-08-21,Antalyaspor_Sivasspor_2010,Sivasspor,1,1,2,2
2010-08-21,Antalyaspor_Sivasspor_2010,Antalyaspor,1,1,2,2
2010-08-21,Besiktas_Buyuksehyr_2010,Besiktas,1,1,2,2
2010-08-22,Galatasaray_Bursaspor_2010,Bursaspor,1,1,2,2
2010-08-22,Genclerbirligi_Gaziantepspor_2010,Gaziantepspor,1,1,2,2
2010-08-22,Manisaspor_Ankaragucu_2010,Manisaspor,1,1,2,2
2010-08-22,Genclerbirligi_Gaziantepspor_2010,Genclerbirligi,1,1,2,2
2010-08-22,Manisaspor_Ankaragucu_2010,Ankaragucu,1,1,2,2
2010-08-22,Galatasaray_Bursaspor_2010,Galatasaray,1,1,2,2
2010-08-23,Trabzonspor_Fenerbahce_2010,Fenerbahce,1,1,2,2
2010-08-23,Kasimpasa_Bucaspor_2010,Bucaspor,1,1,2,2
2010-08-23,Kasimpasa_Bucaspor_2010,Kasimpasa,1,1,2,2
2010-08-23,Trabzonspor_Fenerbahce_2010,Trabzonspor,1,1,2,2
2010-08-27,Ankaragucu_Kayserispor_2010,Kayserispor,1,2,3,3
2010-08-27,Ankaragucu_Kayserispor_2010,Ankaragucu,2,1,3,3
2010-08-27,Gaziantepspor_Konyaspor_2010,Konyaspor,1,2,3,3
2010-08-27,Gaziantepspor_Konyaspor_2010,Gaziantepspor,2,1,3,3
2010-08-28,Sivasspor_Bursaspor_2010,Bursaspor,1,2,3,3
2010-08-28,Sivasspor_Bursaspor_2010,Sivasspor,2,1,3,3
2010-08-28,Bucaspor_Genclerbirligi_2010,Bucaspor,2,1,3,3
2010-08-28,Buyuksehyr_Kasimpasa_2010,Buyuksehyr,2,1,3,3
2010-08-28,Bucaspor_Genclerbirligi_2010,Genclerbirligi,1,2,3,3
2010-08-28,Buyuksehyr_Kasimpasa_2010,Kasimpasa,1,2,3,3
2010-08-29,Fenerbahce_Manisaspor_2010,Fenerbahce,2,1,3,3
2010-08-29,Karabukspor_Besiktas_2010,Karabukspor,2,1,3,3
2010-08-29,Eskisehirspor_Galatasaray_2010,Eskisehirspor,2,1,3,3
2010-08-29,Karabukspor_Besiktas_2010,Besiktas,1,2,3,3
2010-08-29,Eskisehirspor_Galatasaray_2010,Galatasaray,1,2,3,3
2010-08-29,Fenerbahce_Manisaspor_2010,Manisaspor,1,2,3,3
2010-08-30,Antalyaspor_Trabzonspor_2010,Trabzonspor,1,2,3,3
2010-08-30,Antalyaspor_Trabzonspor_2010,Antalyaspor,2,1,3,3
2010-09-10,Bursaspor_Eskisehirspor_2010,Eskisehirspor,2,2,4,5
2010-09-10,Bursaspor_Eskisehirspor_2010,Bursaspor,2,2,4,5
2010-09-11,Kayserispor_Fenerbahce_2010,Kayserispor,2,2,4,5
2010-09-11,Konyaspor_Bucaspor_2010,Bucaspor,2,2,4,5
2010-09-11,Besiktas_Ankaragucu_2010,Besiktas,2,2,4,5
2010-09-11,Konyaspor_Bucaspor_2010,Konyaspor,2,2,4,5
2010-09-11,Manisaspor_Antalyaspor_2010,Manisaspor,2,2,4,5
2010-09-11,Kayserispor_Fenerbahce_2010,Fenerbahce,2,2,4,5
2010-09-11,Manisaspor_Antalyaspor_2010,Antalyaspor,2,2,4,5
2010-09-11,Besiktas_Ankaragucu_2010,Ankaragucu,2,2,4,5
2010-09-13,Trabzonspor_Sivasspor_2010,Sivasspor,2,2,4,5
2010-09-13,Galatasaray_Gaziantepspor_2010,Gaziantepspor,2,2,4,5
2010-09-13,Genclerbirligi_Buyuksehyr_2010,Buyuksehyr,2,2,4,5
2010-09-13,Kasimpasa_Karabukspor_2010,Kasimpasa,2,2,4,5
2010-09-13,Genclerbirligi_Buyuksehyr_2010,Genclerbirligi,2,2,4,5
2010-09-13,Kasimpasa_Karabukspor_2010,Karabukspor,2,2,4,5
2010-09-13,Galatasaray_Gaziantepspor_2010,Galatasaray,2,2,4,5
2010-09-13,Trabzonspor_Sivasspor_2010,Trabzonspor,2,2,4,5
2010-09-17,Trabzonspor_Manisaspor_2010,Trabzonspor,3,2,5,6
2010-09-17,Trabzonspor_Manisaspor_2010,Manisaspor,2,3,5,6
2010-09-18,Sivasspor_Eskisehirspor_2010,Eskisehirspor,2,3,5,6
2010-09-18,Sivasspor_Eskisehirspor_2010,Sivasspor,3,2,5,6
2010-09-18,Antalyaspor_Kayserispor_2010,Antalyaspor,3,2,5,6
2010-09-18,Antalyaspor_Kayserispor_2010,Kayserispor,2,3,5,6
2010-09-18,Bucaspor_Galatasaray_2010,Bucaspor,3,2,5,6
2010-09-18,Bucaspor_Galatasaray_2010,Galatasaray,2,3,5,6
2010-09-18,Ankaragucu_Kasimpasa_2010,Ankaragucu,3,2,5,6
2010-09-18,Ankaragucu_Kasimpasa_2010,Kasimpasa,2,3,5,6
2010-09-19,Karabukspor_Genclerbirligi_2010,Genclerbirligi,2,3,5,6
2010-09-19,Fenerbahce_Besiktas_2010,Fenerbahce,3,2,5,6
2010-09-19,Buyuksehyr_Konyaspor_2010,Buyuksehyr,3,2,5,6
2010-09-19,Fenerbahce_Besiktas_2010,Besiktas,2,3,5,6
2010-09-19,Buyuksehyr_Konyaspor_2010,Konyaspor,2,3,5,6
2010-09-19,Karabukspor_Genclerbirligi_2010,Karabukspor,3,2,5,6
2010-09-20,Gaziantepspor_Bursaspor_2010,Gaziantepspor,3,2,5,6
2010-09-20,Gaziantepspor_Bursaspor_2010,Bursaspor,2,3,5,6
2010-09-24,Bursaspor_Bucaspor_2010,Bucaspor,3,3,6,7
2010-09-24,Bursaspor_Bucaspor_2010,Bursaspor,3,3,6,7
2010-09-25,Eskisehirspor_Gaziantepspor_2010,Gaziantepspor,3,3,6,7
2010-09-25,Eskisehirspor_Gaziantepspor_2010,Eskisehirspor,3,3,6,7
2010-09-25,Besiktas_Antalyaspor_2010,Besiktas,3,3,6,7
2010-09-25,Genclerbirligi_Ankaragucu_2010,Ankaragucu,3,3,6,7
2010-09-25,Genclerbirligi_Ankaragucu_2010,Genclerbirligi,3,3,6,7
2010-09-25,Besiktas_Antalyaspor_2010,Antalyaspor,3,3,6,7
2010-09-26,Kayserispor_Trabzonspor_2010,Kayserispor,3,3,6,7
2010-09-26,Galatasaray_Buyuksehyr_2010,Buyuksehyr,3,3,6,7
2010-09-26,Manisaspor_Sivasspor_2010,Manisaspor,3,3,6,7
2010-09-26,Galatasaray_Buyuksehyr_2010,Galatasaray,3,3,6,7
2010-09-26,Konyaspor_Karabukspor_2010,Konyaspor,3,3,6,7
2010-09-26,Manisaspor_Sivasspor_2010,Sivasspor,3,3,6,7
2010-09-26,Konyaspor_Karabukspor_2010,Karabukspor,3,3,6,7
2010-09-26,Kayserispor_Trabzonspor_2010,Trabzonspor,3,3,6,7
2010-09-27,Kasimpasa_Fenerbahce_2010,Fenerbahce,3,3,6,7
2010-09-27,Kasimpasa_Fenerbahce_2010,Kasimpasa,3,3,6,7
2010-10-01,Karabukspor_Galatasaray_2010,Karabukspor,4,3,7,8
2010-10-01,Bucaspor_Eskisehirspor_2010,Eskisehirspor,3,4,7,8
2010-10-01,Bucaspor_Eskisehirspor_2010,Bucaspor,4,3,7,8
2010-10-01,Karabukspor_Galatasaray_2010,Galatasaray,3,4,7,8
2010-10-02,Ankaragucu_Konyaspor_2010,Konyaspor,3,4,7,8
2010-10-02,Fenerbahce_Genclerbirligi_2010,Fenerbahce,4,3,7,8
2010-10-02,Ankaragucu_Konyaspor_2010,Ankaragucu,4,3,7,8
2010-10-02,Manisaspor_Kayserispor_2010,Manisaspor,4,3,7,8
2010-10-02,Fenerbahce_Genclerbirligi_2010,Genclerbirligi,3,4,7,8
2010-10-02,Manisaspor_Kayserispor_2010,Kayserispor,3,4,7,8
2010-10-03,Trabzonspor_Besiktas_2010,Trabzonspor,4,3,7,8
2010-10-03,Antalyaspor_Kasimpasa_2010,Antalyaspor,4,3,7,8
2010-10-03,Trabzonspor_Besiktas_2010,Besiktas,3,4,7,8
2010-10-03,Buyuksehyr_Bursaspor_2010,Bursaspor,3,4,7,8
2010-10-03,Antalyaspor_Kasimpasa_2010,Kasimpasa,3,4,7,8
2010-10-03,Buyuksehyr_Bursaspor_2010,Buyuksehyr,4,3,7,8
2010-10-03,Sivasspor_Gaziantepspor_2010,Gaziantepspor,3,4,7,8
2010-10-03,Sivasspor_Gaziantepspor_2010,Sivasspor,4,3,7,8
2010-10-15,Bursaspor_Karabukspor_2010,Karabukspor,4,4,8,10
2010-10-15,Bursaspor_Karabukspor_2010,Bursaspor,4,4,8,10
