year,team,home_away_total,type_rating,points,game_id,date,Round_as_Home,Round_as_Away,Round_as_Total,Round_by_Week_Total,Rating_Initial
2019,Denizlispor,home,ft_home,3,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,199.6
2019,Denizlispor,home,ft_home_g<15,0,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,75.7
2019,Denizlispor,home,ft_home_g<25,1,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,187.8
2019,Denizlispor,home,ft_home_g<35,1,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,446.4
2019,Denizlispor,home,ft_home_g>15,1,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,546.7
2019,Denizlispor,home,ft_home_g>25,0,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,223.2
2019,Denizlispor,home,ft_home_g>35,0,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,87.5
2019,Denizlispor,total,ft_total,3,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,146.7
2019,Denizlispor,total,ft_total_g<15,0,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,93.7
2019,Denizlispor,total,ft_total_g<15,0,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,93.7
2019,Denizlispor,total,ft_total_g<25,1,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,258.2
2019,Denizlispor,total,ft_total_g<25,1,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,258.2
2019,Denizlispor,total,ft_total_g<35,1,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,531.9
2019,Denizlispor,total,ft_total_g<35,1,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,531.9
2019,Denizlispor,total,ft_total_g>15,1,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,599.3
2019,Denizlispor,total,ft_total_g>15,1,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,599.3
2019,Denizlispor,total,ft_total_g>25,0,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,311.3
2019,Denizlispor,total,ft_total_g>25,0,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,311.3
2019,Denizlispor,total,ft_total_g>35,0,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,93.9
2019,Denizlispor,total,ft_total_g>35,0,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,93.9
2019,Denizlispor,home,ht_home,1,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,128.8
2019,Denizlispor,home,ht_home_g<15,1,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,458.2
2019,Denizlispor,home,ht_home_g<25,1,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,716.8
2019,Denizlispor,home,ht_home_g<35,1,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,870.2
2019,Denizlispor,home,ht_home_g>15,0,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,128.8
2019,Denizlispor,home,ht_home_g>25,0,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,58.0
2019,Denizlispor,home,ht_home_g>35,0,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,58.0
2019,Denizlispor,total,ht_total,1,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,117.2
2019,Denizlispor,total,ht_total_g<15,1,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,464.3
2019,Denizlispor,total,ht_total_g<15,1,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,464.3
2019,Denizlispor,total,ht_total_g<25,1,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,767.4
2019,Denizlispor,total,ht_total_g<25,1,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,767.4
2019,Denizlispor,total,ht_total_g<35,1,Denizlispor_Galatasaray_2019,2019-08-16,1,1,1,1,884.7
