,teams
0,A. Sebatspor
1,Adanaspor
2,Akhisar Belediyespor
3,Alanyaspor
4,Ankaragucu
5,Ankaraspor
6,Antalyaspor
7,Balikesirspor
8,Besiktas
9,Bucaspor
10,Bursaspor
11,Buyuksehyr
12,Denizlispor
13,Diyarbakirspor
14,Elazigspor
15,Erciyesspor
16,Erzurum BB
17,Eskisehirspor
18,Fenerbahce
19,Galatasaray
20,Gaziantep
21,Gaziantepspor
22,Genclerbirligi
23,Goztep
24,Hacettepespor
25,Hatayspor
26,Istanbulspor
27,Karabukspor
28,Karagumruk
29,Kasimpasa
30,Kayserispor
31,Kocaelispor
32,Konyaspor
33,Malatyaspor
34,Manisaspor
35,Mersin Idman Yurdu
36,Oftasspor
37,Orduspor
38,Osmanlispor
39,Rizespor
40,Sakaryaspor
41,Samsunspor
42,Sivasspor
43,Trabzonspor
44,Yeni Malatyaspor
